Date,CPT
2010-01-04,22.949321746826172
2010-01-05,22.899526596069336
2010-01-06,22.622974395751953
2010-01-07,22.578720092773438
2010-01-08,22.235774993896484
2010-01-11,22.30215835571289
2010-01-12,21.997941970825195
2010-01-13,22.628494262695312
2010-01-14,22.539989471435547
2010-01-15,22.35746955871582
2010-01-19,22.888469696044922
2010-01-20,22.87740707397461
2010-01-21,22.263437271118164
2010-01-22,21.59967613220215
2010-01-25,21.754560470581055
2010-01-26,21.52776527404785
2010-01-27,21.688188552856445
2010-01-28,21.616273880004883
2010-01-29,21.444801330566406
2010-02-01,21.666051864624023
2010-02-02,22.11409568786621
2010-02-03,21.350765228271484
2010-02-04,20.79764175415039
2010-02-05,21.179309844970703
2010-02-08,20.91933250427246
2010-02-09,20.338550567626953
2010-02-10,20.377267837524414
2010-02-11,20.432580947875977
2010-02-12,20.698074340820312
2010-02-16,21.345233917236328
2010-02-17,21.3231143951416
2010-02-18,21.699241638183594
2010-02-19,21.737964630126953
2010-02-22,21.837520599365234
2010-02-23,21.859649658203125
2010-02-24,22.097496032714844
2010-02-25,22.097496032714844
2010-02-26,22.152807235717773
2010-03-01,22.401714324951172
2010-03-02,22.33534049987793
2010-03-03,21.953685760498047
2010-03-04,22.097496032714844
2010-03-05,22.634029388427734
2010-03-08,22.871875762939453
2010-03-09,22.84974479675293
2010-03-10,22.766775131225586
2010-03-11,22.755714416503906
2010-03-12,22.77783966064453
2010-03-15,22.49574089050293
2010-03-16,23.159500122070312
2010-03-17,23.37521743774414
2010-03-18,23.53563690185547
2010-03-19,24.265762329101562
2010-03-22,24.304481506347656
2010-03-23,23.839845657348633
2010-03-24,23.629667282104492
2010-03-25,23.828786849975586
2010-03-26,23.585418701171875
2010-03-29,23.646896362304688
2010-03-30,23.67485809326172
2010-03-31,23.272348403930664
2010-04-01,23.423288345336914
2010-04-05,24.239471435546875
2010-04-06,25.117151260375977
2010-04-07,24.563709259033203
2010-04-08,24.586078643798828
2010-04-09,25.18423080444336
2010-04-12,25.262508392333984
2010-04-13,25.938926696777344
2010-04-14,25.530820846557617
2010-04-15,24.792917251586914
2010-04-16,24.44072151184082
2010-04-19,24.552532196044922
2010-04-20,24.675518035888672
2010-04-21,25.41901969909668
2010-04-22,25.87183380126953
2010-04-23,26.492361068725586
2010-04-26,26.883678436279297
2010-04-27,25.9277286529541
2010-04-28,26.112224578857422
2010-04-29,27.951427459716797
2010-04-30,27.073741912841797
2010-05-03,28.510448455810547
2010-05-04,27.621601104736328
2010-05-05,27.20791244506836
2010-05-06,25.950101852416992
2010-05-07,25.62586784362793
2010-05-10,27.800487518310547
2010-05-11,28.10236167907715
2010-05-12,28.78997039794922
2010-05-13,28.393047332763672
2010-05-14,27.34767723083496
2010-05-17,26.900447845458984
2010-05-18,26.162540435791016
2010-05-19,25.79356575012207
2010-05-20,24.34568214416504
2010-05-21,25.016523361206055
2010-05-24,24.574899673461914
2010-05-25,24.94943618774414
2010-05-26,24.66992950439453
2010-05-27,25.631450653076172
2010-05-28,25.514062881469727
2010-06-01,25.139507293701172
2010-06-02,25.581144332885742
2010-06-03,25.5196475982666
2010-06-04,23.904062271118164
2010-06-07,24.066171646118164
2010-06-08,24.681102752685547
2010-06-09,24.865585327148438
2010-06-10,26.257570266723633
2010-06-11,26.57062339782715
2010-06-14,26.85013198852539
2010-06-15,27.1072940826416
2010-06-16,26.74392318725586
2010-06-17,26.59857749938965
2010-06-18,26.319059371948242
2010-06-21,25.85506248474121
2010-06-22,24.625207901000977
2010-06-23,24.636384963989258
2010-06-24,24.105304718017578
2010-06-25,24.630796432495117
2010-06-28,24.444412231445312
2010-06-29,23.331762313842773
2010-06-30,23.07195472717285
2010-07-01,23.06630516052246
2010-07-02,22.648351669311523
2010-07-06,22.111814498901367
2010-07-07,23.196203231811523
2010-07-08,23.834426879882812
2010-07-09,24.506542205810547
2010-07-12,24.314504623413086
2010-07-13,25.076984405517578
2010-07-14,24.986614227294922
2010-07-15,25.00921058654785
2010-07-16,24.02645492553711
2010-07-19,24.416168212890625
2010-07-20,24.97532844543457
2010-07-21,24.354042053222656
2010-07-22,25.59659767150879
2010-07-23,25.77733612060547
2010-07-26,26.206584930419922
2010-07-27,26.144439697265625
2010-07-28,26.206584930419922
2010-07-29,25.65306854248047
2010-07-30,25.709552764892578
2010-08-02,26.782663345336914
2010-08-03,26.777023315429688
2010-08-04,26.579345703125
2010-08-05,26.370370864868164
2010-08-06,26.155742645263672
2010-08-09,26.635833740234375
2010-08-10,26.376018524169922
2010-08-11,25.878992080688477
2010-08-12,25.449745178222656
2010-08-13,25.51752281188965
2010-08-16,25.302906036376953
2010-08-17,25.670028686523438
2010-08-18,25.664369583129883
2010-08-19,24.896249771118164
2010-08-20,24.907543182373047
2010-08-23,24.721166610717773
2010-08-24,24.783294677734375
2010-08-25,25.235124588012695
2010-08-26,25.223834991455078
2010-08-27,25.766027450561523
2010-08-30,25.34808921813965
2010-08-31,25.845109939575195
2010-09-01,26.80525779724121
2010-09-02,26.726184844970703
2010-09-03,27.1271915435791
2010-09-07,26.681007385253906
2010-09-08,26.460735321044922
2010-09-09,26.291290283203125
2010-09-10,26.313888549804688
2010-09-13,26.584991455078125
2010-09-14,26.70360565185547
2010-09-15,26.714900970458984
2010-09-16,26.754440307617188
2010-09-17,27.240163803100586
2010-09-20,28.18337631225586
2010-09-21,27.82189178466797
2010-09-22,27.443485260009766
2010-09-23,26.697954177856445
2010-09-24,27.56208610534668
2010-09-27,27.048131942749023
2010-09-28,27.224876403808594
