Date,EQT
2010-01-04,21.274967193603516
2010-01-05,21.422210693359375
2010-01-06,21.507719039916992
2010-01-07,21.217966079711914
2010-01-08,21.037477493286133
2010-01-11,21.018478393554688
2010-01-12,20.742979049682617
2010-01-13,20.894975662231445
2010-01-14,21.089725494384766
2010-01-15,20.73822784423828
2010-01-19,21.04222297668457
2010-01-20,20.75722885131836
2010-01-21,20.55298614501953
2010-01-22,20.025739669799805
2010-01-25,20.372488021850586
2010-01-26,20.282228469848633
2010-01-27,20.362979888916016
2010-01-28,21.080228805541992
2010-01-29,20.90923309326172
2010-02-01,21.284469604492188
2010-02-02,21.944711685180664
2010-02-03,21.806968688964844
2010-02-04,20.538732528686523
2010-02-05,20.372488021850586
2010-02-08,20.125486373901367
2010-02-09,20.434234619140625
2010-02-10,20.24803352355957
2010-02-11,20.439010620117188
2010-02-12,20.529727935791016
2010-02-16,21.121736526489258
2010-02-17,21.116966247558594
2010-02-18,21.22199058532715
2010-02-19,21.541881561279297
2010-02-22,21.23155403137207
2010-02-23,20.84960174560547
2010-02-24,21.03102684020996
2010-02-25,21.00237464904785
2010-02-26,20.892560958862305
2010-03-01,21.446395874023438
2010-03-02,21.842666625976562
2010-03-03,22.057512283325195
2010-03-04,21.96680450439453
2010-03-05,22.597009658813477
2010-03-08,22.48720359802246
2010-03-09,22.61610221862793
2010-03-10,21.331815719604492
2010-03-11,20.92120933532715
2010-03-12,20.959413528442383
2010-03-15,20.7684326171875
2010-03-16,20.863922119140625
2010-03-17,20.825725555419922
2010-03-18,20.41514015197754
2010-03-19,19.918603897094727
2010-03-22,19.73239517211914
2010-03-23,19.923377990722656
2010-03-24,19.81833839416504
2010-03-25,19.484127044677734
2010-03-26,19.235868453979492
2010-03-29,19.675111770629883
2010-03-30,19.62736701965332
2010-03-31,19.574848175048828
2010-04-01,20.09047508239746
2010-04-05,20.66340446472168
2010-04-06,20.715923309326172
2010-04-07,20.725475311279297
2010-04-08,20.739789962768555
2010-04-09,21.393878936767578
2010-04-12,21.44162368774414
2010-04-13,21.331815719604492
2010-04-14,21.42252540588379
2010-04-15,21.322254180908203
2010-04-16,20.892560958862305
2010-04-19,20.85437774658203
2010-04-20,20.997610092163086
2010-04-21,20.844829559326172
2010-04-22,21.179025650024414
2010-04-23,21.771055221557617
2010-04-26,21.780593872070312
2010-04-27,20.90212059020996
2010-04-28,21.226770401000977
2010-04-29,20.906890869140625
2010-04-30,20.76366424560547
2010-05-03,21.245872497558594
2010-05-04,20.954635620117188
2010-05-05,20.306842803955078
2010-05-06,19.51511573791504
2010-05-07,19.088054656982422
2010-05-10,20.210886001586914
2010-05-11,20.215675354003906
2010-05-12,20.589954376220703
2010-05-13,20.465200424194336
2010-05-14,20.28765869140625
2010-05-17,19.764629364013672
2010-05-18,19.438337326049805
2010-05-19,18.98729133605957
2010-05-20,18.08998680114746
2010-05-21,18.40188217163086
2010-05-24,17.840469360351562
2010-05-25,17.67733383178711
2010-05-26,17.936433792114258
2010-05-27,18.66099739074707
2010-05-28,18.804962158203125
2010-06-01,18.152368545532227
2010-06-02,18.977691650390625
2010-06-03,19.56790542602539
2010-06-04,18.281923294067383
2010-06-07,18.2579288482666
2010-06-08,18.541032791137695
2010-06-09,18.392282485961914
2010-06-10,19.399951934814453
2010-06-11,19.539112091064453
2010-06-14,19.577489852905273
2010-06-15,19.874996185302734
2010-06-16,19.92298126220703
2010-06-17,19.6734619140625
2010-06-18,19.659072875976562
2010-06-21,19.39514923095703
2010-06-22,18.59382438659668
2010-06-23,18.377901077270508
2010-06-24,18.161972045898438
2010-06-25,18.267532348632812
2010-06-28,18.12837791442871
2010-06-29,17.39422035217285
2010-06-30,17.341432571411133
2010-07-01,16.99114990234375
2010-07-02,16.962369918823242
2010-07-06,17.216676712036133
2010-07-07,17.893251419067383
2010-07-08,17.91724395751953
2010-07-09,17.78769302368164
2010-07-12,17.70612144470215
2010-07-13,17.816476821899414
2010-07-14,17.768491744995117
2010-07-15,17.95563316345215
2010-07-16,17.269458770751953
2010-07-19,17.461400985717773
2010-07-20,17.984424591064453
2010-07-21,17.6677303314209
2010-07-22,18.137977600097656
2010-07-23,17.840469360351562
2010-07-26,18.099584579467773
2010-07-27,17.94123649597168
2010-07-28,18.142772674560547
2010-07-29,17.686922073364258
2010-07-30,17.60055160522461
2010-08-02,18.488252639770508
2010-08-03,18.521854400634766
2010-08-04,18.594234466552734
2010-08-05,18.985132217407227
2010-08-06,18.80174446105957
2010-08-09,18.850013732910156
2010-08-10,18.69557762145996
2010-08-11,17.96686363220215
2010-08-12,17.493928909301758
2010-08-13,17.445661544799805
2010-08-16,17.228498458862305
2010-08-17,17.247806549072266
2010-08-18,17.06924819946289
2010-08-19,16.5335750579834
2010-08-20,16.186107635498047
2010-08-23,16.3260555267334
2010-08-24,15.92068099975586
2010-08-25,15.857939720153809
2010-08-26,15.703516006469727
2010-08-27,16.10405731201172
2010-08-30,15.853116989135742
2010-08-31,15.732470512390137
2010-09-01,16.398435592651367
2010-09-02,16.432220458984375
2010-09-03,16.639739990234375
2010-09-07,16.40809440612793
2010-09-08,16.330881118774414
2010-09-09,16.64938735961914
2010-09-10,16.610780715942383
2010-09-13,16.716955184936523
2010-09-14,16.707304000854492
2010-09-15,16.687992095947266
2010-09-16,16.60112953186035
2010-09-17,16.35501480102539
2010-09-20,16.475658416748047
2010-09-21,16.01236915588379
2010-09-22,16.007549285888672
2010-09-23,15.775898933410645
2010-09-24,16.301931381225586
2010-09-27,16.311582565307617
2010-09-28,16.59630584716797
