Date,CVS
2010-01-04,22.69671058654785
2010-01-05,22.60724449157715
2010-01-06,22.40766716003418
2010-01-07,23.233495712280273
2010-01-08,23.39866828918457
2010-01-11,23.350494384765625
2010-01-12,23.095857620239258
2010-01-13,23.378019332885742
2010-01-14,23.3642635345459
2010-01-15,23.33672332763672
2010-01-19,23.3642635345459
2010-01-20,23.35598373413086
2010-01-21,22.935087203979492
2010-01-22,22.935087203979492
2010-01-25,22.797094345092773
2010-01-26,22.63839340209961
2010-01-27,22.403799057006836
2010-01-28,22.307207107543945
2010-01-29,22.334794998168945
2010-02-01,22.71430015563965
2010-02-02,23.03168296813965
2010-02-03,22.36929702758789
2010-02-04,21.493013381958008
2010-02-05,21.437822341918945
2010-02-08,22.576292037963867
2010-02-09,22.576292037963867
2010-02-10,22.583200454711914
2010-02-11,22.91439437866211
2010-02-12,22.762590408325195
2010-02-16,23.12828826904297
2010-02-17,23.452585220336914
2010-02-18,23.54227638244629
2010-02-19,23.67337417602539
2010-02-22,23.611276626586914
2010-02-23,23.56298065185547
2010-02-24,23.811365127563477
2010-02-25,23.4594783782959
2010-02-26,23.2869815826416
2010-03-01,23.742366790771484
2010-03-02,23.91486358642578
2010-03-03,23.970067977905273
2010-03-04,24.059762954711914
2010-03-05,24.170164108276367
2010-03-08,24.03216552734375
2010-03-09,23.928667068481445
2010-03-10,24.04595375061035
2010-03-11,23.91486358642578
2010-03-12,23.894166946411133
2010-03-15,23.96316146850586
2010-03-16,24.101163864135742
2010-03-17,24.29435920715332
2010-03-18,24.211565017700195
2010-03-19,23.838964462280273
2010-03-22,24.280563354492188
2010-03-23,24.784244537353516
2010-03-24,24.501358032226562
2010-03-25,25.12923240661621
2010-03-26,25.384531021118164
2010-03-29,25.577720642089844
2010-03-30,25.550125122070312
2010-03-31,25.2258358001709
2010-04-01,24.99814796447754
2010-04-05,24.846343994140625
2010-04-06,24.735944747924805
2010-04-07,24.60484504699707
2010-04-08,25.163734436035156
2010-04-09,25.688133239746094
2010-04-12,25.5156307220459
2010-04-13,25.653629302978516
2010-04-14,25.708820343017578
2010-04-15,25.78472328186035
2010-04-16,25.62603187561035
2010-04-19,25.550125122070312
2010-04-20,25.66741943359375
2010-04-21,25.52080535888672
2010-04-22,25.472383499145508
2010-04-23,25.596887588500977
2010-04-26,25.500051498413086
2010-04-27,25.078168869018555
2010-04-28,25.666048049926758
2010-04-29,25.7697811126709
2010-04-30,25.534631729125977
2010-05-03,25.645292282104492
2010-05-04,25.23032569885254
2010-05-05,24.939847946166992
2010-05-06,24.372718811035156
2010-05-07,24.109888076782227
2010-05-10,25.015914916992188
2010-05-11,24.72544288635254
2010-05-12,25.119651794433594
2010-05-13,25.244157791137695
2010-05-14,24.746185302734375
2010-05-17,24.808429718017578
2010-05-18,24.34504508972168
2010-05-19,24.172142028808594
2010-05-20,23.418275833129883
2010-05-21,23.722593307495117
2010-05-24,23.480527877807617
2010-05-25,23.563512802124023
2010-05-26,23.35603141784668
2010-05-27,23.92316436767578
2010-05-28,23.950824737548828
2010-06-01,23.750247955322266
2010-06-02,24.34504508972168
2010-06-03,24.24821662902832
2010-06-04,23.369863510131836
2010-06-07,21.467906951904297
2010-06-08,21.5508975982666
2010-06-09,21.212003707885742
2010-06-10,22.062702178955078
2010-06-11,22.187192916870117
2010-06-14,22.041955947875977
2010-06-15,22.277099609375
2010-06-16,22.048864364624023
2010-06-17,22.02120018005371
2010-06-18,22.42926025390625
2010-06-21,21.97970199584961
2010-06-22,21.716888427734375
2010-06-23,21.73763656616211
2010-06-24,21.295001983642578
2010-06-25,21.163593292236328
2010-06-28,21.36416244506836
2010-06-29,20.624126434326172
2010-06-30,20.2783203125
2010-07-01,20.216068267822266
2010-07-02,20.112327575683594
2010-07-06,19.74576759338379
2010-07-07,20.146913528442383
2010-07-08,20.35439109802246
2010-07-09,20.61029052734375
2010-07-12,20.727872848510742
2010-07-13,21.129005432128906
2010-07-14,21.212003707885742
2010-07-15,21.288084030151367
2010-07-16,20.77628517150879
2010-07-19,20.859283447265625
2010-07-20,21.149219512939453
2010-07-21,20.781587600708008
2010-07-22,20.753849029541016
2010-07-23,21.45442008972168
2010-07-26,21.502981185913086
2010-07-27,21.22552490234375
2010-07-28,21.877552032470703
2010-07-29,21.433624267578125
2010-07-30,21.287952423095703
2010-08-02,21.586219787597656
2010-08-03,21.40587043762207
2010-08-04,21.197778701782227
2010-08-05,20.8925724029541
2010-08-06,20.698354721069336
2010-08-09,20.809335708618164
2010-08-10,20.58736801147461
2010-08-11,19.852108001708984
2010-08-12,20.074073791503906
2010-08-13,19.90760040283203
2010-08-16,19.90760040283203
2010-08-17,20.03245735168457
2010-08-18,20.150371551513672
2010-08-19,19.782752990722656
2010-08-20,19.415115356445312
2010-08-23,19.74806022644043
2010-08-24,19.373489379882812
2010-08-25,19.442855834960938
2010-08-26,19.255573272705078
2010-08-27,19.0821590423584
2010-08-30,19.019737243652344
2010-08-31,18.71452522277832
2010-09-01,19.408172607421875
2010-09-02,19.63707733154297
2010-09-03,19.893728256225586
2010-09-07,19.546899795532227
2010-09-08,19.761934280395508
2010-09-09,19.942279815673828
2010-09-10,20.129566192626953
2010-09-13,20.275230407714844
2010-09-14,20.302974700927734
2010-09-15,20.413951873779297
2010-09-16,20.44864273071289
2010-09-17,20.691415786743164
2010-09-20,21.01742935180664
2010-09-21,20.837078094482422
2010-09-22,20.871763229370117
2010-09-23,20.739967346191406
2010-09-24,21.509912490844727
2010-09-27,21.232460021972656
2010-09-28,21.81512451171875
