Date,ARE
2010-01-04,38.19775390625
2010-01-05,37.7950325012207
2010-01-06,37.59667205810547
2010-01-07,37.945308685302734
2010-01-08,37.81907272338867
2010-01-11,38.017425537109375
2010-01-12,38.071529388427734
2010-01-13,38.17369842529297
2010-01-14,38.16168975830078
2010-01-15,37.69287872314453
2010-01-19,38.13764953613281
2010-01-20,38.462223052978516
2010-01-21,37.44641876220703
2010-01-22,37.1939697265625
2010-01-25,37.29615783691406
2010-01-26,36.58089065551758
2010-01-27,36.58689498901367
2010-01-28,36.22023010253906
2010-01-29,35.90166473388672
2010-02-01,36.496726989746094
2010-02-02,36.965572357177734
2010-02-03,36.88141632080078
2010-02-04,35.26454162597656
2010-02-05,35.63119125366211
2010-02-08,34.483150482177734
2010-02-09,34.411033630371094
2010-02-10,34.465126037597656
2010-02-11,34.19465637207031
2010-02-12,35.090248107910156
2010-02-16,36.785255432128906
2010-02-17,36.70710754394531
2010-02-18,37.079776763916016
2010-02-19,37.019657135009766
2010-02-22,36.87540054321289
2010-02-23,37.1218376159668
2010-02-24,37.073768615722656
2010-02-25,37.26609802246094
2010-02-26,37.03768539428711
2010-03-01,37.20598602294922
2010-03-02,37.506526947021484
2010-03-03,37.52456283569336
2010-03-04,37.38029861450195
2010-03-05,38.03545379638672
2010-03-08,38.75071716308594
2010-03-09,38.84088897705078
2010-03-10,38.96110534667969
2010-03-11,39.00919723510742
2010-03-12,39.075313568115234
2010-03-15,39.22557830810547
2010-03-16,40.223350524902344
2010-03-17,40.47578811645508
2010-03-18,40.54190444946289
2010-03-19,40.02499008178711
2010-03-22,40.57197570800781
2010-03-23,40.265411376953125
2010-03-24,40.51185607910156
2010-03-25,40.79436492919922
2010-03-26,41.0107421875
2010-03-29,41.2331428527832
2010-03-30,41.18480682373047
2010-03-31,40.84043502807617
2010-04-01,41.100215911865234
2010-04-05,42.15143966674805
2010-04-06,43.40202331542969
2010-04-07,42.906639099121094
2010-04-08,43.01536178588867
2010-04-09,43.837005615234375
2010-04-12,43.19662094116211
2010-04-13,43.95783615112305
2010-04-14,43.4080810546875
2010-04-15,42.435386657714844
2010-04-16,41.927913665771484
2010-04-19,42.00645065307617
2010-04-20,42.646846771240234
2010-04-21,42.62266540527344
2010-04-22,42.87038040161133
2010-04-23,44.82179260253906
2010-04-26,45.0694580078125
2010-04-27,43.5953483581543
2010-04-28,43.510772705078125
2010-04-29,44.652626037597656
2010-04-30,42.779747009277344
2010-05-03,44.11491775512695
2010-05-04,42.912662506103516
2010-05-05,42.393096923828125
2010-05-06,40.4598274230957
2010-05-07,39.27569580078125
2010-05-10,42.145389556884766
2010-05-11,42.25413513183594
2010-05-12,42.876426696777344
2010-05-13,42.17560577392578
2010-05-14,40.4598274230957
2010-05-17,40.405452728271484
2010-05-18,39.42069625854492
2010-05-19,39.336116790771484
2010-05-20,37.4753303527832
2010-05-21,38.423851013183594
2010-05-24,38.18822479248047
2010-05-25,38.14593505859375
2010-05-26,38.01301574707031
2010-05-27,40.23629379272461
2010-05-28,39.62004852294922
2010-06-01,38.81653594970703
2010-06-02,39.765052795410156
2010-06-03,39.71671676635742
2010-06-04,37.67469787597656
2010-06-07,37.789493560791016
2010-06-08,39.39048767089844
2010-06-09,39.78923416137695
2010-06-10,41.97624206542969
2010-06-11,42.9912223815918
2010-06-14,43.44431686401367
2010-06-15,43.981998443603516
2010-06-16,43.63764572143555
2010-06-17,44.338470458984375
2010-06-18,44.211578369140625
2010-06-21,43.420162200927734
2010-06-22,41.619789123535156
2010-06-23,41.855411529541016
2010-06-24,41.02167892456055
2010-06-25,41.378135681152344
2010-06-28,40.85857009887695
2010-06-29,38.7330436706543
2010-06-30,38.48405075073242
2010-07-01,38.50834655761719
2010-07-02,37.500247955322266
2010-07-06,36.94153594970703
2010-07-07,39.28567886352539
2010-07-08,39.473934173583984
2010-07-09,39.601478576660156
2010-07-12,39.510372161865234
2010-07-13,40.828189849853516
2010-07-14,40.60958480834961
2010-07-15,40.28770065307617
2010-07-16,39.085269927978516
2010-07-19,39.68650436401367
2010-07-20,41.235076904296875
2010-07-21,40.220924377441406
2010-07-22,42.346431732177734
2010-07-23,43.06303024291992
2010-07-26,44.08328628540039
2010-07-27,43.779624938964844
2010-07-28,43.37883377075195
2010-07-29,42.4678840637207
2010-07-30,42.84439468383789
2010-08-02,44.229034423828125
2010-08-03,43.72499465942383
2010-08-04,43.83429718017578
2010-08-05,43.5063362121582
2010-08-06,43.93145751953125
2010-08-09,44.48407745361328
2010-08-10,43.22700500488281
2010-08-11,42.249271392822266
2010-08-12,41.4476432800293
2010-08-13,40.90107345581055
2010-08-16,40.97395706176758
2010-08-17,42.024574279785156
2010-08-18,42.72296142578125
2010-08-19,41.6419677734375
2010-08-20,41.2108039855957
2010-08-23,41.14400100708008
2010-08-24,41.21685791015625
2010-08-25,42.061012268066406
2010-08-26,41.878814697265625
2010-08-27,42.540771484375
2010-08-30,42.24317932128906
2010-08-31,42.12778854370117
2010-09-01,42.3950080871582
2010-09-02,42.93550109863281
2010-09-03,43.639957427978516
2010-09-07,43.05695724487305
2010-09-08,43.281639099121094
2010-09-09,42.698665618896484
2010-09-10,42.72296142578125
2010-09-13,43.57316589355469
2010-09-14,43.66425323486328
2010-09-15,43.76141357421875
2010-09-16,43.561004638671875
2010-09-17,43.82822036743164
2010-09-20,44.55088424682617
2010-09-21,44.277618408203125
2010-09-22,42.81404113769531
2010-09-23,41.629825592041016
2010-09-24,42.51647186279297
2010-09-27,42.32213592529297
2010-09-28,42.60755920410156
