Date,WELL
2010-01-04,22.206398010253906
2010-01-05,22.519020080566406
2010-01-06,22.408092498779297
2010-01-07,22.453468322753906
2010-01-08,22.221519470214844
2010-01-11,22.271947860717773
2010-01-12,22.070249557495117
2010-01-13,22.544231414794922
2010-01-14,22.377840042114258
2010-01-15,22.33750343322754
2010-01-19,22.907283782958984
2010-01-20,22.816513061523438
2010-01-21,22.276987075805664
2010-01-22,21.787883758544922
2010-01-25,21.843345642089844
2010-01-26,21.727378845214844
2010-01-27,21.89377212524414
2010-01-28,21.828218460083008
2010-01-29,21.68199348449707
2010-02-01,21.71225357055664
2010-02-02,21.863525390625
2010-02-03,21.5508975982666
2010-02-04,20.710580825805664
2010-02-05,21.018014907836914
2010-02-08,20.62860107421875
2010-02-09,20.65933609008789
2010-02-10,20.7413330078125
2010-02-11,21.002647399902344
2010-02-12,20.884796142578125
2010-02-16,21.37156105041504
2010-02-17,21.53040313720703
2010-02-18,21.69947624206543
2010-02-19,21.448421478271484
2010-02-22,21.52014923095703
2010-02-23,21.284452438354492
2010-02-24,21.65337562561035
2010-02-25,21.84295654296875
2010-02-26,21.704608917236328
2010-03-01,21.878822326660156
2010-03-02,21.791711807250977
2010-03-03,21.694358825683594
2010-03-04,21.84295654296875
2010-03-05,22.114513397216797
2010-03-08,22.237483978271484
2010-03-09,22.355335235595703
2010-03-10,22.565420150756836
2010-03-11,22.790874481201172
2010-03-12,22.944580078125
2010-03-15,23.036808013916016
2010-03-16,23.559438705444336
2010-03-17,23.677291870117188
2010-03-18,23.523574829101562
2010-03-19,23.441598892211914
2010-03-22,23.702909469604492
2010-03-23,23.697776794433594
2010-03-24,23.72852325439453
2010-03-25,23.708030700683594
2010-03-26,23.508203506469727
2010-03-29,23.482580184936523
2010-03-30,23.421098709106445
2010-03-31,23.175153732299805
2010-04-01,23.103418350219727
2010-04-05,23.257139205932617
2010-04-06,23.523574829101562
2010-04-07,23.123916625976562
2010-04-08,23.103418350219727
2010-04-09,23.380115509033203
2010-04-12,23.211021423339844
2010-04-13,23.646547317504883
2010-04-14,23.5286922454834
2010-04-15,22.67814064025879
2010-04-16,22.176002502441406
2010-04-19,22.1606388092041
2010-04-20,22.468059539794922
2010-04-21,22.7498722076416
2010-04-22,22.9343318939209
2010-04-23,23.175153732299805
2010-04-26,23.292993545532227
2010-04-27,22.775495529174805
2010-04-28,22.86259651184082
2010-04-29,23.456958770751953
2010-04-30,23.021434783935547
2010-05-03,23.5389461517334
2010-05-04,22.744754791259766
2010-05-05,22.304101943969727
2010-05-06,21.205810546875
2010-05-07,21.10692024230957
2010-05-10,22.32492446899414
2010-05-11,22.33533477783203
2010-05-12,22.403005599975586
2010-05-13,22.184385299682617
2010-05-14,21.866863250732422
2010-05-17,21.903301239013672
2010-05-18,21.55975914001465
2010-05-19,21.382783889770508
2010-05-20,20.820627212524414
2010-05-21,21.606609344482422
2010-05-24,21.606609344482422
2010-05-25,22.184385299682617
2010-05-26,21.788793563842773
2010-05-27,22.69449234008789
2010-05-28,22.423816680908203
2010-06-01,22.04904556274414
2010-06-02,22.262460708618164
2010-06-03,22.158355712890625
2010-06-04,21.450450897216797
2010-06-07,21.419221878051758
2010-06-08,21.939739227294922
2010-06-09,22.06467056274414
2010-06-10,22.809001922607422
2010-06-11,22.902694702148438
2010-06-14,23.017202377319336
2010-06-15,23.329517364501953
2010-06-16,22.996395111083984
2010-06-17,23.110898971557617
2010-06-18,22.553953170776367
2010-06-21,22.4081974029541
2010-06-22,21.908504486083984
2010-06-23,22.0750732421875
2010-06-24,21.757556915283203
2010-06-25,22.252052307128906
2010-06-28,22.262460708618164
2010-06-29,22.054248809814453
2010-06-30,21.92412757873535
2010-07-01,21.851259231567383
2010-07-02,21.736736297607422
2010-07-06,21.48689079284668
2010-07-07,22.179180145263672
2010-07-08,22.304100036621094
2010-07-09,22.47587013244629
2010-07-12,22.533113479614258
2010-07-13,22.965158462524414
2010-07-14,22.85064125061035
2010-07-15,22.76214599609375
2010-07-16,22.371763229370117
2010-07-19,22.7985897064209
2010-07-20,23.152538299560547
2010-07-21,22.824609756469727
2010-07-22,23.32430648803711
2010-07-23,23.46485710144043
2010-07-26,23.751129150390625
2010-07-27,23.683469772338867
2010-07-28,23.678264617919922
2010-07-29,23.49088478088379
2010-07-30,23.58456802368164
2010-08-02,24.235212326049805
2010-08-03,23.959339141845703
2010-08-04,23.948928833007812
2010-08-05,24.04405403137207
2010-08-06,24.03876495361328
2010-08-09,24.096895217895508
2010-08-10,24.08633041381836
2010-08-11,23.62657928466797
2010-08-12,23.600160598754883
2010-08-13,23.63187026977539
2010-08-16,23.510316848754883
2010-08-17,23.98591423034668
2010-08-18,23.964773178100586
2010-08-19,23.705848693847656
2010-08-20,23.82210350036621
2010-08-23,23.605445861816406
2010-08-24,23.684715270996094
2010-08-25,23.9013671875
2010-08-26,23.711137771606445
2010-08-27,24.144445419311523
2010-08-30,24.01234245300293
2010-08-31,24.271272659301758
2010-09-01,24.74687957763672
2010-09-02,25.000532150268555
2010-09-03,25.233041763305664
2010-09-07,24.89484214782715
2010-09-08,24.93182373046875
2010-09-09,24.63591194152832
2010-09-10,24.678171157836914
2010-09-13,25.02165985107422
2010-09-14,25.069215774536133
2010-09-15,25.233041763305664
2010-09-16,25.18019676208496
2010-09-17,25.317598342895508
2010-09-20,25.592378616333008
2010-09-21,24.836711883544922
2010-09-22,24.810293197631836
2010-09-23,24.477371215820312
2010-09-24,25.0322322845459
2010-09-27,24.7574405670166
2010-09-28,25.000532150268555
