Date,RMD
2010-01-04,22.03271484375
2010-01-05,21.09781265258789
2010-01-06,21.77394676208496
2010-01-07,21.81151008605957
2010-01-08,21.79899024963379
2010-01-11,22.053585052490234
2010-01-12,21.469270706176758
2010-01-13,21.78646469116211
2010-01-14,21.936725616455078
2010-01-15,21.769777297973633
2010-01-19,22.08697509765625
2010-01-20,22.091140747070312
2010-01-21,21.677953720092773
2010-01-22,21.690475463867188
2010-01-25,22.132875442504883
2010-01-26,22.31652069091797
2010-01-27,21.982629776000977
2010-01-28,21.744733810424805
2010-01-29,21.34406089782715
2010-02-01,21.481786727905273
2010-02-02,21.790645599365234
2010-02-03,21.769777297973633
2010-02-04,21.25640869140625
2010-02-05,22.913360595703125
2010-02-08,22.8883113861084
2010-02-09,22.65041160583496
2010-02-10,22.654582977294922
2010-02-11,23.163780212402344
2010-02-12,23.364110946655273
2010-02-16,23.142906188964844
2010-02-17,23.284812927246094
2010-02-18,23.969289779663086
2010-02-19,23.98598861694336
2010-02-22,24.186317443847656
2010-02-23,23.764780044555664
2010-02-24,24.00684928894043
2010-02-25,24.015193939208984
2010-02-26,23.82321548461914
2010-03-01,24.27813148498535
2010-03-02,24.582820892333984
2010-03-03,24.733070373535156
2010-03-04,24.662111282348633
2010-03-05,24.833234786987305
2010-03-08,24.699678421020508
2010-03-09,24.774803161621094
2010-03-10,25.117048263549805
2010-03-11,25.30903434753418
2010-03-12,25.32990074157715
2010-03-15,25.30485725402832
2010-03-16,25.459285736083984
2010-03-17,25.793174743652344
2010-03-18,26.168804168701172
2010-03-19,25.951770782470703
2010-03-22,26.056108474731445
2010-03-23,26.223060607910156
2010-03-24,26.465133666992188
2010-03-25,26.37331199645996
2010-03-26,26.277315139770508
2010-03-29,26.498525619506836
2010-03-30,26.65711784362793
2010-03-31,26.565298080444336
2010-04-01,26.598695755004883
2010-04-05,26.531911849975586
2010-04-06,26.381656646728516
2010-04-07,26.143760681152344
2010-04-08,25.61787986755371
2010-04-09,25.70135498046875
2010-04-12,25.70970344543457
2010-04-13,25.834909439086914
2010-04-14,25.939250946044922
2010-04-15,25.85160255432129
2010-04-16,25.71804428100586
2010-04-19,25.822391510009766
2010-04-20,26.519393920898438
2010-04-21,26.435916900634766
2010-04-22,26.60703468322754
2010-04-23,26.54860496520996
2010-04-26,26.381656646728516
2010-04-27,25.434240341186523
2010-04-28,25.868301391601562
2010-04-29,25.74726104736328
2010-04-30,28.560304641723633
2010-05-03,28.664649963378906
2010-05-04,28.259803771972656
2010-05-05,28.209716796875
2010-05-06,27.41672706604004
2010-05-07,26.556955337524414
2010-05-10,27.721403121948242
2010-05-11,28.201372146606445
2010-05-12,28.70220375061035
2010-05-13,28.72307586669922
2010-05-14,28.501880645751953
2010-05-17,28.681339263916016
2010-05-18,27.729759216308594
2010-05-19,27.007705688476562
2010-05-20,26.110366821289062
2010-05-21,25.513540267944336
2010-05-24,25.91837501525879
2010-05-25,25.880815505981445
2010-05-26,25.51771354675293
2010-05-27,26.598695755004883
2010-05-28,26.24810791015625
2010-06-01,26.41922378540039
2010-06-02,27.120399475097656
2010-06-03,27.345775604248047
2010-06-04,26.890846252441406
2010-06-07,26.26896858215332
2010-06-08,26.223060607910156
2010-06-09,26.164628982543945
2010-06-10,26.56947135925293
2010-06-11,26.869972229003906
2010-06-14,27.178831100463867
2010-06-15,27.58367156982422
2010-06-16,27.320730209350586
2010-06-17,27.0035343170166
2010-06-18,26.448442459106445
2010-06-21,26.565298080444336
2010-06-22,26.410877227783203
2010-06-23,25.855783462524414
2010-06-24,25.622053146362305
2010-06-25,25.74726104736328
2010-06-28,25.726396560668945
2010-06-29,25.263124465942383
2010-06-30,25.379985809326172
2010-07-01,24.879138946533203
2010-07-02,25.530235290527344
2010-07-06,25.855783462524414
2010-07-07,26.719724655151367
2010-07-08,27.128746032714844
2010-07-09,27.099525451660156
2010-07-12,27.27482032775879
2010-07-13,27.642105102539062
2010-07-14,27.884170532226562
2010-07-15,27.896697998046875
2010-07-16,27.73809242248535
2010-07-19,27.007705688476562
2010-07-20,26.986839294433594
2010-07-21,26.37331199645996
2010-07-22,26.832416534423828
2010-07-23,27.41254997253418
2010-07-26,26.999364852905273
2010-07-27,26.707204818725586
2010-07-28,26.623727798461914
2010-07-29,26.711380004882812
2010-07-30,27.41672706604004
2010-08-02,27.938438415527344
2010-08-03,28.126239776611328
2010-08-04,28.251455307006836
2010-08-05,28.39336585998535
2010-08-06,27.120399475097656
2010-08-09,27.34160041809082
2010-08-10,26.819894790649414
2010-08-11,26.431743621826172
2010-08-12,25.914209365844727
2010-08-13,26.189664840698242
2010-08-16,26.21471405029297
2010-08-17,26.79068374633789
2010-08-18,26.536088943481445
2010-08-19,26.473480224609375
2010-08-20,26.198017120361328
2010-08-23,26.172975540161133
2010-08-24,25.400854110717773
2010-08-25,25.32155418395996
2010-08-26,24.93757438659668
2010-08-27,25.53858184814453
2010-08-30,25.200517654418945
2010-08-31,25.15877914428711
2010-09-01,25.734750747680664
2010-09-02,26.285669326782227
2010-09-03,26.903369903564453
2010-09-07,26.753110885620117
2010-09-08,26.45260238647461
2010-09-09,27.02022933959961
2010-09-10,26.970144271850586
2010-09-13,27.5961971282959
2010-09-14,27.629573822021484
2010-09-15,27.905046463012695
2010-09-16,27.771474838256836
2010-09-17,27.5961971282959
2010-09-20,27.679664611816406
2010-09-21,27.061969757080078
2010-09-22,27.220571517944336
2010-09-23,27.0035343170166
2010-09-24,27.404203414916992
2010-09-27,27.429248809814453
2010-09-28,27.487680435180664
