Date,TMUS
2010-01-04,12.867810249328613
2010-01-05,12.900099754333496
2010-01-06,12.028254508972168
2010-01-07,12.141271591186523
2010-01-08,11.463168144226074
2010-01-11,11.608475685119629
2010-01-12,10.252269744873047
2010-01-13,10.219980239868164
2010-01-14,10.058526039123535
2010-01-15,10.203835487365723
2010-01-19,10.332998275756836
2010-01-20,10.074671745300293
2010-01-21,9.671037673950195
2010-01-22,9.493440628051758
2010-01-25,9.461149215698242
2010-01-26,9.283552169799805
2010-01-27,9.186680793762207
2010-01-28,8.928356170654297
2010-01-29,9.089808464050293
2010-02-01,9.574167251586914
2010-02-02,9.541877746582031
2010-02-03,9.8163480758667
2010-02-04,9.380424499511719
2010-02-05,9.493440628051758
2010-02-08,9.477295875549316
2010-02-09,9.703330039978027
2010-02-10,9.331987380981445
2010-02-11,9.590312004089355
2010-02-12,9.622602462768555
2010-02-16,10.010090827941895
2010-02-17,10.026235580444336
2010-02-18,10.12310791015625
2010-02-19,10.187688827514648
2010-02-22,10.074671745300293
2010-02-23,9.94550895690918
2010-02-24,10.074671745300293
2010-02-25,10.462160110473633
2010-02-26,9.961654663085938
2010-03-01,9.751765251159668
2010-03-02,10.058526039123535
2010-03-03,10.219980239868164
2010-03-04,10.284560203552246
2010-03-05,10.300707817077637
2010-03-08,10.575176239013672
2010-03-09,10.655903816223145
2010-03-10,10.672048568725586
2010-03-11,10.865791320800781
2010-03-12,10.8012113571167
2010-03-15,10.704337120056152
2010-03-16,11.059535026550293
2010-03-17,11.156407356262207
2010-03-18,11.204842567443848
2010-03-19,11.382441520690918
2010-03-22,11.398588180541992
2010-03-23,11.624621391296387
2010-03-24,11.41473388671875
2010-03-25,11.204842567443848
2010-03-26,11.188697814941406
2010-03-29,11.269425392150879
2010-03-30,11.44702434539795
2010-03-31,11.430877685546875
2010-04-01,11.640765190124512
2010-04-05,11.753785133361816
2010-04-06,11.818364143371582
2010-04-07,11.560040473937988
2010-04-08,11.947526931762695
2010-04-09,11.866802215576172
2010-04-12,12.141271591186523
2010-04-13,12.173563003540039
2010-04-14,12.205852508544922
2010-04-15,12.464178085327148
2010-04-16,12.060544967651367
2010-04-19,12.076690673828125
2010-04-20,12.27043342590332
2010-04-21,12.367305755615234
2010-04-22,12.48032283782959
2010-04-23,12.625629425048828
2010-04-26,12.544903755187988
2010-04-27,12.205852508544922
2010-04-28,12.173563003540039
2010-04-29,12.577194213867188
2010-04-30,12.318869590759277
2010-05-03,12.851664543151855
2010-05-04,12.544903755187988
2010-05-05,12.496467590332031
2010-05-06,13.013118743896484
2010-05-07,11.543893814086914
2010-05-10,12.657920837402344
2010-05-11,13.319878578186035
2010-05-12,14.127143859863281
2010-05-13,14.175579071044922
2010-05-14,14.078709602355957
2010-05-17,14.611502647399902
2010-05-18,14.143290519714355
2010-05-19,14.240160942077637
2010-05-20,13.788093566894531
2010-05-21,13.545914649963379
2010-05-24,13.626638412475586
2010-05-25,13.626638412475586
2010-05-26,14.159436225891113
2010-05-27,14.530776977539062
2010-05-28,14.514630317687988
2010-06-01,13.901108741760254
2010-06-02,13.901108741760254
2010-06-03,14.304742813110352
2010-06-04,13.933401107788086
2010-06-07,13.368315696716309
2010-06-08,13.38446044921875
2010-06-09,13.38446044921875
2010-06-10,13.820384979248047
2010-06-11,13.965690612792969
2010-06-14,14.353178024291992
2010-06-15,14.772954940795898
2010-06-16,14.659939765930176
2010-06-17,14.75681209564209
2010-06-18,14.708374977111816
2010-06-21,14.450051307678223
2010-06-22,14.159436225891113
2010-06-23,14.337034225463867
2010-06-24,13.901108741760254
2010-06-25,13.594348907470703
2010-06-28,13.707366943359375
2010-06-29,13.352170944213867
2010-06-30,13.223006248474121
2010-07-01,13.610495567321777
2010-07-02,13.400605201721191
2010-07-06,13.449041366577148
2010-07-07,13.965690612792969
2010-07-08,14.54692268371582
2010-07-09,14.869828224182129
2010-07-12,14.885973930358887
2010-07-13,15.32189655303955
2010-07-14,15.241169929504395
2010-07-15,15.0474271774292
2010-07-16,14.256305694580078
2010-07-19,14.207871437072754
2010-07-20,14.611502647399902
2010-07-21,14.272452354431152
2010-07-22,14.498485565185547
2010-07-23,14.75681209564209
2010-07-26,14.982845306396484
2010-07-27,14.676085472106934
2010-07-28,14.224016189575195
2010-07-29,14.320887565612793
2010-07-30,14.450051307678223
2010-08-02,14.72452163696289
2010-08-03,14.207871437072754
2010-08-04,14.19172477722168
2010-08-05,15.257315635681152
2010-08-06,14.708374977111816
2010-08-09,14.514630317687988
2010-08-10,13.658929824829102
2010-08-11,13.723512649536133
2010-08-12,14.207871437072754
2010-08-13,14.143290519714355
2010-08-16,14.385469436645508
2010-08-17,14.62765121459961
2010-08-18,14.62765121459961
2010-08-19,14.337034225463867
2010-08-20,14.498485565185547
2010-08-23,14.36932373046875
2010-08-24,14.36932373046875
2010-08-25,14.659939765930176
2010-08-26,14.482340812683105
2010-08-27,14.595356941223145
2010-08-30,14.36932373046875
2010-08-31,14.433904647827148
2010-09-01,14.885973930358887
2010-09-02,15.128153800964355
2010-09-03,15.386478424072266
2010-09-07,15.289606094360352
2010-09-08,15.451057434082031
2010-09-09,15.75782299041748
2010-09-10,15.725526809692383
2010-09-13,15.919275283813477
2010-09-14,15.773968696594238
2010-09-15,15.709383964538574
2010-09-16,15.386478424072266
2010-09-17,15.27346134185791
2010-09-20,15.967710494995117
2010-09-21,15.919275283813477
2010-09-22,16.38748550415039
2010-09-23,16.032289505004883
2010-09-24,16.322904586791992
2010-09-27,16.791120529174805
2010-09-28,16.71039581298828
