Date,DHI
2010-01-04,9.436692237854004
2010-01-05,9.774925231933594
2010-01-06,9.859482765197754
2010-01-07,10.375287055969238
2010-01-08,10.290732383728027
2010-01-11,10.349922180175781
2010-01-12,10.32455062866211
2010-01-13,10.502124786376953
2010-01-14,10.358375549316406
2010-01-15,10.265361785888672
2010-01-19,10.426021575927734
2010-01-20,10.25690746307373
2010-01-21,9.766469955444336
2010-01-22,9.47050952911377
2010-01-25,9.614262580871582
2010-01-26,9.546618461608887
2010-01-27,9.867936134338379
2010-01-28,9.969405174255371
2010-01-29,9.969405174255371
2010-02-01,10.070878028869629
2010-02-02,11.170132637023926
2010-02-03,11.203954696655273
2010-02-04,11.170132637023926
2010-02-05,10.713520050048828
2010-02-08,10.924915313720703
2010-02-09,10.9756498336792
2010-02-10,10.86572265625
2010-02-11,11.126932144165039
2010-02-12,11.084532737731934
2010-02-16,11.211745262145996
2010-02-17,11.126932144165039
2010-02-18,10.838582992553711
2010-02-19,10.982762336730957
2010-02-22,10.957318305969238
2010-02-23,10.660486221313477
2010-02-24,10.465420722961426
2010-02-25,10.473908424377441
2010-02-26,10.48238754272461
2010-03-01,10.65200424194336
2010-03-02,10.575675010681152
2010-03-03,10.660486221313477
2010-03-04,10.592639923095703
2010-03-05,10.914911270141602
2010-03-08,10.991239547729492
2010-03-09,11.101491928100586
2010-03-10,11.03364372253418
2010-03-11,10.991239547729492
2010-03-12,11.025168418884277
2010-03-15,10.889470100402832
2010-03-16,11.050609588623047
2010-03-17,10.931879043579102
2010-03-18,10.82162094116211
2010-03-19,10.609602928161621
2010-03-22,10.813139915466309
2010-03-23,10.82162094116211
2010-03-24,10.897951126098633
2010-03-25,10.999723434448242
2010-03-26,11.135416984558105
2010-03-29,11.050609588623047
2010-03-30,10.855550765991211
2010-03-31,10.685928344726562
2010-04-01,10.609602928161621
2010-04-05,10.677448272705078
2010-04-06,10.618084907531738
2010-04-07,10.117711067199707
2010-04-08,10.185554504394531
2010-04-09,10.295808792114258
2010-04-12,10.20251750946045
2010-04-13,10.329732894897461
2010-04-14,10.7283353805542
2010-04-15,10.685928344726562
2010-04-16,10.49086856842041
2010-04-19,10.465420722961426
2010-04-20,10.82162094116211
2010-04-21,11.008206367492676
2010-04-22,11.610346794128418
2010-04-23,12.017430305480957
2010-04-26,11.771482467651367
2010-04-27,11.372880935668945
2010-04-28,11.550983428955078
2010-04-29,12.076796531677246
2010-04-30,12.45843505859375
2010-05-03,12.695899963378906
2010-05-04,12.407551765441895
2010-05-05,11.991985321044922
2010-05-06,11.576423645019531
2010-05-07,11.0760498046875
2010-05-10,11.822370529174805
2010-05-11,11.73755931854248
2010-05-12,11.939955711364746
2010-05-13,11.446712493896484
2010-05-14,11.149066925048828
2010-05-17,11.31064224243164
2010-05-18,11.072528839111328
2010-05-19,10.774880409240723
2010-05-20,10.324153900146484
2010-05-21,10.426206588745117
2010-05-24,10.256123542785645
2010-05-25,10.290139198303223
2010-05-26,10.21359920501709
2010-05-27,10.494236946105957
2010-05-28,10.366674423217773
2010-06-01,10.009498596191406
2010-06-02,10.315651893615723
2010-06-03,10.0180025100708
2010-06-04,9.643813133239746
2010-06-07,9.261124610900879
2010-06-08,9.21860408782959
2010-06-09,8.963475227355957
2010-06-10,9.609798431396484
2010-06-11,9.575783729553223
2010-06-14,9.414202690124512
2010-06-15,9.686335563659668
2010-06-16,9.5587739944458
2010-06-17,9.3036470413208
2010-06-18,9.142064094543457
2010-06-21,8.963475227355957
2010-06-22,8.691340446472168
2010-06-23,8.903945922851562
2010-06-24,8.997491836547852
2010-06-25,8.903945922851562
2010-06-28,8.810400009155273
2010-06-29,8.470230102539062
2010-06-30,8.359675407409668
2010-07-01,8.37668514251709
2010-07-02,8.257623672485352
2010-07-06,8.325655937194824
2010-07-07,8.674333572387695
2010-07-08,8.334162712097168
2010-07-09,8.7168550491333
2010-07-12,8.589285850524902
2010-07-13,8.869930267333984
2010-07-14,8.793392181396484
2010-07-15,9.031509399414062
2010-07-16,8.589285850524902
2010-07-19,8.478732109069824
2010-07-20,8.835912704467773
2010-07-21,8.674333572387695
2010-07-22,8.971978187561035
2010-07-23,9.2271089553833
2010-07-26,9.49924373626709
2010-07-27,9.422703742980957
2010-07-28,9.048519134521484
2010-07-29,9.252618789672852
2010-07-30,9.37168025970459
2010-08-02,9.567277908325195
2010-08-03,9.01450252532959
2010-08-04,8.912450790405273
2010-08-05,8.861421585083008
2010-08-06,9.01450252532959
2010-08-09,9.405694961547852
2010-08-10,9.210098266601562
2010-08-11,8.963475227355957
2010-08-12,8.714254379272461
2010-08-13,8.739856719970703
2010-08-16,8.688650131225586
2010-08-17,8.936163902282715
2010-08-18,9.064188003540039
2010-08-19,8.902026176452637
2010-08-20,8.765460014343262
2010-08-23,8.517945289611816
2010-08-24,8.509411811828613
2010-08-25,8.902026176452637
2010-08-26,8.680113792419434
2010-08-27,8.936163902282715
2010-08-30,8.782533645629883
2010-08-31,8.756927490234375
2010-09-01,9.140998840332031
2010-09-02,9.371450424194336
2010-09-03,9.567753791809082
2010-09-07,9.345844268798828
2010-09-08,9.32024097442627
2010-09-09,9.371450424194336
2010-09-10,9.439726829528809
2010-09-13,9.576289176940918
2010-09-14,9.465336799621582
2010-09-15,9.371450424194336
2010-09-16,9.047121047973633
2010-09-17,9.055656433105469
2010-09-20,9.431199073791504
2010-09-21,9.371450424194336
2010-09-22,9.294632911682129
2010-09-23,9.064188003540039
2010-09-24,9.32024097442627
2010-09-27,9.422659873962402
2010-09-28,9.610431671142578
