Date,LEN
2010-01-04,10.909307479858398
2010-01-05,11.362114906311035
2010-01-06,11.487895011901855
2010-01-07,12.963709831237793
2010-01-08,13.374589920043945
2010-01-11,13.634535789489746
2010-01-12,13.52552604675293
2010-01-13,13.626153945922852
2010-01-14,13.710001945495605
2010-01-15,13.382973670959473
2010-01-19,13.592609405517578
2010-01-20,13.198501586914062
2010-01-21,12.837930679321289
2010-01-22,12.425973892211914
2010-01-25,12.358713150024414
2010-01-26,12.241012573242188
2010-01-27,12.703415870666504
2010-01-28,12.938813209533691
2010-01-29,12.913594245910645
2010-02-01,12.879963874816895
2010-02-02,13.9140625
2010-02-03,13.67025375366211
2010-02-04,12.89677906036377
2010-02-05,12.367119789123535
2010-02-08,12.938813209533691
2010-02-09,13.115367889404297
2010-02-10,13.123775482177734
2010-02-11,14.283981323242188
2010-02-12,14.258758544921875
2010-02-16,14.578232765197754
2010-02-17,14.578232765197754
2010-02-18,14.326021194458008
2010-02-19,14.553023338317871
2010-02-22,14.43531322479248
2010-02-23,13.687065124511719
2010-02-24,13.678659439086914
2010-02-25,13.678659439086914
2010-02-26,13.796359062194824
2010-03-01,13.989727973937988
2010-03-02,13.956097602844238
2010-03-03,14.11583423614502
2010-03-04,13.9140625
2010-03-05,14.300797462463379
2010-03-08,14.46053695678711
2010-03-09,14.536200523376465
2010-03-10,14.233534812927246
2010-03-11,13.989727973937988
2010-03-12,13.729098320007324
2010-03-15,13.52733039855957
2010-03-16,14.073796272277832
2010-03-17,13.989727973937988
2010-03-18,13.905652046203613
2010-03-19,13.544136047363281
2010-03-22,13.703879356384277
2010-03-23,14.342833518981934
2010-03-24,14.872490882873535
2010-03-25,15.175149917602539
2010-03-26,15.385342597961426
2010-03-29,15.334898948669434
2010-03-30,15.175149917602539
2010-03-31,14.468941688537598
2010-04-01,14.401684761047363
2010-04-05,14.76319694519043
2010-04-06,14.536200523376465
2010-04-07,14.250350952148438
2010-04-08,14.510982513427734
2010-04-09,14.729569435119629
2010-04-12,14.43531322479248
2010-04-13,14.527793884277344
2010-04-14,15.368522644042969
2010-04-15,14.956562995910645
2010-04-16,14.418497085571289
2010-04-19,14.494166374206543
2010-04-20,15.10789966583252
2010-04-21,15.570287704467773
2010-04-22,16.59598159790039
2010-04-23,17.26015853881836
2010-04-26,16.898651123046875
2010-04-27,15.9234037399292
2010-04-28,16.26810073852539
2010-04-29,17.251758575439453
2010-04-30,16.747318267822266
2010-05-03,17.446523666381836
2010-05-04,16.865251541137695
2010-05-05,16.267133712768555
2010-05-06,15.542655944824219
2010-05-07,14.733938217163086
2010-05-10,16.646228790283203
2010-05-11,16.39349937438965
2010-05-12,16.39349937438965
2010-05-13,15.79538345336914
2010-05-14,15.508956909179688
2010-05-17,15.517378807067871
2010-05-18,15.298347473144531
2010-05-19,15.289934158325195
2010-05-20,14.691813468933105
2010-05-21,14.717081069946289
2010-05-24,14.573874473571777
2010-05-25,14.45592975616455
2010-05-26,14.531753540039062
2010-05-27,14.801323890686035
2010-05-28,14.573874473571777
2010-06-01,13.75672435760498
2010-06-02,13.942059516906738
2010-06-03,13.714605331420898
2010-06-04,13.032240867614746
2010-06-07,12.434123039245605
2010-06-08,12.425703048706055
2010-06-09,12.156126022338867
2010-06-10,13.124910354614258
2010-06-11,13.099637985229492
2010-06-14,12.846912384033203
2010-06-15,13.276546478271484
2010-06-16,13.099637985229492
2010-06-17,12.889032363891602
2010-06-18,12.417275428771973
2010-06-21,12.274062156677246
2010-06-22,11.962366104125977
2010-06-23,12.417275428771973
2010-06-24,12.274062156677246
2010-06-25,12.366731643676758
2010-06-28,12.105578422546387
2010-06-29,11.768613815307617
2010-06-30,11.718071937561035
2010-07-01,11.869704246520996
2010-07-02,11.499038696289062
2010-07-06,11.44849681854248
2010-07-07,12.02133846282959
2010-07-08,11.94552230834961
2010-07-09,12.274062156677246
2010-07-12,12.425703048706055
2010-07-13,12.838486671447754
2010-07-14,12.290911674499512
2010-07-15,12.535212516784668
2010-07-16,11.836007118225098
2010-07-19,11.67548942565918
2010-07-20,12.410489082336426
2010-07-21,12.089455604553223
2010-07-22,12.469623565673828
2010-07-23,12.61324691772461
2010-07-26,13.027210235595703
2010-07-27,12.689277648925781
2010-07-28,12.258418083190918
2010-07-29,12.427383422851562
2010-07-30,12.47807502746582
2010-08-02,12.824456214904785
2010-08-03,12.351347923278809
2010-08-04,12.207728385925293
2010-08-05,12.258418083190918
2010-08-06,12.157038688659668
2010-08-09,12.503416061401367
2010-08-10,11.844453811645508
2010-08-11,11.514973640441895
2010-08-12,11.32911491394043
2010-08-13,11.261524200439453
2010-08-16,11.101008415222168
2010-08-17,11.219283103942871
2010-08-18,11.3882474899292
2010-08-19,10.889798164367676
2010-08-20,10.788422584533691
2010-08-23,10.74618148803711
2010-08-24,10.898252487182617
2010-08-25,11.278421401977539
2010-08-26,11.0418701171875
2010-08-27,11.37979793548584
2010-08-30,11.092557907104492
2010-08-31,11.109455108642578
2010-09-01,11.607901573181152
2010-09-02,11.810663223266602
2010-09-03,12.207728385925293
2010-09-07,11.945832252502441
2010-09-08,12.199281692504883
2010-09-09,12.292211532592773
2010-09-10,12.275318145751953
2010-09-13,12.621694564819336
2010-09-14,12.452728271484375
2010-09-15,12.241522789001465
2010-09-16,11.903592109680176
2010-09-17,11.819110870361328
2010-09-20,12.79065990447998
2010-09-21,12.849796295166016
2010-09-22,12.520312309265137
2010-09-23,12.410489082336426
2010-09-24,12.866695404052734
2010-09-27,13.010311126708984
2010-09-28,13.187726974487305
