Date,SPG
2010-01-04,38.19203567504883
2010-01-05,37.930721282958984
2010-01-06,37.504852294921875
2010-01-07,37.993614196777344
2010-01-08,37.08383560180664
2010-01-11,37.11772155761719
2010-01-12,36.386966705322266
2010-01-13,36.7547492980957
2010-01-14,36.91929626464844
2010-01-15,36.24180221557617
2010-01-19,37.09835433959961
2010-01-20,36.236961364746094
2010-01-21,35.09002685546875
2010-01-22,34.1608772277832
2010-01-25,34.891605377197266
2010-01-26,34.75127029418945
2010-01-27,35.03679275512695
2010-01-28,34.88193893432617
2010-01-29,34.843223571777344
2010-02-01,35.602996826171875
2010-02-02,36.038536071777344
2010-02-03,35.230369567871094
2010-02-04,33.609195709228516
2010-02-05,35.50135803222656
2010-02-08,34.223793029785156
2010-02-09,34.1608772277832
2010-02-10,34.006019592285156
2010-02-11,34.786964416503906
2010-02-12,35.14330291748047
2010-02-16,36.51974868774414
2010-02-17,37.022491455078125
2010-02-18,37.691184997558594
2010-02-19,37.93525695800781
2010-02-22,38.384273529052734
2010-02-23,38.02798080444336
2010-02-24,37.842498779296875
2010-02-25,38.32081604003906
2010-02-26,38.21343994140625
2010-03-01,38.26713562011719
2010-03-02,38.0767936706543
2010-03-03,37.80832290649414
2010-03-04,37.88154220581055
2010-03-05,38.76987075805664
2010-03-08,38.94560241699219
2010-03-09,39.448360443115234
2010-03-10,39.42394256591797
2010-03-11,39.506919860839844
2010-03-12,40.063358306884766
2010-03-15,39.96574783325195
2010-03-16,41.08837127685547
2010-03-17,41.805870056152344
2010-03-18,41.273841857910156
2010-03-19,40.775978088378906
2010-03-22,41.473968505859375
2010-03-23,41.21040725708008
2010-03-24,41.24943161010742
2010-03-25,41.74729537963867
2010-03-26,41.49349594116211
2010-03-29,41.561824798583984
2010-03-30,41.56670379638672
2010-03-31,40.951690673828125
2010-04-01,41.22991943359375
2010-04-05,42.0450553894043
2010-04-06,42.81135940551758
2010-04-07,41.25921630859375
2010-04-08,41.35681915283203
2010-04-09,42.020652770996094
2010-04-12,41.50325393676758
2010-04-13,43.040775299072266
2010-04-14,42.92850875854492
2010-04-15,41.50325393676758
2010-04-16,40.156089782714844
2010-04-19,40.46360778808594
2010-04-20,41.32267761230469
2010-04-21,42.45993423461914
2010-04-22,43.143272399902344
2010-04-23,43.71435546875
2010-04-26,44.21708297729492
2010-04-27,42.699092864990234
2010-04-28,42.77231979370117
2010-04-29,45.11030197143555
2010-04-30,43.450782775878906
2010-05-03,45.286048889160156
2010-05-04,43.97304916381836
2010-05-05,43.18721008300781
2010-05-06,41.43003845214844
2010-05-07,41.82051086425781
2010-05-10,44.09019470214844
2010-05-11,44.23173904418945
2010-05-12,44.86559295654297
2010-05-13,44.06958770751953
2010-05-14,42.60044860839844
2010-05-17,42.59553146362305
2010-05-18,41.357322692871094
2010-05-19,40.9249153137207
2010-05-20,39.84394836425781
2010-05-21,41.29343795776367
2010-05-24,40.16823196411133
2010-05-25,40.61537551879883
2010-05-26,40.281246185302734
