Date,JKHY
2010-01-04,19.543615341186523
2010-01-05,19.232236862182617
2010-01-06,19.1994571685791
2010-01-07,19.18306541442871
2010-01-08,19.010984420776367
2010-01-11,18.86348533630371
2010-01-12,18.781551361083984
2010-01-13,19.05196189880371
2010-01-14,19.1994571685791
2010-01-15,19.010984420776367
2010-01-19,19.273208618164062
2010-01-20,18.986400604248047
2010-01-21,18.75695037841797
2010-01-22,18.38821029663086
2010-01-25,18.339046478271484
2010-01-26,18.166967391967773
2010-01-27,18.24071502685547
2010-01-28,17.904747009277344
2010-01-29,17.994871139526367
2010-02-01,18.4373779296875
2010-02-02,18.65042495727539
2010-02-03,18.52751922607422
2010-02-04,18.068632125854492
2010-02-05,17.822795867919922
2010-02-08,17.568775177001953
2010-02-09,17.601545333862305
2010-02-10,17.462242126464844
2010-02-11,17.691688537597656
2010-02-12,17.68349838256836
2010-02-16,18.183353424072266
2010-02-17,18.453765869140625
2010-02-18,18.60945701599121
2010-02-19,18.576683044433594
2010-02-22,18.597253799438477
2010-02-23,18.47381591796875
2010-02-24,18.654857635498047
2010-02-25,18.580801010131836
2010-02-26,18.580801010131836
2010-03-01,18.959320068359375
2010-03-02,19.09098243713379
2010-03-03,19.033384323120117
2010-03-04,19.272018432617188
2010-03-05,19.50242805480957
2010-03-08,19.411914825439453
2010-03-09,19.378995895385742
2010-03-10,19.395456314086914
2010-03-11,19.477746963500977
2010-03-12,19.60940170288086
2010-03-15,19.708154678344727
2010-03-16,20.20188331604004
2010-03-17,20.374691009521484
2010-03-18,20.2265682220459
2010-03-19,20.15251922607422
2010-03-22,20.341773986816406
2010-03-23,20.40760040283203
2010-03-24,19.99616050720215
2010-03-25,19.946792602539062
2010-03-26,19.897418975830078
2010-03-29,19.98793601989746
2010-03-30,19.92210578918457
2010-03-31,19.798667907714844
2010-04-01,20.03730583190918
2010-04-05,20.358230590820312
2010-04-06,20.358230590820312
2010-04-07,20.1854305267334
2010-04-08,20.160747528076172
2010-04-09,20.33354377746582
2010-04-12,20.28416633605957
2010-04-13,20.2265682220459
2010-04-14,20.40760040283203
2010-04-15,20.580415725708008
2010-04-16,20.531036376953125
2010-04-19,20.341773986816406
2010-04-20,20.679155349731445
2010-04-21,20.744991302490234
2010-04-22,20.827281951904297
2010-04-23,20.967172622680664
2010-04-26,21.057687759399414
2010-04-27,20.983627319335938
2010-04-28,21.07414436340332
2010-04-29,21.222265243530273
2010-04-30,21.00008773803711
2010-05-03,21.419755935668945
2010-05-04,20.95070457458496
2010-05-05,20.827281951904297
2010-05-06,20.991857528686523
2010-05-07,20.12782096862793
2010-05-10,20.70384979248047
2010-05-11,20.57218360900879
2010-05-12,21.00008773803711
2010-05-13,20.896835327148438
2010-05-14,20.70686912536621
2010-05-17,20.723392486572266
2010-05-18,20.43430519104004
2010-05-19,20.376483917236328
2010-05-20,19.36880874633789
2010-05-21,19.509220123291016
2010-05-24,19.24492073059082
2010-05-25,19.228395462036133
2010-05-26,19.459667205810547
2010-05-27,20.013065338134766
2010-05-28,19.856124877929688
2010-06-01,19.45140266418457
2010-06-02,19.93046760559082
2010-06-03,20.046100616455078
2010-06-04,19.26143455505371
2010-06-07,18.947572708129883
2010-06-08,19.005388259887695
2010-06-09,19.046682357788086
2010-06-10,19.583559036254883
2010-06-11,19.87264633178711
2010-06-14,20.08740234375
2010-06-15,20.624267578125
2010-06-16,20.632535934448242
2010-06-17,20.78946304321289
2010-06-18,20.88032341003418
2010-06-21,20.475601196289062
2010-06-22,20.368221282958984
2010-06-23,20.252582550048828
2010-06-24,20.136953353881836
2010-06-25,20.426044464111328
2010-06-28,20.739910125732422
2010-06-29,20.02957534790039
2010-06-30,19.723974227905273
2010-07-01,19.467926025390625
2010-07-02,19.443145751953125
2010-07-06,19.393590927124023
2010-07-07,19.955244064331055
2010-07-08,20.1121768951416
2010-07-09,20.15346908569336
2010-07-12,20.252582550048828
2010-07-13,20.698612213134766
2010-07-14,20.657316207885742
2010-07-15,20.54168128967285
2010-07-16,19.847867965698242
2010-07-19,20.05436134338379
2010-07-20,20.49211883544922
2010-07-21,20.178253173828125
2010-07-22,20.88032341003418
2010-07-23,21.235483169555664
2010-07-26,21.51630401611328
2010-07-27,21.392414093017578
2010-07-28,20.94639778137207
2010-07-29,20.97117805480957
2010-07-30,20.97943878173828
2010-08-02,21.19417953491211
2010-08-03,21.243751525878906
2010-08-04,21.466754913330078
2010-08-05,21.25200080871582
2010-08-06,21.21896743774414
2010-08-09,21.334596633911133
2010-08-10,20.99595832824707
2010-08-11,20.335182189941406
2010-08-12,20.013065338134766
2010-08-13,19.971771240234375
2010-08-16,19.889162063598633
2010-08-17,20.21129035949707
2010-08-18,20.343446731567383
2010-08-19,19.90568733215332
2010-08-20,19.8643856048584
2010-08-23,19.723974227905273
2010-08-24,19.542259216308594
2010-08-25,19.814830780029297
2010-08-26,19.65789222717285
2010-08-27,20.128700256347656
2010-08-30,19.641374588012695
2010-08-31,19.434890747070312
2010-09-01,20.08740234375
2010-09-02,20.083251953125
2010-09-03,20.431514739990234
2010-09-07,20.041793823242188
2010-09-08,20.182756423950195
2010-09-09,20.20763397216797
2010-09-10,20.298839569091797
2010-09-13,20.887575149536133
2010-09-14,20.779781341552734
2010-09-15,20.978784561157227
2010-09-16,21.03683090209961
2010-09-17,21.144624710083008
2010-09-20,21.600683212280273
2010-09-21,21.459714889526367
2010-09-22,21.260711669921875
2010-09-23,20.978784561157227
2010-09-24,21.443147659301758
2010-09-27,21.003662109375
2010-09-28,21.13633918762207
