Date,DRI
2010-01-04,19.009614944458008
2010-01-05,18.928144454956055
2010-01-06,18.81325912475586
2010-01-07,18.988319396972656
2010-01-08,18.671030044555664
2010-01-11,18.621795654296875
2010-01-12,18.53426742553711
2010-01-13,18.66008949279785
2010-01-14,19.568208694458008
2010-01-15,19.31108283996582
2010-01-19,19.606496810913086
2010-01-20,19.98396873474121
2010-01-21,19.994911193847656
2010-01-22,19.781553268432617
2010-01-25,19.69948959350586
2010-01-26,19.956613540649414
2010-01-27,20.033206939697266
2010-01-28,20.487255096435547
2010-01-29,20.219202041625977
2010-02-01,20.70608139038086
2010-02-02,20.946786880493164
2010-02-03,20.799081802368164
2010-02-04,20.459917068481445
2010-02-05,20.5638427734375
2010-02-08,20.531023025512695
2010-02-09,21.01243782043457
2010-02-10,20.815492630004883
2010-02-11,21.20389747619629
2010-02-12,21.32972526550293
2010-02-16,22.10654640197754
2010-02-17,22.205018997192383
2010-02-18,22.166717529296875
2010-02-19,22.4566593170166
2010-02-22,22.4566593170166
2010-02-23,22.221424102783203
2010-02-24,22.42384147644043
2010-02-25,22.062782287597656
2010-02-26,22.183134078979492
2010-03-01,22.511363983154297
2010-03-02,22.161251068115234
2010-03-03,22.205018997192383
2010-03-04,22.128427505493164
2010-03-05,22.418365478515625
2010-03-08,22.97089958190918
2010-03-09,22.992769241333008
2010-03-10,23.113130569458008
2010-03-11,23.129545211791992
2010-03-12,22.98731231689453
2010-03-15,23.217060089111328
2010-03-16,23.304594039916992
2010-03-17,23.791481018066406
2010-03-18,23.791481018066406
2010-03-19,23.87901496887207
2010-03-22,24.1415958404541
2010-03-23,24.021244049072266
2010-03-24,24.568294525146484
2010-03-25,24.447946548461914
2010-03-26,24.229122161865234
2010-03-29,24.601123809814453
2010-03-30,24.508115768432617
2010-03-31,24.36589241027832
2010-04-01,24.344003677368164
2010-04-05,24.89653205871582
2010-04-06,24.759761810302734
2010-04-07,25.518903732299805
2010-04-08,25.513404846191406
2010-04-09,25.744441986083984
2010-04-12,25.793943405151367
2010-04-13,25.854455947875977
2010-04-14,26.057992935180664
2010-04-15,25.810449600219727
2010-04-16,25.77744483947754
2010-04-19,25.969970703125
2010-04-20,25.920475006103516
2010-04-21,26.074495315551758
2010-04-22,26.767610549926758
2010-04-23,26.778614044189453
2010-04-26,26.410045623779297
2010-04-27,25.85995864868164
2010-04-28,25.183340072631836
2010-04-29,25.359365463256836
2010-04-30,24.616744995117188
2010-05-03,25.007307052612305
2010-05-04,24.116161346435547
2010-05-05,24.02264404296875
2010-05-06,23.593576431274414
2010-05-07,23.439542770385742
2010-05-10,24.413209915161133
2010-05-11,24.605737686157227
2010-05-12,24.82027816772461
2010-05-13,24.314180374145508
2010-05-14,23.912616729736328
2010-05-17,24.187665939331055
2010-05-18,24.055646896362305
2010-05-19,23.978628158569336
2010-05-20,23.065471649169922
2010-05-21,22.883947372436523
2010-05-24,22.73541831970215
2010-05-25,22.905946731567383
2010-05-26,23.13698387145996
2010-05-27,24.0611515045166
2010-05-28,23.59906768798828
2010-06-01,23.714588165283203
2010-06-02,24.264677047729492
2010-06-03,24.099655151367188
2010-06-04,23.25251007080078
2010-06-07,22.636398315429688
2010-06-08,22.795927047729492
2010-06-09,23.026968002319336
2010-06-10,23.5440616607666
2010-06-11,23.81360626220703
2010-06-14,24.09415054321289
2010-06-15,24.35269546508789
2010-06-16,24.567241668701172
2010-06-17,24.50122833251953
2010-06-18,24.468215942382812
2010-06-21,23.610074996948242
2010-06-22,23.318525314331055
2010-06-23,23.04895782470703
2010-06-24,21.70673942565918
2010-06-25,21.453699111938477
2010-06-28,21.822267532348633
2010-06-29,21.442699432373047
2010-06-30,21.371183395385742
2010-07-01,21.56922149658203
2010-07-02,21.167648315429688
2010-07-06,20.68906593322754
2010-07-07,21.243885040283203
2010-07-08,21.35484504699707
2010-07-09,21.876373291015625
2010-07-12,22.015079498291016
2010-07-13,22.858386993408203
2010-07-14,22.66975212097168
2010-07-15,22.80846405029297
2010-07-16,22.059463500976562
2010-07-19,22.031726837158203
2010-07-20,22.647565841674805
2010-07-21,22.569887161254883
2010-07-22,23.618497848510742
2010-07-23,23.618497848510742
2010-07-26,24.117816925048828
2010-07-27,23.956928253173828
2010-07-28,23.624046325683594
2010-07-29,23.285600662231445
2010-07-30,23.2412109375
2010-08-02,23.46869659423828
2010-08-03,23.40211296081543
2010-08-04,23.4742431640625
2010-08-05,23.374372482299805
2010-08-06,23.20237922668457
2010-08-09,23.651782989501953
2010-08-10,23.435401916503906
2010-08-11,22.375707626342773
2010-08-12,22.447830200195312
2010-08-13,21.998430252075195
2010-08-16,22.309133529663086
2010-08-17,22.730785369873047
2010-08-18,23.058128356933594
2010-08-19,22.780712127685547
2010-08-20,22.897233963012695
2010-08-23,22.869491577148438
2010-08-24,22.42009162902832
2010-08-25,22.658662796020508
2010-08-26,23.024843215942383
2010-08-27,23.574113845825195
2010-08-30,22.958253860473633
2010-08-31,22.891687393188477
2010-09-01,23.70171356201172
2010-09-02,24.533933639526367
2010-09-03,24.722564697265625
2010-09-07,24.622709274291992
2010-09-08,24.61716079711914
2010-09-09,24.35085105895996
2010-09-10,24.827987670898438
2010-09-13,25.255205154418945
2010-09-14,25.310670852661133
2010-09-15,25.33841896057129
2010-09-16,24.966691970825195
2010-09-17,24.816890716552734
2010-09-20,24.983335494995117
2010-09-21,24.4229679107666
2010-09-22,24.09563636779785
2010-09-23,23.906997680664062
2010-09-24,24.19549560546875
2010-09-27,24.062349319458008
2010-09-28,24.2010498046875
