Date,GPN
2010-01-04,24.96385383605957
2010-01-05,24.91172981262207
2010-01-06,24.821672439575195
2010-01-07,24.665260314941406
2010-01-08,23.210180282592773
2010-01-11,22.66511344909668
2010-01-12,22.64141845703125
2010-01-13,22.660377502441406
2010-01-14,22.266986846923828
2010-01-15,22.030000686645508
2010-01-19,22.1627140045166
2010-01-20,22.129535675048828
2010-01-21,21.740877151489258
2010-01-22,21.51812171936035
2010-01-25,21.47072410583496
2010-01-26,21.442276000976562
2010-01-27,21.57024383544922
2010-01-28,21.46124267578125
2010-01-29,21.0915470123291
2010-02-01,21.328535079956055
2010-02-02,21.480192184448242
2010-02-03,21.451757431030273
2010-02-04,21.43280601501465
2010-02-05,21.390138626098633
2010-02-08,21.319049835205078
2010-02-09,21.556032180786133
2010-02-10,21.432748794555664
2010-02-11,21.617679595947266
2010-02-12,21.09607696533203
2010-02-16,21.143497467041016
2010-02-17,20.721492767333984
2010-02-18,20.787874221801758
2010-02-19,20.66932487487793
2010-02-22,20.39904022216797
2010-02-23,20.256797790527344
2010-02-24,20.432233810424805
2010-02-25,20.36111068725586
2010-02-26,20.299470901489258
2010-03-01,20.754682540893555
2010-03-02,20.631391525268555
2010-03-03,20.304208755493164
2010-03-04,20.27101707458496
2010-03-05,20.697784423828125
2010-03-08,20.844768524169922
2010-03-09,21.352136611938477
2010-03-10,21.532323837280273
2010-03-11,21.461193084716797
2010-03-12,21.432748794555664
2010-03-15,21.157726287841797
2010-03-16,21.337919235229492
2010-03-17,21.840539932250977
2010-03-18,22.020732879638672
2010-03-19,21.82157325744629
2010-03-22,22.162986755371094
2010-03-23,21.99227523803711
2010-03-24,21.39006996154785
2010-03-25,21.55129051208496
2010-03-26,21.622421264648438
2010-03-29,21.750444412231445
2010-03-30,21.963829040527344
2010-03-31,21.598711013793945
2010-04-01,21.641382217407227
2010-04-05,21.190908432006836
2010-04-06,21.44223403930664
2010-04-07,20.963314056396484
2010-04-08,20.697784423828125
2010-04-09,20.517587661743164
2010-04-12,20.825801849365234
2010-04-13,20.650360107421875
2010-04-14,20.98702049255371
2010-04-15,21.636646270751953
2010-04-16,21.750444412231445
2010-04-19,21.740962982177734
2010-04-20,21.51336097717285
2010-04-21,21.570261001586914
2010-04-22,21.461193084716797
2010-04-23,21.7694149017334
2010-04-26,21.48017120361328
2010-04-27,21.143497467041016
2010-04-28,21.062885284423828
2010-04-29,20.99651336669922
2010-04-30,20.299470901489258
2010-05-03,20.493879318237305
2010-05-04,20.32792091369629
2010-05-05,20.38956642150879
2010-05-06,20.351627349853516
2010-05-07,19.194631576538086
2010-05-10,19.730457305908203
2010-05-11,19.51233673095703
2010-05-12,19.905906677246094
2010-05-13,20.332870483398438
2010-05-14,19.739858627319336
2010-05-17,20.08617401123047
2010-05-18,20.16682243347168
2010-05-19,20.081432342529297
2010-05-20,19.459959030151367
2010-05-21,19.939104080200195
2010-05-24,19.588054656982422
2010-05-25,19.535863876342773
2010-05-26,19.554851531982422
2010-05-27,20.067197799682617
2010-05-28,20.0150146484375
2010-06-01,19.65920639038086
2010-06-02,19.72563362121582
2010-06-03,20.067197799682617
2010-06-04,19.38880157470703
2010-06-07,19.00453758239746
2010-06-08,19.023513793945312
2010-06-09,18.9760799407959
2010-06-10,19.682939529418945
2010-06-11,19.72088623046875
2010-06-14,19.6686954498291
2010-06-15,20.228498458862305
2010-06-16,20.185794830322266
2010-06-17,20.19054412841797
2010-06-18,20.214265823364258
2010-06-21,18.44948387145996
2010-06-22,18.69142723083496
2010-06-23,18.4589786529541
2010-06-24,18.098432540893555
2010-06-25,18.33563804626465
2010-06-28,18.307174682617188
2010-06-29,17.638261795043945
2010-06-30,17.334644317626953
2010-07-01,17.12590789794922
2010-07-02,17.159114837646484
2010-07-06,17.197067260742188
2010-07-07,17.75686264038086
2010-07-08,17.595565795898438
2010-07-09,17.837509155273438
2010-07-12,17.81853675842285
2010-07-13,18.150615692138672
2010-07-14,18.2122859954834
2010-07-15,18.141122817993164
2010-07-16,17.52915382385254
2010-07-19,17.66197967529297
2010-07-20,17.737892150878906
2010-07-21,17.737892150878906
2010-07-22,18.402048110961914
2010-07-23,18.82426643371582
2010-07-26,19.00928497314453
2010-07-27,18.94287109375
2010-07-28,17.339385986328125
2010-07-29,17.742624282836914
2010-07-30,17.899179458618164
2010-08-02,18.278709411621094
2010-08-03,18.164852142333984
2010-08-04,18.136394500732422
2010-08-05,18.098432540893555
2010-08-06,18.307174682617188
2010-08-09,18.568084716796875
2010-08-10,18.406787872314453
2010-08-11,17.98458480834961
2010-08-12,17.790077209472656
2010-08-13,17.652416229248047
2010-08-16,17.728370666503906
2010-08-17,17.90398597717285
2010-08-18,18.032146453857422
2010-08-19,17.84701919555664
2010-08-20,17.98468589782715
2010-08-23,17.780580520629883
2010-08-24,17.75210189819336
2010-08-25,17.889745712280273
2010-08-26,17.932464599609375
2010-08-27,18.203022003173828
2010-08-30,18.003665924072266
2010-08-31,17.861268997192383
2010-09-01,18.41187286376953
2010-09-02,18.540023803710938
2010-09-03,18.748876571655273
2010-09-07,18.440349578857422
2010-09-08,18.52103614807129
2010-09-09,18.782100677490234
2010-09-10,18.933990478515625
2010-09-13,19.247262954711914
2010-09-14,19.185556411743164
2010-09-15,19.289974212646484
2010-09-16,19.403898239135742
2010-09-17,19.356426239013672
2010-09-20,19.61749839782715
2010-09-21,19.422882080078125
2010-09-22,19.33745002746582
2010-09-23,19.161823272705078
2010-09-24,19.660207748413086
2010-09-27,19.897541046142578
2010-09-28,19.930768966674805
