Date,ETN
2010-01-04,21.592302322387695
2010-01-05,21.464736938476562
2010-01-06,21.370738983154297
2010-01-07,21.686302185058594
2010-01-08,22.17306900024414
2010-01-11,23.1868896484375
2010-01-12,22.891460418701172
2010-01-13,23.1264591217041
2010-01-14,23.166738510131836
2010-01-15,22.74376106262207
2010-01-19,23.43194580078125
2010-01-20,22.958606719970703
2010-01-21,22.40469741821289
2010-01-22,22.115995407104492
2010-01-25,21.679582595825195
2010-01-26,21.528512954711914
2010-01-27,21.256595611572266
2010-01-28,20.991397857666016
2010-01-29,20.558351516723633
2010-02-01,21.609088897705078
2010-02-02,21.87093734741211
2010-02-03,21.743364334106445
2010-02-04,20.948331832885742
2010-02-05,20.97539710998535
2010-02-08,20.968631744384766
2010-02-09,21.604660034179688
2010-02-10,21.493017196655273
2010-02-11,21.936206817626953
2010-02-12,21.997100830078125
2010-02-16,22.545162200927734
2010-02-17,22.680492401123047
2010-02-18,22.87333106994629
2010-02-19,22.910552978515625
2010-02-22,22.812437057495117
2010-02-23,22.453824996948242
2010-02-24,22.602680206298828
2010-02-25,22.650049209594727
2010-02-26,23.04587745666504
2010-03-01,23.68189811706543
2010-03-02,23.688663482666016
2010-03-03,24.202896118164062
2010-03-04,24.202896118164062
2010-03-05,24.74420166015625
2010-03-08,24.56151008605957
2010-03-09,24.5006160736084
2010-03-10,24.514144897460938
2010-03-11,24.541217803955078
2010-03-12,25.177244186401367
2010-03-15,25.021621704101562
2010-03-16,25.22798728942871
2010-03-17,25.339637756347656
2010-03-18,25.407291412353516
2010-03-19,25.085899353027344
2010-03-22,25.59674644470215
2010-03-23,25.820037841796875
2010-03-24,25.312562942504883
2010-03-25,25.190763473510742
2010-03-26,25.22798728942871
2010-03-29,25.742233276367188
2010-03-30,25.853870391845703
2010-03-31,25.633956909179688
2010-04-01,25.72869873046875
2010-04-05,26.012876510620117
2010-04-06,26.273380279541016
2010-04-07,26.537260055541992
2010-04-08,26.55417251586914
2010-04-09,27.136079788208008
2010-04-12,27.04134178161621
2010-04-13,26.855270385742188
2010-04-14,27.034584045410156
2010-04-15,27.173288345336914
2010-04-16,26.858661651611328
2010-04-19,26.777467727661133
2010-04-20,26.493284225463867
2010-04-21,26.418851852416992
2010-04-22,26.63199234008789
2010-04-23,26.797767639160156
2010-04-26,26.67258071899414
2010-04-27,26.063629150390625
2010-04-28,26.087303161621094
2010-04-29,26.730093002319336
2010-04-30,26.10422134399414
2010-05-03,26.544036865234375
2010-05-04,25.339637756347656
2010-05-05,25.380226135253906
2010-05-06,24.263111114501953
2010-05-07,23.92593765258789
2010-05-10,25.48240089416504
2010-05-11,25.550518035888672
2010-05-12,26.22488021850586
2010-05-13,25.938793182373047
2010-05-14,25.175884246826172
2010-05-17,25.15203857421875
2010-05-18,24.729721069335938
2010-05-19,23.96681785583496
2010-05-20,23.01998519897461
2010-05-21,23.609203338623047
2010-05-24,23.524059295654297
2010-05-25,23.462751388549805
2010-05-26,23.251590728759766
2010-05-27,24.007675170898438
2010-05-28,23.823768615722656
2010-06-01,23.200504302978516
2010-06-02,24.058761596679688
2010-06-03,24.399356842041016
2010-06-04,22.880353927612305
2010-06-07,22.621511459350586
2010-06-08,22.9791202545166
2010-06-09,22.890567779541016
2010-06-10,24.133695602416992
2010-06-11,24.021299362182617
2010-06-14,24.317611694335938
2010-06-15,25.35638427734375
2010-06-16,25.053272247314453
2010-06-17,25.2712459564209
2010-06-18,25.31211280822754
2010-06-21,25.31211280822754
2010-06-22,24.378925323486328
2010-06-23,24.205217361450195
2010-06-24,23.643259048461914
2010-06-25,23.908910751342773
2010-06-28,23.57855224609375
2010-06-29,22.47505760192871
2010-06-30,22.28774070739746
2010-07-01,21.988021850585938
2010-07-02,21.69512176513672
2010-07-06,21.654253005981445
2010-07-07,22.396726608276367
2010-07-08,22.665790557861328
2010-07-09,22.98933982849121
2010-07-12,22.682815551757812
2010-07-13,23.336729049682617
2010-07-14,23.39803695678711
2010-07-15,23.48318099975586
2010-07-16,22.887174606323242
2010-07-19,22.99274253845215
2010-07-20,23.52064323425293
2010-07-21,24.910236358642578
2010-07-22,25.45856285095215
2010-07-23,26.30320930480957
2010-07-26,26.367916107177734
2010-07-27,26.425813674926758
2010-07-28,26.245319366455078
2010-07-29,26.378135681152344
2010-07-30,26.722129821777344
2010-08-02,27.127426147460938
2010-08-03,27.04227066040039
2010-08-04,27.468008041381836
2010-08-05,27.358219146728516
2010-08-06,27.152387619018555
2010-08-09,27.14211082458496
2010-08-10,27.124950408935547
2010-08-11,26.22616195678711
2010-08-12,25.962011337280273
2010-08-13,25.82135772705078
2010-08-16,25.86939239501953
2010-08-17,26.3325138092041
2010-08-18,25.88654899597168
2010-08-19,25.172996520996094
2010-08-20,25.056354522705078
2010-08-23,24.867685317993164
2010-08-24,24.236478805541992
2010-08-25,24.003192901611328
2010-08-26,24.06838035583496
2010-08-27,24.651561737060547
2010-08-30,24.037508010864258
2010-08-31,23.83510398864746
2010-09-01,25.68071174621582
2010-09-02,26.092369079589844
2010-09-03,26.24330711364746
2010-09-07,25.855669021606445
2010-09-08,26.43541717529297
2010-09-09,26.521194458007812
2010-09-10,26.94998550415039
2010-09-13,27.50918197631836
2010-09-14,27.59149742126465
2010-09-15,27.17984962463379
2010-09-16,27.34794044494629
2010-09-17,27.39253044128418
2010-09-20,27.86594009399414
2010-09-21,28.0752010345459
2010-09-22,27.835065841674805
2010-09-23,27.45427703857422
2010-09-24,28.274169921875
2010-09-27,28.099214553833008
2010-09-28,28.294750213623047
