Date,WRB
2010-01-04,5.307594299316406
2010-01-05,5.288105487823486
2010-01-06,5.298930644989014
2010-01-07,5.320586681365967
2010-01-08,5.316256046295166
2010-01-11,5.327081203460693
2010-01-12,5.348739147186279
2010-01-13,5.44835090637207
2010-01-14,5.4028754234313965
2010-01-15,5.398543357849121
2010-01-19,5.368224143981934
2010-01-20,5.381221294403076
2010-01-21,5.415867328643799
2010-01-22,5.348739147186279
2010-01-25,5.368224143981934
2010-01-26,5.348739147186279
2010-01-27,5.348739147186279
2010-01-28,5.298930644989014
2010-01-29,5.268615245819092
2010-02-01,5.298930644989014
2010-02-02,5.298930644989014
2010-02-03,5.242627143859863
2010-02-04,5.220974922180176
2010-02-05,5.23613166809082
2010-02-08,5.2469611167907715
2010-02-09,5.396378993988037
2010-02-10,5.405041217803955
2010-02-11,5.42236328125
2010-02-12,5.433191776275635
2010-02-16,5.461342811584473
2010-02-17,5.446183681488037
2010-02-18,5.530638217926025
2010-02-19,5.532804012298584
2010-02-22,5.534969329833984
2010-02-23,5.541464805603027
2010-02-24,5.5804443359375
2010-02-25,5.610761642456055
2010-02-26,5.573946475982666
2010-03-01,5.610761642456055
2010-03-02,5.628085613250732
2010-03-03,5.651902675628662
2010-03-04,5.651902675628662
2010-03-05,5.7190351486206055
2010-03-08,5.788329124450684
2010-03-09,5.684388637542725
2010-03-10,5.662732124328613
2010-03-11,5.688717842102051
2010-03-12,5.6497392654418945
2010-03-15,5.6042633056640625
2010-03-16,5.584774971008301
2010-03-17,5.571754455566406
2010-03-18,5.563070297241211
2010-03-19,5.563070297241211
2010-03-22,5.554386138916016
2010-03-23,5.578264236450195
2010-03-24,5.569581031799316
2010-03-25,5.595628261566162
2010-03-26,5.621673583984375
2010-03-29,5.684620380401611
2010-03-30,5.6759352684021
2010-03-31,5.662913799285889
2010-04-01,5.6781086921691895
2010-04-05,5.6694254875183105
2010-04-06,5.686790943145752
2010-04-07,5.712836742401123
2010-04-08,5.667253494262695
2010-04-09,5.665083408355713
2010-04-12,5.710666656494141
2010-04-13,5.704155921936035
2010-04-14,5.869115352630615
2010-04-15,5.888650894165039
2010-04-16,5.860433578491211
2010-04-19,5.888650894165039
2010-04-20,5.923376083374023
2010-04-21,6.02322244644165
2010-04-22,6.044929027557373
2010-04-23,6.057952880859375
2010-04-26,6.042757987976074
2010-04-27,5.825704097747803
2010-04-28,5.914694786071777
2010-04-29,5.929890155792236
2010-04-30,5.860433578491211
2010-05-03,5.929890155792236
2010-05-04,5.879968166351318
2010-05-05,5.869115352630615
2010-05-06,5.79531717300415
2010-05-07,5.743224620819092
2010-05-10,5.93423318862915
2010-05-11,6.021051406860352
2010-05-12,5.947253704071045
2010-05-13,5.897331714630127
2010-05-14,5.860433578491211
2010-05-17,6.027565002441406
2010-05-18,5.901673793792725
2010-05-19,5.90818452835083
2010-05-20,5.738882064819336
2010-05-21,5.723688125610352
2010-05-24,5.69981575012207
2010-05-25,5.764929294586182
2010-05-26,5.730200290679932
2010-05-27,5.938571929931641
2010-05-28,5.916865825653076
2010-06-01,5.8756279945373535
2010-06-02,6.0167107582092285
2010-06-03,6.005857944488525
2010-06-04,5.823533058166504
2010-06-07,5.808339595794678
2010-06-08,5.873457908630371
2010-06-09,5.843069076538086
2010-06-10,5.956231117248535
2010-06-11,6.021515369415283
2010-06-14,5.954054832458496
2010-06-15,6.0955071449279785
2010-06-16,6.019340515136719
2010-06-17,6.019340515136719
2010-06-18,6.069392681121826
2010-06-21,5.986695766448975
2010-06-22,5.980170249938965
2010-06-23,5.930115222930908
2010-06-24,5.860477924346924
2010-06-25,5.973640441894531
2010-06-28,5.923587799072266
2010-06-29,5.766900062561035
2010-06-30,5.7581987380981445
2010-07-01,5.712497711181641
2010-07-02,5.70161771774292
2010-07-06,5.653738975524902
2010-07-07,5.80389404296875
2010-07-08,5.845245838165283
2010-07-09,5.904003620147705
2010-07-12,5.8539509773254395
2010-07-13,5.975816249847412
2010-07-14,5.88877010345459
2010-07-15,5.856124401092529
2010-07-16,5.6994404792785645
2010-07-19,5.7299065589904785
2010-07-20,5.7821364402771
2010-07-21,5.677677154541016
2010-07-22,5.756021976470947
2010-07-23,5.816954135894775
2010-07-26,5.906177997589111
2010-07-27,5.897475242614746
2010-07-28,5.836541175842285
2010-07-29,5.819132328033447
2010-07-30,5.877888202667236
2010-08-02,5.8408918380737305
2010-08-03,5.812601089477539
2010-08-04,5.838715076446533
2010-08-05,5.821306228637695
2010-08-06,5.793017387390137
2010-08-09,5.862654685974121
2010-08-10,5.819132328033447
2010-08-11,5.751668453216553
2010-08-12,5.766900062561035
2010-08-13,5.74949312210083
2010-08-16,5.762549877166748
2010-08-17,5.777783393859863
2010-08-18,5.751668453216553
2010-08-19,5.751668453216553
2010-08-20,5.7429633140563965
2010-08-23,5.734258651733398
2010-08-24,5.697265625
2010-08-25,5.740787029266357
2010-08-26,5.6994404792785645
2010-08-27,5.7429633140563965
2010-08-30,5.688558101654053
2010-08-31,5.734258651733398
2010-09-01,5.738609790802002
2010-09-02,5.734258651733398
2010-09-03,5.79736852645874
2010-09-07,5.721201419830322
2010-09-08,5.753931522369385
2010-09-09,5.777933120727539
2010-09-10,5.75829553604126
2010-09-13,5.817209720611572
2010-09-14,5.893581390380859
2010-09-15,5.935039520263672
2010-09-16,5.902308940887451
2010-09-17,5.9655890464782715
2010-09-20,6.0135908126831055
2010-09-21,5.980859756469727
2010-09-22,5.893581390380859
2010-09-23,5.832484245300293
2010-09-24,5.943766117095947
2010-09-27,5.8564863204956055
