Date,ABT
2010-01-04,18.496673583984375
2010-01-05,18.34722900390625
2010-01-06,18.449121475219727
2010-01-07,18.60195541381836
2010-01-08,18.69705581665039
2010-01-11,18.79215431213379
2010-01-12,18.73781394958496
2010-01-13,18.91571807861328
2010-01-14,18.936250686645508
2010-01-15,18.984140396118164
2010-01-19,19.227039337158203
2010-01-20,19.24073028564453
2010-01-21,19.00809097290039
2010-01-22,18.648862838745117
2010-01-25,18.71385955810547
2010-01-26,18.638601303100586
2010-01-27,18.44016456604004
2010-01-28,18.457275390625
2010-01-29,18.11173439025879
2010-02-01,18.248580932617188
2010-02-02,18.624910354614258
2010-02-03,18.696760177612305
2010-02-04,18.412805557250977
2010-02-05,18.464120864868164
2010-02-08,18.25200653076172
2010-02-09,18.25200653076172
2010-02-10,18.22121810913086
2010-02-11,18.317012786865234
2010-02-12,18.45043182373047
2010-02-16,18.67623519897461
2010-02-17,18.73097038269043
2010-02-18,18.806238174438477
2010-02-19,18.604387283325195
2010-02-22,18.611230850219727
2010-02-23,18.464120864868164
2010-02-24,18.587284088134766
2010-02-25,18.515438079833984
2010-02-26,18.570178985595703
2010-03-01,18.573593139648438
2010-03-02,18.672809600830078
2010-03-03,18.501750946044922
2010-03-04,18.501750946044922
2010-03-05,18.5838565826416
2010-03-08,18.618078231811523
2010-03-09,18.748071670532227
2010-03-10,18.826766967773438
2010-03-11,19.001249313354492
2010-03-12,18.652284622192383
2010-03-15,18.748071670532227
2010-03-16,18.70702362060547
2010-03-17,18.64544105529785
2010-03-18,18.395694732666016
2010-03-19,18.28963851928711
2010-03-22,18.429908752441406
2010-03-23,18.5906982421875
2010-03-24,18.429908752441406
2010-03-25,18.310163497924805
2010-03-26,18.098047256469727
2010-03-29,18.173320770263672
2010-03-30,17.964628219604492
2010-03-31,18.022781372070312
2010-04-01,18.118581771850586
2010-04-05,18.108314514160156
2010-04-06,18.077524185180664
2010-04-07,17.96120262145996
2010-04-08,17.88593864440918
2010-04-09,18.03989601135254
2010-04-12,18.019363403320312
2010-04-13,18.036609649658203
2010-04-14,18.046972274780273
2010-04-15,18.064218521118164
2010-04-16,18.02971839904785
2010-04-19,18.253965377807617
2010-04-20,18.305721282958984
2010-04-21,17.864120483398438
2010-04-22,17.636415481567383
2010-04-23,17.66401481628418
2010-04-26,17.377666473388672
2010-04-27,17.170663833618164
2010-04-28,17.343168258666992
2010-04-29,17.508773803710938
2010-04-30,17.65021324157715
2010-05-03,17.550167083740234
2010-05-04,17.315570831298828
2010-05-05,17.301769256591797
2010-05-06,16.905017852783203
2010-05-07,16.808414459228516
2010-05-10,17.14305877685547
2010-05-11,17.043018341064453
2010-05-12,16.956758499145508
2010-05-13,16.77046012878418
2010-05-14,16.732519149780273
2010-05-17,16.70836639404297
2010-05-18,16.577266693115234
2010-05-19,16.5393123626709
2010-05-20,16.03561019897461
2010-05-21,16.194318771362305
2010-05-24,16.4082088470459
2010-05-25,16.294363021850586
2010-05-26,16.273666381835938
2010-05-27,16.51516342163086
2010-05-28,16.4082088470459
2010-06-01,16.194318771362305
2010-06-02,16.380615234375
2010-06-03,16.46686553955078
2010-06-04,16.052865982055664
2010-06-07,15.949362754821777
2010-06-08,15.976959228515625
2010-06-09,15.821717262268066
2010-06-10,16.284015655517578
2010-06-11,16.284015655517578
2010-06-14,16.32886505126953
2010-06-15,16.618663787841797
2010-06-16,16.832563400268555
2010-06-17,16.777360916137695
2010-06-18,16.82566261291504
2010-06-21,16.663511276245117
2010-06-22,16.556560516357422
2010-06-23,16.4082088470459
2010-06-24,16.37371063232422
2010-06-25,16.280553817749023
2010-06-28,16.277114868164062
2010-06-29,16.094266891479492
2010-06-30,16.13910484313965
2010-07-01,16.028717041015625
2010-07-02,16.028717041015625
2010-07-06,16.108060836791992
2010-07-07,16.459962844848633
2010-07-08,16.594507217407227
2010-07-09,16.570363998413086
2010-07-12,16.497909545898438
2010-07-13,16.59889793395996
2010-07-14,16.66156768798828
2010-07-15,16.72076416015625
2010-07-16,16.38996696472168
2010-07-19,16.50835418701172
2010-07-20,16.52925682067871
2010-07-21,16.950580596923828
2010-07-22,17.06548500061035
2010-07-23,17.037626266479492
2010-07-26,17.145572662353516
2010-07-27,17.156021118164062
2010-07-28,17.138601303100586
2010-07-29,17.055042266845703
2010-07-30,17.08985710144043
2010-08-02,17.35101890563965
2010-08-03,17.41021156311035
2010-08-04,17.47288703918457
2010-08-05,17.40323829650879
2010-08-06,17.608692169189453
2010-08-09,17.716630935668945
2010-08-10,17.922073364257812
2010-08-11,17.546005249023438
2010-08-12,17.546005249023438
2010-08-13,17.431100845336914
2010-08-16,17.528596878051758
2010-08-17,17.65046501159668
2010-08-18,17.490291595458984
2010-08-19,17.173437118530273
2010-08-20,17.180389404296875
2010-08-23,17.333595275878906
2010-08-24,17.22913932800293
2010-08-25,17.347532272338867
2010-08-26,17.236108779907227
2010-08-27,17.3544864654541
2010-08-30,17.232620239257812
2010-08-31,17.180389404296875
2010-09-01,17.504226684570312
2010-09-02,17.62261390686035
2010-09-03,17.667884826660156
2010-09-07,17.58082389831543
2010-09-08,17.566904067993164
2010-09-09,17.789752960205078
2010-09-10,17.946441650390625
2010-09-13,17.91510009765625
2010-09-14,17.901182174682617
2010-09-15,17.988235473632812
2010-09-16,17.97081756591797
2010-09-17,17.981266021728516
2010-09-20,18.1971492767334
2010-09-21,18.158849716186523
2010-09-22,18.103130340576172
2010-09-23,17.967327117919922
2010-09-24,18.085729598999023
2010-09-27,18.141429901123047
2010-09-28,18.238933563232422
