Date,IVZ
2010-01-04,12.946542739868164
2010-01-05,13.018658638000488
2010-01-06,12.746858596801758
2010-01-07,12.785682678222656
2010-01-08,12.713576316833496
2010-01-11,13.107401847839355
2010-01-12,12.918811798095703
2010-01-13,12.96873664855957
2010-01-14,12.75794792175293
2010-01-15,12.597085952758789
2010-01-19,12.774591445922852
2010-01-20,12.430679321289062
2010-01-21,11.898178100585938
2010-01-22,11.554264068603516
2010-01-25,11.742859840393066
2010-01-26,11.276918411254883
2010-01-27,12.031299591064453
2010-01-28,11.210352897644043
2010-01-29,10.705583572387695
2010-02-01,11.121606826782227
2010-02-02,11.226996421813965
2010-02-03,10.85534954071045
2010-02-04,10.311749458312988
2010-02-05,10.306203842163086
2010-02-08,10.161986351013184
2010-02-09,10.322845458984375
2010-02-10,10.400501251220703
2010-02-11,10.267379760742188
2010-02-12,10.228548049926758
2010-02-16,10.616832733154297
2010-02-17,10.627925872802734
2010-02-18,10.810972213745117
2010-02-19,10.896296501159668
2010-02-22,10.940908432006836
2010-02-23,10.623050689697266
2010-02-24,10.901871681213379
2010-02-25,11.013395309448242
2010-02-26,10.9297513961792
2010-03-01,11.197422981262207
2010-03-02,11.336832046508789
2010-03-03,11.431629180908203
2010-03-04,11.660263061523438
2010-03-05,11.91120433807373
2010-03-08,11.755059242248535
2010-03-09,11.147234916687012
2010-03-10,11.136079788208008
2010-03-11,11.10262393951416
2010-03-12,11.359138488769531
2010-03-15,11.325677871704102
2010-03-16,11.537580490112305
2010-03-17,11.939085006713867
2010-03-18,11.805246353149414
2010-03-19,11.4037504196167
2010-03-22,11.520846366882324
2010-03-23,11.58776569366455
2010-03-24,11.470664978027344
2010-03-25,11.487394332885742
2010-03-26,11.749486923217773
2010-03-29,11.97253704071045
2010-03-30,12.106377601623535
2010-03-31,12.217903137207031
2010-04-01,12.318275451660156
2010-04-05,12.351733207702637
2010-04-06,12.63613224029541
2010-04-07,12.396347045898438
2010-04-08,12.307122230529785
2010-04-09,12.546910285949707
2010-04-12,12.329431533813477
2010-04-13,12.379617691040039
2010-04-14,12.63613224029541
2010-04-15,12.647286415100098
2010-04-16,12.156564712524414
2010-04-19,12.307122230529785
2010-04-20,12.563638687133789
2010-04-21,12.290397644042969
2010-04-22,12.284826278686523
2010-04-23,12.368463516235352
2010-04-26,12.033881187438965
2010-04-27,11.559883117675781
2010-04-28,12.050607681274414
2010-04-29,13.193771362304688
2010-04-30,12.820152282714844
2010-05-03,13.048787117004395
2010-05-04,12.552491188049316
2010-05-05,12.011575698852539
2010-05-06,11.637958526611328
2010-05-07,11.214147567749023
2010-05-10,12.00042724609375
2010-05-11,11.816400527954102
2010-05-12,12.17887020111084
2010-05-13,12.167715072631836
2010-05-14,11.610074996948242
2010-05-17,11.431629180908203
2010-05-18,11.069165229797363
2010-05-19,11.124924659729004
2010-05-20,10.418402671813965
2010-05-21,10.74924087524414
2010-05-24,10.362333297729492
2010-05-25,10.429618835449219
2010-05-26,10.323079109191895
2010-05-27,10.66512393951416
2010-05-28,10.407190322875977
2010-06-01,10.171684265136719
2010-06-02,10.569803237915039
2010-06-03,10.496909141540527
2010-06-04,10.003459930419922
2010-06-07,9.605344772338867
2010-06-08,10.009071350097656
2010-06-09,9.896923065185547
2010-06-10,10.356727600097656
2010-06-11,10.59783935546875
2010-06-14,10.609052658081055
2010-06-15,10.962313652038574
2010-06-16,10.917458534240723
2010-06-17,10.73241138458252
2010-06-18,10.771666526794434
2010-06-21,10.822129249572754
2010-06-22,10.569803237915039
2010-06-23,10.496909141540527
2010-06-24,10.03710651397705
2010-06-25,10.362333297729492
2010-06-28,10.334293365478516
2010-06-29,9.689453125
2010-06-30,9.437121391296387
2010-07-01,9.510017395019531
2010-07-02,9.324975967407227
2010-07-06,9.487591743469238
2010-07-07,9.874494552612305
2010-07-08,10.025895118713379
2010-07-09,10.407190322875977
2010-07-12,10.23336124420166
2010-07-13,10.895027160644531
2010-07-14,10.799703598022461
2010-07-15,10.766060829162598
2010-07-16,10.171684265136719
2010-07-19,10.23336124420166
2010-07-20,10.485692024230957
2010-07-21,10.261397361755371
2010-07-22,10.799703598022461
2010-07-23,10.90623950958252
2010-07-26,11.119318008422852
2010-07-27,10.911850929260254
2010-07-28,10.844561576843262
2010-07-29,11.01278018951416
2010-07-30,10.956708908081055
2010-08-02,11.281930923461914
2010-08-03,11.035210609436035
2010-08-04,11.052029609680176
2010-08-05,10.995957374572754
2010-08-06,10.833351135253906
2010-08-09,11.113712310791016
2010-08-10,11.113712310791016
2010-08-11,10.457653999328613
2010-08-12,10.351116180419922
2010-08-13,10.379157066345215
2010-08-16,10.401582717895508
2010-08-17,10.586624145507812
2010-08-18,10.659523963928223
2010-08-19,10.349320411682129
2010-08-20,10.433921813964844
2010-08-23,10.270362854003906
2010-08-24,9.915043830871582
2010-08-25,9.937603950500488
2010-08-26,10.106804847717285
2010-08-27,10.354965209960938
2010-08-30,10.247802734375
2010-08-31,10.230884552001953
2010-09-01,10.715921401977539
2010-09-02,10.87384033203125
2010-09-03,11.138916969299316
2010-09-07,11.003559112548828
2010-09-08,11.200957298278809
2010-09-09,11.330671310424805
2010-09-10,11.330671310424805
2010-09-13,11.635232925415039
2010-09-14,11.595748901367188
2010-09-15,11.764951705932617
2010-09-16,11.849550247192383
2010-09-17,11.832630157470703
2010-09-20,12.182308197021484
2010-09-21,12.148468017578125
2010-09-22,12.148468017578125
2010-09-23,11.702912330627441
2010-09-24,12.3515043258667
2010-09-27,12.199224472045898
2010-09-28,12.221787452697754
