Date,CSX
2010-01-04,4.134274482727051
2010-01-05,4.243428707122803
2010-01-06,4.256968021392822
2010-01-07,4.22735071182251
2010-01-08,4.432117938995361
2010-01-11,4.388116836547852
2010-01-12,4.290811538696289
2010-01-13,4.317042827606201
2010-01-14,4.2772722244262695
2010-01-15,4.234121322631836
2010-01-19,4.27388858795166
2010-01-20,4.006507396697998
2010-01-21,3.838122606277466
2010-01-22,3.733201265335083
2010-01-25,3.80342960357666
2010-01-26,3.833045721054077
2010-01-27,3.8533530235290527
2010-01-28,3.695970296859741
2010-01-29,3.6265857219696045
2010-02-01,3.708662509918213
2010-02-02,3.7636613845825195
2010-02-03,3.7238948345184326
2010-02-04,3.581739902496338
2010-02-05,3.6316628456115723
2010-02-08,3.596971035003662
2010-02-09,3.6452012062072754
2010-02-10,3.6452012062072754
2010-02-11,3.8127384185791016
2010-02-12,3.7991998195648193
2010-02-16,3.901583671569824
2010-02-17,3.901583671569824
2010-02-18,3.9261229038238525
2010-02-19,3.9574310779571533
2010-02-22,3.961660623550415
2010-02-23,3.97689151763916
2010-02-24,4.021115779876709
2010-02-25,4.0423784255981445
2010-02-26,4.036425590515137
2010-03-01,4.109570026397705
2010-03-02,4.122326374053955
2010-03-03,4.080650806427002
2010-03-04,4.087457656860352
2010-03-05,4.164849758148193
2010-03-08,4.169952869415283
2010-03-09,4.211625576019287
2010-03-10,4.243095397949219
2010-03-11,4.310283184051514
2010-03-12,4.3357977867126465
2010-03-15,4.3477067947387695
2010-03-16,4.383426189422607
2010-03-17,4.35706090927124
2010-03-18,4.409790992736816
2010-03-19,4.380873680114746
2010-03-22,4.405538558959961
2010-03-23,4.401285648345947
2010-03-24,4.346005916595459
2010-03-25,4.352807998657227
2010-03-26,4.336649417877197
2010-03-29,4.380873680114746
2010-03-30,4.365564346313477
2010-03-31,4.328994274139404
2010-04-01,4.439559459686279
2010-04-05,4.474429607391357
2010-04-06,4.461672306060791
2010-04-07,4.415744781494141
2010-04-08,4.505897521972656
2010-04-09,4.5041961669921875
2010-04-12,4.497392177581787
2010-04-13,4.531411170959473
2010-04-14,4.716818332672119
2010-04-15,4.698957920074463
2010-04-16,4.630068778991699
2010-04-19,4.60965633392334
2010-04-20,4.695554733276367
2010-04-21,4.7193708419799805
2010-04-22,4.737231254577637
2010-04-23,4.832484245300293
2010-04-26,4.8477935791015625
2010-04-27,4.738931655883789
2010-04-28,4.752538681030273
2010-04-29,4.871608734130859
2010-04-30,4.76699686050415
2010-05-03,4.890318393707275
2010-05-04,4.70576286315918
2010-05-05,4.577338695526123
2010-05-06,4.518655300140381
2010-05-07,4.479531764984131
2010-05-10,4.698957920074463
2010-05-11,4.727022171020508
2010-05-12,4.825680732727051
2010-05-13,4.758492946624756
2010-05-14,4.680245399475098
2010-05-17,4.649631977081299
2010-05-18,4.583292007446289
2010-05-19,4.517804145812988
2010-05-20,4.232039928436279
2010-05-21,4.34515380859375
2010-05-24,4.292423725128174
2010-05-25,4.293275356292725
2010-05-26,4.342836856842041
2010-05-27,4.496657371520996
2010-05-28,4.4650397300720215
2010-06-01,4.403512954711914
2010-06-02,4.571859359741211
2010-06-03,4.5308403968811035
2010-06-04,4.27447509765625
2010-06-07,4.158255577087402
2010-06-08,4.208674430847168
2010-06-09,4.203546047210693
2010-06-10,4.4240193367004395
2010-06-11,4.456494331359863
2010-06-14,4.432567119598389
2010-06-15,4.582113742828369
2010-06-16,4.5906596183776855
2010-06-17,4.698333740234375
2010-06-18,4.695766448974609
2010-06-21,4.784642696380615
2010-06-22,4.570150375366211
2010-06-23,4.56074857711792
2010-06-24,4.417184352874756
2010-06-25,4.4650397300720215
2010-06-28,4.4744391441345215
2010-06-29,4.268492698669434
2010-06-30,4.241147041320801
2010-07-01,4.198417663574219
2010-07-02,4.0762176513671875
2010-07-06,4.057415962219238
2010-07-07,4.213801860809326
2010-07-08,4.337712287902832
2010-07-09,4.423166751861572
2010-07-12,4.482986927032471
2010-07-13,4.419747352600098
2010-07-14,4.438549041748047
2010-07-15,4.4453840255737305
2010-07-16,4.283020496368408
2010-07-19,4.254819393157959
2010-07-20,4.324890613555908
2010-07-21,4.27447509765625
2010-07-22,4.419747352600098
2010-07-23,4.499220371246338
2010-07-26,4.602622985839844
2010-07-27,4.528278827667236
2010-07-28,4.5043487548828125
2010-07-29,4.486402988433838
2010-07-30,4.505204200744629
2010-08-02,4.6043314933776855
2010-08-03,4.5906596183776855
2010-08-04,4.641077995300293
2010-08-05,4.665005207061768
2010-08-06,4.563312530517578
2010-08-09,4.6034770011901855
2010-08-10,4.559040546417236
2010-08-11,4.362492084503174
2010-08-12,4.33429479598999
2010-08-13,4.306094169616699
2010-08-16,4.296693325042725
2010-08-17,4.380438804626465
2010-08-18,4.418893337249756
2010-08-19,4.297547340393066
2010-08-20,4.254819393157959
2010-08-23,4.156545162200928
2010-08-24,4.054854393005371
2010-08-25,4.084763526916504
2010-08-26,4.141165733337402
2010-08-27,4.275996685028076
2010-08-30,4.217597484588623
2010-08-31,4.284585475921631
2010-09-01,4.461497783660889
2010-09-02,4.539649963378906
2010-09-03,4.609211444854736
2010-09-07,4.59203577041626
2010-09-08,4.693376541137695
2010-09-09,4.634979248046875
2010-09-10,4.69938850402832
2010-09-13,4.73030424118042
2010-09-14,4.733740329742432
2010-09-15,4.765517711639404
2010-09-16,4.702821731567383
2010-09-17,4.714847087860107
2010-09-20,4.745764255523682
2010-09-21,4.813611030578613
2010-09-22,4.757787704467773
2010-09-23,4.671047210693359
2010-09-24,4.8213396072387695
