Date,TMO
2010-01-04,45.05763244628906
2010-01-05,45.209407806396484
2010-01-06,45.63627624511719
2010-01-07,45.63627624511719
2010-01-08,46.40461349487305
2010-01-11,46.95481872558594
2010-01-12,46.176971435546875
2010-01-13,46.195945739746094
2010-01-14,45.930335998535156
2010-01-15,45.2947883605957
2010-01-19,46.45206069946289
2010-01-20,46.262332916259766
2010-01-21,45.31375503540039
2010-01-22,44.62128448486328
2010-01-25,44.67820739746094
2010-01-26,44.099571228027344
2010-01-27,44.071109771728516
2010-01-28,43.91934585571289
2010-01-29,43.77705383300781
2010-02-01,44.5074577331543
2010-02-02,45.15249252319336
2010-02-03,45.92085647583008
2010-02-04,44.82998275756836
2010-02-05,44.58335494995117
2010-02-08,44.384151458740234
2010-02-09,45.22837829589844
2010-02-10,44.70668029785156
2010-02-11,44.87741470336914
2010-02-12,44.82998275756836
2010-02-16,45.731143951416016
2010-02-17,46.20542526245117
2010-02-18,46.78406524658203
2010-02-19,46.68919372558594
2010-02-22,45.626800537109375
2010-02-23,47.11604690551758
2010-02-24,45.90187454223633
2010-02-25,46.7461051940918
2010-02-26,46.262332916259766
2010-03-01,46.148502349853516
2010-03-02,46.87891387939453
2010-03-03,46.613311767578125
2010-03-04,46.12005615234375
2010-03-05,46.94533157348633
2010-03-08,47.362693786621094
2010-03-09,47.64726638793945
2010-03-10,47.817996978759766
2010-03-11,48.22590255737305
2010-03-12,47.58087158203125
2010-03-15,47.3721923828125
2010-03-16,46.96428680419922
2010-03-17,47.40064239501953
2010-03-18,47.296295166015625
2010-03-19,47.31525802612305
2010-03-22,48.18794631958008
2010-03-23,48.23539352416992
2010-03-24,48.12154769897461
2010-03-25,47.80852508544922
2010-03-26,47.438575744628906
2010-03-29,47.91287612915039
2010-03-30,49.00373077392578
2010-03-31,48.7950553894043
2010-04-01,49.108089447021484
2010-04-05,49.20294952392578
2010-04-06,49.04169845581055
2010-04-07,48.927860260009766
2010-04-08,48.78557205200195
2010-04-09,49.59186935424805
2010-04-12,49.459068298339844
2010-04-13,49.62031173706055
2010-04-14,50.91988754272461
2010-04-15,51.34674072265625
2010-04-16,50.521488189697266
2010-04-19,50.66374969482422
2010-04-20,51.41314697265625
2010-04-21,50.80603790283203
2010-04-22,50.673240661621094
2010-04-23,50.938865661621094
2010-04-26,51.23289108276367
2010-04-27,50.91988754272461
2010-04-28,53.05419158935547
2010-04-29,53.063663482666016
2010-04-30,52.43760299682617
2010-05-03,52.62732696533203
2010-05-04,51.6882438659668
2010-05-05,52.010738372802734
2010-05-06,50.5878791809082
2010-05-07,48.7665901184082
2010-05-10,51.41314697265625
2010-05-11,50.98629379272461
2010-05-12,52.02971649169922
2010-05-13,50.995765686035156
2010-05-14,49.810035705566406
2010-05-17,50.0946159362793
2010-05-18,49.696197509765625
2010-05-19,49.14603042602539
2010-05-20,47.26782989501953
2010-05-21,48.244873046875
2010-05-24,48.3492317199707
2010-05-25,48.06464385986328
2010-05-26,48.301788330078125
2010-05-27,50.01872253417969
2010-05-28,49.383182525634766
2010-06-01,48.32075881958008
2010-06-02,49.25037384033203
2010-06-03,49.4400749206543
2010-06-04,46.98326110839844
2010-06-07,47.16349411010742
2010-06-08,47.040191650390625
2010-06-09,47.16349411010742
2010-06-10,49.06065368652344
2010-06-11,49.27882766723633
2010-06-14,49.478023529052734
2010-06-15,50.73014450073242
2010-06-16,50.68273162841797
2010-06-17,50.692203521728516
2010-06-18,50.90089416503906
2010-06-21,50.872432708740234
2010-06-22,49.715179443359375
2010-06-23,49.658267974853516
2010-06-24,48.3492317199707
2010-06-25,48.2828254699707
2010-06-28,48.425113677978516
2010-06-29,47.19194030761719
2010-06-30,46.52792739868164
2010-07-01,45.68370819091797
2010-07-02,45.13352966308594
2010-07-06,46.45206069946289
2010-07-07,46.139034271240234
2010-07-08,46.36668014526367
2010-07-09,46.7461051940918
2010-07-12,45.74060821533203
2010-07-13,46.99274826049805
2010-07-14,47.18246841430664
2010-07-15,47.58087158203125
2010-07-16,46.53742980957031
2010-07-19,46.546905517578125
2010-07-20,46.907386779785156
2010-07-21,46.20542526245117
2010-07-22,47.789546966552734
2010-07-23,48.46305847167969
2010-07-26,48.368194580078125
2010-07-27,43.79601287841797
2010-07-28,43.63477325439453
2010-07-29,42.657737731933594
2010-07-30,42.55339050292969
2010-08-02,42.69568634033203
2010-08-03,42.25933074951172
2010-08-04,43.12254333496094
2010-08-05,42.676692962646484
2010-08-06,43.416595458984375
2010-08-09,43.63477325439453
2010-08-10,43.48299026489258
2010-08-11,42.7241325378418
2010-08-12,42.21190643310547
2010-08-13,42.02217483520508
2010-08-16,41.984230041503906
2010-08-17,43.17945861816406
2010-08-18,42.847442626953125
2010-08-19,42.06959915161133
2010-08-20,41.92732620239258
2010-08-23,41.75657653808594
2010-08-24,40.4570198059082
2010-08-25,41.11153793334961
2010-08-26,40.67518997192383
2010-08-27,40.95975875854492
2010-08-30,40.17244338989258
2010-08-31,39.954261779785156
2010-09-01,41.61428451538086
2010-09-02,41.93680191040039
2010-09-03,42.86640548706055
2010-09-07,42.35418701171875
2010-09-08,42.23086929321289
2010-09-09,43.43557357788086
2010-09-10,43.52092742919922
2010-09-13,44.29877853393555
2010-09-14,44.46950912475586
2010-09-15,44.57386779785156
2010-09-16,44.61180877685547
2010-09-17,44.87741470336914
2010-09-20,45.14301300048828
2010-09-21,45.45603561401367
2010-09-22,45.67422103881836
2010-09-23,45.361183166503906
2010-09-24,45.43708038330078
2010-09-27,45.2663459777832
2010-09-28,45.70266342163086
