Date,CF
2010-01-04,13.018840789794922
2010-01-05,13.230050086975098
2010-01-06,13.781476974487305
2010-01-07,13.642560005187988
2010-01-08,13.93600082397461
2010-01-11,13.920401573181152
2010-01-12,13.422839164733887
2010-01-13,13.455438613891602
2010-01-14,13.210209846496582
2010-01-15,13.526328086853027
2010-01-19,14.260613441467285
2010-01-20,14.032390594482422
2010-01-21,13.924657821655273
2010-01-22,13.626974105834961
2010-01-25,13.628385543823242
2010-01-26,13.629802703857422
2010-01-27,13.665245056152344
2010-01-28,13.509308815002441
2010-01-29,13.163426399230957
2010-02-01,13.506471633911133
2010-02-02,13.648232460021973
2010-02-03,13.76589298248291
2010-02-04,13.264079093933105
2010-02-05,13.35621452331543
2010-02-08,13.086880683898926
2010-02-09,13.580185890197754
2010-02-10,13.791406631469727
2010-02-11,14.192572593688965
2010-02-12,14.246440887451172
2010-02-16,14.681631088256836
2010-02-17,14.834725379943848
2010-02-18,14.474322319030762
2010-02-19,14.776554107666016
2010-02-22,14.707022666931152
2010-02-23,14.462970733642578
2010-02-24,14.301215171813965
2010-02-25,14.9539155960083
2010-02-26,15.07452392578125
2010-03-01,15.258979797363281
2010-03-02,15.100062370300293
2010-03-03,15.151139259338379
2010-03-04,15.356887817382812
2010-03-05,14.861688613891602
2010-03-08,14.611957550048828
2010-03-09,14.278515815734863
2010-03-10,14.692839622497559
2010-03-11,14.275680541992188
2010-03-12,13.725137710571289
2010-03-15,13.675471305847168
2010-03-16,13.567639350891113
2010-03-17,13.408720016479492
2010-03-18,13.212919235229492
2010-03-19,12.96885871887207
2010-03-22,13.132035255432129
2010-03-23,13.011421203613281
2010-03-24,13.112166404724121
2010-03-25,12.774459838867188
2010-03-26,13.220004081726074
2010-03-29,13.185954093933105
2010-03-30,13.113587379455566
2010-03-31,12.937642097473145
2010-04-01,13.112166404724121
2010-04-05,13.046894073486328
2010-04-06,13.115009307861328
2010-04-07,12.94473934173584
2010-04-08,12.983048439025879
2010-04-09,13.181687355041504
2010-04-12,13.058247566223145
2010-04-13,12.615547180175781
2010-04-14,12.604198455810547
2010-04-15,12.770203590393066
2010-04-16,12.770203590393066
2010-04-19,12.328930854797363
2010-04-20,12.384262084960938
2010-04-21,12.435347557067871
2010-04-22,12.439599990844727
2010-04-23,12.07494068145752
2010-04-26,12.045145034790039
2010-04-27,11.49886703491211
2010-04-28,11.901836395263672
2010-04-29,12.043726921081543
2010-04-30,11.87203311920166
2010-05-03,11.403797149658203
2010-05-04,11.06325912475586
2010-05-05,11.104409217834473
2010-05-06,10.522650718688965
2010-05-07,10.400626182556152
2010-05-10,10.800760269165039
2010-05-11,10.19771957397461
2010-05-12,10.57284164428711
2010-05-13,10.26450252532959
2010-05-14,10.294340133666992
2010-05-17,10.10820484161377
2010-05-18,10.140887260437012
2010-05-19,9.99737548828125
2010-05-20,9.454598426818848
2010-05-21,9.683358192443848
2010-05-24,9.585315704345703
2010-05-25,9.525642395019531
2010-05-26,9.438969612121582
2010-05-27,9.98316764831543
2010-05-28,9.745882034301758
2010-06-01,9.369343757629395
2010-06-02,9.615156173706055
2010-06-03,9.282669067382812
2010-06-04,8.657474517822266
2010-06-07,8.401716232299805
2010-06-08,8.32072639465332
2010-06-09,8.378979682922363
2010-06-10,9.133476257324219
2010-06-11,9.28550910949707
2010-06-14,8.820879936218262
2010-06-15,9.200258255004883
2010-06-16,9.265617370605469
2010-06-17,9.242886543273926
2010-06-18,9.1292085647583
2010-06-21,9.092270851135254
2010-06-22,9.159053802490234
2010-06-23,9.375029563903809
2010-06-24,9.197415351867676
2010-06-25,9.605213165283203
2010-06-28,9.176101684570312
2010-06-29,8.803829193115234
2010-06-30,9.015545845031738
2010-07-01,9.305402755737305
2010-07-02,9.721726417541504
2010-07-06,9.56826400756836
2010-07-07,9.937699317932129
2010-07-08,10.446375846862793
2010-07-09,10.548680305480957
2010-07-12,10.436429977416992
2010-07-13,10.763236045837402
2010-07-14,10.70071792602539
2010-07-15,11.077253341674805
2010-07-16,10.935159683227539
2010-07-19,10.692191123962402
2010-07-20,11.141189575195312
2010-07-21,10.89680004119873
2010-07-22,11.212235450744629
2010-07-23,11.385584831237793
2010-07-26,11.068726539611816
2010-07-27,10.859854698181152
2010-07-28,11.038887023925781
2010-07-29,11.509202003479004
2010-07-30,11.536198616027832
2010-08-02,11.719497680664062
2010-08-03,11.52056884765625
2010-08-04,11.77774715423584
2010-08-05,12.191231727600098
2010-08-06,11.979516983032227
2010-08-09,11.871532440185547
2010-08-10,11.551825523376465
2010-08-11,11.655681610107422
2010-08-12,12.00565242767334
2010-08-13,12.042638778686523
2010-08-16,12.034104347229004
2010-08-17,12.594625473022461
2010-08-18,12.77672004699707
2010-08-19,12.640145301818848
2010-08-20,12.80517292022705
2010-08-23,12.638726234436035
2010-08-24,12.38834285736084
2010-08-25,12.339970588684082
2010-08-26,12.66148567199707
2010-08-27,13.253310203552246
2010-08-30,12.991543769836426
2010-08-31,13.159414291381836
2010-09-01,13.189287185668945
2010-09-02,13.258993148803711
2010-09-03,13.50795841217041
2010-09-07,13.533557891845703
2010-09-08,13.687210083007812
2010-09-09,13.381342887878418
2010-09-10,13.557747840881348
2010-09-13,13.953243255615234
2010-09-14,13.993082046508789
2010-09-15,13.842277526855469
2010-09-16,14.189399719238281
2010-09-17,14.206474304199219
2010-09-20,14.38145637512207
2010-09-21,14.015839576721191
2010-09-22,14.429826736450195
2010-09-23,14.038603782653809
2010-09-24,14.27760124206543
2010-09-27,14.466817855834961
2010-09-28,14.424138069152832
