Date,SJM
2010-01-04,40.548038482666016
2010-01-05,40.358924865722656
2010-01-06,40.50239181518555
2010-01-07,40.39154052734375
2010-01-08,40.48283004760742
2010-01-11,40.39154052734375
2010-01-12,40.85454559326172
2010-01-13,40.841487884521484
2010-01-14,40.50239181518555
2010-01-15,40.365474700927734
2010-01-19,40.71760177612305
2010-01-20,40.1828498840332
2010-01-21,39.49814987182617
2010-01-22,39.106895446777344
2010-01-25,39.36772918701172
2010-01-26,39.58945083618164
2010-01-27,39.86983871459961
2010-01-28,39.772037506103516
2010-01-29,39.17210006713867
2010-02-01,39.85681915283203
2010-02-02,40.65889358520508
2010-02-03,40.34590148925781
2010-02-04,39.32208251953125
2010-02-05,38.806922912597656
2010-02-08,38.72213363647461
2010-02-09,39.15252685546875
2010-02-10,39.1656379699707
2010-02-11,39.159088134765625
2010-02-12,38.71306228637695
2010-02-16,39.25749206542969
2010-02-17,39.578895568847656
2010-02-18,39.94622039794922
2010-02-19,39.71662139892578
2010-02-22,39.61167907714844
2010-02-23,39.42802429199219
2010-02-24,38.48347854614258
2010-02-25,38.955745697021484
2010-02-26,39.14596939086914
2010-03-01,39.03446578979492
2010-03-02,39.25749206542969
2010-03-03,39.06726837158203
2010-03-04,39.159088134765625
2010-03-05,39.13285827636719
2010-03-08,38.81144714355469
2010-03-09,38.83112716674805
2010-03-10,38.824562072753906
2010-03-11,38.66714096069336
2010-03-12,38.81801223754883
2010-03-15,38.94919204711914
2010-03-16,39.224674224853516
2010-03-17,39.506736755371094
2010-03-18,39.355873107910156
2010-03-19,39.21811294555664
2010-03-22,39.69038772583008
2010-03-23,40.018367767333984
2010-03-24,40.01179504394531
2010-03-25,39.74942398071289
2010-03-26,39.27060317993164
2010-03-29,39.395225524902344
2010-03-30,39.585453033447266
2010-03-31,39.52641296386719
2010-04-01,39.57233428955078
2010-04-05,39.61167907714844
2010-04-06,39.815032958984375
2010-04-07,39.867515563964844
2010-04-08,40.03804397583008
2010-04-09,40.562782287597656
2010-04-12,40.83171844482422
2010-04-13,40.98257827758789
2010-04-14,40.930110931396484
2010-04-15,40.83171844482422
2010-04-16,40.693965911865234
2010-04-19,40.949790954589844
2010-04-20,41.49420928955078
2010-04-21,41.35646438598633
2010-04-22,41.330223083496094
2010-04-23,41.48108673095703
2010-04-26,41.07440948486328
2010-04-27,40.26105499267578
2010-04-28,40.47095489501953
2010-04-29,40.47751998901367
2010-04-30,40.05772018432617
2010-05-03,40.05116653442383
2010-05-04,39.742862701416016
2010-05-05,39.76254653930664
2010-05-06,38.627784729003906
2010-05-07,38.32605743408203
2010-05-10,38.6474609375
2010-05-11,38.49004364013672
2010-05-12,38.35133743286133
2010-05-13,38.44379806518555
2010-05-14,38.166439056396484
2010-05-17,38.46363067626953
2010-05-18,38.39098358154297
2010-05-19,38.258888244628906
2010-05-20,37.18899917602539
2010-05-21,36.951229095458984
2010-05-24,36.7200813293457
2010-05-25,36.403079986572266
2010-05-26,36.58799362182617
2010-05-27,37.162567138671875
2010-05-28,36.46912384033203
2010-06-01,36.15871810913086
2010-06-02,36.82575225830078
2010-06-03,37.136146545410156
2010-06-04,36.50873565673828
2010-06-07,36.38325500488281
2010-06-08,36.50873565673828
2010-06-09,36.574790954589844
2010-06-10,37.20880126953125
2010-06-11,37.03048324584961
2010-06-14,37.55223846435547
2010-06-15,38.0013313293457
2010-06-16,38.14000701904297
2010-06-17,40.6496467590332
2010-06-18,41.012882232666016
2010-06-21,40.861000061035156
2010-06-22,40.82797622680664
2010-06-23,40.590213775634766
2010-06-24,41.3563232421875
2010-06-25,40.96006393432617
2010-06-28,40.973270416259766
2010-06-29,40.0750846862793
2010-06-30,39.77128219604492
2010-07-01,39.55995178222656
2010-07-02,39.414642333984375
2010-07-06,40.220394134521484
2010-07-07,41.085533142089844
2010-07-08,41.30348205566406
2010-07-09,41.184600830078125
2010-07-12,41.19782257080078
2010-07-13,41.21763610839844
2010-07-14,41.25065231323242
2010-07-15,41.44878387451172
2010-07-16,40.62324523925781
2010-07-19,40.70249557495117
2010-07-20,40.80156326293945
2010-07-21,40.57701110839844
2010-07-22,41.29029083251953
2010-07-23,41.461997985839844
2010-07-26,41.7459716796875
2010-07-27,42.05638122558594
2010-07-28,41.006290435791016
2010-07-29,40.34587097167969
2010-07-30,40.57040023803711
2010-08-02,39.43446350097656
2010-08-03,39.29576110839844
2010-08-04,39.342010498046875
2010-08-05,38.84006118774414
2010-08-06,38.833465576171875
2010-08-09,38.668373107910156
2010-08-10,38.734405517578125
2010-08-11,38.448455810546875
2010-08-12,38.5216178894043
2010-08-13,38.66792297363281
2010-08-16,38.80754852294922
2010-08-17,39.33951950073242
2010-08-18,39.21318435668945
2010-08-19,38.588111877441406
2010-08-20,39.66536331176758
2010-08-23,39.758453369140625
2010-08-24,39.12010192871094
2010-08-25,39.10677719116211
2010-08-26,38.79424285888672
2010-08-27,38.78759765625
2010-08-30,38.66792297363281
2010-08-31,38.8873405456543
2010-09-01,39.73185729980469
2010-09-02,39.65206527709961
2010-09-03,40.150794982910156
2010-09-07,40.051048278808594
2010-09-08,40.30373001098633
2010-09-09,40.63621520996094
2010-09-10,40.75590896606445
2010-09-13,40.56306838989258
2010-09-14,40.17074966430664
2010-09-15,40.35028076171875
2010-09-16,40.4101448059082
2010-09-17,40.609619140625
2010-09-20,40.95539855957031
2010-09-21,41.10170364379883
2010-09-22,41.181488037109375
2010-09-23,40.33034133911133
2010-09-24,40.68276596069336
2010-09-27,40.59630584716797
2010-09-28,40.74261474609375
