Date,GLW
2010-01-04,13.377148628234863
2010-01-05,13.425020217895508
2010-01-06,13.254040718078613
2010-01-07,13.383986473083496
2010-01-08,13.60284423828125
2010-01-11,14.013178825378418
2010-01-12,13.794333457946777
2010-01-13,13.890077590942383
2010-01-14,13.814847946166992
2010-01-15,13.44554328918457
2010-01-19,13.534445762634277
2010-01-20,13.520773887634277
2010-01-21,13.411346435546875
2010-01-22,12.693251609802246
2010-01-25,12.802669525146484
2010-01-26,12.754799842834473
2010-01-27,13.089906692504883
2010-01-28,12.727442741394043
2010-01-29,12.364975929260254
2010-02-01,12.419683456420898
2010-02-02,12.795829772949219
2010-02-03,12.959969520568848
2010-02-04,12.481236457824707
2010-02-05,12.344451904296875
2010-02-08,12.200838088989258
2010-02-09,12.146122932434082
2010-02-10,11.981986045837402
2010-02-11,12.276062965393066
2010-02-12,12.235029220581055
2010-02-16,12.412842750549316
2010-02-17,12.317100524902344
2010-02-18,12.303421974182129
2010-02-19,12.508586883544922
2010-02-22,12.146122932434082
2010-02-23,11.769974708557129
2010-02-24,12.003181457519531
2010-02-25,12.003181457519531
2010-02-26,12.092345237731934
2010-03-01,12.188375473022461
2010-03-02,12.078632354736328
2010-03-03,12.078632354736328
2010-03-04,12.010041236877441
2010-03-05,12.414718627929688
2010-03-08,12.58619213104248
2010-03-09,12.6204833984375
2010-03-10,12.675357818603516
2010-03-11,12.58619213104248
2010-03-12,12.373563766479492
2010-03-15,12.401004791259766
2010-03-16,12.675357818603516
2010-03-17,12.949715614318848
2010-03-18,13.196640014648438
2010-03-19,13.299527168273926
2010-03-22,13.320099830627441
2010-03-23,13.498433113098145
2010-03-24,13.347538948059082
2010-03-25,13.505292892456055
2010-03-26,13.573881149291992
2010-03-29,13.78650951385498
2010-03-30,13.834528923034668
2010-03-31,13.861956596374512
2010-04-01,13.978564262390137
2010-04-05,14.170614242553711
2010-04-06,14.026576042175293
2010-04-07,13.765937805175781
2010-04-08,13.594454765319824
2010-04-09,13.491578102111816
2010-04-12,13.704203605651855
2010-04-13,13.738497734069824
2010-04-14,13.930551528930664
2010-04-15,13.868819236755371
2010-04-16,13.649332046508789
2010-04-19,13.704203605651855
2010-04-20,13.78650951385498
2010-04-21,13.992280006408691
2010-04-22,14.191189765930176
2010-04-23,14.294071197509766
2010-04-26,14.348943710327148
2010-04-27,13.800228118896484
2010-04-28,13.765937805175781
2010-04-29,13.67676830291748
2010-04-30,13.203497886657715
2010-05-03,13.587601661682129
2010-05-04,12.990872383117676
2010-05-05,12.805682182312012
2010-05-06,12.003181457519531
2010-05-07,12.030617713928223
2010-05-10,12.627348899841309
2010-05-11,12.49702262878418
2010-05-12,12.709653854370117
2010-05-13,12.702797889709473
2010-05-14,12.318693161010742
2010-05-17,12.565614700317383
2010-05-18,12.373563766479492
2010-05-19,12.030617713928223
2010-05-20,11.529911041259766
2010-05-21,11.64651870727539
2010-05-24,11.564208984375
2010-05-25,11.62593936920166
2010-05-26,11.58466625213623
2010-05-27,12.052451133728027
2010-05-28,11.990535736083984
2010-06-01,11.281974792480469
2010-06-02,11.57778263092041
2010-06-03,11.564022064208984
2010-06-04,11.16502857208252
2010-06-07,11.00680160522461
2010-06-08,11.72912311553955
2010-06-09,11.89422607421875
2010-06-10,12.251946449279785
2010-06-11,12.47896957397461
2010-06-14,12.637188911437988
2010-06-15,12.89172077178955
2010-06-16,12.561515808105469
2010-06-17,12.59591293334961
2010-06-18,12.540876388549805
2010-06-21,12.671586036682129
2010-06-22,12.472084045410156
2010-06-23,12.47896957397461
2010-06-24,12.169401168823242
2010-06-25,11.921744346618652
2010-06-28,11.866713523864746
2010-06-29,11.323251724243164
2010-06-30,11.10999584197998
2010-07-01,11.10999584197998
2010-07-02,11.2338228225708
2010-07-06,11.268214225769043
2010-07-07,11.749761581420898
2010-07-08,11.969900131225586
2010-07-09,12.045575141906738
2010-07-12,11.907989501953125
2010-07-13,12.196914672851562
2010-07-14,12.17628288269043
2010-07-15,12.121248245239258
2010-07-16,11.66721248626709
2010-07-19,11.680974960327148
2010-07-20,11.460833549499512
2010-07-21,11.557145118713379
2010-07-22,12.451449394226074
2010-07-23,12.389534950256348
2010-07-26,12.313862800598145
2010-07-27,12.382651329040527
2010-07-28,12.148762702941895
2010-07-29,12.49272346496582
2010-07-30,12.465209007263184
2010-08-02,13.17376708984375
2010-08-03,13.098098754882812
2010-08-04,13.235682487487793
2010-08-05,13.221927642822266
2010-08-06,12.932999610900879
2010-08-09,13.029306411743164
2010-08-10,12.761015892028809
2010-08-11,12.417049407958984
2010-08-12,12.03869342803955
2010-08-13,11.605300903320312
2010-08-16,11.385161399841309
2010-08-17,11.398921012878418
2010-08-18,11.502111434936523
2010-08-19,11.027443885803223
2010-08-20,11.075594902038574
2010-08-23,10.965526580810547
2010-08-24,10.81418514251709
2010-08-25,11.130634307861328
2010-08-26,10.909812927246094
2010-08-27,11.027121543884277
2010-08-30,11.006422996520996
2010-08-31,10.820103645324707
2010-09-01,11.261744499206543
2010-09-02,11.351452827453613
2010-09-03,11.599868774414062
2010-09-07,11.62747573852539
2010-09-08,11.523966789245605
2010-09-09,11.247941970825195
2010-09-10,11.096132278442383
2010-09-13,11.599868774414062
2010-09-14,12.151921272277832
2010-09-15,11.827591896057129
2010-09-16,11.751688003540039
2010-09-17,11.730982780456543
2010-09-20,12.151921272277832
2010-09-21,12.151921272277832
2010-09-22,11.841390609741211
2010-09-23,12.007004737854004
2010-09-24,12.248530387878418
2010-09-27,12.255427360534668
2010-09-28,12.607357025146484
