Date,KIM
2010-01-04,6.741482257843018
2010-01-05,6.706935882568359
2010-01-06,6.7365498542785645
2010-01-07,6.963567733764648
2010-01-08,6.874736785888672
2010-01-11,6.973438739776611
2010-01-12,6.780964374542236
2010-01-13,7.003052234649658
2010-01-14,6.894474983215332
2010-01-15,6.721743583679199
2010-01-19,6.8155131340026855
2010-01-20,6.716806888580322
2010-01-21,6.549009323120117
2010-01-22,6.435503959655762
2010-01-25,6.4404377937316895
2010-01-26,6.336797714233398
2010-01-27,6.33186149597168
2010-01-28,6.213417053222656
2010-01-29,6.228226661682129
2010-02-01,6.3812150955200195
2010-02-02,6.42069673538208
2010-02-03,6.2479634284973145
2010-02-04,6.2479634284973145
2010-02-05,6.40095329284668
2010-02-08,6.218353271484375
2010-02-09,6.317058086395264
2010-02-10,6.297316074371338
2010-02-11,6.282509803771973
2010-02-12,6.32692813873291
2010-02-16,6.529269695281982
2010-02-17,6.623036861419678
2010-02-18,6.780964374542236
2010-02-19,6.766159534454346
2010-02-22,6.731612682342529
2010-02-23,6.632908821105957
2010-02-24,6.81057596206665
2010-02-25,6.884602069854736
2010-02-26,6.854991436004639
2010-03-01,6.9092841148376465
2010-03-02,6.919151782989502
2010-03-03,6.9092841148376465
2010-03-04,6.929020881652832
2010-03-05,7.210325717926025
2010-03-08,7.279423236846924
2010-03-09,7.244875431060791
2010-03-10,7.279423236846924
2010-03-11,7.368252754211426
2010-03-12,7.462023735046387
2010-03-15,7.44721794128418
2010-03-16,7.68410587310791
2010-03-17,7.8469696044921875
2010-03-18,7.718654632568359
2010-03-19,7.68410587310791
2010-03-22,7.792682647705078
2010-03-23,7.7433295249938965
2010-03-24,7.837096691131592
2010-03-25,7.925930976867676
2010-03-26,7.945672988891602
2010-03-29,7.975285053253174
2010-03-30,7.916062355041504
2010-03-31,7.7964253425598145
2010-04-01,7.846273899078369
2010-04-05,8.005788803100586
2010-04-06,8.24008560180664
2010-04-07,7.970896244049072
2010-04-08,8.020746231079102
2010-04-09,8.175278663635254
2010-04-12,8.055641174316406
2010-04-13,8.225126266479492
2010-04-14,8.120447158813477
2010-04-15,7.801408290863037
2010-04-16,7.542193412780762
2010-04-19,7.552163124084473
2010-04-20,7.537207126617432
2010-04-21,7.63192081451416
2010-04-22,7.826331615447998
2010-04-23,7.851258277893066
2010-04-26,7.931014060974121
2010-04-27,7.6568450927734375
2010-04-28,7.721647262573242
2010-04-29,8.120447158813477
2010-04-30,7.7714996337890625
2010-05-03,8.03071403503418
2010-05-04,7.826331615447998
2010-05-05,7.626933574676514
2010-05-06,7.502313613891602
2010-05-07,7.482374668121338
2010-05-10,8.15035629272461
2010-05-11,8.175278663635254
2010-05-12,8.274972915649414
2010-05-13,8.075581550598145
2010-05-14,7.841288089752197
2010-05-17,7.776485443115234
2010-05-18,7.492342472076416
2010-05-19,7.322854995727539
2010-05-20,6.8791961669921875
2010-05-21,7.118473052978516
2010-05-24,6.884182929992676
2010-05-25,6.9091081619262695
2010-05-26,6.8791961669921875
2010-05-27,7.258049488067627
2010-05-28,7.128441333770752
2010-06-01,7.013791561126709
2010-06-02,7.218171119689941
2010-06-03,7.183278560638428
2010-06-04,6.634938716888428
2010-06-07,6.6947550773620605
2010-06-08,6.8243632316589355
2010-06-09,6.839317321777344
2010-06-10,7.223160266876221
2010-06-11,7.248082160949707
2010-06-14,7.392644882202148
2010-06-15,7.6219482421875
2010-06-16,7.47738790512085
2010-06-17,7.457448959350586
2010-06-18,7.562132358551025
2010-06-21,7.582071304321289
2010-06-22,7.302915096282959
2010-06-23,7.322854995727539
2010-06-24,7.118473052978516
2010-06-25,7.322854995727539
2010-06-28,7.23811149597168
2010-06-29,6.834875106811523
2010-06-30,6.774386882781982
2010-07-01,6.72398567199707
2010-07-02,6.5677313804626465
2010-07-06,6.381232738494873
2010-07-07,6.72398567199707
2010-07-08,6.779428005218506
2010-07-09,6.855036735534668
2010-07-12,6.895358562469482
2010-07-13,7.112100601196289
2010-07-14,7.061695575714111
2010-07-15,7.091939449310303
2010-07-16,6.739107131958008
2010-07-19,6.890319347381592
2010-07-20,7.031450271606445
2010-07-21,6.880239963531494
2010-07-22,7.258272647857666
2010-07-23,7.42460823059082
2010-07-26,7.641350269317627
2010-07-27,7.595989227294922
2010-07-28,7.63126802444458
2010-07-29,7.6262288093566895
2010-07-30,7.595989227294922
2010-08-02,7.802641868591309
2010-08-03,7.616143703460693
2010-08-04,7.661511421203613
2010-08-05,7.721998691558838
2010-08-06,7.590944290161133
2010-08-09,7.686711311340332
2010-08-10,7.56069803237915
2010-08-11,7.3842854499816895
2010-08-12,7.333878040313721
2010-08-13,7.34900426864624
2010-08-16,7.399405479431152
2010-08-17,7.616143703460693
2010-08-18,7.6262288093566895
2010-08-19,7.303639888763428
2010-08-20,7.24819278717041
2010-08-23,7.24819278717041
2010-08-24,7.17258358001709
2010-08-25,7.364120960235596
2010-08-26,7.394367694854736
2010-08-27,7.535500526428223
2010-08-30,7.464932441711426
2010-08-31,7.5153374671936035
2010-09-01,7.711915969848633
2010-09-02,7.858089447021484
2010-09-03,7.989144802093506
2010-09-07,7.832886219024658
2010-09-08,7.822808742523193
2010-09-09,7.777440547943115
2010-09-10,7.83792781829834
2010-09-13,7.994180679321289
2010-09-14,8.004262924194336
2010-09-15,8.064749717712402
2010-09-16,8.019384384155273
2010-09-17,8.135315895080566
2010-09-20,8.467986106872559
2010-09-21,8.4629487991333
2010-09-22,8.402460098266602
2010-09-23,8.115155220031738
2010-09-24,8.392378807067871
