Date,SYY
2010-01-04,18.00414276123047
2010-01-05,17.927255630493164
2010-01-06,17.978513717651367
2010-01-07,17.99774169921875
2010-01-08,17.882410049438477
2010-01-11,17.84395980834961
2010-01-12,17.747852325439453
2010-01-13,17.940073013305664
2010-01-14,18.055395126342773
2010-01-15,18.02336311340332
2010-01-19,18.1899471282959
2010-01-20,18.215574264526367
2010-01-21,17.811927795410156
2010-01-22,17.600486755371094
2010-01-25,17.786296844482422
2010-01-26,17.683780670166016
2010-01-27,17.6901912689209
2010-01-28,17.64533805847168
2010-01-29,17.93366050720215
2010-02-01,18.177139282226562
2010-02-02,18.042583465576172
2010-02-03,17.811927795410156
2010-02-04,17.485166549682617
2010-02-05,17.43390655517578
2010-02-08,17.299354553222656
2010-02-09,17.51078987121582
2010-02-10,17.56846046447754
2010-02-11,17.677385330200195
2010-02-12,17.64533805847168
2010-02-16,18.055395126342773
2010-02-17,18.2412109375
2010-02-18,18.2668399810791
2010-02-19,18.670482635498047
2010-02-22,18.580787658691406
2010-02-23,18.529529571533203
2010-02-24,18.561567306518555
2010-02-25,18.7153377532959
2010-02-26,18.51671028137207
2010-03-01,18.561567306518555
2010-03-02,18.625640869140625
2010-03-03,18.42061424255371
2010-03-04,18.567968368530273
2010-03-05,18.60642433166504
2010-03-08,18.548757553100586
2010-03-09,18.388572692871094
2010-03-10,18.2027645111084
2010-03-11,18.35654067993164
2010-03-12,18.350126266479492
2010-03-15,18.37575912475586
2010-03-16,18.34372329711914
2010-03-17,18.619226455688477
2010-03-18,18.523122787475586
2010-03-19,18.433422088623047
2010-03-22,18.548757553100586
2010-03-23,18.85630226135254
2010-03-24,18.638446807861328
2010-03-25,18.58719253540039
2010-03-26,18.68971061706543
2010-03-29,19.0164794921875
2010-03-30,19.20387077331543
2010-03-31,19.061704635620117
2010-04-01,19.126325607299805
2010-04-05,19.210317611694336
2010-04-06,19.371862411499023
2010-04-07,19.26201629638672
2010-04-08,19.1069393157959
2010-04-09,19.3072509765625
2010-04-12,19.300790786743164
2010-04-13,19.565711975097656
2010-04-14,19.488168716430664
2010-04-15,19.33309555053711
2010-04-16,19.197399139404297
2010-04-19,19.33309555053711
2010-04-20,19.682018280029297
2010-04-21,19.707874298095703
2010-04-22,19.94695281982422
2010-04-23,20.153717041015625
2010-04-26,20.29587173461914
2010-04-27,19.7854061126709
2010-04-28,19.91463851928711
2010-04-29,20.17955780029297
2010-04-30,20.37987518310547
2010-05-03,20.050325393676758
2010-05-04,19.95340919494629
2010-05-05,20.05678939819336
2010-05-06,19.3072509765625
2010-05-07,19.016481399536133
2010-05-10,19.55278778076172
2010-05-11,19.630325317382812
2010-05-12,19.830642700195312
2010-05-13,19.86939811706543
2010-05-14,19.49462890625
2010-05-17,19.62386703491211
2010-05-18,19.753095626831055
2010-05-19,19.669097900390625
2010-05-20,18.98417091369629
2010-05-21,19.08755111694336
2010-05-24,18.822629928588867
2010-05-25,18.67400360107422
2010-05-26,18.783863067626953
2010-05-27,19.287864685058594
2010-05-28,19.26201629638672
2010-06-01,19.119857788085938
2010-06-02,19.514019012451172
2010-06-03,19.5010929107666
2010-06-04,18.990633010864258
2010-06-07,19.061704635620117
2010-06-08,19.417089462280273
2010-06-09,19.636791229248047
2010-06-10,19.856481552124023
2010-06-11,19.998647689819336
2010-06-14,19.862945556640625
2010-06-15,19.992177963256836
2010-06-16,20.024486541748047
2010-06-17,20.043869018554688
2010-06-18,20.102022171020508
2010-06-21,19.95340919494629
2010-06-22,19.817718505859375
2010-06-23,19.662633895874023
2010-06-24,19.339555740356445
2010-06-25,19.13278579711914
2010-06-28,19.34601593017578
2010-06-29,18.88078498840332
2010-06-30,18.620088577270508
2010-07-01,18.600540161132812
2010-07-02,18.424570083618164
2010-07-06,18.502777099609375
2010-07-07,18.978544235229492
2010-07-08,19.19361686706543
2010-07-09,19.304412841796875
2010-07-12,19.258787155151367
2010-07-13,19.512964248657227
2010-07-14,19.53252410888672
2010-07-15,19.669382095336914
2010-07-16,19.46734619140625
2010-07-19,19.454309463500977
2010-07-20,19.793212890625
2010-07-21,19.55858612060547
2010-07-22,19.93007469177246
2010-07-23,20.164705276489258
2010-07-26,20.301563262939453
2010-07-27,20.171228408813477
2010-07-28,20.106042861938477
2010-07-29,20.060420989990234
2010-07-30,20.18425178527832
2010-08-02,20.4449520111084
2010-08-03,20.490571975708008
2010-08-04,20.38629722595215
2010-08-05,20.125600814819336
2010-08-06,19.94963836669922
2010-08-09,20.236398696899414
2010-08-10,20.171228408813477
2010-08-11,19.669382095336914
2010-08-12,19.68893051147461
2010-08-13,19.539031982421875
2010-08-16,19.08281898498535
2010-08-17,19.03068733215332
2010-08-18,18.835153579711914
2010-08-19,18.444114685058594
2010-08-20,18.561433792114258
2010-08-23,18.65919303894043
2010-08-24,18.229042053222656
2010-08-25,18.398494720458984
2010-08-26,18.14432144165039
2010-08-27,18.28118324279785
2010-08-30,17.785873413085938
2010-08-31,17.916215896606445
2010-09-01,18.339841842651367
2010-09-02,18.535362243652344
2010-09-03,18.61357307434082
2010-09-07,18.463666915893555
2010-09-08,18.502777099609375
2010-09-09,18.567947387695312
2010-09-10,18.75043296813965
2010-09-13,18.874263763427734
2010-09-14,18.730880737304688
2010-09-15,18.906850814819336
2010-09-16,18.965503692626953
2010-09-17,19.01112937927246
2010-09-20,19.284854888916016
2010-09-21,19.369592666625977
2010-09-22,19.40217399597168
2010-09-23,19.252269744873047
2010-09-24,19.539031982421875
2010-09-27,19.258787155151367
2010-09-28,19.258787155151367
