Date,TXT
2010-01-04,18.450542449951172
2010-01-05,18.101680755615234
2010-01-06,18.7315616607666
2010-01-07,19.56493377685547
2010-01-08,19.749053955078125
2010-01-11,20.80530548095703
2010-01-12,20.669647216796875
2010-01-13,20.272335052490234
2010-01-14,22.084444046020508
2010-01-15,21.202617645263672
2010-01-19,22.268558502197266
2010-01-20,21.61931037902832
2010-01-21,20.766550064086914
2010-01-22,20.659954071044922
2010-01-25,20.4758358001709
2010-01-26,19.93317222595215
2010-01-27,20.34986686706543
2010-01-28,18.973817825317383
2010-01-29,18.92536735534668
2010-02-01,20.001001358032227
2010-02-02,20.03976821899414
2010-02-03,19.826576232910156
2010-02-04,18.954442977905273
2010-02-05,18.324565887451172
2010-02-08,18.13075065612793
2010-02-09,18.31488037109375
2010-02-10,18.29548454284668
2010-02-11,18.373016357421875
2010-02-12,17.752830505371094
2010-02-16,18.489299774169922
2010-02-17,18.469913482666016
2010-02-18,19.138561248779297
2010-02-19,19.07072639465332
2010-02-22,19.2645320892334
2010-02-23,18.92536735534668
2010-02-24,18.983516693115234
2010-02-25,18.847843170166016
2010-02-26,19.30329132080078
2010-03-01,19.584318161010742
2010-03-02,20.252946853637695
2010-03-03,20.582426071166992
2010-03-04,20.408000946044922
2010-03-05,21.13477325439453
2010-03-08,21.066951751708984
2010-03-09,20.950664520263672
2010-03-10,21.154356002807617
2010-03-11,21.581130981445312
2010-03-12,21.590822219848633
2010-03-15,21.387130737304688
2010-03-16,21.72661781311035
2010-03-17,21.85271644592285
2010-03-18,21.484128952026367
2010-03-19,21.542325973510742
2010-03-22,21.513227462768555
2010-03-23,21.775110244750977
2010-03-24,21.610219955444336
2010-03-25,21.115554809570312
2010-03-26,21.028263092041016
2010-03-29,21.047658920288086
2010-03-30,20.911863327026367
2010-03-31,20.59178924560547
2010-04-01,20.756681442260742
2010-04-05,20.688785552978516
2010-04-06,20.921573638916016
2010-04-07,21.513227462768555
2010-04-08,21.5035343170166
2010-04-09,21.425933837890625
2010-04-12,21.910911560058594
2010-04-13,21.872112274169922
2010-04-14,22.075794219970703
2010-04-15,21.65872573852539
2010-04-16,21.280447006225586
2010-04-19,20.911863327026367
2010-04-20,21.212549209594727
2010-04-21,20.950668334960938
2010-04-22,23.501604080200195
2010-04-23,23.133031845092773
2010-04-26,23.811983108520508
2010-04-27,22.551067352294922
2010-04-28,22.90024185180664
2010-04-29,22.812946319580078
2010-04-30,22.15338897705078
2010-05-03,22.783857345581055
2010-05-04,22.24068832397461
2010-05-05,22.570465087890625
2010-05-06,21.8236026763916
2010-05-07,19.767335891723633
2010-05-10,21.716917037963867
2010-05-11,21.95940399169922
2010-05-12,23.36581802368164
2010-05-13,22.822641372680664
2010-05-14,21.891496658325195
2010-05-17,21.29014015197754
2010-05-18,20.85367774963379
2010-05-19,20.43659782409668
2010-05-20,18.826496124267578
2010-05-21,19.951631546020508
2010-05-24,19.612154006958008
2010-05-25,18.933198928833008
2010-05-26,19.660640716552734
2010-05-27,20.620887756347656
2010-05-28,20.048625946044922
2010-06-01,19.292072296142578
2010-06-02,19.85463523864746
2010-06-03,20.029233932495117
2010-06-04,18.39002799987793
2010-06-07,17.66257667541504
2010-06-08,18.39002799987793
2010-06-09,18.137571334838867
2010-06-10,18.73957061767578
2010-06-11,18.89493179321289
2010-06-14,18.73957061767578
2010-06-15,19.65228271484375
2010-06-16,19.43866539001465
2010-06-17,19.370702743530273
2010-06-18,19.448381423950195
2010-06-21,19.428958892822266
2010-06-22,18.78812599182129
2010-06-23,18.46770477294922
2010-06-24,18.050189971923828
2010-06-25,18.749290466308594
2010-06-28,18.1181583404541
2010-06-29,16.312170028686523
2010-06-30,16.477231979370117
2010-07-01,15.894658088684082
2010-07-02,15.603363990783691
2010-07-06,15.807273864746094
2010-07-07,16.671424865722656
2010-07-08,16.545196533203125
2010-07-09,17.28312110900879
2010-07-12,17.1666202545166
2010-07-13,17.855998992919922
2010-07-14,17.72006607055664
2010-07-15,17.729778289794922
2010-07-16,16.83649253845215
2010-07-19,17.059818267822266
2010-07-20,17.554996490478516
2010-07-21,19.079402923583984
2010-07-22,19.632862091064453
2010-07-23,20.166889190673828
2010-07-26,20.555274963378906
2010-07-27,20.108638763427734
2010-07-28,20.030960083007812
2010-07-29,20.089214324951172
2010-07-30,20.15718650817871
2010-08-02,20.671789169311523
2010-08-03,20.47760581970215
2010-08-04,20.85626792907715
2010-08-05,20.739768981933594
2010-08-06,20.215438842773438
2010-08-09,20.37079429626465
2010-08-10,19.5357666015625
2010-08-11,18.41916275024414
2010-08-12,17.894840240478516
2010-08-13,17.632680892944336
2010-08-16,17.341388702392578
2010-08-17,17.836578369140625
2010-08-18,18.127872467041016
2010-08-19,17.622974395751953
2010-08-20,17.37051010131836
2010-08-23,16.914167404174805
2010-08-24,16.914167404174805
2010-08-25,16.85590362548828
2010-08-26,16.90445899963379
2010-08-27,17.341388702392578
2010-08-30,17.292842864990234
2010-08-31,16.57433319091797
2010-09-01,17.57440757751465
2010-09-02,17.875423431396484
2010-09-03,18.36090087890625
2010-09-07,17.710355758666992
2010-09-08,18.138042449951172
2010-09-09,18.079729080200195
2010-09-10,18.371335983276367
2010-09-13,18.64349937438965
2010-09-14,18.410215377807617
2010-09-15,18.381053924560547
2010-09-16,18.701818466186523
2010-09-17,18.6823787689209
2010-09-20,19.625247955322266
2010-09-21,19.72245216369629
2010-09-22,19.596086502075195
2010-09-23,19.0517520904541
2010-09-24,20.159870147705078
2010-09-27,20.17930793762207
2010-09-28,20.295949935913086
