Date,ERIE
2010-01-04,25.396303176879883
2010-01-05,25.021961212158203
2010-01-06,25.02841567993164
2010-01-07,25.125228881835938
2010-01-08,25.047780990600586
2010-01-11,25.047780990600586
2010-01-12,24.847705841064453
2010-01-13,25.07359504699707
2010-01-14,25.0671443939209
2010-01-15,24.847705841064453
2010-01-19,25.176856994628906
2010-01-20,25.015512466430664
2010-01-21,24.821895599365234
2010-01-22,24.647626876831055
2010-01-25,24.950969696044922
2010-01-26,24.828351974487305
2010-01-27,25.125228881835938
2010-01-28,24.854158401489258
2010-01-29,25.17040252685547
2010-02-01,25.054237365722656
2010-02-02,25.176856994628906
2010-02-03,24.841257095336914
2010-02-04,24.615365982055664
2010-02-05,24.841257095336914
2010-02-08,24.544374465942383
2010-02-09,24.660554885864258
2010-02-10,24.673446655273438
2010-02-11,24.834800720214844
2010-02-12,24.879981994628906
2010-02-16,25.09296226501465
2010-02-17,25.25430679321289
2010-02-18,25.493101119995117
2010-02-19,25.557641983032227
2010-02-22,25.551189422607422
2010-02-23,25.422109603881836
2010-02-24,25.576995849609375
2010-02-25,25.64801025390625
2010-02-26,25.570545196533203
2010-03-01,25.609272003173828
2010-03-02,25.751262664794922
2010-03-03,26.009416580200195
2010-03-04,26.112672805786133
2010-03-05,26.35148048400879
2010-03-08,26.086856842041016
2010-03-09,26.209489822387695
2010-03-10,26.22886085510254
2010-03-11,26.35148048400879
2010-03-12,26.396656036376953
2010-03-15,26.48700523376465
2010-03-16,26.770980834960938
2010-03-17,26.893619537353516
2010-03-18,26.848432540893555
2010-03-19,27.016237258911133
2010-03-22,26.958158493041992
2010-03-23,27.113046646118164
2010-03-24,27.048505783081055
2010-03-25,27.119489669799805
2010-03-26,27.397024154663086
2010-03-29,27.526092529296875
2010-03-30,27.429283142089844
2010-03-31,27.835887908935547
2010-04-01,27.79673194885254
2010-04-05,28.103487014770508
2010-04-06,28.201377868652344
2010-04-07,28.52118492126465
2010-04-08,28.358013153076172
2010-04-09,28.62560272216797
2010-04-12,28.54728126525879
2010-04-13,28.64518928527832
2010-04-14,29.226051330566406
2010-04-15,29.42184829711914
2010-04-16,28.984580993652344
2010-04-19,28.978038787841797
2010-04-20,29.108577728271484
2010-04-21,29.51973533630371
2010-04-22,29.84607696533203
2010-04-23,29.793865203857422
2010-04-26,29.97008514404297
2010-04-27,29.29132080078125
2010-04-28,29.500173568725586
2010-04-29,30.139774322509766
2010-04-30,30.028820037841797
2010-05-03,30.453052520751953
2010-05-04,30.329042434692383
2010-05-05,30.342084884643555
2010-05-06,29.709014892578125
2010-05-07,28.847501754760742
2010-05-10,29.74817657470703
2010-05-11,30.263778686523438
2010-05-12,30.603151321411133
2010-05-13,30.4073543548584
2010-05-14,30.21809196472168
2010-05-17,30.420412063598633
2010-05-18,30.133237838745117
2010-05-19,30.244205474853516
2010-05-20,28.951927185058594
2010-05-21,29.21299171447754
2010-05-24,28.76266860961914
2010-05-25,28.592973709106445
2010-05-26,28.99761962890625
2010-05-27,30.387779235839844
2010-05-28,29.937454223632812
2010-06-01,29.454471588134766
2010-06-02,30.191972732543945
2010-06-03,30.30293083190918
2010-06-04,29.258678436279297
2010-06-07,29.271738052368164
2010-06-08,29.663330078125
2010-06-09,29.454471588134766
2010-06-10,30.022294998168945
2010-06-11,30.17241096496582
2010-06-14,30.048397064208984
2010-06-15,30.4073543548584
2010-06-16,30.420412063598633
2010-06-17,30.42694091796875
2010-06-18,30.43345832824707
2010-06-21,30.25071907043457
2010-06-22,30.15282440185547
2010-06-23,29.793865203857422
2010-06-24,29.4805850982666
2010-06-25,30.27029800415039
2010-06-28,30.30946159362793
2010-06-29,29.800392150878906
2010-06-30,29.69596290588379
2010-07-01,29.273815155029297
2010-07-02,29.570634841918945
2010-07-06,29.4585018157959
2010-07-07,30.335790634155273
2010-07-08,30.56666374206543
2010-07-09,30.889867782592773
2010-07-12,30.837085723876953
2010-07-13,31.417566299438477
2010-07-14,31.49671173095703
2010-07-15,31.63524055480957
2010-07-16,31.087759017944336
2010-07-19,31.424158096313477
2010-07-20,31.826534271240234
2010-07-21,31.38459587097168
2010-07-22,31.46373748779297
2010-07-23,31.879295349121094
2010-07-26,32.19590377807617
2010-07-27,32.45977020263672
2010-07-28,32.156341552734375
2010-07-29,32.11016082763672
2010-07-30,32.341033935546875
2010-08-02,32.97425842285156
2010-08-03,33.15895462036133
2010-08-04,33.356834411621094
2010-08-05,33.4953498840332
2010-08-06,33.5283317565918
2010-08-09,33.970272064208984
2010-08-10,33.877933502197266
2010-08-11,33.277687072753906
2010-08-12,33.079803466796875
2010-08-13,32.55869674682617
2010-08-16,32.71039962768555
2010-08-17,33.1523551940918
2010-08-18,33.541526794433594
2010-08-19,33.17213821411133
2010-08-20,33.84495162963867
2010-08-23,33.57451248168945
2010-08-24,33.26450729370117
2010-08-25,33.60749816894531
2010-08-26,33.831756591796875
2010-08-27,34.4254150390625
2010-08-30,34.023048400878906
2010-08-31,34.62990188598633
2010-09-01,35.658905029296875
2010-09-02,35.58634567260742
2010-09-03,35.61932373046875
2010-09-07,35.19717788696289
2010-09-08,35.388465881347656
2010-09-09,35.78422927856445
2010-09-10,35.86997985839844
2010-09-13,36.00849533081055
2010-09-14,36.259151458740234
2010-09-15,36.27894592285156
2010-09-16,36.410865783691406
2010-09-17,36.575775146484375
2010-09-20,36.91877365112305
2010-09-21,37.07047653198242
2010-09-22,36.70769119262695
2010-09-23,36.450443267822266
2010-09-24,36.72087860107422
2010-09-27,36.503211975097656
2010-09-28,36.93196105957031
