Date,AIZ
2010-01-04,22.226444244384766
2010-01-05,22.889698028564453
2010-01-06,22.823368072509766
2010-01-07,23.103408813476562
2010-01-08,23.118152618408203
2010-01-11,23.280275344848633
2010-01-12,23.06656837463379
2010-01-13,23.280275344848633
2010-01-14,23.03708267211914
2010-01-15,22.49911117553711
2010-01-19,22.720203399658203
2010-01-20,22.329612731933594
2010-01-21,23.06656837463379
2010-01-22,23.4571475982666
2010-01-25,23.67085838317871
2010-01-26,23.206588745117188
2010-01-27,23.47188949584961
2010-01-28,23.272907257080078
2010-01-29,23.162364959716797
2010-02-01,23.3392333984375
2010-02-02,23.663501739501953
2010-02-03,23.331859588623047
2010-02-04,23.38345718383789
2010-02-05,22.786521911621094
2010-02-08,22.226444244384766
2010-02-09,22.381202697753906
2010-02-10,22.204334259033203
2010-02-11,21.931652069091797
2010-02-12,22.005353927612305
2010-02-16,22.70545768737793
2010-02-17,22.631763458251953
2010-02-18,22.698421478271484
2010-02-19,22.890954971313477
2010-02-22,22.816909790039062
2010-02-23,22.535490036010742
2010-02-24,22.920583724975586
2010-02-25,22.631763458251953
2010-02-26,22.602142333984375
2010-03-01,22.698421478271484
2010-03-02,22.757667541503906
2010-03-03,22.78728675842285
2010-03-04,22.935400009155273
2010-03-05,23.461200714111328
2010-03-08,23.861106872558594
2010-03-09,23.949975967407227
2010-03-10,24.14992332458496
2010-03-11,24.42393684387207
2010-03-12,24.36469078063965
2010-03-15,24.157339096069336
2010-03-16,24.54242706298828
2010-03-17,24.809036254882812
2010-03-18,24.660924911499023
2010-03-19,24.586854934692383
2010-03-22,24.69795036315918
2010-03-23,24.56464385986328
2010-03-24,24.79422378540039
2010-03-25,24.93492317199707
2010-03-26,25.157100677490234
2010-03-29,25.453332901000977
2010-03-30,25.43110466003418
2010-03-31,25.460729598999023
2010-04-01,25.838424682617188
2010-04-05,26.386449813842773
2010-04-06,26.2679500579834
2010-04-07,25.84583282470703
2010-04-08,25.742149353027344
2010-04-09,25.64588165283203
2010-04-12,25.890268325805664
2010-04-13,25.934694290161133
2010-04-14,26.504941940307617
2010-04-15,26.43087387084961
2010-04-16,25.50516700744629
2010-04-19,25.838424682617188
2010-04-20,25.919891357421875
2010-04-21,25.875452041625977
2010-04-22,25.860639572143555
2010-04-23,25.838424682617188
2010-04-26,25.875452041625977
2010-04-27,25.0238037109375
2010-04-28,24.949743270874023
2010-04-29,26.92705535888672
2010-04-30,26.978891372680664
2010-05-03,27.082582473754883
2010-05-04,26.36422348022461
2010-05-05,26.993715286254883
2010-05-06,26.11983871459961
2010-05-07,25.660694122314453
2010-05-10,27.060361862182617
2010-05-11,26.85300064086914
2010-05-12,27.534320831298828
2010-05-13,27.415821075439453
2010-05-14,26.564186096191406
2010-05-17,26.83819007873535
2010-05-18,26.134658813476562
2010-05-19,26.230920791625977
2010-05-20,25.167110443115234
2010-05-21,25.516746520996094
2010-05-24,24.951370239257812
2010-05-25,25.568832397460938
2010-05-26,25.434921264648438
2010-05-27,26.260684967041016
2010-05-28,25.81432342529297
2010-06-01,25.754810333251953
2010-06-02,26.573122024536133
2010-06-03,26.617767333984375
2010-06-04,25.524192810058594
2010-06-07,25.122472763061523
2010-06-08,25.382841110229492
2010-06-09,25.2935733795166
2010-06-10,26.290437698364258
2010-06-11,26.66983985900879
2010-06-14,26.595449447631836
2010-06-15,27.458406448364258
2010-06-16,27.428640365600586
2010-06-17,27.703895568847656
2010-06-18,27.56255340576172
2010-06-21,27.525354385375977
2010-06-22,27.28730010986328
2010-06-23,27.093873977661133
2010-06-24,26.736799240112305
2010-06-25,26.811185836791992
2010-06-28,27.227783203125
2010-06-29,25.955671310424805
2010-06-30,25.81432342529297
2010-07-01,25.672971725463867
2010-07-02,25.434921264648438
2010-07-06,25.583709716796875
2010-07-07,26.640087127685547
2010-07-08,26.66983985900879
2010-07-09,26.69217300415039
2010-07-12,26.216045379638672
2010-07-13,27.131080627441406
2010-07-14,27.324499130249023
2010-07-15,27.4956111907959
2010-07-16,27.212915420532227
2010-07-19,27.339378356933594
2010-07-20,27.9047794342041
2010-07-21,27.06412124633789
2010-07-22,27.473289489746094
2010-07-23,27.38401222229004
2010-07-26,27.532808303833008
2010-07-27,27.235231399536133
2010-07-28,27.138521194458008
2010-07-29,27.659265518188477
2010-07-30,27.74110221862793
2010-08-02,28.45527458190918
2010-08-03,28.217220306396484
2010-08-04,27.659265518188477
2010-08-05,27.979167938232422
2010-08-06,27.979167938232422
2010-08-09,28.20977210998535
2010-08-10,28.358558654785156
2010-08-11,27.525354385375977
2010-08-12,27.413772583007812
2010-08-13,27.532808303833008
2010-08-16,27.26498031616211
2010-08-17,27.860136032104492
2010-08-18,27.919635772705078
2010-08-19,27.317058563232422
2010-08-20,27.049243927001953
2010-08-23,26.922779083251953
2010-08-24,26.55080795288086
2010-08-25,26.721914291381836
2010-08-26,26.766740798950195
2010-08-27,27.536426544189453
2010-08-30,26.90872573852539
2010-08-31,27.319721221923828
2010-09-01,28.066978454589844
2010-09-02,28.11180877685547
2010-09-03,28.93379783630371
2010-09-07,28.64236831665039
2010-09-08,29.083250045776367
2010-09-09,29.113134384155273
2010-09-10,29.29994773864746
2010-09-13,29.613807678222656
2010-09-14,29.696001052856445
2010-09-15,30.032268524169922
2010-09-16,29.830501556396484
2010-09-17,29.890283584594727
2010-09-20,30.338642120361328
2010-09-21,30.12940216064453
2010-09-22,29.852914810180664
2010-09-23,29.39710235595703
2010-09-24,30.166778564453125
2010-09-27,30.181716918945312
2010-09-28,30.308757781982422
