Date,OXY
2010-01-04,51.23121643066406
2010-01-05,50.861305236816406
2010-01-06,51.47165298461914
2010-01-07,51.08943176269531
2010-01-08,51.61345291137695
2010-01-11,51.14492416381836
2010-01-12,49.41872024536133
2010-01-13,49.09195327758789
2010-01-14,49.47418212890625
2010-01-15,48.65425491333008
2010-01-19,48.92550277709961
2010-01-20,48.2165412902832
2010-01-21,46.860233306884766
2010-01-22,46.91572570800781
2010-01-25,47.87129592895508
2010-01-26,47.260955810546875
2010-01-27,47.11916732788086
2010-01-28,47.7788200378418
2010-01-29,48.29667663574219
2010-02-01,49.21525192260742
2010-02-02,49.8009147644043
2010-02-03,49.400203704833984
2010-02-04,47.125335693359375
2010-02-05,47.29177474975586
2010-02-08,47.039005279541016
2010-02-09,48.03158950805664
2010-02-10,48.32748794555664
2010-02-11,49.6036491394043
2010-02-12,49.196754455566406
2010-02-16,50.04755401611328
2010-02-17,49.899574279785156
2010-02-18,49.930389404296875
2010-02-19,50.25098419189453
2010-02-22,49.326236724853516
2010-02-23,48.709716796875
2010-02-24,49.042633056640625
2010-02-25,48.7220573425293
2010-02-26,49.22758102416992
2010-03-01,49.78243637084961
2010-03-02,50.05988693237305
2010-03-03,49.955047607421875
2010-03-04,50.09068298339844
2010-03-05,50.51607131958008
2010-03-08,50.44180679321289
2010-03-09,50.44180679321289
2010-03-10,50.73893356323242
2010-03-11,50.67082977294922
2010-03-12,50.6584587097168
2010-03-15,50.175628662109375
2010-03-16,50.98652648925781
2010-03-17,51.50645065307617
2010-03-18,51.07316589355469
2010-03-19,51.116512298583984
2010-03-22,51.110313415527344
2010-03-23,51.57456588745117
2010-03-24,51.34553146362305
2010-03-25,50.45417785644531
2010-03-26,50.59035873413086
2010-03-29,52.08213806152344
2010-03-30,52.162593841552734
2010-03-31,52.3297119140625
2010-04-01,53.60485076904297
2010-04-05,54.725215911865234
2010-04-06,54.77475357055664
2010-04-07,53.41917419433594
2010-04-08,53.59247970581055
2010-04-09,53.58009338378906
2010-04-12,53.72246170043945
2010-04-13,53.04158020019531
2010-04-14,53.33248519897461
2010-04-15,53.52437210083008
2010-04-16,52.65161895751953
2010-04-19,52.422584533691406
2010-04-20,53.59865188598633
2010-04-21,53.15918731689453
2010-04-22,52.800174713134766
2010-04-23,54.149559020996094
2010-04-26,54.10624694824219
2010-04-27,52.212120056152344
2010-04-28,52.552555084228516
2010-04-29,53.38822555541992
2010-04-30,54.87997055053711
2010-05-03,55.70323181152344
2010-05-04,53.56770706176758
2010-05-05,51.30220031738281
2010-05-06,49.77946472167969
2010-05-07,49.8970832824707
2010-05-10,52.09450149536133
2010-05-11,51.39505386352539
2010-05-12,52.459720611572266
2010-05-13,51.6364631652832
2010-05-14,50.732749938964844
2010-05-17,49.84756088256836
2010-05-18,50.095157623291016
2010-05-19,49.23476028442383
2010-05-20,48.071044921875
2010-05-21,49.154293060302734
2010-05-24,48.21962356567383
2010-05-25,48.86337661743164
2010-05-26,48.3929443359375
2010-05-27,51.023643493652344
2010-05-28,51.07316589355469
2010-06-01,49.562828063964844
2010-06-02,50.66462326049805
2010-06-03,51.32695007324219
2010-06-04,48.5414924621582
2010-06-07,48.73957443237305
2010-06-08,49.81562042236328
2010-06-09,49.740989685058594
