Date,AAPL
2010-01-04,6.431897163391113
2010-01-05,6.443017482757568
2010-01-06,6.340531349182129
2010-01-07,6.328810214996338
2010-01-08,6.370885372161865
2010-01-11,6.314685344696045
2010-01-12,6.242854595184326
2010-01-13,6.330913066864014
2010-01-14,6.294250965118408
2010-01-15,6.189058303833008
2010-01-19,6.462850093841553
2010-01-20,6.363373756408691
2010-01-21,6.253373622894287
2010-01-22,5.943216323852539
2010-01-25,6.103102207183838
2010-01-26,6.18936014175415
2010-01-27,6.247664928436279
2010-01-28,5.989497184753418
2010-01-29,5.772205829620361
2010-02-01,5.852450370788574
2010-02-02,5.886412620544434
2010-02-03,5.987693786621094
2010-02-04,5.771907329559326
2010-02-05,5.874392986297607
2010-02-08,5.834120273590088
2010-02-09,5.896329402923584
2010-02-10,5.864172458648682
2010-02-11,5.970862865447998
2010-02-12,6.022258758544922
2010-02-16,6.113020420074463
2010-02-17,6.08747673034668
2010-02-18,6.098897933959961
2010-02-19,6.061027526855469
2010-02-22,6.0234599113464355
2010-02-23,5.922478199005127
2010-02-24,6.030673027038574
2010-02-25,6.0709452629089355
2010-02-26,6.149686813354492
2010-03-01,6.281025409698486
2010-03-02,6.276817798614502
2010-03-03,6.291244029998779
2010-03-04,6.332717418670654
2010-03-05,6.5803632736206055
2010-03-08,6.58427095413208
2010-03-09,6.70268440246582
2010-03-10,6.757384300231934
2010-03-11,6.777218341827393
2010-03-12,6.810277938842773
2010-03-15,6.727329730987549
2010-03-16,6.745662689208984
2010-03-17,6.735743522644043
2010-03-18,6.751673698425293
2010-03-19,6.6795430183410645
2010-03-22,6.754679203033447
2010-03-23,6.863171577453613
2010-03-24,6.893528938293457
2010-03-25,6.8117804527282715
2010-03-26,6.939515113830566
2010-03-29,6.9842915534973145
2010-03-30,7.0882792472839355
2010-03-31,7.062732696533203
2010-04-01,7.091886043548584
2010-04-05,7.167624473571777
2010-04-06,7.199180603027344
2010-04-07,7.23103666305542
2010-04-08,7.2115020751953125
2010-04-09,7.266800403594971
2010-04-12,7.281829833984375
2010-04-13,7.286035537719727
2010-04-14,7.384013652801514
2010-04-15,7.481086254119873
2010-04-16,7.435403823852539
2010-04-19,7.42548942565918
2010-04-20,7.3509521484375
2010-04-21,7.790645599365234
2010-04-22,8.008539199829102
2010-04-23,8.139575004577637
2010-04-26,8.099603652954102
2010-04-27,7.875397682189941
2010-04-28,7.862171649932861
2010-04-29,8.073753356933594
2010-04-30,7.8468475341796875
2010-05-03,8.004931449890137
2010-05-04,7.774417877197266
2010-05-05,7.693571090698242
2010-05-06,7.400843620300293
2010-05-07,7.088581562042236
2010-05-10,7.633461952209473
2010-05-11,7.709501266479492
2010-05-12,7.87690544128418
2010-05-13,7.764800548553467
2010-05-14,7.628354072570801
2010-05-17,7.640377998352051
2010-05-18,7.584475994110107
2010-05-19,7.463655948638916
2010-05-20,7.145684719085693
2010-05-21,7.282729148864746
2010-05-24,7.416170120239258
2010-05-25,7.369887828826904
2010-05-26,7.336529731750488
2010-05-27,7.614229202270508
2010-05-28,7.7203192710876465
2010-06-01,7.839035511016846
2010-06-02,7.932802200317383
2010-06-03,7.907858848571777
2010-06-04,7.69266939163208
2010-06-07,7.541800498962402
2010-06-08,7.493409633636475
2010-06-09,7.309176445007324
2010-06-10,7.528875350952148
2010-06-11,7.61903715133667
2010-06-14,7.642177581787109
2010-06-15,7.8047709465026855
2010-06-16,8.031983375549316
2010-06-17,8.170829772949219
2010-06-18,8.236949920654297
2010-06-21,8.119739532470703
2010-06-22,8.230337142944336
2010-06-23,8.143779754638672
2010-06-24,8.08458137512207
2010-06-25,8.015453338623047
2010-06-28,8.063538551330566
2010-06-29,7.698981285095215
2010-06-30,7.55952787399292
2010-07-01,7.467864036560059
2010-07-02,7.4215803146362305
2010-07-06,7.472375392913818
2010-07-07,7.774113178253174
2010-07-08,7.756686687469482
2010-07-09,7.802669048309326
2010-07-12,7.732639312744141
2010-07-13,7.5676445960998535
2010-07-14,7.5955939292907715
2010-07-15,7.557125568389893
2010-07-16,7.510542392730713
2010-07-19,7.380707740783691
2010-07-20,7.570344924926758
2010-07-21,7.640975475311279
2010-07-22,7.7846360206604
2010-07-23,7.81228494644165
2010-07-26,7.792448997497559
2010-07-27,7.936708927154541
2010-07-28,7.842942714691162
2010-07-29,7.757287979125977
2010-07-30,7.731438159942627
2010-08-02,7.869689464569092
2010-08-03,7.872093677520752
2010-08-04,7.903648853302002
2010-08-05,7.8651814460754395
2010-08-06,7.816792964935303
2010-08-09,7.866684436798096
2010-08-10,7.796356678009033
2010-08-11,7.5192551612854
2010-08-12,7.567342758178711
2010-08-13,7.486499309539795
2010-08-16,7.442617416381836
2010-08-17,7.572752475738525
2010-08-18,7.605811595916748
2010-08-19,7.509941101074219
2010-08-20,7.502727508544922
2010-08-23,7.3873209953308105
2010-08-24,7.2108988761901855
2010-08-25,7.299859523773193
2010-08-26,7.221417427062988
2010-08-27,7.261690616607666
2010-08-30,7.288141250610352
2010-08-31,7.306172847747803
2010-09-01,7.523465633392334
2010-09-02,7.578765392303467
2010-09-03,7.77712345123291
2010-09-07,7.748269081115723
2010-09-08,7.9018449783325195
2010-09-09,7.906355381011963
2010-09-10,7.916572093963623
2010-09-13,8.025670051574707
2010-09-14,8.056325912475586
2010-09-15,8.121240615844727
2010-09-16,8.312082290649414
2010-09-17,8.276020050048828
2010-09-20,8.512246131896973
2010-09-21,8.528474807739258
2010-09-22,8.648090362548828
2010-09-23,8.683255195617676
2010-09-24,8.785439491271973
