Date,BAC
2010-01-04,12.300464630126953
2010-01-05,12.700291633605957
2010-01-06,12.849244117736816
2010-01-07,13.272588729858398
2010-01-08,13.15499210357666
2010-01-11,13.272588729858398
2010-01-12,12.825729370117188
2010-01-13,13.029557228088379
2010-01-14,13.186348915100098
2010-01-15,12.747331619262695
2010-01-19,12.794366836547852
2010-01-20,12.927638053894043
2010-01-21,12.12799072265625
2010-01-22,11.681130409240723
2010-01-25,11.743849754333496
2010-01-26,11.579216003417969
2010-01-27,11.908480644226074
2010-01-28,12.049593925476074
2010-01-29,11.900644302368164
2010-02-01,12.088796615600586
2010-02-02,12.229910850524902
2010-02-03,12.175031661987305
2010-02-04,11.56353759765625
2010-02-05,11.759526252746582
2010-02-08,11.351865768432617
2010-02-09,11.34402847290039
2010-02-10,11.50082015991211
2010-02-11,11.469463348388672
2010-02-12,11.328347206115723
2010-02-16,11.884960174560547
2010-02-17,12.276948928833008
2010-02-18,12.449419021606445
2010-02-19,12.449419021606445
2010-02-22,12.70812702178955
2010-02-23,12.496460914611816
2010-02-24,12.802205085754395
2010-02-25,12.974678993225098
2010-02-26,13.06091594696045
2010-03-01,13.100113868713379
2010-03-02,12.904121398925781
2010-03-03,12.841367721557617
2010-03-04,12.864898681640625
2010-03-05,13.100238800048828
2010-03-08,13.131608963012695
2010-03-09,13.178677558898926
2010-03-10,13.421859741210938
2010-03-11,13.429704666137695
2010-03-12,13.217901229858398
2010-03-15,13.217901229858398
2010-03-16,13.359105110168457
2010-03-17,13.547365188598633
2010-03-18,13.398323059082031
2010-03-19,13.194363594055176
2010-03-22,13.304187774658203
2010-03-23,13.437546730041504
2010-03-24,13.78270149230957
2010-03-25,13.916062355041504
2010-03-26,14.041566848754883
2010-03-29,14.151391983032227
2010-03-30,13.931745529174805
2010-03-31,14.002350807189941
2010-04-01,14.151391983032227
2010-04-05,14.221994400024414
2010-04-06,14.504390716552734
2010-04-07,14.60637378692627
2010-04-08,14.629898071289062
2010-04-09,14.582833290100098
2010-04-12,14.637749671936035
2010-04-13,14.645587921142578
2010-04-14,15.218234062194824
2010-04-15,15.280989646911621
2010-04-16,14.44163703918457
2010-04-19,14.425948143005371
2010-04-20,14.598522186279297
2010-04-21,14.339655876159668
2010-04-22,14.543611526489258
2010-04-23,14.457326889038086
2010-04-26,14.159233093261719
2010-04-27,13.704257011413574
2010-04-28,13.947439193725586
2010-04-29,14.355347633361816
2010-04-30,13.986656188964844
2010-05-03,14.16707706451416
2010-05-04,13.774858474731445
2010-05-05,13.751326560974121
2010-05-06,12.770769119262695
2010-05-07,12.6923246383667
2010-05-10,13.570898056030273
2010-05-11,13.461077690124512
2010-05-12,13.39047908782959
2010-05-13,13.233591079711914
2010-05-14,12.817832946777344
2010-05-17,12.825675964355469
2010-05-18,12.511898040771484
2010-05-19,12.79430103302002
2010-05-20,12.002012252807617
2010-05-21,12.5432767868042
2010-05-24,12.08045482635498
2010-05-25,12.151056289672852
2010-05-26,12.135364532470703
2010-05-27,12.6923246383667
2010-05-28,12.347163200378418
2010-06-01,12.111828804016113
2010-06-02,12.472909927368164
2010-06-03,12.410117149353027
2010-06-04,12.049036026000977
2010-06-07,11.64085578918457
2010-06-08,12.033339500427246
2010-06-09,11.782153129577637
2010-06-10,12.135380744934082
2010-06-11,12.245280265808105
2010-06-14,12.096134185791016
2010-06-15,12.402265548706055
2010-06-16,12.45721435546875
2010-06-17,12.41796588897705
2010-06-18,12.41796588897705
2010-06-21,12.394416809082031
2010-06-22,12.22957706451416
2010-06-23,12.111834526062012
2010-06-24,11.790003776550293
2010-06-25,12.103983879089355
2010-06-28,11.962689399719238
2010-06-29,11.436771392822266
2010-06-30,11.27978229522705
2010-07-01,11.005049705505371
2010-07-02,10.86375617980957
2010-07-06,11.036445617675781
2010-07-07,11.546666145324707
2010-07-08,11.664408683776855
2010-07-09,11.860645294189453
2010-07-12,11.9391450881958
2010-07-13,12.300225257873535
2010-07-14,12.300225257873535
2010-07-15,12.080436706542969
2010-07-16,10.973650932312012
2010-07-19,10.68321704864502
2010-07-20,10.808810234069824
2010-07-21,10.486976623535156
2010-07-22,10.722461700439453
2010-07-23,10.785261154174805
2010-07-26,11.107090950012207
2010-07-27,11.1384916305542
2010-07-28,10.981498718261719
2010-07-29,11.012897491455078
2010-07-30,11.020748138427734
2010-08-02,11.334725379943848
2010-08-03,11.25623607635498
2010-08-04,11.1384916305542
2010-08-05,11.005049705505371
2010-08-06,10.957947731018066
2010-08-09,10.91870403289795
2010-08-10,10.698917388916016
2010-08-11,10.353537559509277
2010-08-12,10.251492500305176
2010-08-13,10.38493537902832
2010-08-16,10.353537559509277
2010-08-17,10.369234085083008
2010-08-18,10.455581665039062
2010-08-19,10.220094680786133
2010-08-20,10.102354049682617
2010-08-23,10.102354049682617
2010-08-24,9.9218168258667
2010-08-25,9.93751335144043
2010-08-26,9.788370132446289
2010-08-27,9.9218168258667
2010-08-30,9.670625686645508
2010-08-31,9.78052043914795
2010-09-01,10.377562522888184
2010-09-02,10.4325532913208
2010-09-03,10.60538101196289
2010-09-07,10.377562522888184
2010-09-08,10.503260612487793
2010-09-09,10.60538101196289
2010-09-10,10.64466381072998
2010-09-13,10.958895683288574
2010-09-14,10.746790885925293
2010-09-15,10.770358085632324
2010-09-16,10.64466381072998
2010-09-17,10.526823997497559
2010-09-20,10.793924331665039
2010-09-21,10.723223686218262
2010-09-22,10.5425386428833
2010-09-23,10.34614086151123
2010-09-24,10.683943748474121
2010-09-27,10.401134490966797
2010-09-28,10.424702644348145
