Date,ROK
2010-01-04,34.67876434326172
2010-01-05,34.402652740478516
2010-01-06,35.05657958984375
2010-01-07,35.4416618347168
2010-01-08,35.93570327758789
2010-01-11,35.601497650146484
2010-01-12,35.034786224365234
2010-01-13,35.20191192626953
2010-01-14,35.310874938964844
2010-01-15,34.64970016479492
2010-01-19,35.725013732910156
2010-01-20,35.136497497558594
2010-01-21,34.64244842529297
2010-01-22,33.43634796142578
2010-01-25,33.87955093383789
2010-01-26,33.53806686401367
2010-01-27,36.93836212158203
2010-01-28,36.284481048583984
2010-01-29,35.0493049621582
2010-02-01,36.146427154541016
2010-02-02,36.09557342529297
2010-02-03,35.768611907958984
2010-02-04,34.80955123901367
2010-02-05,35.2454833984375
2010-02-08,34.664241790771484
2010-02-09,35.964786529541016
2010-02-10,36.11735916137695
2010-02-11,37.06743240356445
2010-02-12,37.5863151550293
2010-02-16,38.609474182128906
2010-02-17,38.79949188232422
2010-02-18,39.303749084472656
2010-02-19,39.69109344482422
2010-02-22,39.4937744140625
2010-02-23,38.91641616821289
2010-02-24,39.303749084472656
2010-02-25,39.11375045776367
2010-02-26,39.53030776977539
2010-03-01,40.29038619995117
2010-03-02,40.67038345336914
2010-03-03,40.385379791259766
2010-03-04,40.195369720458984
2010-03-05,40.911563873291016
2010-03-08,41.02848815917969
2010-03-09,40.96271896362305
2010-03-10,41.0431022644043
2010-03-11,40.80924987792969
2010-03-12,40.45846939086914
2010-03-15,40.188053131103516
2010-03-16,40.43653869628906
2010-03-17,40.36344909667969
2010-03-18,40.29038619995117
2010-03-19,40.46577072143555
2010-03-22,40.823875427246094
2010-03-23,41.49623107910156
2010-03-24,40.79463577270508
2010-03-25,40.86771011352539
2010-03-26,40.50960159301758
2010-03-29,40.59729766845703
2010-03-30,41.0431022644043
2010-03-31,41.18928146362305
2010-04-01,41.393898010253906
2010-04-05,41.890872955322266
2010-04-06,42.41706848144531
2010-04-07,42.10281753540039
2010-04-08,43.10404586791992
2010-04-09,43.22097396850586
2010-04-12,43.564456939697266
2010-04-13,43.213680267333984
2010-04-14,44.127197265625
2010-04-15,44.43415069580078
2010-04-16,43.856781005859375
2010-04-19,43.315975189208984
2010-04-20,44.353763580322266
2010-04-21,44.15643310546875
2010-04-22,45.362281799316406
2010-04-23,45.83002853393555
2010-04-26,45.917720794677734
2010-04-27,44.777618408203125
2010-04-28,44.70454025268555
2010-04-29,45.23805236816406
2010-04-30,44.37568664550781
2010-05-03,45.764259338378906
2010-05-04,43.7983283996582
2010-05-05,43.5206184387207
2010-05-06,41.91279602050781
2010-05-07,41.32082748413086
2010-05-10,43.87872314453125
2010-05-11,43.907962799072266
2010-05-12,45.58884811401367
2010-05-13,44.898681640625
2010-05-14,43.54032897949219
2010-05-17,43.547672271728516
2010-05-18,42.56378936767578
2010-05-19,41.63129806518555
2010-05-20,38.29787063598633
2010-05-21,39.245033264160156
2010-05-24,38.782470703125
2010-05-25,38.06291198730469
2010-05-26,38.51078414916992
2010-05-27,39.847103118896484
2010-05-28,39.23033142089844
2010-06-01,38.341915130615234
2010-06-02,39.722293853759766
2010-06-03,40.19953918457031
2010-06-04,37.78388595581055
2010-06-07,36.41086959838867
2010-06-08,37.02762985229492
2010-06-09,36.917484283447266
2010-06-10,38.694358825683594
2010-06-11,38.82651138305664
2010-06-14,38.004180908203125
2010-06-15,39.722293853759766
2010-06-16,39.67823791503906
2010-06-17,39.51669692993164
2010-06-18,39.52404022216797
2010-06-21,39.61215591430664
2010-06-22,38.33457565307617
2010-06-23,38.18772506713867
2010-06-24,37.424110412597656
2010-06-25,38.28318786621094
2010-06-28,37.87199020385742
2010-06-29,36.058441162109375
2010-06-30,36.04375076293945
2010-07-01,36.036407470703125
2010-07-02,36.24932098388672
2010-07-06,36.09515380859375
2010-07-07,37.22587203979492
2010-07-08,37.93073654174805
2010-07-09,38.19507598876953
2010-07-12,37.73249053955078
2010-07-13,38.67231750488281
2010-07-14,38.569515228271484
2010-07-15,38.0482292175293
2010-07-16,37.07167434692383
2010-07-19,37.416778564453125
2010-07-20,37.98948287963867
2010-07-21,37.77655792236328
2010-07-22,39.08348846435547
2010-07-23,40.0673713684082
2010-07-26,40.955810546875
2010-07-27,41.08797073364258
2010-07-28,40.03800964355469
2010-07-29,40.09674835205078
2010-07-30,39.759002685546875
2010-08-02,40.860328674316406
2010-08-03,40.61804962158203
2010-08-04,41.058589935302734
2010-08-05,41.381656646728516
2010-08-06,41.205448150634766
2010-08-09,41.6533203125
2010-08-10,41.4991340637207
2010-08-11,38.55485534667969
2010-08-12,37.9635124206543
2010-08-13,38.044822692871094
2010-08-16,37.62349319458008
2010-08-17,38.31831741333008
2010-08-18,38.806156158447266
2010-08-19,37.741764068603516
2010-08-20,37.37956237792969
2010-08-23,36.854766845703125
2010-08-24,36.47779846191406
2010-08-25,36.86954879760742
2010-08-26,37.52740478515625
2010-08-27,38.69528579711914
2010-08-30,37.741764068603516
2010-08-31,37.80089569091797
2010-09-01,39.493587493896484
2010-09-02,40.328853607177734
2010-09-03,41.0014762878418
2010-09-07,40.498844146728516
2010-09-08,41.66673278808594
2010-09-09,41.53367233276367
2010-09-10,42.53156280517578
2010-09-13,44.05423355102539
2010-09-14,44.01727294921875
2010-09-15,43.86943054199219
2010-09-16,43.90640640258789
2010-09-17,44.312931060791016
2010-09-20,45.214725494384766
2010-09-21,44.88949203491211
2010-09-22,44.53468704223633
2010-09-23,44.157718658447266
2010-09-24,45.613868713378906
2010-09-27,45.22950744628906
2010-09-28,45.99085235595703
