Date,ADI
2010-01-04,22.062070846557617
2010-01-05,22.02724838256836
2010-01-06,21.98544692993164
2010-01-07,21.81129264831543
2010-01-08,21.936677932739258
2010-01-11,21.81129264831543
2010-01-12,20.90568733215332
2010-01-13,20.898714065551758
2010-01-14,20.877809524536133
2010-01-15,20.17422103881836
2010-01-19,20.529502868652344
2010-01-20,20.153331756591797
2010-01-21,20.243881225585938
2010-01-22,19.338272094726562
2010-01-25,19.51243019104004
2010-01-26,19.226816177368164
2010-01-27,19.296480178833008
2010-01-28,18.91333770751953
2010-01-29,18.78097915649414
2010-02-01,19.17108726501465
2010-02-02,19.352205276489258
2010-02-03,19.261646270751953
2010-02-04,18.46053695678711
2010-02-05,18.73918342590332
2010-02-08,18.669519424438477
2010-02-09,18.892440795898438
2010-02-10,18.843677520751953
2010-02-11,19.27558135986328
2010-02-12,19.498498916625977
2010-02-16,19.923446655273438
2010-02-17,19.770179748535156
2010-02-18,20.599159240722656
2010-02-19,20.724559783935547
2010-02-22,20.822084426879883
2010-02-23,20.30658721923828
2010-02-24,20.54343605041504
2010-02-25,20.640960693359375
2010-02-26,20.369277954101562
2010-03-01,20.773319244384766
2010-03-02,20.63399314880371
2010-03-03,20.472679138183594
2010-03-04,20.388517379760742
2010-03-05,20.690105438232422
2010-03-08,20.704132080078125
2010-03-09,20.514766693115234
2010-03-10,21.096899032592773
2010-03-11,20.458656311035156
2010-03-12,20.32539176940918
2010-03-15,20.28331756591797
2010-03-16,21.047805786132812
2010-03-17,21.34236717224121
2010-03-18,21.15300178527832
2010-03-19,20.86544418334961
2010-03-22,21.089881896972656
2010-03-23,21.34236717224121
2010-03-24,20.381505966186523
2010-03-25,20.297344207763672
2010-03-26,19.981731414794922
2010-03-29,20.213184356689453
2010-03-30,20.346437454223633
2010-03-31,20.213184356689453
2010-04-01,20.213184356689453
2010-04-05,20.65504264831543
2010-04-06,20.542818069458008
2010-04-07,20.66204833984375
2010-04-08,20.332412719726562
2010-04-09,20.416574478149414
2010-04-12,20.725173950195312
2010-04-13,20.88648223876953
2010-04-14,21.98761749267578
2010-04-15,21.98761749267578
2010-04-16,21.447572708129883
2010-04-19,21.328344345092773
2010-04-20,21.566801071166992
2010-04-21,21.244176864624023
2010-04-22,21.33536148071289
2010-04-23,21.510700225830078
2010-04-26,21.833322525024414
2010-04-27,21.068838119506836
2010-04-28,21.216121673583984
2010-04-29,21.63694190979004
2010-04-30,20.99169158935547
2010-05-03,21.103912353515625
2010-05-04,20.61996841430664
2010-05-05,20.507747650146484
2010-05-06,19.694169998168945
2010-05-07,19.455707550048828
2010-05-10,20.46567153930664
2010-05-11,20.241241455078125
2010-05-12,20.59191131591797
2010-05-13,20.044862747192383
2010-05-14,19.483768463134766
2010-05-17,19.883543014526367
2010-05-18,19.357519149780273
2010-05-19,20.17811393737793
2010-05-20,19.722227096557617
2010-05-21,20.086933135986328
2010-05-24,19.96770668029785
2010-05-25,20.10797882080078
2010-05-26,20.129175186157227
2010-05-27,21.00559425354004
2010-05-28,20.616863250732422
2010-06-01,20.40482521057129
2010-06-02,21.069204330444336
2010-06-03,21.465002059936523
2010-06-04,20.49671173095703
2010-06-07,19.76165008544922
2010-06-08,19.853532791137695
2010-06-09,19.698040008544922
2010-06-10,20.228130340576172
2010-06-11,20.52497100830078
2010-06-14,20.41189193725586
2010-06-15,21.45793342590332
2010-06-16,21.627553939819336
2010-06-17,21.662900924682617
2010-06-18,21.57102394104004
2010-06-21,21.401386260986328
2010-06-22,20.906639099121094
2010-06-23,21.0621280670166
2010-06-24,20.68754005432129
2010-06-25,20.581518173217773
2010-06-28,20.652202606201172
2010-06-29,19.959550857543945
2010-06-30,19.690977096557617
2010-07-01,19.733386993408203
2010-07-02,19.698040008544922
2010-07-06,19.712175369262695
2010-07-07,20.807689666748047
2010-07-08,20.55324935913086
2010-07-09,20.7087459564209
2010-07-12,20.751150131225586
2010-07-13,21.238826751708984
2010-07-14,20.9207763671875
2010-07-15,21.012659072875977
2010-07-16,20.645124435424805
2010-07-19,21.210559844970703
2010-07-20,21.238826751708984
2010-07-21,20.899568557739258
2010-07-22,21.634628295898438
2010-07-23,21.811323165893555
2010-07-26,22.0516300201416
2010-07-27,21.938541412353516
2010-07-28,21.422584533691406
2010-07-29,21.019725799560547
2010-07-30,20.998525619506836
2010-08-02,21.267101287841797
2010-08-03,21.111608505249023
2010-08-04,21.37312126159668
2010-08-05,21.36604881286621
2010-08-06,21.32364845275879
2010-08-09,21.54981231689453
2010-08-10,21.12574577331543
2010-08-11,20.560317993164062
2010-08-12,19.952486038208008
2010-08-13,19.839399337768555
2010-08-16,20.044370651245117
2010-08-17,20.36241912841797
2010-08-18,21.260042190551758
2010-08-19,20.970251083374023
2010-08-20,20.934921264648438
2010-08-23,21.139877319335938
2010-08-24,20.72287940979004
2010-08-25,20.65878677368164
2010-08-26,20.62317657470703
2010-08-27,20.808332443237305
2010-08-30,20.21014404296875
2010-08-31,19.854074478149414
2010-09-01,20.29560089111328
2010-09-02,20.786964416503906
2010-09-03,21.07181739807129
2010-09-07,20.41666603088379
2010-09-08,20.523483276367188
2010-09-09,20.516361236572266
2010-09-10,19.889684677124023
2010-09-13,20.459386825561523
2010-09-14,20.75848388671875
2010-09-15,20.5804500579834
2010-09-16,20.993488311767578
2010-09-17,21.299699783325195
2010-09-20,21.378026962280273
2010-09-21,21.378026962280273
2010-09-22,20.872426986694336
2010-09-23,20.972118377685547
2010-09-24,21.983341217041016
2010-09-27,22.083036422729492
2010-09-28,22.55304718017578
