Date,BALL
2010-01-04,11.319352149963379
2010-01-05,11.192117691040039
2010-01-06,11.213682174682617
2010-01-07,11.1878080368042
2010-01-08,11.228778839111328
2010-01-11,11.170557975769043
2010-01-12,11.153304100036621
2010-01-13,11.198592185974121
2010-01-14,11.146834373474121
2010-01-15,11.08645248413086
2010-01-19,11.202899932861328
2010-01-20,11.090764999389648
2010-01-21,11.028229713439941
2010-01-22,10.965690612792969
2010-01-25,10.96784496307373
2010-01-26,10.903152465820312
2010-01-27,10.879429817199707
2010-01-28,10.898838996887207
2010-01-29,10.952750205993652
2010-02-01,10.978628158569336
2010-02-02,11.258970260620117
2010-02-03,11.114485740661621
2010-02-04,10.780230522155762
2010-02-05,10.90099811553955
2010-02-08,10.836301803588867
2010-02-09,10.905308723449707
2010-02-10,10.801796913146973
2010-02-11,11.008820533752441
2010-02-12,11.082137107849121
2010-02-16,11.222309112548828
2010-02-17,11.246036529541016
2010-02-18,11.405610084533691
2010-02-19,11.349539756774902
2010-02-22,11.36032772064209
2010-02-23,11.280538558959961
2010-02-24,11.433646202087402
2010-02-25,11.479012489318848
2010-02-26,11.67562484741211
2010-03-01,11.796615600585938
2010-03-02,11.708032608032227
2010-03-03,11.79445743560791
2010-03-04,11.764211654663086
2010-03-05,11.861434936523438
2010-03-08,11.755569458007812
2010-03-09,11.67562484741211
2010-03-10,11.695072174072266
2010-03-11,11.768532752990723
2010-03-12,11.764211654663086
2010-03-15,11.721002578735352
2010-03-16,11.770691871643066
2010-03-17,11.841988563537598
2010-03-18,11.733963966369629
2010-03-19,11.710192680358887
2010-03-22,11.699395179748535
2010-03-23,11.779337882995605
2010-03-24,11.666984558105469
2010-03-25,11.489818572998047
2010-03-26,11.666984558105469
2010-03-29,11.677783966064453
2010-03-30,11.548158645629883
2010-03-31,11.533032417297363
2010-04-01,11.723160743713379
2010-04-05,11.757729530334473
2010-04-06,11.692907333374023
2010-04-07,11.636739730834961
2010-04-08,11.662665367126465
2010-04-09,11.746925354003906
2010-04-12,11.649702072143555
2010-04-13,11.578399658203125
2010-04-14,11.710192680358887
2010-04-15,11.772855758666992
2010-04-16,11.736123085021973
2010-04-19,11.679946899414062
2010-04-20,11.742605209350586
2010-04-21,11.710192680358887
2010-04-22,11.831186294555664
2010-04-23,11.962980270385742
2010-04-26,11.934896469116211
2010-04-27,11.796615600585938
2010-04-28,11.833344459533691
2010-04-29,11.628096580505371
2010-04-30,11.496301651000977
2010-05-03,11.461729049682617
2010-05-04,11.27808666229248
2010-05-05,11.275919914245605
2010-05-06,10.956164360046387
2010-05-07,10.69257640838623
2010-05-10,11.131168365478516
2010-05-11,11.131168365478516
2010-05-12,11.258639335632324
2010-05-13,11.170056343078613
2010-05-14,10.999373435974121
2010-05-17,11.139811515808105
2010-05-18,11.044744491577148
2010-05-19,10.956164360046387
2010-05-20,10.578063011169434
2010-05-21,10.809244155883789
2010-05-24,10.552143096923828
2010-05-25,10.506771087646484
2010-05-26,10.424667358398438
2010-05-27,10.771073341369629
2010-05-28,10.66281795501709
2010-06-01,10.489616394042969
2010-06-02,10.894478797912598
2010-06-03,11.149954795837402
2010-06-04,11.074176788330078
2010-06-07,10.870665550231934
2010-06-08,10.916131973266602
2010-06-09,10.898813247680664
2010-06-10,11.197587013244629
2010-06-11,11.33398151397705
2010-06-14,11.288517951965332
2010-06-15,11.56997299194336
2010-06-16,11.786478042602539
2010-06-17,11.981330871582031
2010-06-18,11.938033103942871
2010-06-21,12.031126976013184
2010-06-22,11.88174057006836
2010-06-23,11.823287010192871
2010-06-24,11.602445602416992
2010-06-25,11.658738136291504
2010-06-28,11.563480377197266
2010-06-29,11.431413650512695
2010-06-30,11.437909126281738
2010-07-01,11.299338340759277
2010-07-02,11.21274471282959
2010-07-06,11.377283096313477
2010-07-07,11.593791961669922
2010-07-08,11.656574249267578
2010-07-09,11.758333206176758
2010-07-12,11.665234565734863
2010-07-13,11.987825393676758
2010-07-14,11.989992141723633
2010-07-15,12.000813484191895
2010-07-16,11.680388450622559
2010-07-19,11.756162643432617
2010-07-20,11.959683418273926
2010-07-21,11.896894454956055
2010-07-22,12.091747283935547
2010-07-23,12.384026527404785
2010-07-26,12.542074203491211
2010-07-27,12.509598731994629
2010-07-28,12.360214233398438
2010-07-29,12.351547241210938
2010-07-30,12.60919189453125
2010-08-02,12.76507568359375
2010-08-03,12.732599258422852
2010-08-04,12.70445442199707
2010-08-05,12.756415367126465
2010-08-06,12.65682315826416
2010-08-09,12.728266716003418
2010-08-10,12.728266716003418
2010-08-11,12.384026527404785
2010-08-12,12.43382453918457
2010-08-13,12.377532958984375
2010-08-16,12.258456230163574
2010-08-17,12.492281913757324
2010-08-18,12.622183799743652
2010-08-19,12.416502952575684
2010-08-20,12.371034622192383
2010-08-23,12.388360977172852
2010-08-24,12.17834758758545
2010-08-25,12.197835922241211
2010-08-26,12.015972137451172
2010-08-27,12.23030948638916
2010-08-30,12.035109519958496
2010-08-31,12.16307258605957
2010-09-01,12.527446746826172
2010-09-02,12.731322288513184
2010-09-03,12.813739776611328
2010-09-07,12.69011116027832
2010-09-08,12.733487129211426
2010-09-09,12.770362854003906
2010-09-10,12.88314437866211
2010-09-13,12.941704750061035
2010-09-14,12.974230766296387
2010-09-15,12.952545166015625
2010-09-16,12.9503755569458
2010-09-17,13.006770133972168
2010-09-20,13.017611503601074
2010-09-21,12.959053993225098
2010-09-22,12.885309219360352
2010-09-23,12.772528648376465
2010-09-24,13.058821678161621
2010-09-27,12.887480735778809
2010-09-28,12.959053993225098
