Date,GWW
2010-01-04,75.2665786743164
2010-01-05,75.29755401611328
2010-01-06,75.58395385742188
2010-01-07,76.29603576660156
2010-01-08,77.1939468383789
2010-01-11,77.51902770996094
2010-01-12,77.488037109375
2010-01-13,77.82859802246094
2010-01-14,77.70478057861328
2010-01-15,77.43389129638672
2010-01-19,78.44010925292969
2010-01-20,78.07632446289062
2010-01-21,77.07006072998047
2010-01-22,76.54373931884766
2010-01-25,78.1305160522461
2010-01-26,76.95399475097656
2010-01-27,77.49581146240234
2010-01-28,77.99118041992188
2010-01-29,76.84561920166016
2010-02-01,77.3564682006836
2010-02-02,79.25285339355469
2010-02-03,79.1522445678711
2010-02-04,77.11509704589844
2010-02-05,77.23174285888672
2010-02-08,76.64080810546875
2010-02-09,77.95478820800781
2010-02-10,77.48051452636719
2010-02-11,78.38245391845703
2010-02-12,78.41358184814453
2010-02-16,79.33885955810547
2010-02-17,79.80533599853516
2010-02-18,81.07270050048828
2010-02-19,80.97164154052734
2010-02-22,80.58284759521484
2010-02-23,79.96084594726562
2010-02-24,80.48180389404297
2010-02-25,79.688720703125
2010-02-26,79.03557586669922
2010-03-01,81.02604675292969
2010-03-02,80.53622436523438
2010-03-03,81.28266143798828
2010-03-04,81.40703582763672
2010-03-05,83.10982513427734
2010-03-08,82.92324829101562
2010-03-09,83.63076782226562
2010-03-10,84.03509521484375
2010-03-11,84.49382781982422
2010-03-12,83.84072875976562
2010-03-15,83.29644775390625
2010-03-16,83.77849578857422
2010-03-17,84.2450180053711
2010-03-18,84.26057434082031
2010-03-19,83.63076782226562
2010-03-22,84.28390502929688
2010-03-23,85.01476287841797
2010-03-24,84.6571273803711
2010-03-25,84.55602264404297
2010-03-26,84.7892837524414
2010-03-29,85.1158447265625
2010-03-30,84.95258331298828
2010-03-31,84.06620788574219
2010-04-01,85.16251373291016
2010-04-05,87.23074340820312
2010-04-06,87.62725067138672
2010-04-07,88.57584381103516
2010-04-08,88.77022552490234
2010-04-09,89.23675537109375
2010-04-12,88.81687927246094
2010-04-13,89.91319274902344
2010-04-14,86.4220962524414
2010-04-15,83.8018569946289
2010-04-16,81.58586120605469
2010-04-19,82.22344970703125
2010-04-20,83.59191131591797
2010-04-21,83.65408325195312
2010-04-22,86.0333251953125
2010-04-23,86.24327087402344
2010-04-26,85.6834487915039
2010-04-27,84.08949279785156
2010-04-28,84.30721282958984
2010-04-29,86.60093688964844
2010-04-30,85.94781494140625
2010-05-03,87.29293060302734
2010-05-04,84.83592987060547
2010-05-05,84.4394302368164
2010-05-06,83.22039794921875
2010-05-07,82.00139617919922
2010-05-10,86.5101089477539
2010-05-11,86.21320343017578
2010-05-12,86.24446868896484
2010-05-13,85.09579467773438
2010-05-14,84.1346435546875
2010-05-17,84.63473510742188
2010-05-18,83.65017700195312
2010-05-19,81.97795867919922
2010-05-20,78.25061798095703
2010-05-21,80.30575561523438
2010-05-24,78.81324005126953
2010-05-25,79.11017608642578
2010-05-26,78.25061798095703
2010-05-27,80.7511215209961
2010-05-28,79.50870513916016
2010-06-01,78.31314849853516
2010-06-02,80.5635986328125
2010-06-03,80.91523742675781
2010-06-04,77.50828552246094
2010-06-07,76.02360534667969
2010-06-08,77.28945922851562
2010-06-09,77.65672302246094
2010-06-10,81.11058807373047
2010-06-11,81.47002410888672
2010-06-14,81.7669448852539
2010-06-15,83.9861831665039
2010-06-16,84.15806579589844
2010-06-17,84.25187683105469
2010-06-18,84.5956802368164
2010-06-21,84.28313446044922
2010-06-22,81.96234130859375
2010-06-23,82.23580932617188
2010-06-24,80.41512298583984
2010-06-25,80.78237915039062
2010-06-28,81.19654083251953
2010-06-29,78.17247009277344
2010-06-30,77.7114486694336
2010-07-01,77.16445922851562
2010-07-02,76.71123504638672
2010-07-06,76.21894073486328
2010-07-07,78.00057220458984
2010-07-08,79.36805725097656
2010-07-09,80.47761535644531
2010-07-12,81.09496307373047
2010-07-13,82.43115997314453
2010-07-14,81.07149505615234
2010-07-15,83.52513122558594
2010-07-16,82.03265380859375
2010-07-19,81.8841781616211
2010-07-20,82.7515640258789
2010-07-21,82.51712036132812
2010-07-22,84.6972427368164
2010-07-23,85.65058135986328
2010-07-26,86.69768524169922
2010-07-27,86.31478118896484
2010-07-28,86.56485748291016
2010-07-29,86.93208312988281
2010-07-30,87.52599334716797
2010-08-02,89.2060546875
2010-08-03,88.7215805053711
2010-08-04,90.20623016357422
2010-08-05,89.57029724121094
2010-08-06,89.52320098876953
2010-08-09,90.28474426269531
2010-08-10,89.01290130615234
2010-08-11,86.24153900146484
2010-08-12,86.94027709960938
2010-08-13,86.09239959716797
2010-08-16,85.7469253540039
2010-08-17,87.33280181884766
2010-08-18,87.28572082519531
2010-08-19,84.8755111694336
2010-08-20,84.53788757324219
2010-08-23,85.4800033569336
2010-08-24,83.49374389648438
2010-08-25,83.10904693603516
2010-08-26,83.05411529541016
2010-08-27,84.5693359375
2010-08-30,83.45452880859375
2010-08-31,83.05411529541016
2010-09-01,86.03742218017578
2010-09-02,87.01876831054688
2010-09-03,87.48200225830078
2010-09-07,86.64195251464844
2010-09-08,86.93242645263672
2010-09-09,88.75382995605469
2010-09-10,90.07276153564453
2010-09-13,91.50947570800781
2010-09-14,91.35245513916016
2010-09-15,92.78131866455078
2010-09-16,91.65863800048828
2010-09-17,93.22093200683594
2010-09-20,95.00306701660156
2010-09-21,94.00602722167969
2010-09-22,92.9932632446289
2010-09-23,92.43584442138672
2010-09-24,94.79113006591797
2010-09-27,93.69983673095703
2010-09-28,94.69693756103516
