Date,AVB
2010-01-04,49.0359001159668
2010-01-05,48.66751480102539
2010-01-06,48.20854187011719
2010-01-07,48.305179595947266
2010-01-08,47.94285202026367
2010-01-11,48.6010856628418
2010-01-12,47.459739685058594
2010-01-13,48.56486511230469
2010-01-14,48.27497100830078
2010-01-15,47.966976165771484
2010-01-19,48.84867477416992
2010-01-20,47.755645751953125
2010-01-21,46.68071746826172
2010-01-22,45.55747985839844
2010-01-25,46.24591827392578
2010-01-26,46.45729064941406
2010-01-27,46.71091842651367
2010-01-28,46.481441497802734
2010-01-29,46.264034271240234
2010-02-01,47.133644104003906
2010-02-02,48.05757141113281
2010-02-03,47.00076675415039
2010-02-04,44.766387939453125
2010-02-05,45.6480712890625
2010-02-08,44.54899215698242
2010-02-09,44.398014068603516
2010-02-10,44.2108039855957
2010-02-11,44.80867004394531
2010-02-12,45.5876579284668
2010-02-16,46.91625213623047
2010-02-17,47.12758255004883
2010-02-18,47.94887924194336
2010-02-19,47.59864044189453
2010-02-22,48.31122970581055
2010-02-23,48.27497100830078
2010-02-24,48.77621078491211
2010-02-25,49.02985382080078
2010-02-26,49.16874694824219
2010-03-01,49.07212448120117
2010-03-02,49.084205627441406
2010-03-03,48.57090377807617
2010-03-04,48.82451629638672
2010-03-05,50.2436637878418
2010-03-08,50.95625686645508
2010-03-09,51.058921813964844
2010-03-10,51.31858444213867
2010-03-11,51.644691467285156
2010-03-12,52.079498291015625
2010-03-15,51.99496078491211
2010-03-16,53.1664924621582
2010-03-17,54.054203033447266
2010-03-18,53.48052978515625
2010-03-19,53.12422561645508
2010-03-22,53.172550201416016
2010-03-23,52.900779724121094
2010-03-24,53.22084426879883
2010-03-25,53.365779876708984
2010-03-26,53.00947570800781
2010-03-29,52.993019104003906
2010-03-30,53.07231903076172
2010-03-31,52.68186569213867
2010-04-01,52.30970001220703
2010-04-05,54.28642272949219
2010-04-06,56.38515090942383
2010-04-07,55.518829345703125
2010-04-08,55.63472366333008
2010-04-09,56.6657829284668
2010-04-12,55.75063705444336
2010-04-13,57.068450927734375
2010-04-14,57.22706985473633
2010-04-15,56.299739837646484
2010-04-16,55.50660705566406
2010-04-19,56.049591064453125
2010-04-20,57.391822814941406
2010-04-21,58.47776412963867
2010-04-22,60.430110931396484
2010-04-23,61.78449630737305
2010-04-26,61.302555084228516
2010-04-27,60.192161560058594
2010-04-28,60.5033073425293
2010-04-29,65.06684112548828
2010-04-30,63.474491119384766
2010-05-03,66.18941497802734
2010-05-04,65.75012969970703
2010-05-05,63.980857849121094
2010-05-06,61.314720153808594
2010-05-07,59.63087463378906
2010-05-10,63.138893127441406
2010-05-11,63.32194519042969
2010-05-12,64.0967788696289
2010-05-13,62.663047790527344
2010-05-14,61.25373458862305
2010-05-17,61.57707977294922
2010-05-18,60.01521682739258
2010-05-19,59.65525436401367
2010-05-20,55.93366622924805
2010-05-21,57.53822708129883
2010-05-24,56.470550537109375
2010-05-25,58.09954833984375
2010-05-26,57.824974060058594
2010-05-27,60.7900276184082
2010-05-28,59.82609176635742
2010-06-01,58.63029479980469
2010-06-02,59.47223663330078
2010-06-03,59.50885009765625
2010-06-04,56.17161560058594
2010-06-07,56.53768539428711
2010-06-08,57.81885528564453
2010-06-09,59.23430252075195
2010-06-10,62.80337142944336
2010-06-11,62.98030090332031
2010-06-14,63.090118408203125
2010-06-15,63.79172897338867
2010-06-16,63.23046112060547
2010-06-17,64.27979278564453
2010-06-18,63.45006561279297
2010-06-21,62.92538833618164
2010-06-22,60.808349609375
2010-06-23,60.52159118652344
2010-06-24,58.67301940917969
2010-06-25,61.44894027709961
2010-06-28,60.2381477355957
2010-06-29,58.120643615722656
2010-06-30,57.474342346191406
2010-07-01,57.1788444519043
2010-07-02,56.20014572143555
2010-07-06,55.239871978759766
2010-07-07,58.305328369140625
2010-07-08,60.133506774902344
2010-07-09,60.927589416503906
2010-07-12,61.192264556884766
2010-07-13,61.826297760009766
2010-07-14,61.413883209228516
2010-07-15,61.857078552246094
2010-07-16,59.35791015625
2010-07-19,61.13685989379883
2010-07-20,62.13407516479492
2010-07-21,60.82295227050781
2010-07-22,63.23590087890625
2010-07-23,64.17154693603516
2010-07-26,65.75968170166016
2010-07-27,65.64273071289062
2010-07-28,65.90126037597656
2010-07-29,64.38085174560547
2010-07-30,64.68859100341797
2010-08-02,65.7966079711914
2010-08-03,64.77481079101562
2010-08-04,63.137447357177734
2010-08-05,63.05122375488281
2010-08-06,62.380279541015625
2010-08-09,63.91300582885742
2010-08-10,64.6332015991211
2010-08-11,63.06355285644531
2010-08-12,62.46031951904297
2010-08-13,62.89735794067383
2010-08-16,62.922000885009766
2010-08-17,64.76863098144531
2010-08-18,64.94099426269531
2010-08-19,64.02384185791016
2010-08-20,64.29466247558594
2010-08-23,63.93149185180664
2010-08-24,63.50061798095703
2010-08-25,64.70094299316406
2010-08-26,63.78377914428711
2010-08-27,63.92530822753906
2010-08-30,63.32209396362305
2010-08-31,64.76863098144531
2010-09-01,66.78765869140625
2010-09-02,66.69532775878906
2010-09-03,67.95106506347656
2010-09-07,66.75072479248047
2010-09-08,66.70763397216797
2010-09-09,65.48883056640625
2010-09-10,65.91971588134766
2010-09-13,67.08314514160156
2010-09-14,67.37860870361328
2010-09-15,68.68356323242188
2010-09-16,68.0249252319336
2010-09-17,67.50172424316406
2010-09-20,69.08982849121094
2010-09-21,67.25548553466797
2010-09-22,66.14750671386719
2010-09-23,63.759124755859375
2010-09-24,65.80276489257812
2010-09-27,64.61474609375
2010-09-28,65.15643310546875
