Date,GIS
2010-01-04,20.970640182495117
2010-01-05,20.77541732788086
2010-01-06,20.899648666381836
2010-01-07,21.236207962036133
2010-01-08,21.06346321105957
2010-01-11,21.084314346313477
2010-01-12,21.24216651916504
2010-01-13,21.33747100830078
2010-01-14,21.33747100830078
2010-01-15,21.245141983032227
2010-01-19,21.41790008544922
2010-01-20,21.274930953979492
2010-01-21,21.182601928710938
2010-01-22,21.134944915771484
2010-01-25,21.078351974487305
2010-01-26,21.134944915771484
2010-01-27,21.301734924316406
2010-01-28,21.4298038482666
2010-01-29,21.23919105529785
2010-02-01,21.155794143676758
2010-02-02,21.155794143676758
2010-02-03,21.009851455688477
2010-02-04,20.551162719726562
2010-02-05,20.44095802307129
2010-02-08,20.42607307434082
2010-02-09,20.685197830200195
2010-02-10,20.6911563873291
2010-02-11,20.679241180419922
2010-02-12,20.697114944458008
2010-02-16,21.033679962158203
2010-02-17,21.137924194335938
2010-02-18,21.453638076782227
2010-02-19,21.55192756652832
2010-02-22,21.531076431274414
2010-02-23,21.408960342407227
2010-02-24,21.42087745666504
2010-02-25,21.35236358642578
2010-02-26,21.44767189025879
2010-03-01,21.578733444213867
2010-03-02,21.653188705444336
2010-03-03,21.730627059936523
2010-03-04,21.557880401611328
2010-03-05,21.650205612182617
2010-03-08,21.4893741607666
2010-03-09,21.465553283691406
2010-03-10,21.519163131713867
2010-03-11,21.629362106323242
2010-03-12,21.55489730834961
2010-03-15,21.611494064331055
2010-03-16,21.822961807250977
2010-03-17,21.79316520690918
2010-03-18,21.933162689208984
2010-03-19,21.843807220458984
2010-03-22,21.736583709716797
2010-03-23,21.91231918334961
2010-03-24,21.498308181762695
2010-03-25,21.19153594970703
2010-03-26,20.991971969604492
2010-03-29,21.10515785217285
2010-03-30,21.197490692138672
2010-03-31,21.084314346313477
2010-04-01,21.260032653808594
2010-04-05,21.099199295043945
2010-04-06,21.000913619995117
2010-04-07,20.887737274169922
2010-04-08,21.043701171875
2010-04-09,21.24165916442871
2010-04-12,21.10368537902832
2010-04-13,21.19966697692871
2010-04-14,21.25665855407715
2010-04-15,21.17867088317871
2010-04-16,21.055702209472656
2010-04-19,21.088685989379883
2010-04-20,21.142684936523438
2010-04-21,21.184673309326172
2010-04-22,21.115692138671875
2010-04-23,21.184673309326172
2010-04-26,21.17867088317871
2010-04-27,20.836746215820312
2010-04-28,21.085691452026367
2010-04-29,21.35263442993164
2010-04-30,21.34364128112793
2010-05-03,21.436620712280273
2010-05-04,21.46961212158203
2010-05-05,21.76055145263672
2010-05-06,21.268659591674805
2010-05-07,20.896726608276367
2010-05-10,21.574594497680664
2010-05-11,21.69157600402832
2010-05-12,22.048498153686523
2010-05-13,22.024497985839844
2010-05-14,21.81754493713379
2010-05-17,22.168476104736328
2010-05-18,22.108484268188477
2010-05-19,22.06049156188965
2010-05-20,21.451618194580078
2010-05-21,21.511606216430664
2010-05-24,21.46661376953125
2010-05-25,21.25665855407715
2010-05-26,21.14568328857422
2010-05-27,21.415618896484375
2010-05-28,21.36463737487793
2010-06-01,21.59558868408203
2010-06-02,22.285451889038086
2010-06-03,22.41741943359375
2010-06-04,21.985509872436523
2010-06-07,22.360437393188477
2010-06-08,22.537399291992188
2010-06-09,22.495405197143555
2010-06-10,22.747344970703125
2010-06-11,22.591384887695312
2010-06-14,22.849332809448242
2010-06-15,22.897321701049805
2010-06-16,22.993305206298828
2010-06-17,23.353225708007812
2010-06-18,23.11927604675293
2010-06-21,22.76534652709961
2010-06-22,22.621379852294922
2010-06-23,22.699359893798828
2010-06-24,22.537399291992188
2010-06-25,22.399417877197266
2010-06-28,22.435422897338867
2010-06-29,22.135473251342773
2010-06-30,21.30764389038086
2010-07-01,21.26565170288086
2010-07-02,21.24765396118164
2010-07-06,21.481613159179688
2010-07-07,21.859535217285156
2010-07-08,22.19806480407715
2010-07-09,21.853485107421875
2010-07-12,21.895809173583984
2010-07-13,21.992530822753906
2010-07-14,21.913938522338867
2010-07-15,21.805133819580078
2010-07-16,21.484731674194336
2010-07-19,21.3940486907959
2010-07-20,21.37592124938965
2010-07-21,21.176422119140625
2010-07-22,21.37592124938965
2010-07-23,21.47263526916504
2010-07-26,21.424287796020508
2010-07-27,21.69631576538086
2010-07-28,21.424287796020508
2010-07-29,20.63235092163086
2010-07-30,20.67467498779297
2010-08-02,20.765344619750977
2010-08-03,20.541675567626953
2010-08-04,20.928569793701172
2010-08-05,20.46308708190918
2010-08-06,20.293819427490234
2010-08-09,20.372404098510742
2010-08-10,20.541675567626953
2010-08-11,20.438905715942383
2010-08-12,20.813709259033203
2010-08-13,21.073650360107422
2010-08-16,21.248973846435547
2010-08-17,21.388002395629883
2010-08-18,21.406145095825195
2010-08-19,21.236873626708984
2010-08-20,21.242923736572266
2010-08-23,21.406145095825195
2010-08-24,21.46659278869629
2010-08-25,21.30942153930664
2010-08-26,21.28523826599121
2010-08-27,21.76280975341797
2010-08-30,21.557273864746094
2010-08-31,21.859539031982422
2010-09-01,21.799083709716797
2010-09-02,21.86557388305664
2010-09-03,21.799083709716797
2010-09-07,21.73258399963379
2010-09-08,21.96834945678711
2010-09-09,22.15574836730957
2010-09-10,22.482189178466797
2010-09-13,22.14970588684082
2010-09-14,22.04694366455078
2010-09-15,22.137622833251953
2010-09-16,22.210155487060547
2010-09-17,21.86557388305664
2010-09-20,21.86557388305664
2010-09-21,21.563318252563477
2010-09-22,22.143659591674805
2010-09-23,21.847434997558594
2010-09-24,22.512418746948242
2010-09-27,22.210155487060547
2010-09-28,22.343151092529297
