Date,MKTX
2010-01-04,12.10546588897705
2010-01-05,11.670391082763672
2010-01-06,11.960442543029785
2010-01-07,12.045745849609375
2010-01-08,12.4381742477417
2010-01-11,12.386990547180176
2010-01-12,12.404050827026367
2010-01-13,12.36139965057373
2010-01-14,12.395520210266113
2010-01-15,12.190773010253906
2010-01-19,12.549077987670898
2010-01-20,12.557610511779785
2010-01-21,12.165184020996094
2010-01-22,12.037219047546387
2010-01-25,12.27608871459961
2010-01-26,11.602141380310059
2010-01-27,11.806882858276367
2010-01-28,11.627732276916504
2010-01-29,11.627732276916504
2010-02-01,11.772761344909668
2010-02-02,11.798352241516113
2010-02-03,12.079879760742188
2010-02-04,11.303559303283691
2010-02-05,11.63626480102539
2010-02-08,11.3973970413208
2010-02-09,11.533890724182129
2010-02-10,11.789819717407227
2010-02-11,12.386990547180176
2010-02-12,12.609869003295898
2010-02-16,12.764177322387695
2010-02-17,12.858469009399414
2010-02-18,13.089919090270996
2010-02-19,13.167069435119629
2010-02-22,13.312801361083984
2010-02-23,13.14992618560791
2010-02-24,13.192790031433105
2010-02-25,12.8756103515625
2010-02-26,12.807031631469727
2010-03-01,12.832751274108887
2010-03-02,12.849894523620605
2010-03-03,12.86704158782959
2010-03-04,13.012772560119629
2010-03-05,13.261369705200195
2010-03-08,12.918475151062012
2010-03-09,12.94419002532959
2010-03-10,12.832751274108887
2010-03-11,12.789886474609375
2010-03-12,12.7813138961792
2010-03-15,12.789886474609375
2010-03-16,13.089919090270996
2010-03-17,13.441386222839355
2010-03-18,13.441386222839355
2010-03-19,13.60425853729248
2010-03-22,13.6985502243042
2010-03-23,13.835711479187012
2010-03-24,13.758562088012695
2010-03-25,13.724271774291992
2010-03-26,13.887145042419434
2010-03-29,13.707124710083008
2010-03-30,13.6385498046875
2010-03-31,13.484243392944336
2010-04-01,13.347089767456055
2010-04-05,13.715699195861816
2010-04-06,13.6385498046875
2010-04-07,13.647120475769043
2010-04-08,13.724271774291992
2010-04-09,13.895718574523926
2010-04-12,14.12717056274414
2010-04-13,14.392910957336426
2010-04-14,14.795811653137207
2010-04-15,14.915821075439453
2010-04-16,14.684367179870605
2010-04-19,14.367195129394531
2010-04-20,14.684367179870605
2010-04-21,14.598648071289062
2010-04-22,14.830096244812012
2010-04-23,14.572929382324219
2010-04-26,14.47006607055664
2010-04-27,13.852855682373047
2010-04-28,13.732843399047852
2010-04-29,13.912859916687012
2010-04-30,13.518535614013672
2010-05-03,14.058591842651367
2010-05-04,13.724271774291992
2010-05-05,13.715699195861816
2010-05-06,13.492817878723145
2010-05-07,12.97847843170166
2010-05-10,13.667451858520508
2010-05-11,13.805248260498047
2010-05-12,14.778410911560059
2010-05-13,14.5631103515625
2010-05-14,14.304750442504883
2010-05-17,14.365036010742188
2010-05-18,13.581330299377441
2010-05-19,13.383254051208496
2010-05-20,12.255062103271484
2010-05-21,12.556482315063477
2010-05-24,12.203387260437012
2010-05-25,12.177549362182617
2010-05-26,12.19477653503418
2010-05-27,12.987092971801758
2010-05-28,12.711505889892578
2010-06-01,12.134492874145508
2010-06-02,12.134492874145508
2010-06-03,12.375633239746094
2010-06-04,12.005309104919434
2010-06-07,11.652210235595703
2010-06-08,11.583314895629883
2010-06-09,11.59192943572998
2010-06-10,12.031145095825195
2010-06-11,11.970860481262207
2010-06-14,12.100042343139648
2010-06-15,12.435917854309082
2010-06-16,12.36701774597168
2010-06-17,12.556482315063477
2010-06-18,12.608160018920898
2010-06-21,12.298125267028809
2010-06-22,12.056983947753906
2010-06-23,12.013921737670898
2010-06-24,11.979470252990723
2010-06-25,12.315348625183105
2010-06-28,12.246450424194336
2010-06-29,12.005309104919434
2010-06-30,11.876127243041992
2010-07-01,11.945027351379395
2010-07-02,11.833066940307617
2010-07-06,11.85029125213623
2010-07-07,12.349791526794434
2010-07-08,12.797629356384277
2010-07-09,12.918193817138672
2010-07-12,12.832073211669922
2010-07-13,11.67805004119873
2010-07-14,11.350788116455078
2010-07-15,11.23883056640625
2010-07-16,10.704877853393555
2010-07-19,11.126873970031738
2010-07-20,11.126873970031738
2010-07-21,10.894347190856934
2010-07-22,10.963239669799805
2010-07-23,11.126873970031738
2010-07-26,11.006300926208496
2010-07-27,10.670430183410645
2010-07-28,11.385235786437988
2010-07-29,11.91918659210205
2010-07-30,12.246450424194336
2010-08-02,12.599543571472168
2010-08-03,12.763177871704102
2010-08-04,12.909585952758789
2010-08-05,12.875131607055664
2010-08-06,13.055990219116211
2010-08-09,13.272290229797363
2010-08-10,12.960817337036133
2010-08-11,12.519561767578125
2010-08-12,12.718557357788086
2010-08-13,12.57147216796875
2010-08-16,13.004076957702637
2010-08-17,13.038684844970703
2010-08-18,12.943510055541992
2010-08-19,12.718557357788086
2010-08-20,12.943510055541992
2010-08-23,12.709906578063965
2010-08-24,12.874298095703125
2010-08-25,13.090594291687012
2010-08-26,12.960817337036133
2010-08-27,13.22037410736084
2010-08-30,12.908902168273926
2010-08-31,13.22902774810791
2010-09-01,13.687592506408691
2010-09-02,13.61837387084961
2010-09-03,13.61837387084961
2010-09-07,13.306900024414062
2010-09-08,13.782763481140137
2010-09-09,13.791409492492676
2010-09-10,13.86063289642334
2010-09-13,14.180758476257324
2010-09-14,14.163454055786133
2010-09-15,14.48358154296875
2010-09-16,14.40571117401123
2010-09-17,14.327845573425293
2010-09-20,14.665276527404785
2010-09-21,14.60471248626709
2010-09-22,14.691230773925781
2010-09-23,14.01637077331543
2010-09-24,14.942140579223633
2010-09-27,14.968098640441895
2010-09-28,14.9075345993042
