Date,PCG
2010-01-04,32.82438659667969
2010-01-05,32.45557403564453
2010-01-06,32.83176040649414
2010-01-07,32.27117156982422
2010-01-08,32.3006706237793
2010-01-11,32.78749465942383
2010-01-12,32.82438659667969
2010-01-13,33.02354049682617
2010-01-14,32.81700134277344
2010-01-15,33.20056915283203
2010-01-19,33.628387451171875
2010-01-20,33.21531295776367
2010-01-21,32.87602233886719
2010-01-22,32.16789245605469
2010-01-25,32.728485107421875
2010-01-26,32.5072021484375
2010-01-27,31.990861892700195
2010-01-28,31.526161193847656
2010-01-29,31.157350540161133
2010-02-01,31.142597198486328
2010-02-02,31.105709075927734
2010-02-03,31.13521385192871
2010-02-04,30.50824546813965
2010-02-05,30.92129898071289
2010-02-08,30.486101150512695
2010-02-09,30.53036117553711
2010-02-10,30.27956199645996
2010-02-11,30.45660972595215
2010-02-12,30.25743865966797
2010-02-16,30.81804084777832
2010-02-17,30.884418487548828
2010-02-18,31.35649871826172
2010-02-19,31.430265426635742
2010-02-22,30.965566635131836
2010-02-23,30.995080947875977
2010-02-24,30.987688064575195
2010-02-25,30.611509323120117
2010-02-26,30.92129898071289
2010-03-01,31.009828567504883
2010-03-02,31.452383041381836
2010-03-03,31.20897102355957
2010-03-04,31.28273582458496
2010-03-05,31.452383041381836
2010-03-08,31.41551399230957
2010-03-09,31.599933624267578
2010-03-10,31.6958065032959
2010-03-11,31.65156364440918
2010-03-12,31.563053131103516
2010-03-15,31.6958065032959
2010-03-16,31.88022804260254
2010-03-17,31.88022804260254
2010-03-18,31.843339920043945
2010-03-19,31.939226150512695
2010-03-22,31.717954635620117
2010-03-23,31.953989028930664
2010-03-24,31.62204933166504
2010-03-25,31.703197479248047
2010-03-26,31.6958065032959
2010-03-29,31.91575050354004
2010-03-30,31.69954490661621
2010-03-31,31.624998092651367
2010-04-01,31.863555908203125
2010-04-05,32.02756881713867
2010-04-06,32.176666259765625
2010-04-07,31.841182708740234
2010-04-08,31.662273406982422
2010-04-09,32.00519943237305
2010-04-12,32.15430450439453
2010-04-13,31.796459197998047
2010-04-14,31.759183883666992
2010-04-15,31.90829086303711
2010-04-16,31.706993103027344
2010-04-19,31.871009826660156
2010-04-20,32.1319465637207
2010-04-21,32.161766052246094
2010-04-22,32.251216888427734
2010-04-23,32.773094177246094
2010-04-26,32.54943084716797
2010-04-27,32.21394348144531
2010-04-28,32.40778732299805
2010-04-29,32.4525032043457
2010-04-30,32.65380096435547
2010-05-03,33.10856628417969
2010-05-04,32.855106353759766
2010-05-05,33.16075897216797
2010-05-06,32.25868225097656
2010-05-07,32.18413162231445
2010-05-10,32.97438049316406
2010-05-11,33.10856628417969
2010-05-12,33.01911163330078
2010-05-13,32.61653137207031
2010-05-14,32.527069091796875
2010-05-17,32.74326705932617
2010-05-18,32.47488021850586
2010-05-19,31.96047019958496
2010-05-20,30.976377487182617
2010-05-21,31.132932662963867
2010-05-24,30.83473777770996
2010-05-25,30.752723693847656
2010-05-26,30.722904205322266
2010-05-27,30.83473777770996
2010-05-28,30.939111709594727
2010-06-01,30.357595443725586
2010-06-02,30.998748779296875
2010-06-03,31.05094337463379
2010-06-04,30.141407012939453
2010-06-07,30.208498001098633
2010-06-08,30.491796493530273
2010-06-09,29.82082176208496
2010-06-10,30.700551986694336
2010-06-11,30.87946319580078
2010-06-14,30.924198150634766
2010-06-15,31.59516143798828
2010-06-16,31.833755493164062
2010-06-17,32.23630905151367
2010-06-18,32.191593170166016
2010-06-21,32.06484603881836
2010-06-22,31.520605087280273
2010-06-23,31.05094337463379
2010-06-24,30.954023361206055
2010-06-25,31.319311141967773
2010-06-28,31.601961135864258
2010-06-29,31.262805938720703
2010-06-30,30.976394653320312
2010-07-01,30.780445098876953
2010-07-02,30.697526931762695
2010-07-06,31.194971084594727
2010-07-07,31.850677490234375
2010-07-08,32.069236755371094
2010-07-09,32.12955093383789
2010-07-12,32.4008674621582
2010-07-13,32.257659912109375
2010-07-14,32.34056854248047
2010-07-15,32.80031967163086
2010-07-16,32.076778411865234
2010-07-19,32.67218780517578
2010-07-20,32.988746643066406
2010-07-21,32.55912780761719
2010-07-22,33.10932540893555
2010-07-23,33.335426330566406
2010-07-26,33.599212646484375
2010-07-27,34.12678909301758
2010-07-28,33.7725715637207
2010-07-29,33.52384567260742
2010-07-30,33.46355056762695
2010-08-02,34.2097053527832
2010-08-03,33.98359680175781
2010-08-04,34.141868591308594
2010-08-05,34.0890998840332
2010-08-06,34.39812088012695
2010-08-09,34.47349166870117
2010-08-10,34.82772445678711
2010-08-11,34.11172103881836
2010-08-12,34.36043930053711
2010-08-13,34.45089340209961
2010-08-16,34.5036506652832
2010-08-17,34.66191482543945
2010-08-18,34.16447830200195
2010-08-19,33.99113082885742
2010-08-20,34.56393051147461
2010-08-23,34.8201904296875
2010-08-24,35.21963119506836
2010-08-25,35.46835708618164
2010-08-26,35.31007385253906
2010-08-27,35.89796447753906
2010-08-30,35.249786376953125
2010-08-31,35.242252349853516
2010-09-01,36.01100540161133
2010-09-02,35.95071029663086
2010-09-03,35.935646057128906
2010-09-07,36.13913345336914
2010-09-08,35.95071029663086
2010-09-09,36.357704162597656
2010-09-10,33.32035827636719
2010-09-13,33.3580436706543
2010-09-14,33.81025314331055
2010-09-15,34.27753448486328
2010-09-16,34.179561614990234
2010-09-17,34.11172103881836
2010-09-20,34.19462203979492
2010-09-21,33.91576385498047
2010-09-22,34.04389572143555
2010-09-23,34.08158493041992
2010-09-24,34.533782958984375
2010-09-27,34.60161590576172
2010-09-28,34.6739387512207
