Date,BX
2010-01-04,6.248839378356934
2010-01-05,6.285303115844727
2010-01-06,6.39924955368042
2010-01-07,6.422037124633789
2010-01-08,6.403805732727051
2010-01-11,6.403805732727051
2010-01-12,6.239722728729248
2010-01-13,6.2260518074035645
2010-01-14,6.2670722007751465
2010-01-15,6.285303115844727
2010-01-19,6.1804728507995605
2010-01-20,6.239722728729248
2010-01-21,6.116663455963135
2010-01-22,5.806726455688477
2010-01-25,5.761148452758789
2010-01-26,5.67454719543457
2010-01-27,5.802168846130371
2010-01-28,5.752031326293945
2010-01-29,5.528696060180664
2010-02-01,5.87965202331543
2010-02-02,6.0756402015686035
2010-02-03,6.020946979522705
2010-02-04,5.797609329223633
2010-02-05,5.793052673339844
2010-02-08,5.688220024108887
2010-02-09,5.788493633270264
2010-02-10,5.669991970062256
2010-02-11,5.701898097991943
2010-02-12,5.8431901931762695
2010-02-16,6.080196380615234
2010-02-17,6.0893144607543945
2010-02-18,6.148565769195557
2010-02-19,6.257955074310303
2010-02-22,6.308091640472412
2010-02-23,6.303534030914307
2010-02-24,6.381016254425049
2010-02-25,6.344555377960205
2010-02-26,6.371901512145996
2010-03-01,6.431156635284424
2010-03-02,6.431156635284424
2010-03-03,6.485849857330322
2010-03-04,6.526869297027588
2010-03-05,6.791224956512451
2010-03-08,6.677278518676758
2010-03-09,6.768436908721924
2010-03-10,6.763875961303711
2010-03-11,6.931346893310547
2010-03-12,6.815049648284912
2010-03-15,6.712710380554199
2010-03-16,6.712710380554199
2010-03-17,6.815049648284912
2010-03-18,6.745271682739258
2010-03-19,6.4940667152404785
2010-03-22,6.5684990882873535
2010-03-23,6.694101810455322
2010-03-24,6.754577159881592
2010-03-25,6.833657264709473
2010-03-26,6.759225845336914
2010-03-29,6.638278007507324
2010-03-30,6.647583961486816
2010-03-31,6.512674808502197
2010-04-01,6.652230262756348
2010-04-05,6.73596715927124
2010-04-06,6.810397148132324
2010-04-07,6.829003810882568
2010-04-08,6.8010945320129395
2010-04-09,6.852266788482666
2010-04-12,6.991823673248291
2010-04-13,7.094162940979004
2010-04-14,7.098815441131592
2010-04-15,7.066253662109375
2010-04-16,6.856918811798096
2010-04-19,6.829003810882568
2010-04-20,6.8708720207214355
2010-04-21,6.954606533050537
2010-04-22,6.903433799743652
2010-04-23,6.931346893310547
2010-04-26,6.973212718963623
2010-04-27,6.7499213218688965
2010-04-28,6.610366344451904
2010-04-29,6.7685322761535645
2010-04-30,6.503371715545654
2010-05-03,6.712710380554199
2010-05-04,6.456852912902832
2010-05-05,6.187043190002441
2010-05-06,5.866060256958008
2010-05-07,5.661375999450684
2010-05-10,6.131219863891602
2010-05-11,6.056788921356201
2010-05-12,6.089603424072266
2010-05-13,6.094291687011719
2010-05-14,5.742697238922119
2010-05-17,5.6630048751831055
2010-05-18,5.452045440673828
2010-05-19,5.414543628692627
2010-05-20,5.156707763671875
2010-05-21,5.189525127410889
2010-05-24,4.9223127365112305
2010-05-25,4.983256816864014
2010-05-26,5.062950134277344
2010-05-27,5.166083335876465
2010-05-28,4.992630481719971
2010-06-01,4.795738697052002
2010-06-02,4.936375617980957
2010-06-03,4.917625904083252
2010-06-04,4.74416971206665
2010-06-07,4.62228536605835
2010-06-08,4.669165134429932
2010-06-09,4.664477825164795
2010-06-10,4.87543249130249
2010-06-11,4.950440883636475
2010-06-14,4.870747089385986
2010-06-15,4.987942695617676
2010-06-16,4.969191551208496
2010-06-17,4.912935256958008
2010-06-18,4.889495372772217
2010-06-21,4.8613691329956055
2010-06-22,4.730108261108398
2010-06-23,4.767611980438232
2010-06-24,4.636348247528076
2010-06-25,4.80511474609375
2010-06-28,4.7113566398620605
2010-06-29,4.462897300720215
2010-06-30,4.481649398803711
2010-07-01,4.439458847045898
2010-07-02,4.378515720367432
2010-07-06,4.31288480758667
2010-07-07,4.481649398803711
2010-07-08,4.767611980438232
2010-07-09,4.9223127365112305
2010-07-12,4.8332438468933105
2010-07-13,4.941062927246094
2010-07-14,4.819177627563477
2010-07-15,4.950440883636475
2010-07-16,4.7769856452941895
2010-07-19,4.73479700088501
2010-07-20,4.8332438468933105
2010-07-21,4.8332438468933105
2010-07-22,5.034823894500732
2010-07-23,5.273907661437988
2010-07-26,5.484862804412842
2010-07-27,5.362977504730225
2010-07-28,5.264528751373291
2010-07-29,5.297344207763672
2010-07-30,5.227026462554932
2010-08-02,5.484862804412842
2010-08-03,5.3911027908325195
2010-08-04,5.41923189163208
2010-08-05,5.395793437957764
2010-08-06,5.311407089233398
2010-08-09,5.325472831726074
2010-08-10,5.152019023895264
2010-08-11,5.000628471374512
2010-08-12,5.208791255950928
2010-08-13,5.029017448425293
2010-08-16,4.910741329193115
2010-08-17,5.029017448425293
2010-08-18,4.995898723602295
2010-08-19,4.853971004486084
2010-08-20,4.816123008728027
2010-08-23,5.000628471374512
2010-08-24,4.934394836425781
2010-08-25,4.906012058258057
2010-08-26,4.863430500030518
2010-08-27,4.868162155151367
2010-08-30,4.740426540374756
2010-08-31,4.773543357849121
2010-09-01,4.939126968383789
2010-09-02,4.839776039123535
2010-09-03,4.896548271179199
2010-09-07,4.820852279663086
2010-09-08,4.75462007522583
2010-09-09,4.730965614318848
2010-09-10,4.868162155151367
2010-09-13,5.014822483062744
2010-09-14,4.995898723602295
2010-09-15,5.0952467918396
2010-09-16,5.0952467918396
2010-09-17,5.133098125457764
2010-09-20,5.2182536125183105
2010-09-21,5.3507208824157715
2010-09-22,5.289217948913574
2010-09-23,5.0952467918396
2010-09-24,5.440608501434326
