Date,MAS
2010-01-04,9.684845924377441
2010-01-05,9.77294635772705
2010-01-06,9.926237106323242
2010-01-07,10.546198844909668
2010-01-08,10.614326477050781
2010-01-11,10.587082862854004
2010-01-12,10.423571586608887
2010-01-13,10.28731632232666
2010-01-14,10.239622116088867
2010-01-15,10.219183921813965
2010-01-19,10.50532341003418
2010-01-20,10.1851224899292
2010-01-21,9.871736526489258
2010-01-22,9.476595878601074
2010-01-25,9.38802719116211
2010-01-26,9.38802719116211
2010-01-27,9.251768112182617
2010-01-28,9.26539421081543
2010-01-29,9.238146781921387
2010-02-01,9.531095504760742
2010-02-02,10.069304466247559
2010-02-03,10.116991996765137
2010-02-04,9.878545761108398
2010-02-05,9.633286476135254
2010-02-08,9.57197093963623
2010-02-09,9.844486236572266
2010-02-10,9.878545761108398
2010-02-11,9.381213188171387
2010-02-12,9.408463478088379
2010-02-16,9.537909507751465
2010-02-17,9.503844261169434
2010-02-18,9.42209243774414
2010-02-19,9.26539421081543
2010-02-22,9.27901840209961
2010-02-23,9.026948928833008
2010-02-24,9.067829132080078
2010-02-25,8.965632438659668
2010-02-26,9.108698844909668
2010-03-01,9.51746654510498
2010-03-02,9.551534652709961
2010-03-03,9.65372371673584
2010-03-04,9.633286476135254
2010-03-05,9.803606033325195
2010-03-08,9.987550735473633
2010-03-09,10.001179695129395
2010-03-10,10.12380599975586
2010-03-11,10.300939559936523
2010-03-12,10.335002899169922
2010-03-15,10.321381568908691
2010-03-16,10.430380821228027
2010-03-17,10.580263137817383
2010-03-18,10.56663703918457
2010-03-19,10.219183921813965
2010-03-22,10.375882148742676
2010-03-23,10.546198844909668
2010-03-24,10.335002899169922
2010-03-25,10.307756423950195
2010-03-26,10.348630905151367
2010-03-29,10.437195777893066
2010-03-30,10.491695404052734
2010-03-31,10.573451042175293
2010-04-01,10.771023750305176
2010-04-05,11.002655982971191
2010-04-06,11.091222763061523
2010-04-07,10.848246574401855
2010-04-08,10.875625610351562
2010-04-09,11.019355773925781
2010-04-12,11.026200294494629
2010-04-13,11.046737670898438
2010-04-14,11.553213119506836
2010-04-15,11.635347366333008
2010-04-16,11.60797119140625
2010-04-19,11.799612998962402
2010-04-20,11.970715522766113
2010-04-21,12.032319068908691
2010-04-22,12.388223648071289
2010-04-23,12.55932903289795
2010-04-26,12.319775581359863
2010-04-27,10.69083023071289
2010-04-28,11.258909225463867
2010-04-29,11.525839805603027
2010-04-30,11.108333587646484
2010-05-03,11.382104873657227
2010-05-04,10.779805183410645
2010-05-05,10.588163375854492
2010-05-06,10.0200834274292
2010-05-07,9.349342346191406
2010-05-10,10.355459213256836
2010-05-11,10.348614692687988
2010-05-12,10.677139282226562
2010-05-13,10.389680862426758
2010-05-14,10.088528633117676
2010-05-17,10.102214813232422
2010-05-18,9.8626708984375
2010-05-19,9.629960060119629
2010-05-20,9.123479843139648
2010-05-21,9.40410041809082
2010-05-24,9.349342346191406
2010-05-25,9.260369300842285
2010-05-26,8.959218978881836
2010-05-27,9.301432609558105
2010-05-28,9.137167930603027
2010-06-01,8.562248229980469
2010-06-02,8.829176902770996
2010-06-03,8.856550216674805
2010-06-04,8.486961364746094
2010-06-07,8.124212265014648
2010-06-08,8.007854461669922
2010-06-09,7.932565212249756
2010-06-10,8.466423988342285
2010-06-11,8.459578514099121
2010-06-14,8.644377708435059
2010-06-15,9.034504890441895
2010-06-16,8.705974578857422
2010-06-17,8.363763809204102
2010-06-18,8.432206153869629
2010-06-21,8.439046859741211
2010-06-22,8.185809135437012
2010-06-23,8.281631469726562
2010-06-24,8.00101375579834
2010-06-25,8.083142280578613
2010-06-28,8.08998966217041
2010-06-29,7.706709861755371
2010-06-30,7.364489555358887
2010-07-01,7.4124016761779785
2010-07-02,7.323421478271484
2010-07-06,7.330273151397705
2010-07-07,7.747269153594971
2010-07-08,7.733487129211426
2010-07-09,7.933370113372803
2010-07-12,7.664557933807373
2010-07-13,7.878227233886719
2010-07-14,7.6990227699279785
2010-07-15,7.740379810333252
2010-07-16,7.216538906097412
2010-07-19,7.113151550292969
2010-07-20,7.319931983947754
2010-07-21,7.037334442138672
2010-07-22,7.443994998931885
2010-07-23,7.871335506439209
2010-07-26,8.222861289978027
2010-07-27,7.257898807525635
2010-07-28,6.9684062004089355
2010-07-29,6.9270501136779785
2010-07-30,7.085583209991455
2010-08-02,7.340604782104492
2010-08-03,7.381967067718506
2010-08-04,7.430212020874023
2010-08-05,7.388855934143066
2010-08-06,7.540491580963135
2010-08-09,7.8161940574646
2010-08-10,7.595638275146484
2010-08-11,7.319931983947754
2010-08-12,7.2647881507873535
2010-08-13,7.223434925079346
2010-08-16,7.099365234375
2010-08-17,7.340604782104492
2010-08-18,7.499135971069336
2010-08-19,7.347498416900635
2010-08-20,7.278573513031006
2010-08-23,7.154506683349609
2010-08-24,7.230326175689697
2010-08-25,7.361280918121338
2010-08-26,7.071795463562012
2010-08-27,7.361280918121338
2010-08-30,7.175183296203613
2010-08-31,7.230326175689697
2010-09-01,7.588738918304443
2010-09-02,7.7955169677734375
2010-09-03,7.878227233886719
2010-09-07,7.499135971069336
2010-09-08,7.492242813110352
2010-09-09,7.540491580963135
2010-09-10,7.533596992492676
2010-09-13,7.76794958114624
2010-09-14,7.657665252685547
2010-09-15,7.581849575042725
2010-09-16,7.5473856925964355
2010-09-17,7.540491580963135
2010-09-20,7.685235500335693
2010-09-21,7.705916404724121
2010-09-22,7.5473856925964355
2010-09-23,7.313035011291504
2010-09-24,7.581849575042725
2010-09-27,7.533596992492676
