Date,JBHT
2010-01-04,28.352455139160156
2010-01-05,28.429636001586914
2010-01-06,28.258113861083984
2010-01-07,28.369600296020508
2010-01-08,29.192901611328125
2010-01-11,29.621715545654297
2010-01-12,28.90989112854004
2010-01-13,29.038524627685547
2010-01-14,29.758935928344727
2010-01-15,29.175758361816406
2010-01-19,29.072830200195312
2010-01-20,29.004230499267578
2010-01-21,28.232376098632812
2010-01-22,27.6406307220459
2010-01-25,27.786428451538086
2010-01-26,27.77785301208496
2010-01-27,28.155195236206055
2010-01-28,26.55148696899414
2010-01-29,26.294193267822266
2010-02-01,26.474287033081055
2010-02-02,26.294193267822266
2010-02-03,26.73157501220703
2010-02-04,25.976884841918945
2010-02-05,26.148399353027344
2010-02-08,26.096948623657227
2010-02-09,26.31134605407715
2010-02-10,27.077617645263672
2010-02-11,27.180931091308594
2010-02-12,27.275634765625
2010-02-16,27.628637313842773
2010-02-17,28.119382858276367
2010-02-18,27.852481842041016
2010-02-19,28.36907386779785
2010-02-22,28.756507873535156
2010-02-23,28.799560546875
2010-02-24,29.453901290893555
2010-02-25,29.893003463745117
2010-02-26,30.547330856323242
2010-03-01,30.07379150390625
2010-03-02,30.22015953063965
2010-03-03,29.78968620300293
2010-03-04,29.531383514404297
2010-03-05,30.116851806640625
2010-03-08,30.366539001464844
2010-03-09,31.124197006225586
2010-03-10,30.80561637878418
2010-03-11,30.667865753173828
2010-03-12,30.487062454223633
2010-03-15,30.728139877319336
2010-03-16,31.459972381591797
2010-03-17,31.012256622314453
2010-03-18,31.296375274658203
2010-03-19,30.917551040649414
2010-03-22,31.218889236450195
2010-03-23,31.459972381591797
2010-03-24,31.322202682495117
2010-03-25,30.788408279418945
2010-03-26,30.68508529663086
2010-03-29,30.68508529663086
2010-03-30,30.728139877319336
2010-03-31,30.891719818115234
2010-04-01,30.659265518188477
2010-04-05,30.710908889770508
2010-04-06,30.891719818115234
2010-04-07,30.1943302154541
2010-04-08,30.977811813354492
2010-04-09,31.08113670349121
2010-04-12,31.029489517211914
2010-04-13,31.193065643310547
2010-04-14,31.89907455444336
2010-04-15,32.4500732421875
2010-04-16,31.812969207763672
2010-04-19,31.89046287536621
2010-04-20,31.50301742553711
2010-04-21,31.57187843322754
2010-04-22,31.812969207763672
2010-04-23,32.252044677734375
2010-04-26,32.19179153442383
2010-04-27,31.58049201965332
2010-04-28,31.726858139038086
2010-04-29,32.42425537109375
2010-04-30,31.683818817138672
2010-05-03,32.45869827270508
2010-05-04,31.167238235473633
2010-05-05,31.124197006225586
2010-05-06,30.030752182006836
2010-05-07,29.307537078857422
2010-05-10,30.228763580322266
2010-05-11,31.141401290893555
2010-05-12,30.752666473388672
2010-05-13,30.51079750061035
2010-05-14,30.294837951660156
2010-05-17,30.934080123901367
2010-05-18,30.623104095458984
2010-05-19,30.47625160217285
2010-05-20,28.670820236206055
2010-05-21,29.094104766845703
2010-05-24,29.11138343811035
2010-05-25,28.964527130126953
2010-05-26,29.20640754699707
2010-05-27,30.035686492919922
2010-05-28,29.828367233276367
2010-06-01,28.929964065551758
2010-06-02,29.672882080078125
2010-06-03,29.802457809448242
2010-06-04,28.74856948852539
2010-06-07,28.057497024536133
2010-06-08,28.057497024536133
2010-06-09,27.815624237060547
2010-06-10,29.07682991027832
2010-06-11,29.145938873291016
2010-06-14,30.14798927307129
2010-06-15,30.94273567199707
2010-06-16,30.42441177368164
2010-06-17,30.338029861450195
2010-06-18,30.234365463256836
2010-06-21,29.85430335998535
2010-06-22,28.567161560058594
2010-06-23,28.895421981811523
2010-06-24,28.8695125579834
2010-06-25,28.981809616088867
2010-06-28,29.11138343811035
2010-06-29,28.57579803466797
2010-06-30,28.221622467041016
2010-07-01,28.541248321533203
2010-07-02,28.25617790222168
2010-07-06,27.88472557067871
2010-07-07,28.938613891601562
2010-07-08,29.396461486816406
2010-07-09,29.638334274291992
2010-07-12,29.690141677856445
2010-07-13,30.381223678588867
2010-07-14,30.243003845214844
2010-07-15,30.044330596923828
2010-07-16,30.320749282836914
2010-07-19,30.407136917114258
2010-07-20,30.57992172241211
2010-07-21,29.802457809448242
2010-07-22,30.407136917114258
2010-07-23,30.66629409790039
2010-07-26,31.201875686645508
2010-07-27,30.86496925354004
2010-07-28,30.76963996887207
2010-07-29,30.830284118652344
2010-07-30,30.76096534729004
2010-08-02,31.281021118164062
2010-08-03,30.79561996459961
2010-08-04,31.558366775512695
2010-08-05,31.0469970703125
2010-08-06,30.526941299438477
2010-08-09,30.890972137451172
2010-08-10,30.362262725830078
2010-08-11,29.140146255493164
2010-08-12,29.192138671875
2010-08-13,28.67209815979004
2010-08-16,28.654766082763672
2010-08-17,29.443510055541992
2010-08-18,29.573524475097656
2010-08-19,29.174816131591797
2010-08-20,29.235483169555664
2010-08-23,29.0621337890625
2010-08-24,28.32539939880371
2010-08-25,28.308063507080078
2010-08-26,28.290727615356445
2010-08-27,29.140146255493164
2010-08-30,28.42073631286621
2010-08-31,28.386070251464844
2010-09-01,29.686203002929688
2010-09-02,29.998231887817383
2010-09-03,29.911548614501953
2010-09-07,29.660202026367188
2010-09-08,29.79888343811035
2010-09-09,29.495519638061523
2010-09-10,29.48685073852539
2010-09-13,30.110904693603516
2010-09-14,30.13690185546875
2010-09-15,30.500940322875977
2010-09-16,30.336254119873047
2010-09-17,30.56161117553711
2010-09-20,30.622285842895508
2010-09-21,30.830284118652344
2010-09-22,30.66561508178711
2010-09-23,30.041576385498047
2010-09-24,31.315690994262695
2010-09-27,30.440256118774414
2010-09-28,30.67429542541504
