Date,ZBH
2010-01-04,51.9900016784668
2010-01-05,53.63579177856445
2010-01-06,53.618473052978516
2010-01-07,54.84849166870117
2010-01-08,53.69643783569336
2010-01-11,54.88313293457031
2010-01-12,53.82634735107422
2010-01-13,54.181514739990234
2010-01-14,54.33742904663086
2010-01-15,53.48854446411133
2010-01-19,55.186317443847656
2010-01-20,54.1641845703125
2010-01-21,53.14204788208008
2010-01-22,52.48374557495117
2010-01-25,52.70029067993164
2010-01-26,52.54436492919922
2010-01-27,51.86870574951172
2010-01-28,49.24411392211914
2010-01-29,48.7850227355957
2010-02-01,49.4000244140625
2010-02-02,50.50010681152344
2010-02-03,49.48664855957031
2010-02-04,48.178672790527344
2010-02-05,48.01408004760742
2010-02-08,48.00542068481445
2010-02-09,48.577125549316406
2010-02-10,49.09684753417969
2010-02-11,49.893768310546875
2010-02-12,49.58191680908203
2010-02-16,50.552101135253906
2010-02-17,50.53474807739258
2010-02-18,50.58673095703125
2010-02-19,50.326866149902344
2010-02-22,50.36151885986328
2010-02-23,49.70319747924805
2010-02-24,49.755165100097656
2010-02-25,49.58191680908203
2010-02-26,49.659873962402344
2010-03-01,50.439483642578125
2010-03-02,51.15843200683594
2010-03-03,51.1411018371582
2010-03-04,50.915897369384766
2010-03-05,52.05928421020508
2010-03-08,51.582881927490234
2010-03-09,51.20174026489258
2010-03-10,50.985191345214844
2010-03-11,49.4000244140625
2010-03-12,51.31435775756836
2010-03-15,50.44813537597656
2010-03-16,50.07566833496094
2010-03-17,49.92841339111328
2010-03-18,49.755165100097656
2010-03-19,49.34804916381836
2010-03-22,50.41349411010742
2010-03-23,50.638702392578125
2010-03-24,50.28355026245117
2010-03-25,49.78981399536133
2010-03-26,49.642555236816406
2010-03-29,50.76862716674805
2010-03-30,51.1324348449707
2010-03-31,51.279693603515625
2010-04-01,51.964012145996094
2010-04-05,51.53956985473633
2010-04-06,51.06314468383789
2010-04-07,51.175750732421875
2010-04-08,51.175750732421875
2010-04-09,51.582881927490234
2010-04-12,51.40096664428711
2010-04-13,52.05064010620117
2010-04-14,52.864864349365234
2010-04-15,52.8388786315918
2010-04-16,52.388465881347656
2010-04-19,52.29315948486328
2010-04-20,52.994808197021484
2010-04-21,52.16324996948242
2010-04-22,52.50971984863281
2010-04-23,52.812889099121094
2010-04-26,52.96015167236328
2010-04-27,52.682960510253906
2010-04-28,53.22868347167969
2010-04-29,53.36725997924805
2010-04-30,52.760921478271484
2010-05-03,53.12474822998047
2010-05-04,52.18056869506836
2010-05-05,52.24119567871094
2010-05-06,51.74746322631836
2010-05-07,50.673343658447266
2010-05-10,52.734928131103516
2010-05-11,52.579017639160156
2010-05-12,52.92551040649414
2010-05-13,52.53570556640625
2010-05-14,51.591548919677734
2010-05-17,51.1411018371582
2010-05-18,50.846595764160156
2010-05-19,50.56073760986328
2010-05-20,48.568458557128906
2010-05-21,48.36056900024414
2010-05-24,48.16999435424805
2010-05-25,47.51167678833008
2010-05-26,46.97462844848633
2010-05-27,47.91881561279297
2010-05-28,48.44718551635742
2010-06-01,46.922664642333984
2010-06-02,47.728248596191406
2010-06-03,47.840843200683594
2010-06-04,46.06511306762695
2010-06-07,45.61469650268555
2010-06-08,45.90053176879883
2010-06-09,46.09976577758789
2010-06-10,46.82738494873047
2010-06-11,46.78407287597656
2010-06-14,46.48090362548828
2010-06-15,47.087242126464844
2010-06-16,47.78020095825195
2010-06-17,47.65027618408203
2010-06-18,47.6849365234375
2010-06-21,47.64162063598633
2010-06-22,47.277801513671875
2010-06-23,46.93131637573242
2010-06-24,46.091094970703125
2010-06-25,46.1430778503418
2010-06-28,47.269142150878906
2010-06-29,47.29513168334961
2010-06-30,46.81870651245117
2010-07-01,46.67145538330078
2010-07-02,47.05259323120117
2010-07-06,47.6762580871582
2010-07-07,48.69838333129883
2010-07-08,48.79367446899414
2010-07-09,48.69838333129883
2010-07-12,48.5164794921875
2010-07-13,49.30473709106445
2010-07-14,49.798465728759766
2010-07-15,50.17094421386719
2010-07-16,48.429874420166016
2010-07-19,48.49916458129883
2010-07-20,47.771541595458984
2010-07-21,45.88319778442383
2010-07-22,45.4847412109375
2010-07-23,45.85722732543945
2010-07-26,46.18638610839844
2010-07-27,46.66279220581055
2010-07-28,46.32497024536133
2010-07-29,45.181575775146484
2010-07-30,45.90053176879883
2010-08-02,46.6281623840332
2010-08-03,46.939979553222656
2010-08-04,47.49436569213867
2010-08-05,47.208518981933594
2010-08-06,46.758087158203125
2010-08-09,46.76673889160156
2010-08-10,46.68877410888672
2010-08-11,45.05164337158203
2010-08-12,45.04298400878906
2010-08-13,44.55791091918945
2010-08-16,44.176780700683594
2010-08-17,44.358680725097656
2010-08-18,44.93037033081055
2010-08-19,43.501129150390625
2010-08-20,43.154659271240234
2010-08-23,42.76483917236328
2010-08-24,40.685943603515625
2010-08-25,41.335601806640625
2010-08-26,40.95447540283203
2010-08-27,41.58680725097656
2010-08-30,41.17101287841797
2010-08-31,40.859169006347656
2010-09-01,41.31827926635742
2010-09-02,42.05455017089844
2010-09-03,42.686893463134766
2010-09-07,42.44434356689453
2010-09-08,42.18448257446289
2010-09-09,42.401039123535156
2010-09-10,42.43568420410156
2010-09-13,42.7042236328125
2010-09-14,43.197959899902344
2010-09-15,43.804290771484375
2010-09-16,43.804290771484375
2010-09-17,43.899600982666016
2010-09-20,44.69648742675781
2010-09-21,44.6358642578125
2010-09-22,43.83028030395508
2010-09-23,43.596405029296875
2010-09-24,44.878387451171875
2010-09-27,43.405853271484375
2010-09-28,44.77445983886719
