Date,PFE
2010-01-04,9.519680976867676
2010-01-05,9.383901596069336
2010-01-06,9.353727340698242
2010-01-07,9.318527221679688
2010-01-08,9.393959999084473
2010-01-11,9.469392776489258
2010-01-12,9.439217567443848
2010-01-13,9.660490036010742
2010-01-14,9.745984077453613
2010-01-15,9.801301956176758
2010-01-19,10.057775497436523
2010-01-20,10.027599334716797
2010-01-21,9.675579071044922
2010-01-22,9.534769058227539
2010-01-25,9.479447364807129
2010-01-26,9.44425106048584
2010-01-27,9.554883003234863
2010-01-28,9.368817329406738
2010-01-29,9.383901596069336
2010-02-01,9.44927978515625
2010-02-02,9.675579071044922
2010-02-03,9.45221996307373
2010-02-04,9.152713775634766
2010-02-05,9.117172241210938
2010-02-08,9.056258201599121
2010-02-09,9.076562881469727
2010-02-10,9.005494117736816
2010-02-11,9.071490287780762
2010-02-12,9.035955429077148
2010-02-16,8.995338439941406
2010-02-17,8.969959259033203
2010-02-18,9.000418663024902
2010-02-19,9.132403373718262
2010-02-22,9.112101554870605
2010-02-23,8.969959259033203
2010-02-24,9.041033744812012
2010-02-25,8.98011589050293
2010-02-26,8.909040451049805
2010-03-01,9.010571479797363
2010-03-02,8.93442440032959
2010-03-03,8.79228687286377
2010-03-04,8.797365188598633
2010-03-05,8.87350845336914
2010-03-08,8.807516098022461
2010-03-09,8.746598243713379
2010-03-10,8.705988883972168
2010-03-11,8.777058601379395
2010-03-12,8.670455932617188
2010-03-15,8.761831283569336
2010-03-16,8.761831283569336
2010-03-17,8.73644733428955
2010-03-18,8.746598243713379
2010-03-19,8.584157943725586
2010-03-22,8.705988883972168
2010-03-23,8.90396785736084
2010-03-24,8.939504623413086
2010-03-25,8.827823638916016
2010-03-26,8.700912475585938
2010-03-29,8.771982192993164
2010-03-30,8.761831283569336
2010-03-31,8.705988883972168
2010-04-01,8.670455932617188
2010-04-05,8.579080581665039
2010-04-06,8.609537124633789
2010-04-07,8.665377616882324
2010-04-08,8.700912475585938
2010-04-09,8.756752014160156
2010-04-12,8.777058601379395
2010-04-13,8.721216201782227
2010-04-14,8.665377616882324
2010-04-15,8.624770164489746
2010-04-16,8.528318405151367
2010-04-19,8.523237228393555
2010-04-20,8.508009910583496
2010-04-21,8.426789283752441
2010-04-22,8.365872383117676
2010-04-23,8.584157943725586
2010-04-26,8.538469314575195
2010-04-27,8.355719566345215
2010-04-28,8.391254425048828
2010-04-29,8.5587739944458
2010-04-30,8.487704277038574
2010-05-03,8.584157943725586
2010-05-04,8.761831283569336
2010-05-05,8.813127517700195
2010-05-06,8.587414741516113
2010-05-07,8.44377613067627
2010-05-10,8.720789909362793
2010-05-11,8.725920677185059
2010-05-12,8.669489860534668
2010-05-13,8.495075225830078
2010-05-14,8.31039810180664
2010-05-17,8.264233589172363
2010-05-18,8.110335350036621
2010-05-19,8.115467071533203
2010-05-20,7.812800407409668
2010-05-21,7.900008678436279
2010-05-24,7.807670593261719
2010-05-25,7.725593566894531
2010-05-26,7.751242160797119
2010-05-27,7.884622573852539
2010-05-28,7.812800407409668
2010-06-01,7.689685821533203
2010-06-02,7.797414302825928
2010-06-03,7.812800407409668
2010-06-04,7.5717034339904785
2010-06-07,7.448580265045166
2010-06-08,7.4639692306518555
2010-06-09,7.448580265045166
2010-06-10,7.648646831512451
2010-06-11,7.93079137802124
2010-06-14,7.864099979400635
2010-06-15,7.961568832397461
2010-06-16,7.9410481452941895
2010-06-17,7.93591833114624
2010-06-18,7.8025431632995605
2010-06-21,7.74611234664917
2010-06-22,7.679422855377197
2010-06-23,7.633255481719971
2010-06-24,7.417800426483154
2010-06-25,7.510138988494873
2010-06-28,7.458837032318115
2010-06-29,7.325462341308594
2010-06-30,7.31520414352417
2010-07-01,7.299811840057373
2010-07-02,7.2536468505859375
2010-07-06,7.330596923828125
2010-07-07,7.499878883361816
2010-07-08,7.602475643157959
2010-07-09,7.5768256187438965
2010-07-12,7.658904552459717
2010-07-13,7.587087154388428
2010-07-14,7.612737655639648
2010-07-15,7.628127098083496
2010-07-16,7.469099521636963
2010-07-19,7.556308269500732
2010-07-20,7.4639692306518555
2010-07-21,7.4383225440979
2010-07-22,7.597347259521484
2010-07-23,7.4793572425842285
2010-07-26,7.705075263977051
2010-07-27,7.833320140838623
2010-07-28,7.694811820983887
2010-07-29,7.740983009338379
2010-07-30,7.694811820983887
2010-08-02,7.9410481452941895
2010-08-03,8.38221549987793
2010-08-04,8.527453422546387
2010-08-05,8.39777946472168
2010-08-06,8.423714637756348
2010-08-09,8.517081260681152
2010-08-10,8.59488582611084
2010-08-11,8.299229621887207
2010-08-12,8.402966499328613
2010-08-13,8.34072208404541
2010-08-16,8.314788818359375
2010-08-17,8.439275741577148
2010-08-18,8.351097106933594
2010-08-19,8.314788818359375
2010-08-20,8.257730484008789
2010-08-23,8.351097106933594
2010-08-24,8.205860137939453
2010-08-25,8.294039726257324
2010-08-26,8.247354507446289
2010-08-27,8.345908164978027
2010-08-30,8.22661018371582
2010-08-31,8.252545356750488
2010-09-01,8.444462776184082
2010-09-02,8.506707191467285
2010-09-03,8.537829399108887
2010-09-07,8.47039794921875
2010-09-08,8.58969783782959
2010-09-09,8.698625564575195
2010-09-10,8.812743186950684
2010-09-13,8.802366256713867
2010-09-14,8.859423637390137
2010-09-15,8.957975387573242
2010-09-16,8.906107902526855
2010-09-17,8.849047660827637
2010-09-20,8.963162422180176
2010-09-21,8.890545845031738
2010-09-22,8.932043075561523
2010-09-23,8.838676452636719
2010-09-24,9.025409698486328
2010-09-27,8.906107902526855
