Date,REG
2010-01-04,19.117324829101562
2010-01-05,19.254777908325195
2010-01-06,19.282270431518555
2010-01-07,19.430727005004883
2010-01-08,19.39773178100586
2010-01-11,19.68914222717285
2010-01-12,19.326257705688477
2010-01-13,19.88707160949707
2010-01-14,19.793611526489258
2010-01-15,20.030031204223633
2010-01-19,20.689807891845703
2010-01-20,20.18398094177246
2010-01-21,19.67814826965332
2010-01-22,19.128320693969727
2010-01-25,18.858903884887695
2010-01-26,18.787433624267578
2010-01-27,18.825918197631836
2010-01-28,18.55100440979004
2010-01-29,18.413558959960938
2010-02-01,18.84791374206543
2010-02-02,18.864404678344727
2010-02-03,18.512521743774414
2010-02-04,17.95170021057129
2010-02-05,18.61149024963379
2010-02-08,18.237611770629883
2010-02-09,17.902219772338867
2010-02-10,17.8912296295166
2010-02-11,17.957197189331055
2010-02-12,18.18195915222168
2010-02-16,18.76200294494629
2010-02-17,18.78430938720703
2010-02-18,19.06318473815918
2010-02-19,19.124523162841797
2010-02-22,18.918169021606445
2010-02-23,18.70065689086914
2010-02-24,19.091062545776367
2010-02-25,19.185874938964844
2010-02-26,19.336462020874023
2010-03-01,19.698989868164062
2010-03-02,19.72686767578125
2010-03-03,19.693410873413086
2010-03-04,19.771484375
2010-03-05,20.295759201049805
2010-03-08,20.51326560974121
2010-03-09,20.658273696899414
2010-03-10,20.53000259399414
2010-03-11,20.574621200561523
2010-03-12,20.953880310058594
2010-03-15,20.86465072631836
2010-03-16,21.5673828125
2010-03-17,21.95779037475586
2010-03-18,21.745845794677734
2010-03-19,21.37217140197754
2010-03-22,21.690082550048828
2010-03-23,21.62316131591797
2010-03-24,21.62872886657715
2010-03-25,21.77931785583496
2010-03-26,21.528335571289062
2010-03-29,21.361019134521484
2010-03-30,21.126771926879883
2010-03-31,20.898107528686523
2010-04-01,20.892526626586914
2010-04-05,21.316402435302734
2010-04-06,21.77931785583496
2010-04-07,21.260631561279297
2010-04-08,21.160234451293945
2010-04-09,21.361019134521484
2010-04-12,21.10445785522461
2010-04-13,22.041458129882812
2010-04-14,22.024717330932617
2010-04-15,21.79047393798828
2010-04-16,21.40564727783203
2010-04-19,21.255048751831055
2010-04-20,21.500452041625977
2010-04-21,22.00241470336914
2010-04-22,22.231075286865234
2010-04-23,22.52667236328125
2010-04-26,22.654951095581055
2010-04-27,21.980100631713867
2010-04-28,22.047035217285156
2010-04-29,23.396732330322266
2010-04-30,22.894777297973633
2010-05-03,23.402305603027344
2010-05-04,22.43744659423828
2010-05-05,22.125110626220703
2010-05-06,22.113956451416016
2010-05-07,21.717975616455078
2010-05-10,23.285171508789062
2010-05-11,23.07883071899414
2010-05-12,23.20710563659668
2010-05-13,22.387235641479492
2010-05-14,21.400066375732422
2010-05-17,21.435626983642578
2010-05-18,20.92754554748535
2010-05-19,20.797693252563477
2010-05-20,19.96218490600586
2010-05-21,20.679141998291016
2010-05-24,20.244441986083984
2010-05-25,20.221864700317383
2010-05-26,19.911359786987305
2010-05-27,20.950124740600586
2010-05-28,20.74689292907715
2010-06-01,20.498489379882812
2010-06-02,20.7130184173584
2010-06-03,20.447683334350586
2010-06-04,19.216976165771484
2010-06-07,19.200044631958008
2010-06-08,19.804101943969727
2010-06-09,19.747648239135742
2010-06-10,20.696073532104492
2010-06-11,21.170297622680664
2010-06-14,21.20416259765625
2010-06-15,21.813865661621094
2010-06-16,21.64450454711914
2010-06-17,21.58804702758789
2010-06-18,21.486440658569336
2010-06-21,21.537250518798828
2010-06-22,20.701723098754883
2010-06-23,20.769474029541016
2010-06-24,20.182350158691406
2010-06-25,20.792057037353516
2010-06-28,20.419452667236328
2010-06-29,19.64603042602539
2010-06-30,19.420207977294922
2010-07-01,19.307315826416016
2010-07-02,18.77099609375
2010-07-06,18.206449508666992
2010-07-07,19.081497192382812
2010-07-08,19.222618103027344
2010-07-09,19.538766860961914
2010-07-12,19.583932876586914
2010-07-13,20.04120635986328
2010-07-14,19.933944702148438
2010-07-15,19.64603042602539
2010-07-16,18.968585968017578
2010-07-19,19.30165672302246
2010-07-20,19.476665496826172
2010-07-21,19.081497192382812
2010-07-22,20.080730438232422
2010-07-23,20.442035675048828
2010-07-26,21.19287872314453
2010-07-27,21.305782318115234
2010-07-28,21.040449142456055
2010-07-29,21.11383819580078
2010-07-30,21.305782318115234
2010-08-02,22.310667037963867
2010-08-03,21.988882064819336
2010-08-04,22.237276077270508
2010-08-05,22.316312789916992
2010-08-06,22.333255767822266
2010-08-09,22.64373779296875
2010-08-10,22.4235782623291
2010-08-11,21.58804702758789
2010-08-12,21.096899032592773
2010-08-13,20.865436553955078
2010-08-16,20.93575096130371
2010-08-17,21.40454864501953
2010-08-18,21.593219757080078
2010-08-19,20.867158889770508
2010-08-20,20.798555374145508
2010-08-23,20.695650100708008
2010-08-24,20.575586318969727
2010-08-25,20.93575096130371
2010-08-26,20.661340713500977
2010-08-27,20.97577667236328
2010-08-30,20.735666275024414
2010-08-31,20.844284057617188
2010-09-01,21.644670486450195
2010-09-02,22.193510055541992
2010-09-03,22.49079132080078
2010-09-07,22.3021297454834
2010-09-08,22.43362045288086
2010-09-09,22.473644256591797
2010-09-10,22.616561889648438
2010-09-13,23.005329132080078
2010-09-14,22.77093505859375
2010-09-15,22.69660758972168
2010-09-16,22.525096893310547
2010-09-17,22.45648956298828
2010-09-20,22.833818435668945
2010-09-21,22.467918395996094
2010-09-22,22.427906036376953
2010-09-23,21.80474853515625
2010-09-24,22.473644256591797
2010-09-27,21.94196128845215
2010-09-28,22.4107608795166
