Date,COO
2010-01-04,9.377274513244629
2010-01-05,9.486574172973633
2010-01-06,9.481606483459473
2010-01-07,9.580965995788574
2010-01-08,9.426953315734863
2010-01-11,9.439377784729004
2010-01-12,9.347465515136719
2010-01-13,9.60332202911377
2010-01-14,9.57597541809082
2010-01-15,9.36964225769043
2010-01-19,9.508855819702148
2010-01-20,9.464107513427734
2010-01-21,9.20805549621582
2010-01-22,9.116071701049805
2010-01-25,9.058894157409668
2010-01-26,8.989287376403809
2010-01-27,8.907247543334961
2010-01-28,8.807811737060547
2010-01-29,8.780465126037598
2010-02-01,8.738202095031738
2010-02-02,8.899789810180664
2010-02-03,8.765549659729004
2010-02-04,9.061378479003906
2010-02-05,8.991771697998047
2010-02-08,8.999232292175293
2010-02-09,9.111100196838379
2010-02-10,9.190650939941406
2010-02-11,9.362183570861816
2010-02-12,9.528745651245117
2010-02-16,9.481513023376465
2010-02-17,9.628182411193848
2010-02-18,9.551116943359375
2010-02-19,9.556089401245117
2010-02-22,9.7400484085083
2010-02-23,9.7400484085083
2010-02-24,9.96379280090332
2010-02-25,9.993620872497559
2010-02-26,9.958817481994629
2010-03-01,10.120407104492188
2010-03-02,10.182552337646484
2010-03-03,9.886724472045898
2010-03-04,9.993620872497559
2010-03-05,9.573490142822266
2010-03-08,9.757451057434082
2010-03-09,9.715190887451172
2010-03-10,9.881754875183105
2010-03-11,9.81214427947998
2010-03-12,9.662984848022461
2010-03-15,9.692816734313965
2010-03-16,9.70524787902832
2010-03-17,9.854405403137207
2010-03-18,9.914070129394531
2010-03-19,9.961304664611816
2010-03-22,10.194984436035156
2010-03-23,10.112950325012207
2010-03-24,10.006049156188965
2010-03-25,9.866835594177246
2010-03-26,9.451678276062012
2010-03-29,9.573490142822266
2010-03-30,9.62569808959961
2010-03-31,9.665472984313965
2010-04-01,9.687845230102539
2010-04-05,9.735081672668457
2010-04-06,9.543659210205078
2010-04-07,9.459135055541992
2010-04-08,9.508855819702148
2010-04-09,9.635640144348145
2010-04-12,9.807174682617188
2010-04-13,9.737565040588379
2010-04-14,9.645583152770996
2010-04-15,9.588404655456543
2010-04-16,9.47653865814209
2010-04-19,9.449193000793457
2010-04-20,9.754969596862793
2010-04-21,9.695301055908203
2010-04-22,9.608297348022461
2010-04-23,9.658016204833984
2010-04-26,9.710221290588379
2010-04-27,9.65304183959961
2010-04-28,9.70524787902832
2010-04-29,9.794742584228516
2010-04-30,9.66795825958252
2010-05-03,9.66795825958252
2010-05-04,9.349752426147461
2010-05-05,9.372125625610352
2010-05-06,9.255287170410156
2010-05-07,9.011659622192383
2010-05-10,9.130988121032715
2010-05-11,9.093697547912598
2010-05-12,9.220481872558594
2010-05-13,9.265229225158691
2010-05-14,9.0489501953125
2010-05-17,9.103644371032715
2010-05-18,9.098669052124023
2010-05-19,9.021607398986816
2010-05-20,8.723289489746094
2010-05-21,8.663620948791504
2010-05-24,8.899789810180664
2010-05-25,8.84261417388916
2010-05-26,8.815265655517578
2010-05-27,9.203079223632812
2010-05-28,9.16330337524414
2010-06-01,8.961939811706543
2010-06-02,9.230426788330078
2010-06-03,9.436760902404785
2010-06-04,9.252799987792969
2010-06-07,9.205565452575684
2010-06-08,8.874933242797852
2010-06-09,8.949511528015137
2010-06-10,8.986801147460938
2010-06-11,9.14838981628418
2010-06-14,9.178220748901367
2010-06-15,9.536197662353516
2010-06-16,9.585922241210938
2010-06-17,9.660500526428223
2010-06-18,9.894183158874512
2010-06-21,10.167640686035156
2010-06-22,10.167640686035156
2010-06-23,10.008535385131836
2010-06-24,9.933958053588867
2010-06-25,10.334199905395508
2010-06-28,10.326740264892578
2010-06-29,9.951359748840332
2010-06-30,9.89169692993164
2010-07-01,9.78977108001709
2010-07-02,9.745023727416992
2010-07-06,9.720162391662598
