Date,CMS
2010-01-04,9.465806007385254
2010-01-05,9.435831069946289
2010-01-06,9.405858039855957
2010-01-07,9.285962104797363
2010-01-08,9.321932792663574
2010-01-11,9.441827774047852
2010-01-12,9.387877464294434
2010-01-13,9.459809303283691
2010-01-14,9.471797943115234
2010-01-15,9.405858039855957
2010-01-19,9.531747817993164
2010-01-20,9.507767677307129
2010-01-21,9.315934181213379
2010-01-22,9.124099731445312
2010-01-25,9.220019340515137
2010-01-26,9.315934181213379
2010-01-27,9.22601318359375
2010-01-28,9.172060012817383
2010-01-29,9.09412670135498
2010-02-01,9.14208698272705
2010-02-02,9.297948837280273
2010-02-03,9.208030700683594
2010-02-04,9.014302253723145
2010-02-05,8.965876579284668
2010-02-08,8.832682609558105
2010-02-09,8.86900806427002
2010-02-10,8.820575714111328
2010-02-11,9.014302253723145
2010-02-12,8.97797966003418
2010-02-16,9.153543472290039
2010-02-17,9.159595489501953
2010-02-18,9.1959228515625
2010-02-19,9.432025909423828
2010-02-22,9.37753963470459
2010-02-23,9.274619102478027
2010-02-24,9.323050498962402
2010-02-25,9.256458282470703
2010-02-26,9.244353294372559
2010-03-01,9.310945510864258
2010-03-02,9.46229362487793
2010-03-03,9.389643669128418
2010-03-04,9.38359546661377
2010-03-05,9.498616218566895
2010-03-08,9.456238746643066
2010-03-09,9.540997505187988
2010-03-10,9.522833824157715
2010-03-11,9.547049522399902
2010-03-12,9.510726928710938
2010-03-15,9.47440242767334
2010-03-16,9.528886795043945
2010-03-17,9.534940719604492
2010-03-18,9.58337116241455
2010-03-19,9.577317237854004
2010-03-22,9.486509323120117
2010-03-23,9.498616218566895
2010-03-24,9.41386604309082
2010-03-25,9.341216087341309
2010-03-26,9.401755332946777
2010-03-29,9.41386604309082
2010-03-30,9.401755332946777
2010-03-31,9.359379768371582
2010-04-01,9.456238746643066
2010-04-05,9.589426040649414
2010-04-06,9.67418384552002
2010-04-07,9.649965286254883
2010-04-08,9.55310344696045
2010-04-09,9.625749588012695
2010-04-12,9.716560363769531
2010-04-13,9.631803512573242
2010-04-14,9.637858390808105
2010-04-15,9.595480918884277
2010-04-16,9.516777992248535
2010-04-19,9.547049522399902
2010-04-20,9.565210342407227
2010-04-21,9.547049522399902
2010-04-22,9.565210342407227
2010-04-23,9.916338920593262
2010-04-26,10.019254684448242
2010-04-27,9.76499080657959
2010-04-28,9.898177146911621
2010-04-29,9.873963356018066
2010-04-30,9.843690872192383
2010-05-03,9.995039939880371
2010-05-04,9.752885818481445
2010-05-05,9.587890625
2010-05-06,9.331233978271484
2010-05-07,9.20901870727539
2010-05-10,9.471785545349121
2010-05-11,9.44734001159668
2010-05-12,9.624555587768555
2010-05-13,9.581782341003418
2010-05-14,9.508450508117676
2010-05-17,9.526779174804688
2010-05-18,9.441229820251465
2010-05-19,9.349566459655762
2010-05-20,9.00735855102539
2010-05-21,9.031805992126465
2010-05-24,8.92791748046875
2010-05-25,8.787372589111328
2010-05-26,8.866811752319336
2010-05-27,8.989027976989746
2010-05-28,8.970695495605469
2010-06-01,8.75070571899414
2010-06-02,8.92791748046875
2010-06-03,9.019584655761719
2010-06-04,8.71403980255127
2010-06-07,8.744595527648926
2010-06-08,8.811813354492188
2010-06-09,8.830145835876465
2010-06-10,9.044025421142578
2010-06-11,9.111244201660156
2010-06-14,9.135687828063965
2010-06-15,9.343457221984863
2010-06-16,9.40456485748291
2010-06-17,9.502338409423828
2010-06-18,9.49622631072998
2010-06-21,9.44734001159668
2010-06-22,9.245681762695312
2010-06-23,9.099021911621094
2010-06-24,9.215131759643555
2010-06-25,9.276235580444336
2010-06-28,9.331233978271484
2010-06-29,9.123469352722168
2010-06-30,8.952361106872559
2010-07-01,8.970695495605469
2010-07-02,8.970695495605469
2010-07-06,9.086798667907715
2010-07-07,9.31290340423584
2010-07-08,9.435117721557617
2010-07-09,9.575665473937988
2010-07-12,9.630666732788086
2010-07-13,9.679550170898438
2010-07-14,9.661219596862793
2010-07-15,9.777326583862305
2010-07-16,9.545113563537598
2010-07-19,9.685660362243652
2010-07-20,9.758992195129395
2010-07-21,9.587890625
2010-07-22,9.728437423706055
2010-07-23,9.813989639282227
2010-07-26,9.948431968688965
2010-07-27,10.125643730163574
2010-07-28,9.966763496398926
2010-07-29,9.875100135803223
2010-07-30,9.728437423706055
2010-08-02,9.917876243591309
2010-08-03,9.881214141845703
2010-08-04,9.905881881713867
2010-08-05,9.986069679260254
2010-08-06,10.417829513549805
2010-08-09,10.522688865661621
2010-08-10,10.584364891052246
2010-08-11,10.461007118225098
2010-08-12,10.590535163879395
2010-08-13,10.707732200622559
2010-08-16,10.732400894165039
2010-08-17,10.695392608642578
2010-08-18,10.572030067443848
2010-08-19,10.51034927368164
2010-08-20,10.51034927368164
2010-08-23,10.689228057861328
2010-08-24,10.794079780578613
2010-08-25,10.794079780578613
2010-08-26,10.775577545166016
2010-08-27,10.954448699951172
2010-08-30,10.75090503692627
2010-08-31,10.794079780578613
2010-09-01,11.003792762756348
2010-09-02,10.979124069213867
2010-09-03,10.972954750061035
2010-09-07,10.935945510864258
2010-09-08,10.806418418884277
2010-09-09,10.886602401733398
2010-09-10,10.917444229125977
2010-09-13,11.022299766540527
2010-09-14,11.046972274780273
2010-09-15,11.083978652954102
2010-09-16,11.022299766540527
2010-09-17,10.935945510864258
2010-09-20,11.133318901062012
2010-09-21,10.979124069213867
2010-09-22,11.108654022216797
2010-09-23,10.923608779907227
2010-09-24,11.13949203491211
2010-09-27,11.108654022216797
2010-09-28,11.114815711975098
