Date,VMC
2010-01-04,46.008968353271484
2010-01-05,46.183467864990234
2010-01-06,46.9862060546875
2010-01-07,46.39288330078125
2010-01-08,45.93916320800781
2010-01-11,45.52907180786133
2010-01-12,45.44181823730469
2010-01-13,46.06133270263672
2010-01-14,45.93916320800781
2010-01-15,44.63908767700195
2010-01-19,45.18006134033203
2010-01-20,44.46457290649414
2010-01-21,42.2657585144043
2010-01-22,41.06166458129883
2010-01-25,40.80864715576172
2010-01-26,40.95696258544922
2010-01-27,40.328758239746094
2010-01-28,39.41258239746094
2010-01-29,38.557464599609375
2010-02-01,39.220611572265625
2010-02-02,39.99715042114258
2010-02-03,39.368953704833984
2010-02-04,37.78092956542969
2010-02-05,38.095027923583984
2010-02-08,37.955440521240234
2010-02-09,37.19633483886719
2010-02-10,37.370819091796875
2010-02-11,37.562801361083984
2010-02-12,37.466800689697266
2010-02-16,38.81052017211914
2010-02-17,38.697086334228516
2010-02-18,38.784358978271484
2010-02-19,39.70050811767578
2010-02-22,39.97970962524414
2010-02-23,39.421295166015625
2010-02-24,39.37741470336914
2010-02-25,39.08787536621094
2010-02-26,38.08767318725586
2010-03-01,37.73668670654297
2010-03-02,37.447166442871094
2010-03-03,38.5088005065918
2010-03-04,38.403533935546875
2010-03-05,39.56166458129883
2010-03-08,40.316226959228516
2010-03-09,40.08811569213867
2010-03-10,39.842445373535156
2010-03-11,40.04423904418945
2010-03-12,39.71082305908203
2010-03-15,39.90386962890625
2010-03-16,40.7900276184082
2010-03-17,43.56257629394531
2010-03-18,42.457088470458984
2010-03-19,42.61501693725586
2010-03-22,43.4748649597168
2010-03-23,44.02760696411133
2010-03-24,43.63277816772461
2010-03-25,42.343021392822266
2010-03-26,41.9218635559082
2010-03-29,42.30791473388672
2010-03-30,41.834136962890625
2010-03-31,41.44808578491211
2010-04-01,43.07125473022461
2010-04-05,43.36079406738281
2010-04-06,42.87823486328125
2010-04-07,42.0534782409668
2010-04-08,42.18507766723633
2010-04-09,42.483394622802734
2010-04-12,43.23795700073242
2010-04-13,43.66789245605469
2010-04-14,45.141902923583984
2010-04-15,46.74753952026367
2010-04-16,46.41412353515625
2010-04-19,46.422874450683594
2010-04-20,47.23887634277344
2010-04-21,47.75653076171875
2010-04-22,49.09018325805664
2010-04-23,50.24833679199219
2010-04-26,50.748451232910156
2010-04-27,48.5724983215332
2010-04-28,49.186683654785156
2010-04-29,51.099403381347656
2010-04-30,50.25711441040039
2010-05-03,51.669715881347656
2010-05-04,48.69534683227539
2010-05-05,47.39680480957031
2010-05-06,45.40511703491211
2010-05-07,44.81726837158203
2010-05-10,48.3005256652832
2010-05-11,47.82673263549805
2010-05-12,48.00218963623047
2010-05-13,47.27397537231445
2010-05-14,46.39657211303711
2010-05-17,46.756309509277344
2010-05-18,46.010528564453125
2010-05-19,45.571834564208984
2010-05-20,42.895782470703125
2010-05-21,43.650333404541016
2010-05-24,43.22917938232422
2010-05-25,43.299381256103516
2010-05-26,44.0048713684082
2010-05-27,45.812679290771484
2010-05-28,44.51633834838867
2010-06-01,43.90785217285156
2010-06-02,45.01019287109375
2010-06-03,45.354103088378906
2010-06-04,42.28522872924805
2010-06-07,40.44212341308594
2010-06-08,40.68024826049805
2010-06-09,40.02766036987305
2010-06-10,41.24463653564453
2010-06-11,41.45628356933594
2010-06-14,41.359291076660156
2010-06-15,42.18824005126953
2010-06-16,42.10003662109375
2010-06-17,41.72967529296875
2010-06-18,41.91485595703125
2010-06-21,42.964271545410156
2010-06-22,41.30637741088867
2010-06-23,41.45628356933594
2010-06-24,40.67142105102539
2010-06-25,40.62733840942383
2010-06-28,40.362770080566406
2010-06-29,39.01352310180664
2010-06-30,38.6519660949707
2010-07-01,38.50205993652344
2010-07-02,38.255130767822266
2010-07-06,39.07524490356445
2010-07-07,38.57260513305664
2010-07-08,38.70487976074219
2010-07-09,39.21635055541992
2010-07-12,38.70487976074219
2010-07-13,39.8953857421875
2010-07-14,39.7454719543457
2010-07-15,39.21635055541992
2010-07-16,38.131675720214844
2010-07-19,38.09638977050781
2010-07-20,39.50736999511719
2010-07-21,38.934181213378906
2010-07-22,39.83366775512695
2010-07-23,40.750797271728516
2010-07-26,41.78256607055664
2010-07-27,41.350467681884766
2010-07-28,40.56559753417969
2010-07-29,39.70137405395508
2010-07-30,39.8953857421875
2010-08-02,41.3151741027832
2010-08-03,37.53201675415039
2010-08-04,37.26744079589844
2010-08-05,36.6854133605957
2010-08-06,36.70304489135742
2010-08-09,36.6854133605957
2010-08-10,35.803565979003906
2010-08-11,35.04515075683594
2010-08-12,34.119205474853516
2010-08-13,33.792911529541016
2010-08-16,33.731170654296875
2010-08-17,34.04865646362305
2010-08-18,34.56895065307617
2010-08-19,33.92518997192383
2010-08-20,34.30439376831055
2010-08-23,33.78410339355469
2010-08-24,32.84318542480469
2010-08-25,33.37576675415039
2010-08-26,33.46455001831055
2010-08-27,34.15690994262695
2010-08-30,33.24262237548828
2010-08-31,32.63014602661133
2010-09-01,33.42902755737305
2010-09-02,34.0770149230957
2010-09-03,34.21904373168945
2010-09-07,33.96162414550781
2010-09-08,33.95273971557617
2010-09-09,33.82847595214844
2010-09-10,34.139163970947266
2010-09-13,34.15690994262695
2010-09-14,33.61542892456055
2010-09-15,33.57105255126953
2010-09-16,32.985206604003906
2010-09-17,32.514766693115234
2010-09-20,32.514766693115234
2010-09-21,33.53556442260742
2010-09-22,32.6656494140625
2010-09-23,31.689231872558594
2010-09-24,32.36383819580078
2010-09-27,32.14191818237305
2010-09-28,32.612403869628906
