Date,INTU
2010-01-04,27.2434024810791
2010-01-05,27.2434024810791
2010-01-06,26.863187789916992
2010-01-07,26.774757385253906
2010-01-08,27.48215675354004
2010-01-11,27.605947494506836
2010-01-12,27.605947494506836
2010-01-13,27.924272537231445
2010-01-14,28.101116180419922
2010-01-15,27.818161010742188
2010-01-19,28.056913375854492
2010-01-20,27.605947494506836
2010-01-21,27.269933700561523
2010-01-22,26.6156005859375
2010-01-25,26.845504760742188
2010-01-26,26.553707122802734
2010-01-27,26.536020278930664
2010-01-28,26.226537704467773
2010-01-29,26.182323455810547
2010-02-01,26.44759750366211
2010-02-02,26.491809844970703
2010-02-03,26.51833152770996
2010-02-04,25.872846603393555
2010-02-05,26.031997680664062
2010-02-08,25.961265563964844
2010-02-09,25.91705322265625
2010-02-10,25.9877872467041
2010-02-11,26.173471450805664
2010-02-12,25.9877872467041
2010-02-16,26.34148597717285
2010-02-17,26.44759750366211
2010-02-18,26.81013298034668
2010-02-19,28.932300567626953
2010-02-22,28.613988876342773
2010-02-23,28.18070411682129
2010-02-24,28.53439712524414
2010-02-25,28.702394485473633
2010-02-26,28.613988876342773
2010-03-01,29.091463088989258
2010-03-02,29.29483985900879
2010-03-03,29.36558723449707
2010-03-04,29.56011199951172
2010-03-05,29.98455238342285
2010-03-08,30.046451568603516
2010-03-09,30.019922256469727
2010-03-10,30.47972297668457
2010-03-11,30.541610717773438
2010-03-12,30.6035213470459
2010-03-15,30.630048751831055
2010-03-16,30.630048751831055
2010-03-17,30.532785415649414
2010-03-18,30.638887405395508
2010-03-19,30.6035213470459
2010-03-22,30.859954833984375
2010-03-23,30.594675064086914
2010-03-24,30.718467712402344
2010-03-25,30.417823791503906
2010-03-26,30.276338577270508
2010-03-29,30.347082138061523
2010-03-30,30.382465362548828
2010-03-31,30.347082138061523
2010-04-01,30.515098571777344
2010-04-05,30.84225845336914
2010-04-06,30.92184066772461
2010-04-07,30.576990127563477
2010-04-08,30.515098571777344
2010-04-09,30.532785415649414
2010-04-12,30.532785415649414
2010-04-13,30.992584228515625
2010-04-14,31.09870147705078
2010-04-15,31.257843017578125
2010-04-16,31.363967895507812
2010-04-19,31.222505569458008
2010-04-20,31.328588485717773
2010-04-21,31.585023880004883
2010-04-22,31.823780059814453
2010-04-23,32.000614166259766
2010-04-26,31.99176788330078
2010-04-27,31.620380401611328
2010-04-28,31.6380672454834
2010-04-29,31.982948303222656
2010-04-30,32.000614166259766
2010-05-03,33.02632141113281
2010-05-04,31.91219139099121
2010-05-05,32.398536682128906
2010-05-06,31.134061813354492
2010-05-07,30.07297706604004
2010-05-10,31.576175689697266
2010-05-11,31.797245025634766
2010-05-12,32.76991271972656
2010-05-13,32.14210891723633
2010-05-14,31.417016983032227
2010-05-17,31.89450454711914
2010-05-18,32.3631591796875
2010-05-19,31.4523868560791
2010-05-20,29.843053817749023
2010-05-21,30.957210540771484
2010-05-24,30.52394676208496
2010-05-25,30.789203643798828
2010-05-26,30.435503005981445
2010-05-27,31.540802001953125
2010-05-28,31.602705001831055
2010-06-01,31.160598754882812
2010-06-02,32.21284484863281
2010-06-03,32.60190200805664
2010-06-04,31.3109073638916
2010-06-07,30.780364990234375
2010-06-08,31.169431686401367
2010-06-09,31.072162628173828
2010-06-10,31.91219139099121
2010-06-11,32.11557388305664
2010-06-14,32.318931579589844
2010-06-15,33.10591125488281
2010-06-16,33.194339752197266
2010-06-17,33.36233139038086
2010-06-18,33.21201705932617
2010-06-21,32.89370346069336
2010-06-22,32.51347732543945
2010-06-23,32.48694610595703
2010-06-24,32.05368423461914
2010-06-25,32.14210891723633
2010-06-28,31.85913848876953
2010-06-29,30.930696487426758
2010-06-30,30.745004653930664
2010-07-01,30.568153381347656
2010-07-02,30.329410552978516
2010-07-06,30.75383758544922
2010-07-07,31.806076049804688
2010-07-08,31.761871337890625
2010-07-09,32.08020782470703
2010-07-12,32.318931579589844
2010-07-13,33.123592376708984
2010-07-14,32.93791198730469
2010-07-15,33.167816162109375
2010-07-16,32.37200164794922
2010-07-19,32.71686553955078
2010-07-20,33.25623321533203
2010-07-21,33.070556640625
2010-07-22,33.583396911621094
2010-07-23,34.175865173339844
2010-07-26,34.821346282958984
2010-07-27,34.98051452636719
2010-07-28,34.998191833496094
2010-07-29,34.998191833496094
2010-07-30,35.148494720458984
2010-08-02,35.564109802246094
2010-08-03,35.61714172363281
2010-08-04,36.0504264831543
2010-08-05,35.749786376953125
2010-08-06,35.962013244628906
2010-08-09,35.935489654541016
2010-08-10,35.749786376953125
2010-08-11,34.70638656616211
2010-08-12,34.14047622680664
2010-08-13,34.096275329589844
2010-08-16,33.95478820800781
2010-08-17,34.750606536865234
2010-08-18,34.7948112487793
2010-08-19,34.28195571899414
2010-08-20,39.43705368041992
2010-08-23,37.8719596862793
2010-08-24,37.739322662353516
2010-08-25,37.66859817504883
2010-08-26,37.42100524902344
2010-08-27,37.96923065185547
2010-08-30,37.33258819580078
2010-08-31,37.79239273071289
2010-09-01,38.57051086425781
2010-09-02,38.906532287597656
2010-09-03,38.91536331176758
2010-09-07,39.2690544128418
2010-09-08,39.19831466674805
2010-09-09,38.88882827758789
2010-09-10,38.43789291381836
2010-09-13,38.97726821899414
2010-09-14,38.8181037902832
2010-09-15,38.99493408203125
2010-09-16,39.67580795288086
2010-09-17,39.68466567993164
2010-09-20,40.25057601928711
2010-09-21,40.52470016479492
2010-09-22,40.400882720947266
2010-09-23,39.85268020629883
2010-09-24,40.19751739501953
2010-09-27,39.75539779663086
2010-09-28,39.622772216796875
