Date,MKC
2010-01-04,13.377796173095703
2010-01-05,13.34093952178955
2010-01-06,13.392531394958496
2010-01-07,13.495718002319336
2010-01-08,13.532580375671387
2010-01-11,13.64313793182373
2010-01-12,13.768440246582031
2010-01-13,13.893741607666016
2010-01-14,13.87900161743164
2010-01-15,13.853203773498535
2010-01-19,13.908479690551758
2010-01-20,13.742640495300293
2010-01-21,13.65051555633545
2010-01-22,13.550999641418457
2010-01-25,13.716845512390137
2010-01-26,13.668938636779785
2010-01-27,13.834775924682617
2010-01-28,13.433072090148926
2010-01-29,13.377796173095703
2010-02-01,13.48098087310791
2010-02-02,13.635764122009277
2010-02-03,13.447813987731934
2010-02-04,13.178781509399414
2010-02-05,13.182470321655273
2010-02-08,13.105076789855957
2010-02-09,13.211955070495605
2010-02-10,13.237748146057129
2010-02-11,13.252490043640137
2010-02-12,13.29671573638916
2010-02-16,13.48098087310791
2010-02-17,13.679990768432617
2010-02-18,13.860570907592773
2010-02-19,13.915852546691895
2010-02-22,13.808977127075195
2010-02-23,13.69104290008545
2010-02-24,13.731588363647461
2010-02-25,13.672618865966797
2010-02-26,13.676299095153809
2010-03-01,13.757384300231934
2010-03-02,13.90110969543457
2010-03-03,13.937969207763672
2010-03-04,13.967442512512207
2010-03-05,14.00429630279541
2010-03-08,13.915852546691895
2010-03-09,13.993242263793945
2010-03-10,14.041149139404297
2010-03-11,14.114863395690918
2010-03-12,14.118541717529297
2010-03-15,14.247536659240723
2010-03-16,14.23647403717041
2010-03-17,14.332291603088379
2010-03-18,14.317557334899902
2010-03-19,14.413372993469238
2010-03-22,14.520248413085938
2010-03-23,14.634490013122559
2010-03-24,14.509190559387207
2010-03-25,14.01535415649414
2010-03-26,13.86794376373291
2010-03-29,13.949016571044922
2010-03-30,14.11117935180664
2010-03-31,14.136971473693848
2010-04-01,14.218050956726074
2010-04-05,14.055893898010254
2010-04-06,14.140656471252441
2010-04-07,14.066951751708984
2010-04-08,14.156004905700684
2010-04-09,14.259903907775879
2010-04-12,14.237638473510742
2010-04-13,14.252477645874023
2010-04-14,14.196823120117188
2010-04-15,14.330400466918945
2010-04-16,14.337827682495117
2010-04-19,14.382355690002441
2010-04-20,14.482542991638184
2010-04-21,14.534494400024414
2010-04-22,14.638383865356445
2010-04-23,14.653229713439941
2010-04-26,14.671784400939941
2010-04-27,14.471409797668457
2010-04-28,14.501091003417969
2010-04-29,14.757133483886719
2010-04-30,14.682914733886719
2010-05-03,14.697755813598633
2010-05-04,14.619832992553711
2010-05-05,14.63467788696289
2010-05-06,14.322983741760254
2010-05-07,14.081794738769531
2010-05-10,14.58272647857666
2010-05-11,14.593860626220703
2010-05-12,14.686624526977539
2010-05-13,14.664358139038086
2010-05-14,14.575310707092285
2010-05-17,14.701461791992188
2010-05-18,14.515937805175781
2010-05-19,14.530776977539062
2010-05-20,14.285879135131836
2010-05-21,14.378646850585938
2010-05-24,14.289586067199707
2010-05-25,14.063237190246582
2010-05-26,14.130037307739258
2010-05-27,14.393481254577637
2010-05-28,14.311857223510742
2010-06-01,14.256195068359375
2010-06-02,14.593860626220703
2010-06-03,14.731151580810547
2010-06-04,14.36379623413086
2010-06-07,14.322983741760254
2010-06-08,14.478828430175781
2010-06-09,14.467702865600586
2010-06-10,14.77939224243164
2010-06-11,14.723734855651855
2010-06-14,14.697755813598633
2010-06-15,14.935235977172852
2010-06-16,14.924095153808594
2010-06-17,15.128185272216797
2010-06-18,15.042840003967285
2010-06-21,14.8053617477417
2010-06-22,14.675487518310547
2010-06-23,14.534494400024414
2010-06-24,14.456563949584961
