Date,DE
2010-01-04,41.56359100341797
2010-01-05,41.40787887573242
2010-01-06,41.29666519165039
2010-01-07,41.59321975708008
2010-01-08,42.72758865356445
2010-01-11,44.44766616821289
2010-01-12,42.549644470214844
2010-01-13,43.21692657470703
2010-01-14,43.261417388916016
2010-01-15,41.763755798339844
2010-01-19,42.749847412109375
2010-01-20,41.60064697265625
2010-01-21,41.1113166809082
2010-01-22,39.30967712402344
2010-01-25,39.806419372558594
2010-01-26,39.59884262084961
2010-01-27,38.842586517333984
2010-01-28,37.893585205078125
2010-01-29,37.033546447753906
2010-02-01,38.071529388427734
2010-02-02,38.887081146240234
2010-02-03,38.434818267822266
2010-02-04,36.97422790527344
2010-02-05,36.93715286254883
2010-02-08,36.29954147338867
2010-02-09,37.307861328125
2010-02-10,37.107704162597656
2010-02-11,38.79069137573242
2010-02-12,39.37640380859375
2010-02-16,39.873146057128906
2010-02-17,41.874961853027344
2010-02-18,42.453277587890625
2010-02-19,42.46812057495117
2010-02-22,42.03806686401367
2010-02-23,41.585811614990234
2010-02-24,41.65254211425781
2010-02-25,42.230857849121094
2010-02-26,42.48292541503906
2010-03-01,43.21692657470703
2010-03-02,43.15761184692383
2010-03-03,43.491241455078125
2010-03-04,43.37263870239258
2010-03-05,44.143680572509766
2010-03-08,43.89160919189453
2010-03-09,43.95092010498047
2010-03-10,43.36521911621094
2010-03-11,42.801719665527344
2010-03-12,43.476417541503906
2010-03-15,43.098304748535156
2010-03-16,43.68400192260742
2010-03-17,44.180755615234375
2010-03-18,43.92868423461914
2010-03-19,43.73591995239258
2010-03-22,44.49955749511719
2010-03-23,45.93791198730469
2010-03-24,44.84803009033203
2010-03-25,44.63301467895508
2010-03-26,44.89993667602539
2010-03-29,45.69693374633789
2010-03-30,45.51816940307617
2010-03-31,44.289154052734375
2010-04-01,44.49771499633789
2010-04-05,45.16807556152344
2010-04-06,45.197872161865234
2010-04-07,44.98931121826172
2010-04-08,45.153194427490234
2010-04-09,45.94272994995117
2010-04-12,46.21088409423828
2010-04-13,45.83844757080078
2010-04-14,46.0097541809082
2010-04-15,46.00232696533203
2010-04-16,45.07124710083008
2010-04-19,45.04145812988281
2010-04-20,44.84034729003906
2010-04-21,45.06379699707031
2010-04-22,45.406429290771484
2010-04-23,46.02465057373047
2010-04-26,46.33749771118164
2010-04-27,44.18486404418945
2010-04-28,44.37853240966797
2010-04-29,45.145729064941406
2010-04-30,44.55730056762695
2010-05-03,45.67459487915039
2010-05-04,43.51449966430664
2010-05-05,42.83668899536133
2010-05-06,42.00244140625
2010-05-07,41.99498748779297
2010-05-10,44.26679992675781
2010-05-11,44.289154052734375
2010-05-12,45.54050827026367
2010-05-13,44.60197830200195
2010-05-14,43.469810485839844
2010-05-17,43.16442108154297
2010-05-18,42.575984954833984
2010-05-19,43.84967041015625
2010-05-20,42.211002349853516
2010-05-21,43.74541473388672
2010-05-24,41.9577522277832
2010-05-25,41.6300163269043
2010-05-26,41.816226959228516
2010-05-27,44.27424621582031
2010-05-28,42.963314056396484
2010-06-01,42.55364227294922
2010-06-02,44.74351119995117
2010-06-03,44.445560455322266
2010-06-04,42.3674201965332
2010-06-07,40.80323028564453
2010-06-08,41.01178741455078
2010-06-09,41.168209075927734
2010-06-10,43.104835510253906
2010-06-11,43.84223175048828
2010-06-14,42.93350601196289
2010-06-15,44.318939208984375
2010-06-16,44.19976043701172
2010-06-17,44.259361267089844
2010-06-18,44.14019012451172
2010-06-21,45.026546478271484
2010-06-22,44.020999908447266
2010-06-23,44.10292434692383
2010-06-24,43.34318161010742
2010-06-25,44.49771499633789
2010-06-28,43.80149459838867
2010-06-29,41.49576950073242
2010-06-30,41.682918548583984
2010-07-01,41.33106994628906
2010-07-02,40.79954528808594
2010-07-06,40.89686584472656
2010-07-07,42.37163162231445
2010-07-08,42.86572265625
2010-07-09,43.42717742919922
2010-07-12,43.03042221069336
2010-07-13,44.44529724121094
2010-07-14,44.70732498168945
2010-07-15,45.725440979003906
2010-07-16,44.71480178833008
2010-07-19,44.9992790222168
2010-07-20,45.43347930908203
2010-07-21,46.23450469970703
2010-07-22,47.02055740356445
2010-07-23,48.28570556640625
2010-07-26,48.64506530761719
2010-07-27,48.120994567871094
2010-07-28,48.0461540222168
2010-07-29,48.29318618774414
2010-07-30,49.917694091796875
2010-08-02,50.28451156616211
2010-08-03,50.02248764038086
2010-08-04,50.57646560668945
2010-08-05,50.890872955322266
2010-08-06,50.935794830322266
2010-08-09,51.87158203125
2010-08-10,50.84595489501953
2010-08-11,48.914554595947266
2010-08-12,49.056785583496094
2010-08-13,48.5477180480957
2010-08-16,49.1016960144043
2010-08-17,50.329444885253906
2010-08-18,49.39365768432617
2010-08-19,49.1915283203125
2010-08-20,48.757328033447266
2010-08-23,47.17775344848633
2010-08-24,46.66868591308594
2010-08-25,47.057960510253906
2010-08-26,46.975624084472656
2010-08-27,48.38301467895508
2010-08-30,47.14781951904297
2010-08-31,47.36491394042969
2010-09-01,49.80539321899414
2010-09-02,50.71871566772461
2010-09-03,51.377471923828125
2010-09-07,50.6588249206543
2010-09-08,50.973236083984375
2010-09-09,50.41176223754883
2010-09-10,50.76362228393555
2010-09-13,52.2384033203125
2010-09-14,52.425540924072266
2010-09-15,52.447998046875
2010-09-16,52.133583068847656
2010-09-17,54.2371826171875
2010-09-20,55.10559844970703
2010-09-21,54.67888641357422
2010-09-22,53.960208892822266
2010-09-23,53.293941497802734
2010-09-24,54.37943649291992
2010-09-27,53.97517395019531
2010-09-28,53.81731414794922
