Date,DG
2010-01-04,20.194332122802734
2010-01-05,20.351829528808594
2010-01-06,20.631816864013672
2010-01-07,20.77181053161621
2010-01-08,20.88556480407715
2010-01-11,20.999305725097656
2010-01-12,20.95555305480957
2010-01-13,21.261791229248047
2010-01-14,21.174297332763672
2010-01-15,21.314300537109375
2010-01-19,21.48053741455078
2010-01-20,21.445537567138672
2010-01-21,20.981794357299805
2010-01-22,20.421823501586914
2010-01-25,20.43056869506836
2010-01-26,20.588064193725586
2010-01-27,20.605567932128906
2010-01-28,20.859310150146484
2010-01-29,20.55306625366211
2010-02-01,20.448076248168945
2010-02-02,20.675565719604492
2010-02-03,20.859310150146484
2010-02-04,19.660598754882812
2010-02-05,18.995620727539062
2010-02-08,19.59059715270996
2010-02-09,19.739343643188477
2010-02-10,19.293113708496094
2010-02-11,19.301860809326172
2010-02-12,19.730592727661133
2010-02-16,20.150583267211914
2010-02-17,19.914342880249023
2010-02-18,20.369325637817383
2010-02-19,20.631816864013672
2010-02-22,20.334333419799805
2010-02-23,20.684310913085938
2010-02-24,21.13930320739746
2010-02-25,20.824308395385742
2010-02-26,20.903051376342773
2010-03-01,21.078048706054688
2010-03-02,21.0343017578125
2010-03-03,20.99056053161621
2010-03-04,21.174297332763672
2010-03-05,21.454288482666016
2010-03-08,21.58553695678711
2010-03-09,21.979276657104492
2010-03-10,21.92677879333496
2010-03-11,21.970521926879883
2010-03-12,21.988018035888672
2010-03-15,21.90052604675293
2010-03-16,21.979276657104492
2010-03-17,22.591751098632812
2010-03-18,22.084264755249023
2010-03-19,22.399261474609375
2010-03-22,21.88302993774414
2010-03-23,22.031766891479492
2010-03-24,22.093013763427734
2010-03-25,21.37554359436035
2010-03-26,21.865528106689453
2010-03-29,22.180517196655273
2010-03-30,22.565502166748047
2010-03-31,22.093013763427734
2010-04-01,22.329269409179688
2010-04-05,22.574249267578125
2010-04-06,23.63296890258789
2010-04-07,23.230480194091797
2010-04-08,23.195486068725586
2010-04-09,23.16048240661621
2010-04-12,22.959243774414062
2010-04-13,23.650470733642578
2010-04-14,24.079200744628906
2010-04-15,23.624223709106445
2010-04-16,25.024169921875
2010-04-19,25.38290786743164
2010-04-20,24.717933654785156
2010-04-21,24.66543960571289
2010-04-22,25.83789825439453
2010-04-23,25.70665168762207
2010-04-26,25.881641387939453
2010-04-27,25.365407943725586
2010-04-28,25.38290786743164
2010-04-29,25.487913131713867
2010-04-30,24.997922897338867
2010-05-03,25.391653060913086
2010-05-04,25.05916976928711
2010-05-05,24.954177856445312
2010-05-06,24.420440673828125
2010-05-07,23.790464401245117
2010-05-10,24.254199981689453
2010-05-11,24.481687545776367
2010-05-12,25.689149856567383
2010-05-13,25.759145736694336
2010-05-14,25.610401153564453
2010-05-17,25.767887115478516
2010-05-18,25.627901077270508
2010-05-19,25.986635208129883
2010-05-20,25.40040397644043
2010-05-21,25.855396270751953
2010-05-24,26.25787925720215
2010-05-25,26.78286361694336
2010-05-26,26.634113311767578
2010-05-27,26.80912208557129
2010-05-28,26.450380325317383
2010-06-01,26.721614837646484
2010-06-02,27.4390926361084
2010-06-03,26.861610412597656
2010-06-04,26.284130096435547
2010-06-07,25.57539939880371
2010-06-08,26.10038185119629
2010-06-09,26.249135971069336
2010-06-10,26.231626510620117
2010-06-11,26.222881317138672
2010-06-14,26.44162368774414
2010-06-15,26.249135971069336
2010-06-16,26.511625289916992
2010-06-17,26.161632537841797
2010-06-18,26.3803768157959
2010-06-21,25.925386428833008
2010-06-22,25.277915954589844
2010-06-23,25.487913131713867
2010-06-24,25.487913131713867
2010-06-25,25.444156646728516
2010-06-28,25.295413970947266
2010-06-29,24.840423583984375
2010-06-30,24.105453491210938
2010-07-01,24.612939834594727
2010-07-02,24.50794219970703
2010-07-06,24.49918556213379
2010-07-07,24.455442428588867
2010-07-08,24.175447463989258
2010-07-09,24.621688842773438
2010-07-12,24.035449981689453
2010-07-13,24.236696243286133
2010-07-14,24.700428009033203
2010-07-15,26.074134826660156
2010-07-16,25.45290756225586
2010-07-19,25.610401153564453
2010-07-20,25.829147338867188
2010-07-21,25.304155349731445
2010-07-22,25.356660842895508
2010-07-23,25.697900772094727
2010-07-26,25.977893829345703
2010-07-27,25.689149856567383
2010-07-28,25.811647415161133
2010-07-29,25.12916374206543
2010-07-30,25.531658172607422
2010-08-02,25.820398330688477
2010-08-03,25.66289520263672
2010-08-04,26.33662986755371
2010-08-05,25.890396118164062
2010-08-06,25.759145736694336
2010-08-09,25.951642990112305
2010-08-10,25.68039894104004
2010-08-11,24.88417625427246
2010-08-12,25.37415313720703
2010-08-13,25.16417121887207
2010-08-16,25.444156646728516
2010-08-17,25.689149856567383
2010-08-18,25.71539878845215
2010-08-19,25.37415313720703
2010-08-20,25.759145736694336
2010-08-23,24.630430221557617
2010-08-24,24.516687393188477
2010-08-25,24.89292335510254
2010-08-26,24.936676025390625
2010-08-27,24.57793617248535
2010-08-30,23.956710815429688
2010-08-31,23.895458221435547
2010-09-01,24.516687393188477
2010-09-02,25.111669540405273
2010-09-03,24.52543830871582
2010-09-07,24.49918556213379
2010-09-08,24.21919822692871
2010-09-09,23.912960052490234
2010-09-10,24.01795196533203
2010-09-13,23.991708755493164
2010-09-14,23.974205017089844
2010-09-15,24.035449981689453
2010-09-16,24.21919822692871
2010-09-17,23.991708755493164
2010-09-20,24.32419204711914
2010-09-21,24.262950897216797
2010-09-22,24.210445404052734
2010-09-23,24.01795196533203
2010-09-24,24.700428009033203
2010-09-27,25.5929012298584
2010-09-28,26.039134979248047
