Date,AME
2010-01-04,15.5171537399292
2010-01-05,15.44881820678711
2010-01-06,15.4649076461792
2010-01-07,15.505093574523926
2010-01-08,15.806598663330078
2010-01-11,15.899054527282715
2010-01-12,15.573437690734863
2010-01-13,15.617658615112305
2010-01-14,15.621672630310059
2010-01-15,15.45283317565918
2010-01-19,15.54931926727295
2010-01-20,15.404600143432617
2010-01-21,15.356348991394043
2010-01-22,15.022697448730469
2010-01-25,14.926220893859863
2010-01-26,14.737278938293457
2010-01-27,14.552359580993652
2010-01-28,14.656877517700195
2010-01-29,14.648839950561523
2010-02-01,14.777477264404297
2010-02-02,14.990533828735352
2010-02-03,14.954357147216797
2010-02-04,14.536277770996094
2010-02-05,14.588540077209473
2010-02-08,14.584515571594238
2010-02-09,14.781496047973633
2010-02-10,14.753357887268066
2010-02-11,14.974454879760742
2010-02-12,15.135260581970215
2010-02-16,15.28801441192627
2010-02-17,15.259879112243652
2010-02-18,15.42469596862793
2010-02-19,15.605595588684082
2010-02-22,15.625691413879395
2010-02-23,15.336256980895996
2010-02-24,15.356348991394043
2010-02-25,15.597565650939941
2010-02-26,15.694028854370117
2010-03-01,15.899054527282715
2010-03-02,15.9915189743042
2010-03-03,16.136240005493164
2010-03-04,16.031719207763672
2010-03-05,16.05986213684082
2010-03-08,15.971409797668457
2010-03-09,15.9915189743042
2010-03-10,16.05986213684082
2010-03-11,16.096033096313477
2010-03-12,16.136240005493164
2010-03-15,16.079862594604492
2010-03-16,16.01947784423828
2010-03-17,15.987275123596191
2010-03-18,15.955062866210938
2010-03-19,15.910778999328613
2010-03-22,16.023502349853516
2010-03-23,16.17650032043457
2010-03-24,16.11208152770996
2010-03-25,15.971165657043457
2010-03-26,16.071815490722656
2010-03-29,16.36571502685547
2010-03-30,16.70792579650879
2010-03-31,16.691816329956055
2010-04-01,16.856891632080078
2010-04-05,16.913257598876953
2010-04-06,17.00585174560547
2010-04-07,16.94948959350586
2010-04-08,17.054166793823242
2010-04-09,17.08637046813965
2010-04-12,17.10247039794922
2010-04-13,17.09039878845215
2010-04-14,17.13468360900879
2010-04-15,16.965587615966797
2010-04-16,16.82468032836914
2010-04-19,16.73611068725586
2010-04-20,16.780397415161133
2010-04-21,17.279621124267578
2010-04-22,17.364168167114258
2010-04-23,17.525205612182617
2010-04-26,17.412479400634766
2010-04-27,17.368188858032227
2010-04-28,17.54532814025879
2010-04-29,17.74260902404785
2010-04-30,17.412479400634766
2010-05-03,17.73053741455078
2010-05-04,17.31182861328125
2010-05-05,16.90117835998535
2010-05-06,16.38987159729004
2010-05-07,16.192604064941406
2010-05-10,17.14273452758789
2010-05-11,17.17091941833496
2010-05-12,17.501049041748047
2010-05-13,17.456762313842773
2010-05-14,17.344043731689453
2010-05-17,17.360132217407227
2010-05-18,17.118581771850586
2010-05-19,16.70390510559082
2010-05-20,16.401952743530273
2010-05-21,16.337535858154297
2010-05-24,16.30935287475586
2010-05-25,16.27714729309082
2010-05-26,16.132217407226562
2010-05-27,16.675722122192383
2010-05-28,16.3455867767334
2010-06-01,16.18856430053711
2010-06-02,16.719999313354492
2010-06-03,16.87702751159668
2010-06-04,16.172473907470703
2010-06-07,15.910778999328613
2010-06-08,15.999347686767578
2010-06-09,16.071815490722656
2010-06-10,16.478439331054688
2010-06-11,16.667667388916016
2010-06-14,16.812814712524414
2010-06-15,17.058761596679688
2010-06-16,17.09504508972168
2010-06-17,17.082944869995117
2010-06-18,17.127296447753906
2010-06-21,17.09504508972168
2010-06-22,16.85313606262207
2010-06-23,16.82491111755371
2010-06-24,16.558805465698242
2010-06-25,16.64750099182129
2010-06-28,16.70798683166504
2010-06-29,16.32495880126953
2010-06-30,16.18787956237793
2010-07-01,16.167722702026367
2010-07-02,16.33706283569336
2010-07-06,16.276580810546875
2010-07-07,16.695886611938477
2010-07-08,16.869264602661133
2010-07-09,17.127296447753906
2010-07-12,17.066818237304688
2010-07-13,17.441783905029297
2010-07-14,17.482093811035156
2010-07-15,17.369211196899414
2010-07-16,16.865234375
2010-07-19,17.046663284301758
2010-07-20,17.23213005065918
2010-07-21,17.736106872558594
2010-07-22,17.965923309326172
2010-07-23,18.240093231201172
2010-07-26,18.58682632446289
2010-07-27,18.05059814453125
2010-07-28,17.96189308166504
2010-07-29,17.800621032714844
2010-07-30,17.8490047454834
2010-08-02,18.082841873168945
2010-08-03,18.05059814453125
2010-08-04,18.223957061767578
2010-08-05,18.300559997558594
2010-08-06,18.33686065673828
2010-08-09,18.5545711517334
2010-08-10,18.296537399291992
2010-08-11,17.744173049926758
2010-08-12,17.50629425048828
2010-08-13,17.441783905029297
2010-08-16,17.486127853393555
2010-08-17,17.840932846069336
2010-08-18,17.788511276245117
2010-08-19,17.465970993041992
2010-08-20,17.38532829284668
2010-08-23,17.256311416625977
2010-08-24,17.08698272705078
2010-08-25,17.115201950073242
2010-08-26,17.30066680908203
2010-08-27,17.631284713745117
2010-08-30,17.240196228027344
2010-08-31,17.33292579650879
2010-09-01,17.820775985717773
2010-09-02,18.010282516479492
2010-09-03,18.36104965209961
2010-09-07,18.058652877807617
2010-09-08,18.15542221069336
2010-09-09,18.086877822875977
2010-09-10,18.17154884338379
2010-09-13,18.417484283447266
2010-09-14,18.44171905517578
2010-09-15,18.570905685424805
2010-09-16,18.518417358398438
2010-09-17,18.574935913085938
2010-09-20,18.8010196685791
2010-09-21,18.7485408782959
2010-09-22,18.566869735717773
2010-09-23,18.308490753173828
2010-09-24,18.79294204711914
2010-09-27,18.821199417114258
2010-09-28,19.249143600463867
