Date,SYK
2010-01-04,42.89146041870117
2010-01-05,43.29438781738281
2010-01-06,43.9604606628418
2010-01-07,45.43239212036133
2010-01-08,45.572174072265625
2010-01-11,45.43239212036133
2010-01-12,45.39948654174805
2010-01-13,45.61328887939453
2010-01-14,46.065547943115234
2010-01-15,46.073787689208984
2010-01-19,46.838539123535156
2010-01-20,45.99155044555664
2010-01-21,45.00479507446289
2010-01-22,44.43740463256836
2010-01-25,44.76631546020508
2010-01-26,44.86500549316406
2010-01-27,43.50818634033203
2010-01-28,42.91613006591797
2010-01-29,42.6941032409668
2010-02-01,42.92436218261719
2010-02-02,43.70555114746094
2010-02-03,43.20393371582031
2010-02-04,42.011600494384766
2010-02-05,41.986915588378906
2010-02-08,42.29119110107422
2010-02-09,42.68588638305664
2010-02-10,42.44741439819336
2010-02-11,42.899696350097656
2010-02-12,42.809226989746094
2010-02-16,43.41774368286133
2010-02-17,43.6397590637207
2010-02-18,43.779579162597656
2010-02-19,43.713768005371094
2010-02-22,43.65620040893555
2010-02-23,43.26971435546875
2010-02-24,43.49174118041992
2010-02-25,43.450645446777344
2010-02-26,43.6644287109375
2010-03-01,44.25649642944336
2010-03-02,44.782772064208984
2010-03-03,44.49494552612305
2010-03-04,44.445621490478516
2010-03-05,45.25968933105469
2010-03-08,45.2679328918457
2010-03-09,45.2268180847168
2010-03-10,45.465274810791016
2010-03-11,45.82708740234375
2010-03-12,45.41594314575195
2010-03-15,45.572174072265625
2010-03-16,45.58041000366211
2010-03-17,46.271141052246094
2010-03-18,46.59183120727539
2010-03-19,46.57538986206055
2010-03-22,46.74808120727539
2010-03-23,46.871421813964844
2010-03-24,47.660831451416016
2010-03-25,47.43056869506836
2010-03-26,46.75455093383789
2010-03-29,47.142024993896484
2010-03-30,47.41409683227539
2010-03-31,47.17500686645508
2010-04-01,47.52951431274414
2010-04-05,47.69439697265625
2010-04-06,47.63671112060547
2010-04-07,47.1337890625
2010-04-08,47.076080322265625
2010-04-09,47.52127456665039
2010-04-12,47.52127456665039
2010-04-13,47.142024993896484
2010-04-14,47.5789909362793
2010-04-15,47.89228820800781
2010-04-16,47.191497802734375
2010-04-19,47.381134033203125
2010-04-20,48.1890869140625
2010-04-21,47.76036834716797
2010-04-22,47.58724594116211
2010-04-23,48.55185317993164
2010-04-26,48.485877990722656
2010-04-27,47.43882369995117
2010-04-28,47.884029388427734
2010-04-29,48.312744140625
2010-04-30,47.35639190673828
2010-05-03,47.917015075683594
2010-05-04,47.3646240234375
2010-05-05,47.17500686645508
2010-05-06,46.37529754638672
2010-05-07,44.619239807128906
2010-05-10,46.878204345703125
2010-05-11,46.78751754760742
2010-05-12,47.17500686645508
2010-05-13,47.381134033203125
2010-05-14,46.54842758178711
2010-05-17,46.630882263183594
2010-05-18,46.094974517822266
2010-05-19,45.9383430480957
2010-05-20,44.421348571777344
2010-05-21,43.44849395751953
2010-05-24,43.844242095947266
2010-05-25,43.35781478881836
2010-05-26,43.02803421020508
2010-05-27,44.08333206176758
2010-05-28,43.72056198120117
2010-06-01,43.2176513671875
2010-06-02,44.28118896484375
2010-06-03,44.545021057128906
2010-06-04,42.8466682434082
2010-06-07,41.733638763427734
2010-06-08,41.68415832519531
2010-06-09,40.793766021728516
2010-06-10,40.69483184814453
2010-06-11,41.70892333984375
2010-06-14,41.59347915649414
2010-06-15,42.640541076660156
2010-06-16,43.061004638671875
2010-06-17,42.90434646606445
2010-06-18,42.72297286987305
2010-06-21,42.525115966796875
2010-06-22,41.99746322631836
2010-06-23,42.162349700927734
2010-06-24,41.38737106323242
2010-06-25,41.30492401123047
2010-06-28,42.20628356933594
2010-06-29,41.478572845458984
2010-06-30,41.39589309692383
2010-07-01,41.14781188964844
2010-07-02,41.24706268310547
2010-07-06,41.69358825683594
2010-07-07,43.206844329833984
2010-07-08,43.39705276489258
2010-07-09,43.31436538696289
2010-07-12,43.11589813232422
2010-07-13,43.926273345947266
2010-07-14,43.86839294433594
2010-07-15,43.46320724487305
2010-07-16,42.33858108520508
2010-07-19,42.6114616394043
2010-07-20,42.413002014160156
2010-07-21,38.65877151489258
2010-07-22,38.97300338745117
2010-07-23,39.551849365234375
2010-07-26,38.997798919677734
2010-07-27,39.27069091796875
2010-07-28,38.741455078125
2010-07-29,38.1626091003418
2010-07-30,38.509918212890625
2010-08-02,39.35337829589844
2010-08-03,39.49394989013672
2010-08-04,39.62626266479492
2010-08-05,39.74205017089844
2010-08-06,39.66762161254883
2010-08-09,39.75029754638672
2010-08-10,39.386470794677734
2010-08-11,38.55126953125
2010-08-12,38.59262466430664
2010-08-13,38.509918212890625
2010-08-16,38.443763732910156
2010-08-17,38.60914611816406
2010-08-18,38.749717712402344
2010-08-19,37.92280578613281
2010-08-20,37.8814582824707
2010-08-23,38.15432357788086
2010-08-24,35.72317886352539
2010-08-25,35.65701675415039
2010-08-26,35.45856475830078
2010-08-27,36.38471603393555
2010-08-30,36.01260757446289
2010-08-31,35.714908599853516
2010-09-01,36.91395950317383
2010-09-02,37.80704116821289
2010-09-03,38.112979888916016
2010-09-07,38.022037506103516
2010-09-08,37.60858154296875
2010-09-09,38.137821197509766
2010-09-10,38.59262466430664
2010-09-13,39.11357498168945
2010-09-14,40.02318572998047
2010-09-15,40.26300048828125
2010-09-16,40.30434036254883
2010-09-17,39.71725082397461
2010-09-20,40.30434036254883
2010-09-21,40.11416244506836
2010-09-22,39.70896530151367
2010-09-23,39.6345329284668
2010-09-24,41.09819793701172
2010-09-27,40.64338684082031
2010-09-28,41.564083099365234
