Date,SPGI
2010-01-04,25.88106346130371
2010-01-05,25.904163360595703
2010-01-06,25.673154830932617
2010-01-07,26.242977142333984
2010-01-08,26.142885208129883
2010-01-11,25.99657440185547
2010-01-12,25.603836059570312
2010-01-13,25.703954696655273
2010-01-14,25.673154830932617
2010-01-15,25.58844566345215
2010-01-19,25.75786018371582
2010-01-20,25.934965133666992
2010-01-21,25.673154830932617
2010-01-22,25.611543655395508
2010-01-25,25.719356536865234
2010-01-26,26.358484268188477
2010-01-27,27.498138427734375
2010-01-28,27.382644653320312
2010-01-29,27.297929763793945
2010-02-01,27.29023551940918
2010-02-02,27.374929428100586
2010-02-03,27.374929428100586
2010-02-04,26.46628761291504
2010-02-05,26.35078239440918
2010-02-08,25.9118595123291
2010-02-09,26.18907928466797
2010-02-10,25.850263595581055
2010-02-11,26.235275268554688
2010-02-12,26.312286376953125
2010-02-16,26.56640625
2010-02-17,26.758914947509766
2010-02-18,26.959110260009766
2010-02-19,27.205528259277344
2010-02-22,26.976848602294922
2010-02-23,26.589244842529297
2010-02-24,26.821800231933594
2010-02-25,26.48846435546875
2010-02-26,26.51173973083496
2010-03-01,26.604755401611328
2010-03-02,26.604755401611328
2010-03-03,26.581501007080078
2010-03-04,26.73653793334961
2010-03-05,27.348947525024414
2010-03-08,27.496244430541992
2010-03-09,27.364444732666016
2010-03-10,27.16289710998535
2010-03-11,27.209402084350586
2010-03-12,27.170644760131836
2010-03-15,27.356693267822266
2010-03-16,27.38770294189453
2010-03-17,27.736530303955078
2010-03-18,27.984603881835938
2010-03-19,27.72879409790039
2010-03-22,27.852819442749023
2010-03-23,27.938095092773438
2010-03-24,27.806310653686523
2010-03-25,27.682287216186523
2010-03-26,27.612503051757812
2010-03-29,27.620256423950195
2010-03-30,27.78306007385254
2010-03-31,27.635770797729492
2010-04-01,27.597007751464844
2010-04-05,27.604768753051758
2010-04-06,27.527236938476562
2010-04-07,27.434215545654297
2010-04-08,27.434215545654297
2010-04-09,27.75979232788086
2010-04-12,27.93035125732422
2010-04-13,28.170644760131836
2010-04-14,28.542749404907227
2010-04-15,28.333444595336914
2010-04-16,26.945842742919922
2010-04-19,26.806291580200195
2010-04-20,26.922582626342773
2010-04-21,26.690027236938477
2010-04-22,25.759788513183594
2010-04-23,25.775287628173828
2010-04-26,26.263669967651367
2010-04-27,26.085369110107422
2010-04-28,25.752042770385742
2010-04-29,26.449710845947266
2010-04-30,26.139633178710938
2010-05-03,26.193891525268555
2010-05-04,25.32567596435547
2010-05-05,24.736534118652344
2010-05-06,23.558229446411133
2010-05-07,23.472959518432617
2010-05-10,22.596981048583984
2010-05-11,23.302410125732422
2010-05-12,23.22489356994629
2010-05-13,22.659008026123047
2010-05-14,22.4652042388916
2010-05-17,22.79078483581543
2010-05-18,22.44194793701172
2010-05-19,22.69000816345215
2010-05-20,21.759769439697266
2010-05-21,22.023338317871094
2010-05-24,22.105411529541016
2010-05-25,21.878734588623047
2010-05-26,21.878734588623047
2010-05-27,22.277376174926758
2010-05-28,21.730228424072266
2010-06-01,21.12052345275879
2010-06-02,21.917816162109375
2010-06-03,21.894367218017578
2010-06-04,21.370651245117188
2010-06-07,21.456636428833008
2010-06-08,22.05069923400879
2010-06-09,21.824018478393555
2010-06-10,22.558774948120117
2010-06-11,22.56660270690918
2010-06-14,22.418079376220703
2010-06-15,23.700008392333984
2010-06-16,24.051755905151367
2010-06-17,23.449878692626953
2010-06-18,23.528043746948242
2010-06-21,23.426424026489258
2010-06-22,23.23100471496582
2010-06-23,23.801626205444336
2010-06-24,23.645292282104492
2010-06-25,23.24663734436035
2010-06-28,23.332624435424805
2010-06-29,22.97306251525879
2010-06-30,21.995983123779297
2010-07-01,21.98817253112793
2010-07-02,21.730228424072266
2010-07-06,21.652053833007812
2010-07-07,21.66769027709961
2010-07-08,23.09031105041504
2010-07-09,23.051231384277344
2010-07-12,23.277904510498047
2010-07-13,23.973590850830078
2010-07-14,23.762540817260742
2010-07-15,23.89542007446289
2010-07-16,22.926158905029297
2010-07-19,23.17629051208496
2010-07-20,23.277904510498047
2010-07-21,22.84016990661621
2010-07-22,24.004859924316406
2010-07-23,23.18410873413086
2010-07-26,23.950136184692383
2010-07-27,23.981407165527344
2010-07-28,23.6062068939209
2010-07-29,23.543670654296875
2010-07-30,23.989229202270508
2010-08-02,24.395681381225586
2010-08-03,23.85633659362793
2010-08-04,24.036121368408203
2010-08-05,24.0673885345459
2010-08-06,23.90323829650879
2010-08-09,24.32534408569336
2010-08-10,24.30189323425293
2010-08-11,23.48114776611328
2010-08-12,22.941801071166992
2010-08-13,22.691665649414062
2010-08-16,22.40244483947754
2010-08-17,22.707294464111328
2010-08-18,22.85580825805664
2010-08-19,22.48843765258789
2010-08-20,22.027244567871094
2010-08-23,21.870914459228516
2010-08-24,22.01675033569336
2010-08-25,21.969453811645508
2010-08-26,21.961570739746094
2010-08-27,22.347827911376953
2010-08-30,21.78814697265625
2010-08-31,21.796031951904297
2010-09-01,22.466068267822266
2010-09-02,23.136106491088867
2010-09-03,23.396244049072266
2010-09-07,22.883861541748047
2010-09-08,22.954803466796875
2010-09-09,23.159759521484375
2010-09-10,23.837690353393555
2010-09-13,24.003223419189453
2010-09-14,24.0111026763916
2010-09-15,23.877090454101562
2010-09-16,23.987457275390625
2010-09-17,24.082056045532227
2010-09-20,24.712675094604492
2010-09-21,25.07528305053711
2010-09-22,25.24081802368164
2010-09-23,25.288129806518555
2010-09-24,26.15523910522461
2010-09-27,25.88722038269043
2010-09-28,26.021224975585938
