Date,EVRG
2010-01-04,11.886204719543457
2010-01-05,11.728379249572754
2010-01-06,11.793693542480469
2010-01-07,11.717495918273926
2010-01-08,11.82089900970459
2010-01-11,12.00049877166748
2010-01-12,11.940634727478027
2010-01-13,12.054923057556152
2010-01-14,12.07125186920166
2010-01-15,12.103903770446777
2010-01-19,12.261728286743164
2010-01-20,12.207311630249023
2010-01-21,12.00049877166748
2010-01-22,11.733820915222168
2010-01-25,11.755596160888672
2010-01-26,11.750146865844727
2010-01-27,11.646746635437012
2010-01-28,11.581437110900879
2010-01-29,11.608650207519531
2010-02-01,11.701168060302734
2010-02-02,11.766478538513184
2010-02-03,11.66307258605957
2010-02-04,11.429048538208008
2010-02-05,11.396395683288574
2010-02-08,11.320201873779297
2010-02-09,11.456258773803711
2010-02-10,11.439932823181152
2010-02-11,11.494357109069824
2010-02-12,11.548783302307129
2010-02-16,11.755596160888672
2010-02-17,11.788250923156738
2010-02-18,11.842671394348145
2010-02-19,12.07125186920166
2010-02-22,12.060368537902832
2010-02-23,11.989616394042969
2010-02-24,12.054923057556152
2010-02-25,11.99505615234375
2010-02-26,11.646746635437012
2010-03-01,11.668517112731934
2010-03-02,11.89709186553955
2010-03-03,12.016825675964355
2010-03-04,12.054923057556152
2010-03-05,12.049407958984375
2010-03-08,12.10460090637207
2010-03-09,12.010766983032227
2010-03-10,12.121160507202148
2010-03-11,12.165315628051758
2010-03-12,12.181878089904785
2010-03-15,12.231551170349121
2010-03-16,12.386102676391602
2010-03-17,12.402661323547363
2010-03-18,12.38058090209961
2010-03-19,12.347463607788086
2010-03-22,12.314348220825195
2010-03-23,12.352989196777344
2010-03-24,12.14323902130127
2010-03-25,12.049407958984375
2010-03-26,12.121160507202148
2010-03-29,12.248115539550781
2010-03-30,12.358504295349121
2010-03-31,12.30882453918457
2010-04-01,12.46889877319336
2010-04-05,12.540651321411133
2010-04-06,12.733839988708496
2010-04-07,12.645525932312012
2010-04-08,12.502015113830566
2010-04-09,12.46889877319336
2010-04-12,12.579290390014648
2010-04-13,12.612405776977539
2010-04-14,12.557211875915527
2010-04-15,12.518572807312012
2010-04-16,12.46889877319336
2010-04-19,12.496495246887207
2010-04-20,12.678646087646484
2010-04-21,12.651049613952637
2010-04-22,12.700723648071289
2010-04-23,12.86079216003418
2010-04-26,12.783519744873047
2010-04-27,12.640003204345703
2010-04-28,12.733839988708496
2010-04-29,12.960144996643066
2010-04-30,13.076057434082031
2010-05-03,13.203008651733398
2010-05-04,13.08709716796875
2010-05-05,13.004301071166992
2010-05-06,12.452340126037598
2010-05-07,12.303312301635742
2010-05-10,12.899436950683594
2010-05-11,13.004301071166992
2010-05-12,13.059501647949219
2010-05-13,13.026382446289062
2010-05-14,12.871834754943848
2010-05-17,12.899436950683594
2010-05-18,12.777999877929688
2010-05-19,12.540651321411133
2010-05-20,12.043882369995117
2010-05-21,12.093560218811035
2010-05-24,12.088042259216309
2010-05-25,11.939010620117188
2010-05-26,11.994209289550781
2010-05-27,12.203954696655273
2010-05-28,12.14323902130127
2010-06-01,11.889330863952637
2010-06-02,12.121160507202148
2010-06-03,12.341943740844727
2010-06-04,11.966609001159668
2010-06-07,11.849015235900879
2010-06-08,11.966612815856934
2010-06-09,11.877015113830566
2010-06-10,12.252190589904785
2010-06-11,12.224202156066895
2010-06-14,12.30819034576416
2010-06-15,12.576983451843262
2010-06-16,12.660978317260742
2010-06-17,12.812165260314941
2010-06-18,12.756170272827148
2010-06-21,12.750572204589844
2010-06-22,12.45378303527832
2010-06-23,12.268993377685547
2010-06-24,12.263395309448242
2010-06-25,12.280196189880371
2010-06-28,12.45378303527832
2010-06-29,12.229789733886719
2010-06-30,12.101004600524902
2010-07-01,11.972207069396973
2010-07-02,12.033806800842285
2010-07-06,12.112201690673828
2010-07-07,12.470582962036133
2010-07-08,12.604973793029785
2010-07-09,12.716971397399902
2010-07-12,12.800968170166016
2010-07-13,12.896163940429688
2010-07-14,12.946562767028809
2010-07-15,13.052952766418457
2010-07-16,12.795365333557129
2010-07-19,12.985761642456055
2010-07-20,13.092155456542969
2010-07-21,12.9353666305542
2010-07-22,13.164949417114258
2010-07-23,13.265742301940918
2010-07-26,13.489734649658203
2010-07-27,13.708123207092285
2010-07-28,13.590531349182129
2010-07-29,13.500935554504395
2010-07-30,13.37214183807373
2010-08-02,13.573725700378418
2010-08-03,13.51773452758789
2010-08-04,13.551329612731934
2010-08-05,13.68012809753418
2010-08-06,13.624124526977539
2010-08-09,13.696928977966309
2010-08-10,13.713726043701172
2010-08-11,13.355340003967285
2010-08-12,13.215349197387695
2010-08-13,13.355340003967285
2010-08-16,13.338544845581055
2010-08-17,13.472933769226074
2010-08-18,13.32174015045166
2010-08-19,13.153755187988281
2010-08-20,13.114556312561035
2010-08-23,13.181746482849121
2010-08-24,13.192946434020996
2010-08-25,13.232144355773926
2010-08-26,13.232144355773926
2010-08-27,13.456137657165527
2010-08-30,13.316144943237305
2010-08-31,13.42253303527832
2010-09-01,13.668920516967773
2010-09-02,13.646524429321289
2010-09-03,13.668920516967773
2010-09-07,13.589515686035156
2010-09-08,13.510116577148438
2010-09-09,13.657584190368652
2010-09-10,13.697280883789062
2010-09-13,13.776684761047363
2010-09-14,13.754006385803223
2010-09-15,13.595189094543457
2010-09-16,13.442058563232422
2010-09-17,13.442058563232422
2010-09-20,13.657584190368652
2010-09-21,13.62922477722168
2010-09-22,13.612210273742676
2010-09-23,13.48742389678955
2010-09-24,13.657584190368652
2010-09-27,13.702954292297363
2010-09-28,13.748330116271973
