Date,URI
2010-01-04,9.763232231140137
2010-01-05,9.65626335144043
2010-01-06,9.65626335144043
2010-01-07,9.529848098754883
2010-01-08,9.31591510772705
2010-01-11,9.043632507324219
2010-01-12,8.888042449951172
2010-01-13,8.713004112243652
2010-01-14,8.732453346252441
2010-01-15,8.888042449951172
2010-01-19,9.02418327331543
2010-01-20,8.995010375976562
2010-01-21,8.557415962219238
2010-01-22,8.255959510803223
2010-01-25,8.382377624511719
2010-01-26,8.265685081481934
2010-01-27,8.110095024108887
2010-01-28,8.100371360778809
2010-01-29,7.7891926765441895
2010-02-01,8.148992538452148
2010-02-02,8.226789474487305
2010-02-03,8.08092212677002
2010-02-04,7.1765594482421875
2010-02-05,7.1765594482421875
2010-02-08,7.2057318687438965
2010-02-09,7.332149028778076
2010-02-10,7.07931661605835
2010-02-11,6.884829998016357
2010-02-12,6.875105381011963
2010-02-16,6.943175315856934
2010-02-17,6.962623596191406
2010-02-18,6.826483249664307
2010-02-19,6.836208343505859
2010-02-22,7.234905242919922
2010-02-23,7.0890398025512695
2010-02-24,7.157111167907715
2010-02-25,7.07931661605835
2010-02-26,7.3418731689453125
2010-03-01,7.584982395172119
2010-03-02,7.798916816711426
2010-03-03,7.546085357666016
2010-03-04,7.653051853179932
2010-03-05,8.051748275756836
2010-03-08,7.954506874084473
2010-03-09,8.158719062805176
2010-03-10,8.265685081481934
2010-03-11,8.236512184143066
2010-03-12,8.18789005279541
2010-03-15,8.022576332092285
2010-03-16,8.022576332092285
2010-03-17,8.022576332092285
2010-03-18,7.915608882904053
2010-03-19,7.740571022033691
2010-03-22,7.750295162200928
2010-03-23,8.158719062805176
2010-03-24,8.226789474487305
2010-03-25,8.178166389465332
2010-03-26,8.168440818786621
2010-03-29,8.751900672912598
2010-03-30,9.140873908996582
2010-03-31,9.121426582336426
2010-04-01,9.014458656311035
2010-04-05,9.335363388061523
2010-04-06,9.471501350402832
2010-04-07,9.559021949768066
2010-04-08,9.549295425415039
2010-04-09,10.17165470123291
2010-04-12,9.9188232421875
2010-04-13,10.181379318237305
2010-04-14,10.482833862304688
2010-04-15,10.638422012329102
2010-04-16,10.336969375610352
2010-04-19,10.434210777282715
2010-04-20,10.434210777282715
2010-04-21,10.405038833618164
2010-04-22,12.165142059326172
2010-04-23,12.777776718139648
2010-04-26,13.439031600952148
2010-04-27,12.855569839477539
2010-04-28,12.933366775512695
2010-04-29,14.061388969421387
2010-04-30,13.964144706726074
2010-05-03,14.187806129455566
2010-05-04,13.516825675964355
2010-05-05,12.933366775512695
2010-05-06,12.233213424682617
2010-05-07,11.785894393920898
2010-05-10,12.972261428833008
2010-05-11,13.088955879211426
2010-05-12,13.623794555664062
2010-05-13,13.80855655670166
2010-05-14,13.186200141906738
2010-05-17,13.011160850524902
2010-05-18,12.943090438842773
2010-05-19,12.262388229370117
2010-05-20,11.28995132446289
2010-05-21,11.484440803527832
2010-05-24,11.562236785888672
2010-05-25,11.192710876464844
2010-05-26,11.377472877502441
2010-05-27,12.067899703979492
2010-05-28,11.81506633758545
2010-06-01,11.873414039611816
2010-06-02,12.272109985351562
2010-06-03,12.204041481018066
2010-06-04,11.328849792480469
2010-06-07,10.862082481384277
2010-06-08,10.531454086303711
2010-06-09,10.667595863342285
2010-06-10,11.08574104309082
2010-06-11,11.377472877502441
2010-06-14,11.503887176513672
2010-06-15,12.262388229370117
2010-06-16,12.281835556030273
2010-06-17,12.174867630004883
2010-06-18,12.135970115661621
2010-06-21,11.892861366271973
2010-06-22,11.202432632446289
2010-06-23,10.677318572998047
2010-06-24,10.17165470123291
2010-06-25,10.385589599609375
2010-06-28,10.239723205566406
2010-06-29,9.247843742370605
2010-06-30,9.063079833984375
2010-07-01,8.664382934570312
2010-07-02,8.2948579788208
2010-07-06,8.06147575378418
2010-07-07,8.586587905883789
2010-07-08,8.84914493560791
2010-07-09,9.325638771057129
2010-07-12,9.247843742370605
2010-07-13,9.889647483825684
2010-07-14,10.142481803894043
2010-07-15,10.278621673583984
2010-07-16,9.967442512512207
2010-07-19,10.113306999206543
2010-07-20,10.278621673583984
2010-07-21,11.523337364196777
2010-07-22,12.155418395996094
2010-07-23,12.495772361755371
2010-07-26,12.855569839477539
2010-07-27,12.738879203796387
2010-07-28,12.408252716064453
2010-07-29,12.748602867126465
2010-07-30,12.81667423248291
2010-08-02,13.001436233520508
2010-08-03,13.030610084533691
2010-08-04,13.507101058959961
2010-08-05,13.040332794189453
2010-08-06,13.09868049621582
2010-08-09,13.351512908935547
2010-08-10,12.845847129821777
2010-08-11,11.92203426361084
2010-08-12,11.756721496582031
2010-08-13,11.698376655578613
2010-08-16,11.92203426361084
2010-08-17,12.272109985351562
2010-08-18,12.59301471710205
2010-08-19,12.447150230407715
2010-08-20,12.067899703979492
2010-08-23,11.601131439208984
2010-08-24,11.28995132446289
2010-08-25,11.182984352111816
2010-08-26,10.998222351074219
2010-08-27,11.513612747192383
2010-08-30,10.920428276062012
2010-08-31,10.939876556396484
2010-09-01,11.601131439208984
2010-09-02,12.04845142364502
2010-09-03,12.573566436767578
2010-09-07,12.291560173034668
2010-09-08,12.699981689453125
2010-09-09,12.748602867126465
2010-09-10,13.283442497253418
2010-09-13,13.419583320617676
2010-09-14,13.584896087646484
2010-09-15,13.565446853637695
2010-09-16,13.507101058959961
2010-09-17,13.623794555664062
2010-09-20,14.080838203430176
2010-09-21,13.98359489440918
2010-09-22,13.954421997070312
2010-09-23,13.672416687011719
2010-09-24,14.119735717773438
2010-09-27,14.226702690124512
