Date,JPM
2010-01-04,28.690954208374023
2010-01-05,29.246692657470703
2010-01-06,29.40739631652832
2010-01-07,29.98990821838379
2010-01-08,29.916259765625
2010-01-11,29.815839767456055
2010-01-12,29.119476318359375
2010-01-13,29.628337860107422
2010-01-14,29.922964096069336
2010-01-15,29.246692657470703
2010-01-19,28.978872299194336
2010-01-20,29.059221267700195
2010-01-21,27.14424705505371
2010-01-22,26.220252990722656
2010-01-25,26.25372886657715
2010-01-26,25.738157272338867
2010-01-27,26.334083557128906
2010-01-28,26.434507369995117
2010-01-29,26.072940826416016
2010-02-01,26.53495979309082
2010-02-02,27.150951385498047
2010-02-03,26.976858139038086
2010-02-04,25.67790412902832
2010-02-05,25.644411087036133
2010-02-08,25.2426815032959
2010-02-09,25.704689025878906
2010-02-10,26.02607536315918
2010-02-11,26.126516342163086
2010-02-12,26.079647064208984
2010-02-16,26.829553604125977
2010-02-17,26.809465408325195
2010-02-18,27.05721664428711
2010-02-19,26.802770614624023
2010-02-22,27.351818084716797
2010-02-23,26.702341079711914
2010-02-24,27.351818084716797
2010-02-25,27.211219787597656
2010-02-26,28.101736068725586
2010-03-01,28.007997512817383
2010-03-02,27.867385864257812
2010-03-03,27.80713653564453
2010-03-04,28.068260192871094
2010-03-05,28.664173126220703
2010-03-08,28.516878128051758
2010-03-09,28.403030395507812
2010-03-10,28.744522094726562
2010-03-11,28.911916732788086
2010-03-12,28.89182472229004
2010-03-15,28.838266372680664
2010-03-16,28.952089309692383
2010-03-17,29.320350646972656
2010-03-18,29.219900131225586
2010-03-19,29.092693328857422
2010-03-22,29.28688621520996
2010-03-23,29.849300384521484
2010-03-24,30.0903377532959
2010-03-25,30.0903377532959
2010-03-26,30.14392852783203
2010-03-29,30.036787033081055
2010-03-30,29.849300384521484
2010-03-31,29.96314239501953
2010-04-01,30.284881591796875
2010-04-05,30.392139434814453
2010-04-06,30.727294921875
2010-04-07,30.37871742248535
2010-04-08,30.673664093017578
2010-04-09,30.82114601135254
2010-04-12,30.92839813232422
2010-04-13,30.747404098510742
2010-04-14,31.994190216064453
2010-04-15,32.04780960083008
2010-04-16,30.532894134521484
2010-04-19,30.4256534576416
2010-04-20,30.754112243652344
2010-04-21,30.398845672607422
2010-04-22,29.989940643310547
2010-04-23,30.123994827270508
2010-04-26,29.420169830322266
2010-04-27,28.4281063079834
2010-04-28,29.131940841674805
2010-04-29,29.49391746520996
2010-04-30,28.542064666748047
2010-05-03,29.178857803344727
2010-05-04,28.468326568603516
2010-05-05,28.575571060180664
2010-05-06,27.355607986450195
2010-05-07,27.322078704833984
2010-05-10,28.119773864746094
2010-05-11,27.851621627807617
2010-05-12,27.945470809936523
2010-05-13,27.355607986450195
