Date,QCOM
2010-01-04,31.70594596862793
2010-01-05,32.46921920776367
2010-01-06,32.15172576904297
2010-01-07,33.083885192871094
2010-01-08,33.41486358642578
2010-01-11,33.293270111083984
2010-01-12,32.75289535522461
2010-01-13,32.894737243652344
2010-01-14,32.67183303833008
2010-01-15,32.7799186706543
2010-01-19,33.31352233886719
2010-01-20,32.6583366394043
2010-01-21,32.48271560668945
2010-01-22,31.597869873046875
2010-01-25,31.685684204101562
2010-01-26,31.672161102294922
2010-01-27,31.88155746459961
2010-01-28,27.342496871948242
2010-01-29,26.471145629882812
2010-02-01,26.8629150390625
2010-02-02,26.51844024658203
2010-02-03,26.76835060119629
2010-02-04,25.782184600830078
2010-02-05,25.694374084472656
2010-02-08,25.33638572692871
2010-02-09,25.6065673828125
2010-02-10,25.2823486328125
2010-02-11,25.674118041992188
2010-02-12,26.234737396240234
2010-02-16,26.356325149536133
2010-02-17,26.633270263671875
2010-02-18,26.889930725097656
2010-02-19,26.7413330078125
2010-02-22,26.34957504272461
2010-02-23,26.03211212158203
2010-02-24,25.692880630493164
2010-02-25,25.224754333496094
2010-02-26,24.885528564453125
2010-03-01,24.125654220581055
2010-03-02,25.73358726501465
2010-03-03,26.249210357666016
2010-03-04,26.629138946533203
2010-03-05,26.296703338623047
2010-03-08,26.317062377929688
2010-03-09,26.242433547973633
2010-03-10,26.378116607666016
2010-03-11,26.52736473083496
2010-03-12,26.425613403320312
2010-03-15,26.371326446533203
2010-03-16,26.466318130493164
2010-03-17,26.391693115234375
2010-03-18,27.42972183227539
2010-03-19,27.17189598083496
2010-03-22,27.327953338623047
2010-03-23,27.49077606201172
2010-03-24,27.266891479492188
2010-03-25,28.623788833618164
2010-03-26,28.379547119140625
2010-03-29,28.332042694091797
2010-03-30,28.583080291748047
2010-03-31,28.467731475830078
2010-04-01,28.678056716918945
2010-04-05,28.854446411132812
2010-04-06,28.786609649658203
2010-04-07,29.017292022705078
2010-04-08,28.766258239746094
2010-04-09,28.610206604003906
2010-04-12,28.650909423828125
2010-04-13,28.698413848876953
2010-04-14,28.901947021484375
2010-04-15,28.96979331970215
2010-04-16,28.996919631958008
2010-04-19,29.00372314453125
2010-04-20,29.370071411132812
2010-04-21,28.922298431396484
2010-04-22,26.683420181274414
2010-04-23,25.950698852539062
2010-04-26,25.855710983276367
2010-04-27,25.726808547973633
2010-04-28,26.33741569519043
2010-04-29,26.445960998535156
2010-04-30,26.242433547973633
2010-05-03,26.215290069580078
2010-05-04,25.509695053100586
2010-05-05,25.53005027770996
2010-05-06,24.87873649597168
2010-05-07,24.763412475585938
2010-05-10,25.353660583496094
2010-05-11,25.42827796936035
2010-05-12,25.889629364013672
2010-05-13,25.753952026367188
2010-05-14,25.306169509887695
2010-05-17,25.353660583496094
2010-05-18,24.905879974365234
2010-05-19,24.729480743408203
2010-05-20,24.146015167236328
2010-05-21,24.349546432495117
2010-05-24,24.20029640197754
2010-05-25,24.15958595275879
2010-05-26,23.79125213623047
2010-05-27,24.25507926940918
2010-05-28,24.25507926940918
2010-06-01,23.92085075378418
2010-06-02,24.568836212158203
2010-06-03,24.875768661499023
2010-06-04,24.07773208618164
2010-06-07,23.879920959472656
2010-06-08,24.05727767944336
2010-06-09,23.682117462158203
2010-06-10,23.89357566833496
2010-06-11,24.118656158447266
2010-06-14,23.729873657226562
2010-06-15,24.268722534179688
2010-06-16,23.92766761779785
2010-06-17,24.357391357421875
2010-06-18,24.34374237060547
2010-06-21,24.309650421142578
2010-06-22,24.261899948120117
2010-06-23,24.159582138061523
2010-06-24,23.729873657226562
2010-06-25,23.579814910888672
2010-06-28,23.218303680419922
2010-06-29,22.60441780090332
2010-06-30,22.39980697631836
2010-07-01,21.799560546875
2010-07-02,22.0792179107666
2010-07-06,22.270198822021484
2010-07-07,22.768125534057617
2010-07-08,23.143278121948242
2010-07-09,23.12963104248047
2010-07-12,23.94131851196289
2010-07-13,24.521085739135742
2010-07-14,25.1690731048584
2010-07-15,25.155437469482422
2010-07-16,24.527910232543945
2010-07-19,25.080398559570312
2010-07-20,25.0667667388916
2010-07-21,24.664331436157227
2010-07-22,26.67650604248047
2010-07-23,26.65602684020996
2010-07-26,26.76516342163086
2010-07-27,26.751523971557617
2010-07-28,26.437768936157227
2010-07-29,26.45140266418457
2010-07-30,25.97393798828125
2010-08-02,26.437768936157227
2010-08-03,26.233125686645508
2010-08-04,26.212661743164062
2010-08-05,26.26042366027832
2010-08-06,26.36273193359375
2010-08-09,27.11302947998047
2010-08-10,27.133501052856445
2010-08-11,26.84701919555664
2010-08-12,26.08307647705078
2010-08-13,25.885271072387695
2010-08-16,26.355907440185547
2010-08-17,26.696962356567383
2010-08-18,26.628747940063477
2010-08-19,25.994403839111328
2010-08-20,26.540061950683594
2010-08-23,26.287700653076172
2010-08-24,25.946657180786133
2010-08-25,26.36482048034668
2010-08-26,26.24143409729004
2010-08-27,26.488208770751953
2010-08-30,26.24828338623047
2010-08-31,26.255128860473633
2010-09-01,27.14630126953125
2010-09-02,27.434215545654297
2010-09-03,27.681001663208008
2010-09-07,27.81124496459961
2010-09-08,28.051185607910156
2010-09-09,28.037466049194336
2010-09-10,27.70844078063965
2010-09-13,28.10602378845215
2010-09-14,28.181434631347656
2010-09-15,28.77781867980957
2010-09-16,28.77096939086914
2010-09-17,29.154857635498047
2010-09-20,29.48390007019043
2010-09-21,29.82667350769043
2010-09-22,29.682695388793945
2010-09-23,29.92264747619629
2010-09-24,30.53959846496582
2010-09-27,30.567028045654297
2010-09-28,30.21053695678711
