Date,UPS
2010-01-04,35.21875
2010-01-05,35.27928924560547
2010-01-06,35.01898956298828
2010-01-07,34.752628326416016
2010-01-08,36.42338180541992
2010-01-11,38.027530670166016
2010-01-12,37.7733039855957
2010-01-13,37.57353591918945
2010-01-14,37.6522216796875
2010-01-15,37.48878860473633
2010-01-19,37.682498931884766
2010-01-20,37.02266311645508
2010-01-21,36.13887023925781
2010-01-22,35.56378936767578
2010-01-25,35.56378936767578
2010-01-26,35.4972038269043
2010-01-27,35.92095184326172
2010-01-28,35.69092559814453
2010-01-29,34.970558166503906
2010-02-01,35.345882415771484
2010-02-02,35.4850959777832
2010-02-03,35.63643264770508
2010-02-04,34.68001174926758
2010-02-05,34.62551498413086
2010-02-08,34.2744140625
2010-02-09,34.752628326416016
2010-02-10,34.546817779541016
2010-02-11,34.62006759643555
2010-02-12,34.27216339111328
2010-02-16,34.99240493774414
2010-02-17,35.10225296020508
2010-02-18,34.89472961425781
2010-02-19,35.28536605834961
2010-02-22,35.37083053588867
2010-02-23,35.64548873901367
2010-02-24,35.86521530151367
2010-02-25,35.65769577026367
2010-02-26,35.852996826171875
2010-03-01,35.9201545715332
2010-03-02,36.10938262939453
2010-03-03,36.121559143066406
2010-03-04,36.1337776184082
2010-03-05,36.3107795715332
2010-03-08,36.5000114440918
2010-03-09,36.799076080322266
2010-03-10,37.06765365600586
2010-03-11,38.12969207763672
2010-03-12,38.03813552856445
2010-03-15,38.270057678222656
2010-03-16,38.13579559326172
2010-03-17,38.37993240356445
2010-03-18,39.31990432739258
2010-03-19,39.26498031616211
2010-03-22,39.03913497924805
2010-03-23,39.441978454589844
2010-03-24,38.92314910888672
2010-03-25,38.849918365478516
2010-03-26,38.86212921142578
2010-03-29,39.142887115478516
2010-03-30,39.38703918457031
2010-03-31,39.313812255859375
2010-04-01,39.15509796142578
2010-04-05,39.17341995239258
2010-04-06,39.19783401489258
2010-04-07,38.86212921142578
2010-04-08,39.22835159301758
2010-04-09,39.33211898803711
2010-04-12,39.52743148803711
2010-04-13,39.600669860839844
2010-04-14,39.94858169555664
2010-04-15,42.04825210571289
2010-04-16,41.6331901550293
2010-04-19,41.682037353515625
2010-04-20,41.54164123535156
2010-04-21,41.57826614379883
2010-04-22,41.66372299194336
2010-04-23,42.02994155883789
2010-04-26,41.822418212890625
2010-04-27,40.41856384277344
2010-04-28,41.69423294067383
2010-04-29,42.54264831542969
2010-04-30,42.200843811035156
2010-05-03,43.153018951416016
2010-05-04,42.07876205444336
2010-05-05,41.00452423095703
2010-05-06,39.673919677734375
2010-05-07,39.02082443237305
2010-05-10,41.1876220703125
2010-05-11,40.8885498046875
2010-05-12,41.64541244506836
2010-05-13,41.04925537109375
2010-05-14,40.41005325317383
2010-05-17,40.28712844848633
2010-05-18,40.12733840942383
2010-05-19,40.02899932861328
2010-05-20,38.984188079833984
2010-05-21,38.338844299316406
2010-05-24,37.89019012451172
2010-05-25,38.086856842041016
2010-05-26,38.080718994140625
2010-05-27,39.07022476196289
2010-05-28,38.57240676879883
2010-06-01,37.595191955566406
2010-06-02,38.46790313720703
2010-06-03,38.726043701171875
2010-06-04,37.220279693603516
2010-06-07,35.9234619140625
2010-06-08,36.24305725097656
2010-06-09,36.02793502807617
2010-06-10,37.39235305786133
2010-06-11,37.613624572753906
2010-06-14,37.53986358642578
2010-06-15,38.51094436645508
2010-06-16,38.3572883605957
2010-06-17,38.22822952270508
2010-06-18,38.412601470947266
2010-06-21,38.20977783203125
2010-06-22,37.12192916870117
2010-06-23,37.109642028808594
2010-06-24,36.931396484375
2010-06-25,37.09120559692383
2010-06-28,36.64868927001953
2010-06-29,35.364166259765625
2010-06-30,34.964691162109375
2010-07-01,35.64688491821289
2010-07-02,34.88478469848633
2010-07-06,35.155208587646484
2010-07-07,36.55035400390625
2010-07-08,36.85151290893555
2010-07-09,36.91297149658203
2010-07-12,36.888389587402344
2010-07-13,37.675079345703125
2010-07-14,37.95779800415039
2010-07-15,37.69966506958008
2010-07-16,36.6794319152832
2010-07-19,37.1588134765625
2010-07-20,37.41695022583008
2010-07-21,36.882240295410156
2010-07-22,38.81209182739258
2010-07-23,39.13167953491211
2010-07-26,39.87534713745117
2010-07-27,39.74013137817383
2010-07-28,39.826171875
2010-07-29,39.574195861816406
2010-07-30,39.949100494384766
2010-08-02,40.932456970214844
2010-08-03,40.932456970214844
2010-08-04,41.4118537902832
2010-08-05,41.436439514160156
2010-08-06,40.993927001953125
2010-08-09,41.436439514160156
2010-08-10,41.307373046875
2010-08-11,40.07816696166992
2010-08-12,39.91721725463867
2010-08-13,39.89244842529297
2010-08-16,40.02245330810547
2010-08-17,40.870567321777344
2010-08-18,40.963436126708984
2010-08-19,40.49913787841797
2010-08-20,40.301029205322266
2010-08-23,40.37533187866211
2010-08-24,39.52719497680664
2010-08-25,39.21767044067383
2010-08-26,39.267208099365234
2010-08-27,39.91102981567383
2010-08-30,39.582923889160156
2010-08-31,39.49625015258789
2010-09-01,40.97581100463867
2010-09-02,41.55153274536133
2010-09-03,41.87344741821289
2010-09-07,41.52679443359375
2010-09-08,41.82394027709961
2010-09-09,41.87965393066406
2010-09-10,41.947750091552734
2010-09-13,41.805362701416016
2010-09-14,41.7558479309082
2010-09-15,41.885833740234375
2010-09-16,41.303916931152344
2010-09-17,41.27915954589844
2010-09-20,41.41535186767578
2010-09-21,41.4710693359375
2010-09-22,41.79916000366211
2010-09-23,41.099632263183594
2010-09-24,41.6443977355957
2010-09-27,41.52679443359375
2010-09-28,41.58869171142578
