Date,TGT
2010-01-04,31.991436004638672
2010-01-05,32.11003494262695
2010-01-06,32.72284698486328
2010-01-07,33.12480926513672
2010-01-08,32.99302673339844
2010-01-11,33.06550216674805
2010-01-12,32.51199722290039
2010-01-13,32.51199722290039
2010-01-14,33.012794494628906
2010-01-15,33.05891036987305
2010-01-19,33.73762130737305
2010-01-20,33.42133331298828
2010-01-21,33.09185791015625
2010-01-22,33.197296142578125
2010-01-25,33.45426559448242
2010-01-26,34.27794647216797
2010-01-27,34.238407135009766
2010-01-28,34.2054557800293
2010-01-29,33.78374481201172
2010-02-01,33.66513442993164
2010-02-02,33.487213134765625
2010-02-03,33.342254638671875
2010-02-04,32.33409118652344
2010-02-05,32.48563766479492
2010-02-08,32.14299774169922
2010-02-09,32.380218505859375
2010-02-10,32.25501251220703
2010-02-11,32.39338684082031
2010-02-12,32.05073547363281
2010-02-16,33.00619888305664
2010-02-17,33.455806732177734
2010-02-18,33.548370361328125
2010-02-19,33.54175567626953
2010-02-22,33.48224639892578
2010-02-23,33.09877014160156
2010-02-24,33.713661193847656
2010-02-25,33.68721008300781
2010-02-26,34.06410217285156
2010-03-01,34.54015350341797
2010-03-02,34.16325759887695
2010-03-03,34.16987228393555
2010-03-04,35.00297164916992
2010-03-05,35.36662292480469
2010-03-08,35.36000061035156
2010-03-09,34.950077056884766
2010-03-10,34.80461502075195
2010-03-11,34.9170036315918
2010-03-12,35.095542907714844
2010-03-15,35.3533821105957
2010-03-16,35.333553314208984
2010-03-17,35.161651611328125
2010-03-18,35.06908416748047
2010-03-19,35.24098587036133
2010-03-22,35.624473571777344
2010-03-23,35.63108444213867
2010-03-24,35.287288665771484
2010-03-25,35.340145111083984
2010-03-26,35.94844436645508
2010-03-29,35.677364349365234
2010-03-30,35.53191375732422
2010-03-31,34.77816390991211
2010-04-01,35.12859344482422
2010-04-05,35.545127868652344
2010-04-06,35.763328552246094
2010-04-07,35.71043395996094
2010-04-08,36.78815841674805
2010-04-09,36.80799102783203
2010-04-12,37.012943267822266
2010-04-13,37.3303337097168
2010-04-14,37.515472412109375
2010-04-15,37.422882080078125
2010-04-16,37.01958084106445
2010-04-19,37.07246398925781
2010-04-20,37.118736267089844
2010-04-21,37.641075134277344
2010-04-22,38.08407211303711
2010-04-23,38.308868408203125
2010-04-26,38.38159942626953
2010-04-27,37.46916961669922
2010-04-28,37.42951202392578
2010-04-29,37.91878128051758
2010-04-30,37.60139846801758
2010-05-03,37.68075942993164
2010-05-04,36.748497009277344
2010-05-05,37.06585693359375
2010-05-06,36.378211975097656
2010-05-07,35.90217971801758
2010-05-10,37.46916961669922
2010-05-11,37.21131896972656
2010-05-12,37.77332305908203
2010-05-13,36.411293029785156
2010-05-14,36.47739028930664
2010-05-17,37.05925369262695
2010-05-18,35.95833969116211
2010-05-19,35.83232116699219
2010-05-20,35.003334045410156
2010-05-21,36.044559478759766
2010-05-24,36.00476837158203
2010-05-25,36.197086334228516
2010-05-26,35.54052734375
2010-05-27,36.68124008178711
2010-05-28,36.1639289855957
2010-06-01,35.75275802612305
2010-06-02,36.05780792236328
2010-06-03,36.13078308105469
2010-06-04,35.016605377197266
2010-06-07,34.48604202270508
2010-06-08,34.764583587646484
2010-06-09,34.73143005371094
2010-06-10,35.55379104614258
2010-06-11,35.6201171875
2010-06-14,35.84560012817383
2010-06-15,36.210357666015625
2010-06-16,35.93181228637695
2010-06-17,35.89202117919922
2010-06-18,35.59357833862305
2010-06-21,35.076297760009766
2010-06-22,34.67174530029297
2010-06-23,34.930389404296875
2010-06-24,33.643798828125
2010-06-25,33.49125671386719
2010-06-28,33.10661697387695
2010-06-29,32.496463775634766
2010-06-30,32.60920333862305
2010-07-01,32.90102005004883
2010-07-02,32.847957611083984
2010-07-06,33.11324691772461
2010-07-07,33.44483947753906
2010-07-08,33.17292022705078
2010-07-09,33.06019592285156
2010-07-12,32.60259246826172
2010-07-13,33.08670425415039
2010-07-14,32.927555084228516
2010-07-15,33.68357849121094
2010-07-16,33.3453483581543
2010-07-19,33.312198638916016
2010-07-20,33.84274673461914
2010-07-21,33.272403717041016
2010-07-22,34.127925872802734
2010-07-23,34.4130973815918
2010-07-26,35.04977035522461
2010-07-27,34.572269439697266
2010-07-28,34.353416442871094
2010-07-29,34.161067962646484
2010-07-30,34.03507995605469
2010-08-02,34.320255279541016
2010-08-03,33.809593200683594
2010-08-04,34.154457092285156
2010-08-05,35.0564079284668
2010-08-06,34.69826889038086
2010-08-09,35.381370544433594
2010-08-10,35.109458923339844
2010-08-11,34.492679595947266
2010-08-12,34.360042572021484
2010-08-13,33.69685745239258
2010-08-16,33.63716125488281
2010-08-17,33.776432037353516
2010-08-18,34.62285614013672
2010-08-19,34.55620574951172
2010-08-20,34.756141662597656
2010-08-23,34.66283416748047
2010-08-24,34.342926025390625
2010-08-25,34.36958312988281
2010-08-26,34.4295654296875
2010-08-27,34.48289108276367
2010-08-30,33.85641098022461
2010-08-31,34.096343994140625
2010-09-01,34.816123962402344
2010-09-02,35.022708892822266
2010-09-03,35.20933532714844
2010-09-07,34.8760986328125
2010-09-08,34.98273849487305
2010-09-09,35.136016845703125
2010-09-10,35.36262130737305
2010-09-13,35.44926071166992
2010-09-14,35.822479248046875
2010-09-15,35.82914352416992
2010-09-16,35.962440490722656
2010-09-17,35.81581115722656
2010-09-20,36.38898468017578
2010-09-21,36.03573989868164
2010-09-22,36.05574417114258
2010-09-23,35.8358154296875
2010-09-24,36.68887710571289
2010-09-27,36.2490234375
2010-09-28,36.342323303222656
