Date,NEE
2010-01-04,8.468897819519043
2010-01-05,8.386195182800293
2010-01-06,8.468897819519043
2010-01-07,8.445042610168457
2010-01-08,8.371882438659668
2010-01-11,8.365523338317871
2010-01-12,8.16195011138916
2010-01-13,8.19057846069336
2010-01-14,7.953607082366943
2010-01-15,8.039490699768066
2010-01-19,8.093565940856934
2010-01-20,7.948835849761963
2010-01-21,7.797746658325195
2010-01-22,7.656200408935547
2010-01-25,7.594179153442383
2010-01-26,7.82796573638916
2010-01-27,7.91384744644165
2010-01-28,7.794567584991455
2010-01-29,7.7548041343688965
2010-02-01,7.829555511474609
2010-02-02,7.885220527648926
2010-02-03,7.856595993041992
2010-02-04,7.637117385864258
2010-02-05,7.538509845733643
2010-02-08,7.45740270614624
2010-02-09,7.389016151428223
2010-02-10,7.303135395050049
2010-02-11,7.309494495391846
2010-02-12,7.247469425201416
2010-02-16,7.3762898445129395
2010-02-17,7.279277324676514
2010-02-18,7.274503707885742
2010-02-19,7.455811500549316
2010-02-22,7.446267604827881
2010-02-23,7.443084716796875
2010-02-24,7.5652642250061035
2010-02-25,7.53632926940918
2010-02-26,7.454340934753418
2010-03-01,7.616705894470215
2010-03-02,7.5861616134643555
2010-03-03,7.544363498687744
2010-03-04,7.595808029174805
2010-03-05,7.660109043121338
2010-03-08,7.676187992095947
2010-03-09,7.558836936950684
2010-03-10,7.550795078277588
2010-03-11,7.615100860595703
2010-03-12,7.566871643066406
2010-03-15,7.605456352233887
2010-03-16,7.692264080047607
2010-03-17,7.7195916175842285
2010-03-18,7.711554050445557
2010-03-19,7.742098808288574
2010-03-22,7.69065523147583
2010-03-23,7.687439918518066
2010-03-24,7.599023342132568
2010-03-25,7.627959728240967
2010-03-26,7.685831546783447
2010-03-29,7.809616565704346
2010-03-30,7.661717891693115
2010-03-31,7.769425868988037
2010-04-01,7.851413726806641
2010-04-05,7.87230920791626
2010-04-06,7.907678604125977
2010-04-07,7.893209934234619
2010-04-08,7.883565425872803
2010-04-09,7.99127197265625
2010-04-12,7.996095657348633
2010-04-13,7.95590353012085
2010-04-14,7.812831401824951
2010-04-15,7.8498077392578125
2010-04-16,7.785501480102539
2010-04-19,7.782288551330566
2010-04-20,8.045931816101074
2010-04-21,8.097373962402344
2010-04-22,8.182575225830078
2010-04-23,8.246874809265137
2010-04-26,8.208295822143555
2010-04-27,8.041106224060059
2010-04-28,8.15846061706543
2010-04-29,8.148813247680664
2010-04-30,8.367446899414062
2010-05-03,8.465506553649902
2010-05-04,8.270994186401367
2010-05-05,8.189002990722656
2010-05-06,8.209903717041016
2010-05-07,8.234014511108398
2010-05-10,8.459076881408691
2010-05-11,8.465506553649902
2010-05-12,8.499262809753418
2010-05-13,8.496051788330078
2010-05-14,8.473548889160156
2010-05-17,8.459076881408691
2010-05-18,8.412456512451172
2010-05-19,8.36262321472168
2010-05-20,8.062005996704102
2010-05-21,8.132742881774902
2010-05-24,8.086121559143066
2010-05-25,7.962337493896484
2010-05-26,7.78872013092041
2010-05-27,8.00252628326416
2010-05-28,8.026638984680176
2010-06-01,7.867487907409668
