Date,ESS
2010-01-04,50.35468673706055
2010-01-05,50.659427642822266
2010-01-06,51.01292037963867
2010-01-07,51.54316329956055
2010-01-08,51.01292037963867
2010-01-11,51.04948806762695
2010-01-12,50.372989654541016
2010-01-13,51.37251663208008
2010-01-14,51.71990203857422
2010-01-15,51.37251663208008
2010-01-19,52.07341003417969
2010-01-20,52.22577667236328
2010-01-21,50.86663818359375
2010-01-22,49.29419708251953
2010-01-25,49.6415901184082
2010-01-26,49.367347717285156
2010-01-27,49.9768180847168
2010-01-28,49.623291015625
2010-01-29,48.568946838378906
2010-02-01,49.36125946044922
2010-02-02,50.214508056640625
2010-02-03,48.770050048828125
2010-02-04,47.33170700073242
2010-02-05,47.6912727355957
2010-02-08,47.459686279296875
2010-02-09,47.6912727355957
2010-02-10,47.79490280151367
2010-02-11,48.416561126708984
2010-02-12,48.885833740234375
2010-02-16,50.11089324951172
2010-02-17,50.982452392578125
2010-02-18,51.34812545776367
2010-02-19,51.311561584472656
2010-02-22,51.57361602783203
2010-02-23,51.55533981323242
2010-02-24,51.9393196105957
2010-02-25,52.06120300292969
2010-02-26,52.35377502441406
2010-03-01,52.73162078857422
2010-03-02,53.085121154785156
2010-03-03,53.1034049987793
2010-03-04,53.67021560668945
2010-03-05,55.084205627441406
2010-03-08,55.18171310424805
2010-03-09,54.75507354736328
2010-03-10,54.767269134521484
2010-03-11,55.132965087890625
2010-03-12,55.52299499511719
2010-03-15,55.132965087890625
2010-03-16,56.297054290771484
2010-03-17,56.936988830566406
2010-03-18,56.63227462768555
2010-03-19,56.17515563964844
2010-03-22,56.62010192871094
2010-03-23,55.93136978149414
2010-03-24,55.919158935546875
2010-03-25,55.53519821166992
2010-03-26,54.73679733276367
2010-03-29,54.56601333618164
2010-03-30,55.37990951538086
2010-03-31,55.46003341674805
2010-04-01,56.02111053466797
2010-04-05,57.55636215209961
2010-04-06,59.19024658203125
2010-04-07,58.52433776855469
2010-04-08,58.60451126098633
2010-04-09,60.2507438659668
2010-04-12,60.2630729675293
2010-04-13,62.044944763183594
2010-04-14,61.23723220825195
2010-04-15,60.05960464477539
2010-04-16,59.40605926513672
2010-04-19,59.28273391723633
2010-04-20,60.52819061279297
2010-04-21,61.927791595458984
2010-04-22,62.445709228515625
2010-04-23,64.1166000366211
2010-04-26,64.84416198730469
2010-04-27,63.38288879394531
2010-04-28,64.1227798461914
2010-04-29,67.67420196533203
2010-04-30,65.24493408203125
2010-05-03,67.97013092041016
2010-05-04,68.40174102783203
2010-05-05,67.8221664428711
2010-05-06,64.7948226928711
2010-05-07,63.2287483215332
2010-05-10,66.95896911621094
2010-05-11,67.48921966552734
2010-05-12,68.53121948242188
2010-05-13,67.39673614501953
2010-05-14,66.0032958984375
2010-05-17,67.16859436035156
2010-05-18,66.10192108154297
2010-05-19,65.75666046142578
2010-05-20,62.47654342651367
2010-05-21,64.7701644897461
2010-05-24,63.41989517211914
2010-05-25,63.52471160888672
2010-05-26,63.567867279052734
2010-05-27,66.37326049804688
2010-05-28,64.88116455078125
2010-06-01,62.908111572265625
2010-06-02,63.67885971069336
2010-06-03,63.28422927856445
2010-06-04,59.646507263183594
2010-06-07,60.158260345458984
2010-06-08,61.19410705566406
2010-06-09,62.8773078918457
2010-06-10,65.09696960449219
2010-06-11,65.70116424560547
2010-06-14,65.8614730834961
2010-06-15,66.7431640625
2010-06-16,66.55821228027344
2010-06-17,66.52738189697266
2010-06-18,66.65686798095703
2010-06-21,66.14509582519531
2010-06-22,63.660343170166016
2010-06-23,63.88846969604492
2010-06-24,62.33472442626953
2010-06-25,64.97980499267578
2010-06-28,64.67030334472656
2010-06-29,62.15475845336914
2010-06-30,60.735076904296875
2010-07-01,60.29918670654297
2010-07-02,59.20330810546875
2010-07-06,58.20078659057617
2010-07-07,61.78737258911133
2010-07-08,63.41874694824219
2010-07-09,64.33409881591797
2010-07-12,64.3216552734375
2010-07-13,65.7413558959961
2010-07-14,64.78242492675781
2010-07-15,64.85090637207031
2010-07-16,62.864593505859375
2010-07-19,63.98539733886719
2010-07-20,64.3714370727539
2010-07-21,62.833457946777344
2010-07-22,65.09999084472656
2010-07-23,65.14979553222656
2010-07-26,66.3764419555664
2010-07-27,66.83720397949219
2010-07-28,66.6441879272461
2010-07-29,65.156005859375
2010-07-30,65.44866180419922
2010-08-02,67.24816131591797
2010-08-03,66.69401550292969
2010-08-04,66.65664672851562
2010-08-05,66.23321533203125
2010-08-06,66.0277328491211
2010-08-09,66.79364013671875
2010-08-10,66.48228454589844
2010-08-11,64.66409301757812
2010-08-12,63.8608512878418
2010-08-13,63.87331771850586
2010-08-16,63.30046081542969
2010-08-17,64.87580108642578
2010-08-18,64.88825225830078
2010-08-19,63.77369689941406
2010-08-20,63.829715728759766
2010-08-23,63.481040954589844
2010-08-24,63.55574035644531
2010-08-25,64.67030334472656
2010-08-26,64.47731018066406
2010-08-27,65.39260864257812
2010-08-30,64.3216552734375
2010-08-31,65.85960388183594
2010-09-01,67.94554901123047
2010-09-02,68.38145446777344
2010-09-03,68.90448760986328
2010-09-07,68.47483825683594
2010-09-08,67.85216522216797
2010-09-09,67.49723815917969
2010-09-10,68.17593383789062
2010-09-13,69.07260131835938
2010-09-14,68.38764190673828
2010-09-15,68.73011016845703
2010-09-16,68.18218994140625
2010-09-17,68.96051025390625
2010-09-20,71.43253326416016
2010-09-21,69.70771789550781
2010-09-22,68.88579559326172
2010-09-23,67.0364761352539
2010-09-24,68.84842681884766
2010-09-27,67.62176513671875
2010-09-28,68.03858184814453
