Date,TKO
2010-01-04,9.882105827331543
2010-01-05,10.091150283813477
2010-01-06,10.167165756225586
2010-01-07,10.3128662109375
2010-01-08,10.325530052185059
2010-01-11,10.122820854187012
2010-01-12,10.11648941040039
2010-01-13,10.186168670654297
2010-01-14,10.154498100280762
2010-01-15,10.129156112670898
2010-01-19,10.198838233947754
2010-01-20,10.293861389160156
2010-01-21,10.034135818481445
2010-01-22,9.951786994934082
2010-01-25,10.198838233947754
2010-01-26,10.350869178771973
2010-01-27,10.363542556762695
2010-01-28,10.268518447875977
2010-01-29,10.135494232177734
2010-02-01,10.262185096740723
2010-02-02,10.331867218017578
2010-02-03,10.344537734985352
2010-02-04,10.097485542297363
2010-02-05,10.198838233947754
2010-02-08,10.135494232177734
2010-02-09,10.167165756225586
2010-02-10,10.30019474029541
2010-02-11,10.17983341217041
2010-02-12,10.186168670654297
2010-02-16,10.198838233947754
2010-02-17,10.236846923828125
2010-02-18,10.350869178771973
2010-02-19,10.41421890258789
2010-02-22,10.3128662109375
2010-02-23,10.306526184082031
2010-02-24,10.407882690429688
2010-02-25,10.775300025939941
2010-02-26,10.80063247680664
2010-03-01,11.047682762145996
2010-03-02,11.244059562683105
2010-03-03,11.199718475341797
2010-03-04,11.09836483001709
2010-03-05,11.370755195617676
2010-03-08,11.301074981689453
2010-03-09,11.313743591308594
2010-03-10,11.427767753601074
2010-03-11,11.49240493774414
2010-03-12,11.162757873535156
2010-03-15,11.214466094970703
2010-03-16,11.143364906311035
2010-03-17,11.065804481506348
2010-03-18,11.059337615966797
2010-03-19,11.111048698425293
2010-03-22,11.130436897277832
2010-03-23,11.143364906311035
2010-03-24,11.240316390991211
2010-03-25,11.350203514099121
2010-03-26,11.376056671142578
2010-03-29,11.220929145812988
2010-03-30,11.259714126586914
2010-03-31,11.182147979736328
2010-04-01,11.001164436340332
2010-04-05,11.266176223754883
2010-04-06,11.149829864501953
2010-04-07,11.104581832885742
2010-04-08,11.059337615966797
2010-04-09,11.117510795593262
2010-04-12,11.130436897277832
2010-04-13,11.298494338989258
2010-04-14,11.350203514099121
2010-04-15,11.414836883544922
2010-04-16,11.363129615783691
2010-04-19,11.350203514099121
2010-04-20,11.796199798583984
2010-04-21,11.95778751373291
2010-04-22,12.048276901245117
2010-04-23,12.067669868469238
2010-04-26,12.20340633392334
2010-04-27,12.132308006286621
2010-04-28,12.106451988220215
2010-04-29,11.95778751373291
2010-04-30,11.796199798583984
2010-05-03,11.893153190612793
2010-05-04,11.776803970336914
2010-05-05,11.440695762634277
2010-05-06,10.477605819702148
2010-05-07,10.606882095336914
2010-05-10,10.96884536743164
2010-05-11,11.175684928894043
2010-05-12,10.613346099853516
2010-05-13,10.923600196838379
2010-05-14,10.846038818359375
2010-05-17,11.162757873535156
2010-05-18,10.975311279296875
2010-05-19,10.606882095336914
2010-05-20,10.257845878601074
2010-05-21,10.568100929260254
2010-05-24,10.42590045928955
2010-05-25,10.348332405090332
2010-05-26,10.522855758666992
2010-05-27,10.917139053344727
2010-05-28,10.710301399230957
2010-06-01,10.762006759643555
2010-06-02,10.833112716674805
2010-06-03,10.826647758483887
2010-06-04,10.529316902160645
2010-06-07,10.400043487548828
2010-06-08,10.36772632598877
2010-06-09,10.464681625366211
2010-06-10,10.800790786743164
2010-06-11,10.893272399902344
2010-06-14,10.761153221130371
2010-06-15,10.728126525878906
2010-06-16,10.820611000061035
2010-06-17,10.761153221130371
2010-06-18,10.893272399902344
2010-06-21,10.708303451538086
2010-06-22,10.721519470214844
2010-06-23,10.701700210571289
2010-06-24,10.602608680725098
2010-06-25,10.741339683532715
2010-06-28,10.622427940368652
2010-06-29,10.292132377624512
2010-06-30,10.278919219970703
2010-07-01,10.212858200073242
2010-07-02,10.120375633239746
2010-07-06,10.252495765686035
2010-07-07,10.635639190673828
2010-07-08,10.576189994812012
2010-07-09,10.5960054397583
2010-07-12,10.477096557617188
2010-07-13,10.847031593322754
2010-07-14,10.754549980163574
2010-07-15,10.622427940368652
2010-07-16,10.38460922241211
2010-07-19,10.51012897491455
2010-07-20,10.622427940368652
2010-07-21,10.424249649047852
2010-07-22,10.56958293914795
2010-07-23,10.761153221130371
2010-07-26,10.807394981384277
2010-07-27,10.60921859741211
2010-07-28,10.668670654296875
2010-07-29,10.701700210571289
2010-07-30,10.5960054397583
2010-08-02,10.728126525878906
2010-08-03,10.807394981384277
2010-08-04,10.932912826538086
2010-08-05,10.364797592163086
2010-08-06,10.160009384155273
2010-08-09,9.928799629211426
2010-08-10,9.671171188354492
2010-08-11,9.664559364318848
2010-08-12,9.51262378692627
2010-08-13,9.33426284790039
2010-08-16,9.254990577697754
2010-08-17,9.274808883666992
2010-08-18,9.439956665039062
2010-08-19,9.235173225402832
2010-08-20,9.281411170959473
2010-08-23,9.149293899536133
2010-08-24,8.977538108825684
2010-08-25,9.136082649230957
2010-08-26,9.136082649230957
2010-08-27,9.380507469177246
2010-08-30,9.182324409484863
2010-08-31,9.261594772338867
2010-09-01,9.42674732208252
2010-09-02,9.327654838562012
2010-09-03,9.400320053100586
2010-09-07,9.413532257080078
2010-09-08,9.439956665039062
2010-09-09,9.525834083557129
2010-09-10,9.618319511413574
2010-09-13,9.489623069763184
2010-09-14,9.293196678161621
2010-09-15,9.347382545471191
2010-09-16,9.33383560180664
2010-09-17,9.442209243774414
2010-09-20,9.489623069763184
2010-09-21,9.354151725769043
2010-09-22,9.272872924804688
2010-09-23,9.327061653137207
2010-09-24,9.367700576782227
2010-09-27,9.313512802124023
2010-09-28,9.354151725769043
