Date,ETR
2010-01-04,21.199541091918945
2010-01-05,20.861488342285156
2010-01-06,20.96728515625
2010-01-07,20.716960906982422
2010-01-08,20.518264770507812
2010-01-11,20.915668487548828
2010-01-12,21.08856964111328
2010-01-13,21.387920379638672
2010-01-14,21.367279052734375
2010-01-15,21.122116088867188
2010-01-19,21.202119827270508
2010-01-20,20.91825294494629
2010-01-21,20.5801944732666
2010-01-22,20.267946243286133
2010-01-25,20.316980361938477
2010-01-26,20.466651916503906
2010-01-27,20.314403533935547
2010-01-28,19.896343231201172
2010-01-29,19.692481994628906
2010-02-01,19.929887771606445
2010-02-02,20.329879760742188
2010-02-03,20.577613830566406
2010-02-04,19.898923873901367
2010-02-05,19.893766403198242
2010-02-08,19.68731117248535
2010-02-09,19.87495994567871
2010-02-10,19.981821060180664
2010-02-11,20.211170196533203
2010-02-12,20.10430908203125
2010-02-16,20.586458206176758
2010-02-17,20.396202087402344
2010-02-18,20.338865280151367
2010-02-19,20.5239200592041
2010-02-22,20.25547218322754
2010-02-23,20.172077178955078
2010-02-24,19.997447967529297
2010-02-25,19.94272232055664
2010-02-26,19.799379348754883
2010-03-01,20.268503189086914
2010-03-02,20.445720672607422
2010-03-03,20.284128189086914
2010-03-04,20.390981674194336
2010-03-05,20.706327438354492
2010-03-08,20.732397079467773
2010-03-09,20.63336181640625
2010-03-10,20.72458839416504
2010-03-11,20.79756736755371
2010-03-12,20.393596649169922
2010-03-15,20.5395450592041
2010-03-16,20.917449951171875
2010-03-17,21.0008487701416
2010-03-18,20.946117401123047
2010-03-19,21.029508590698242
2010-03-22,20.82622528076172
2010-03-23,20.867931365966797
2010-03-24,20.64118194580078
2010-03-25,20.690706253051758
2010-03-26,20.922657012939453
2010-03-29,21.269290924072266
2010-03-30,21.383956909179688
2010-03-31,21.20152473449707
2010-04-01,21.454326629638672
2010-04-05,21.269290924072266
2010-04-06,21.9104061126709
2010-04-07,21.396989822387695
2010-04-08,21.363109588623047
2010-04-09,21.438688278198242
2010-04-12,21.425655364990234
2010-04-13,21.28231430053711
2010-04-14,21.20934295654297
2010-04-15,21.12594223022461
2010-04-16,20.89920997619629
2010-04-19,20.993024826049805
2010-04-20,21.292743682861328
2010-04-21,21.370925903320312
2010-04-22,21.39177703857422
2010-04-23,21.44389533996582
2010-04-26,21.300552368164062
2010-04-27,20.943511962890625
2010-04-28,20.83664894104004
2010-04-29,20.993024826049805
2010-04-30,21.185882568359375
2010-05-03,21.258859634399414
2010-05-04,20.755861282348633
2010-05-05,20.638580322265625
2010-05-06,19.963573455810547
2010-05-07,19.752471923828125
2010-05-10,20.200429916381836
2010-05-11,20.45602798461914
2010-05-12,20.809131622314453
2010-05-13,20.730072021484375
2010-05-14,20.40069580078125
2010-05-17,20.41387367248535
2010-05-18,20.2768497467041
2010-05-19,20.237319946289062
2010-05-20,19.694496154785156
2010-05-21,19.657604217529297
2010-05-24,19.446796417236328
2010-05-25,19.188566207885742
2010-05-26,19.280794143676758
2010-05-27,19.97908592224121
2010-05-28,19.781461715698242
2010-06-01,19.296600341796875
2010-06-02,19.57065200805664
2010-06-03,19.644433975219727
2010-06-04,18.969846725463867
2010-06-07,19.06471824645996
2010-06-08,19.180662155151367
2010-06-09,19.04100227355957
2010-06-10,19.346664428710938
2010-06-11,19.602272033691406
2010-06-14,19.78935432434082
2010-06-15,20.234682083129883
2010-06-16,20.416505813598633
2010-06-17,20.54562759399414
2010-06-18,20.579879760742188
2010-06-21,20.390153884887695
2010-06-22,19.694496154785156
2010-06-23,19.37038230895996
2010-06-24,19.25971221923828
2010-06-25,19.34930419921875
2010-06-28,19.481054306030273
2010-06-29,19.08843231201172
2010-06-30,18.87235450744629
2010-07-01,18.759056091308594
2010-07-02,18.629928588867188
2010-07-06,19.019920349121094
2010-07-07,19.575918197631836
2010-07-08,19.66814613342285
2010-07-09,20.05550193786621
2010-07-12,20.029150009155273
2010-07-13,20.1740779876709
2010-07-14,20.07395362854004
2010-07-15,20.300565719604492
2010-07-16,20.015972137451172
2010-07-19,20.45866584777832
2010-07-20,20.553524017333984
2010-07-21,20.171443939208984
2010-07-22,20.62468147277832
2010-07-23,20.629947662353516
2010-07-26,20.769611358642578
2010-07-27,21.02257537841797
2010-07-28,20.90926742553711
2010-07-29,20.60623550415039
2010-07-30,20.424421310424805
2010-08-02,20.964599609375
2010-08-03,20.864473342895508
2010-08-04,20.801225662231445
2010-08-05,20.943525314331055
2010-08-06,21.014663696289062
2010-08-09,20.988319396972656
2010-08-10,21.18269920349121
2010-08-11,20.924413681030273
2010-08-12,20.7486629486084
2010-08-13,20.799251556396484
2010-08-16,20.812570571899414
2010-08-17,21.09748649597168
2010-08-18,21.137426376342773
2010-08-19,20.73268699645996
2010-08-20,20.626174926757812
2010-08-23,20.87381935119629
2010-08-24,20.815231323242188
2010-08-25,20.852514266967773
2010-08-26,20.636821746826172
2010-08-27,21.2066707611084
2010-08-30,20.86316680908203
2010-08-31,20.99364471435547
2010-09-01,21.39040184020996
2010-09-02,21.283885955810547
2010-09-03,21.29454231262207
2010-09-07,21.241281509399414
2010-09-08,21.201339721679688
2010-09-09,21.38773536682129
2010-09-10,21.32649803161621
2010-09-13,21.185361862182617
2010-09-14,20.807252883911133
2010-09-15,20.86849594116211
2010-09-16,20.69007682800293
2010-09-17,20.418474197387695
2010-09-20,20.43710708618164
2010-09-21,20.33858299255371
2010-09-22,20.51699447631836
2010-09-23,20.343915939331055
2010-09-24,20.51699447631836
2010-09-27,20.570253372192383
2010-09-28,20.652793884277344
